Name,URL,Query,Rating,Reviews,Phone,Address,Website
The Pearl,https://www.google.com/maps/place/The+Pearl/data=!4m7!3m6!1s0x88388ed7fd1bae45:0x7888650c9ca8b227!8m2!3d39.9752358!4d-83.0032991!16s%2Fg%2F124t1d89c!19sChIJRa4b_deOOIgRJ7KonAxliHg?authuser=0&hl=en&rclk=1,Restaurants in Columbus Ohio,4.6,2445,+1 614-227-0151,"641 N High St, Columbus, OH 43215, United States",thepearlrestaurant.com
Milestone 229,https://www.google.com/maps/place/Milestone+229/data=!4m7!3m6!1s0x88388f3784fe8d5f:0x4fcea8a2606abea!8m2!3d39.9567486!4d-83.003677!16s%2Fg%2F1vc82grm!19sChIJX43-hDePOIgR6qsGJorq_AQ?authuser=0&hl=en&rclk=1,Restaurants in Columbus Ohio,4.4,2914,+1 614-427-0276,"229 S Civic Center Dr, Columbus, OH 43215, United States",milestone229.com
Schmidt’s Sausage Haus Restaurant,https://www.google.com/maps/place/Schmidt%E2%80%99s+Sausage+Haus+Restaurant/data=!4m7!3m6!1s0x883888b2fcc31a4b:0x6e9650e107616b31!8m2!3d39.9462694!4d-82.9909591!16s%2Fg%2F1tf8trzq!19sChIJSxrD_LKIOIgRMWthB-FQlm4?authuser=0&hl=en&rclk=1,Restaurants in Columbus Ohio,4.7,10967,+1 614-444-6808,"240 E Kossuth St, Columbus, OH 43206, United States",schmidthaus.com
The Guild House,https://www.google.com/maps/place/The+Guild+House/data=!4m7!3m6!1s0x88388f281d0dd50d:0xfce189069ff62bb3!8m2!3d39.9751103!4d-83.0029585!16s%2Fg%2F11b6_cvgb1!19sChIJDdUNHSiPOIgRsyv2nwaJ4fw?authuser=0&hl=en&rclk=1,Restaurants in Columbus Ohio,4.5,1733,+1 614-280-9780,"624 N High St, Columbus, OH 43215, United States",theguildhousecolumbus.com
Brassica in the Short North,https://www.google.com/maps/place/Brassica+in+the+Short+North/data=!4m7!3m6!1s0x88388ed7ec591e33:0xd4784057be7823c7!8m2!3d39.9762871!4d-83.003199!16s%2Fg%2F11bv2l7nn1!19sChIJMx5Z7NeOOIgRxyN4vldAeNQ?authuser=0&hl=en&rclk=1,Restaurants in Columbus Ohio,4.8,2742,+1 614-867-5885,"680 N High St, Columbus, OH 43215, United States",brassicas.com
Lindey's,https://www.google.com/maps/place/Lindey%27s/data=!4m7!3m6!1s0x88388f3216e3b01b:0xdabebd1217cbbd9b!8m2!3d39.9506437!4d-82.9937534!16s%2Fg%2F1tfwqmwc!19sChIJG7DjFjKPOIgRm73LFxK9vto?authuser=0&hl=en&rclk=1,Restaurants in Columbus Ohio,4.6,2506,+1 614-228-4343,"169 E Beck St, Columbus, OH 43206, United States",lindeys.com
Forno Kitchen + Bar,https://www.google.com/maps/place/Forno+Kitchen+%2B+Bar/data=!4m7!3m6!1s0x88388ed788e32e6d:0x640c4c7bfe4c51dc!8m2!3d39.9770353!4d-83.0037606!16s%2Fg%2F11b75hvkpq!19sChIJbS7jiNeOOIgR3FFM_ntMDGQ?authuser=0&hl=en&rclk=1,Restaurants in Columbus Ohio,4.5,2156,+1 614-469-0053,"721 N High St, Columbus, OH 43215, United States",fornoshortnorth.com
Valters at the Maennerchor,https://www.google.com/maps/place/Valters+at+the+Maennerchor/data=!4m7!3m6!1s0x88388f5250169005:0x224e603cfa2894ed!8m2!3d39.9421667!4d-82.9964944!16s%2Fg%2F11clt7m7sm!19sChIJBZAWUFKPOIgR7ZQo-jxgTiI?authuser=0&hl=en&rclk=1,Restaurants in Columbus Ohio,4.8,2168,+1 614-444-3531,"976 S High St, Columbus, OH 43206, United States",valtersatthemaennerchor.com
Barcelona Restaurant and Bar,https://www.google.com/maps/place/Barcelona+Restaurant+and+Bar/data=!4m7!3m6!1s0x883888b265252785:0x4c96ffd967aa4714!8m2!3d39.9444531!4d-82.9900466!16s%2Fg%2F1tc_x81m!19sChIJhSclZbKIOIgRFEeqZ9n_lkw?authuser=0&hl=en&rclk=1,Restaurants in Columbus Ohio,4.6,1820,+1 614-443-3699,"263 E Whittier St, Columbus, OH 43206, United States",barcelonacolumbus.com
Hofbräuhaus Columbus,https://www.google.com/maps/place/Hofbr%C3%A4uhaus+Columbus/data=!4m7!3m6!1s0x88388f1d1c11916f:0x6ac0c20ccfc51739!8m2!3d39.9744438!4d-83.0240957!16s%2Fg%2F11btmqrq16!19sChIJb5ERHB2POIgRORfFzwzCwGo?authuser=0&hl=en&rclk=1,Restaurants in Columbus Ohio,4.6,1965,+1 614-294-2437,"800 Goodale Blvd, Columbus, OH 43212, United States",hofbrauhauscolumbus.com
