Name,URL,Query,Rating,Reviews,Phone,Address,Website
The Apparatus Room,https://www.google.com/maps/place/The+Apparatus+Room/data=!4m7!3m6!1s0x883b2d3ae0f86c17:0x39422874991dac23!8m2!3d42.328328!4d-83.048352!16s%2Fg%2F11ddzqn2dg!19sChIJF2z44DotO4gRI6wdmXQoQjk?authuser=0&hl=en&rclk=1,Restaurants in Detroit Michigan,4.4,2615,+1 313-800-5600,"250 W Larned St, Detroit, MI 48226, United States",detroitfoundationhotel.com
Selden Standard,https://www.google.com/maps/place/Selden+Standard/data=!4m7!3m6!1s0x8824d2b1120abc99:0x4facb71cba4a5a74!8m2!3d42.3478001!4d-83.0650178!16s%2Fg%2F11btm69ppc!19sChIJmbwKErHSJIgRdFpKuhy3rE8?authuser=0&hl=en&rclk=1,Restaurants in Detroit Michigan,4.7,2085,+1 313-438-5055,"3921 2nd Ave, Detroit, MI 48201, United States",seldenstandard.com
Grey Ghost Detroit,https://www.google.com/maps/place/Grey+Ghost+Detroit/data=!4m7!3m6!1s0x8824d29d0c2d4ae5:0x37e08d91fd6ba76f!8m2!3d42.3451748!4d-83.0555796!16s%2Fg%2F11c4b4s8zq!19sChIJ5UotDJ3SJIgRb6dr_ZGN4Dc?authuser=0&hl=en&rclk=1,Restaurants in Detroit Michigan,4.6,2608,+1 313-262-6534,"47 Watson St, Detroit, MI 48201, United States",greyghostdetroit.com
Green Dot Stables,https://www.google.com/maps/place/Green+Dot+Stables/data=!4m7!3m6!1s0x883b2d677b9b98b1:0xd9c26cfd9a02185f!8m2!3d42.3218948!4d-83.0714794!16s%2Fg%2F1hcbkktv1!19sChIJsZibe2ctO4gRXxgCmv1swtk?authuser=0&hl=en&rclk=1,Restaurants in Detroit Michigan,4.5,5897,+1 313-962-5588,"2200 W Lafayette Blvd, Detroit, MI 48216, United States",greendotstables.com
Parc,https://www.google.com/maps/place/Parc/data=!4m7!3m6!1s0x883b2d2fe1db80d7:0x1be3726df9f5d384!8m2!3d42.3315627!4d-83.046851!16s%2Fg%2F11c206fxjp!19sChIJ14Db4S8tO4gRhNP1-W1y4xs?authuser=0&hl=en&rclk=1,Restaurants in Detroit Michigan,4.6,3696,+1 313-922-7272,"800 Woodward Ave, Detroit, MI 48226, United States",parcdetroit.com
The Whitney,https://www.google.com/maps/place/The+Whitney/data=!4m7!3m6!1s0x8824d2b997400edd:0x7ec14068dfc9dc42!8m2!3d42.3529135!4d-83.0622063!16s%2Fm%2F03y8ff6!19sChIJ3Q5Al7nSJIgRQtzJ32hAwX4?authuser=0&hl=en&rclk=1,Restaurants in Detroit Michigan,4.6,2680,+1 313-832-5700,"4421 Woodward Ave, Detroit, MI 48201, United States",thewhitney.com
BESA,https://www.google.com/maps/place/BESA/data=!4m7!3m6!1s0x883b2d682d6a8bcd:0x4cccfdaa492b56f!8m2!3d42.3304823!4d-83.0454323!16s%2Fg%2F11gnjhh9yw!19sChIJzYtqLWgtO4gRb7WSpNrPzAQ?authuser=0&hl=en&rclk=1,Restaurants in Detroit Michigan,4.6,748,+1 313-315-3000,"600 Woodward Ave, Detroit, MI 48226, United States",besadetroit.com
Ottava Via,https://www.google.com/maps/place/Ottava+Via/data=!4m7!3m6!1s0x883b2d4f801b3d97:0x2fed9b7960d1d4c6!8m2!3d42.3317034!4d-83.0657742!16s%2Fg%2F12qgq2482!19sChIJlz0bgE8tO4gRxtTRYHmb7S8?authuser=0&hl=en&rclk=1,Restaurants in Detroit Michigan,4.6,2764,+1 313-962-5500,"1400 Michigan Ave, Detroit, MI 48216, United States",ottavaviadetroit.com
SavannahBlue,https://www.google.com/maps/place/SavannahBlue/data=!4m7!3m6!1s0x883b2d3134beda97:0x99ab0756b241cb9e!8m2!3d42.3341913!4d-83.0522887!16s%2Fg%2F11cnpw8_rq!19sChIJl9q-NDEtO4gRnstBslYHq5k?authuser=0&hl=en&rclk=1,Restaurants in Detroit Michigan,4.3,2336,+1 313-926-0783,"1431 Times Square, Detroit, MI 48226, United States",savannahbluedetroit.com
Chartreuse Kitchen & Cocktails,https://www.google.com/maps/place/Chartreuse+Kitchen+%26+Cocktails/data=!4m7!3m6!1s0x8824d2bd708dd3eb:0x343250ab958d1933!8m2!3d42.3602235!4d-83.0663045!16s%2Fg%2F11bc73gn93!19sChIJ69ONcL3SJIgRMxmNlatQMjQ?authuser=0&hl=en&rclk=1,Restaurants in Detroit Michigan,4.7,918,+1 313-818-3915,"15 E Kirby St D, Detroit, MI 48202, United States",chartreusekc.com
