Name,URL,Query,Rating,Reviews,Phone,Address,Website
West Texas Chophouse,https://www.google.com/maps/place/West+Texas+Chophouse/data=!4m7!3m6!1s0x86e75aff8d95142d:0x326bfd7f0f8cbaec!8m2!3d31.7810648!4d-106.3928371!16s%2Fg%2F11c31r8z6f!19sChIJLRSVjf9a54YR7LqMD3_9azI?authuser=0&hl=en&rclk=1,Restaurants in El Paso Texas,4.4,4604,+1 915-775-2467,"1135 Airway Blvd Suite B, El Paso, TX 79925, United States",westtexaschophouse.com
L & J Cafe,https://www.google.com/maps/place/L+%26+J+Cafe/data=!4m7!3m6!1s0x86e75984fa0c9fcb:0x384b762dedcf124!8m2!3d31.7795154!4d-106.4497953!16s%2Fg%2F1tx15tkx!19sChIJy58M-oRZ54YRJPHc3mK3hAM?authuser=0&hl=en&rclk=1,Restaurants in El Paso Texas,4.5,8249,+1 915-566-8418,"3622 E Missouri Ave, El Paso, TX 79903, United States",ljcafe.com
Trattoria Bella Sera,https://www.google.com/maps/place/Trattoria+Bella+Sera/data=!4m7!3m6!1s0x86e75ac54a638771:0x121c14a6e6ed67e5!8m2!3d31.7965855!4d-106.3317759!16s%2Fg%2F11b5pjqsr1!19sChIJcYdjSsVa54YR5Wft5qYUHBI?authuser=0&hl=en&rclk=1,Restaurants in El Paso Texas,4.5,2742,+1 915-598-7948,"3512 N Yarbrough Dr Suite B, El Paso, TX 79925, United States",trattoriabellasera.com
Cattle Baron,https://www.google.com/maps/place/Cattle+Baron/data=!4m7!3m6!1s0x86e75a58467d286b:0xdd6c23e7cafa5733!8m2!3d31.7922114!4d-106.3949505!16s%2Fg%2F1tdnfq2p!19sChIJayh9Rlha54YRM1f6yucjbN0?authuser=0&hl=en&rclk=1,Restaurants in El Paso Texas,4.4,3242,+1 915-779-6633,"1700 Airway Blvd, El Paso, TX 79925, United States",cattlebaron.com
Cafe Central,https://www.google.com/maps/place/Cafe+Central/data=!4m7!3m6!1s0x86e758fd78921e9b:0x3a8e4a0979eeb540!8m2!3d31.7584325!4d-106.4883976!16s%2Fg%2F1tgc06m8!19sChIJmx6SeP1Y54YRQLXueQlKjjo?authuser=0&hl=en&rclk=1,Restaurants in El Paso Texas,4.5,1137,+1 915-545-2233,"109 N Oregon St, El Paso, TX 79901, United States",cafecentral.com
Track One,https://www.google.com/maps/place/Track+One/data=!4m7!3m6!1s0x86e75a56eaec43e1:0x34fa60d3784a62a1!8m2!3d31.7858639!4d-106.3978708!16s%2Fg%2F1tdzl_tn!19sChIJ4UPs6lZa54YRoWJKeNNg-jQ?authuser=0&hl=en&rclk=1,Restaurants in El Paso Texas,4.4,4327,+1 915-779-2170,"1330 Buffalo Soldier Rd, El Paso, TX 79925, United States",trackoneelpaso.com
Crave Kitchen & Bar,https://www.google.com/maps/place/Crave+Kitchen+%26+Bar/data=!4m7!3m6!1s0x86e758451fa1b96f:0x3f07feaba70d0f98!8m2!3d31.7773967!4d-106.5018591!16s%2Fg%2F1tx_6tfh!19sChIJb7mhH0VY54YRmA8Np6v-Bz8?authuser=0&hl=en&rclk=1,Restaurants in El Paso Texas,4.3,1531,+1 915-351-3677,"300 Cincinnati Ave, El Paso, TX 79902, United States",cravekitchenandbar.com
Park Tavern,https://www.google.com/maps/place/Park+Tavern/data=!4m7!3m6!1s0x86e75902714cab3f:0x2eb69f594b9c62da!8m2!3d31.7595907!4d-106.4873388!16s%2Fg%2F11dybvyppr!19sChIJP6tMcQJZ54YR2mKcS1mfti4?authuser=0&hl=en&rclk=1,Restaurants in El Paso Texas,4.5,1026,+1 915-228-9050,"204 E Mills Ave, El Paso, TX 79901, United States",parktavernelpaso.com
Weso Steakhouse,https://www.google.com/maps/place/Weso+Steakhouse/data=!4m7!3m6!1s0x86e7594408abc377:0x2885e7e97db5b26f!8m2!3d31.7619103!4d-106.4902384!16s%2Fg%2F11s_w61yc4!19sChIJd8OrCERZ54YRb7K1fennhSg?authuser=0&hl=en&rclk=1,Restaurants in El Paso Texas,4.6,1658,+1 915-444-9085,"601 N Mesa St ste 150, El Paso, TX 79901, United States",wesosteakhouse.com
Chelito's - Downtown,https://www.google.com/maps/place/Chelito%27s+-+Downtown/data=!4m7!3m6!1s0x86e7597b4269701b:0xe4db0543131bdc95!8m2!3d31.7585724!4d-106.487178!16s%2Fg%2F11rb3__xlw!19sChIJG3BpQntZ54YRldwbE0MF2-Q?authuser=0&hl=en&rclk=1,Restaurants in El Paso Texas,4.7,688,+1 915-300-1188,"115 N Mesa St #1D, El Paso, TX 79901, United States",chelitoselpaso.com
