Name,URL,Query,Rating,Reviews,Phone,Address,Website
State of Grace,https://www.google.com/maps/place/State+of+Grace/data=!4m7!3m6!1s0x8640c0e61c934627:0xd65ff2da064aa93c!8m2!3d29.7425!4d-95.4252778!16s%2Fg%2F11bv_dgwyd!19sChIJJ0aTHObAQIYRPKlKBtryX9Y?authuser=0&hl=en&rclk=1,Restaurants in Houston Texas,4.7,1655,+1 832-942-5080,"3258 Westheimer Rd, Houston, TX 77098, United States",stateofgracetx.com
Taste of Texas,https://www.google.com/maps/place/Taste+of+Texas/data=!4m7!3m6!1s0x8640c4b4045e4acf:0x4311785cb913d478!8m2!3d29.7828164!4d-95.5569012!16s%2Fg%2F1tmqglhh!19sChIJz0peBLTEQIYReNQTuVx4EUM?authuser=0&hl=en&rclk=1,Restaurants in Houston Texas,4.7,8935,+1 713-932-6901,"10505 Katy Fwy, Houston, TX 77024, United States",tasteoftexas.com
Brennan's Houston,https://www.google.com/maps/place/Brennan%27s+Houston/data=!4m7!3m6!1s0x8640bf6f2fb55b87:0xd083931187a7c04b!8m2!3d29.7430036!4d-95.3814613!16s%2Fg%2F1tcyfvmd!19sChIJh1u1L2-_QIYRS8CnhxGTg9A?authuser=0&hl=en&rclk=1,Restaurants in Houston Texas,4.6,2834,+1 713-522-9711,"3300 Smith St, Houston, TX 77006, United States",brennanshouston.com
Xochi,https://www.google.com/maps/place/Xochi/data=!4m7!3m6!1s0x8640bf23db6b3db1:0xdd2ab824e8bc3d77!8m2!3d29.7546087!4d-95.3588409!16s%2Fg%2F11c2mkdmq9!19sChIJsT1r2yO_QIYRdz286CS4Kt0?authuser=0&hl=en&rclk=1,Restaurants in Houston Texas,4.6,3652,+1 713-400-3330,"1777 Walker St, Houston, TX 77010, United States",xochihouston.com
Bungalow,https://www.google.com/maps/place/Bungalow/data=!4m7!3m6!1s0x8640bfe1d8062c53:0xf7ee9544b89e52!8m2!3d29.7612067!4d-95.3614033!16s%2Fg%2F11p4qljzk4!19sChIJUywG2OG_QIYRUp64RJXu9wA?authuser=0&hl=en&rclk=1,Restaurants in Houston Texas,4.5,1882,+1 713-393-7868,"407 Main St, Houston, TX 77002, United States",bungalowdining.com
Lucille's,https://www.google.com/maps/place/Lucille%27s/data=!4m7!3m6!1s0x8640bf82ef48b6db:0xfd5b518446be8ada!8m2!3d29.7238227!4d-95.3850641!16s%2Fg%2F1hdzhr604!19sChIJ27ZI74K_QIYR2oq-RoRRW_0?authuser=0&hl=en&rclk=1,Restaurants in Houston Texas,4.3,3961,+1 713-568-2505,"5512 La Branch St, Houston, TX 77004, United States",lucilleshouston.com
Aquarium Restaurant,https://www.google.com/maps/place/Aquarium+Restaurant/data=!4m7!3m6!1s0x8640bf3129c1f7d7:0x7d2c3901d158d459!8m2!3d29.7646083!4d-95.3672727!16s%2Fg%2F11bxjcj0j2!19sChIJ1_fBKTG_QIYRWdRY0QE5LH0?authuser=0&hl=en&rclk=1,Restaurants in Houston Texas,4.4,4441,+1 713-223-3474,"410 Bagby St, Houston, TX 77002, United States",aquariumrestaurants.com
Traveler's Table,https://www.google.com/maps/place/Traveler%27s+Table/data=!4m7!3m6!1s0x8640bfe5c3fbc549:0xb81e2792cc19959c!8m2!3d29.7448089!4d-95.388309!16s%2Fg%2F11fnxtqy58!19sChIJScX7w-W_QIYRnJUZzJInHrg?authuser=0&hl=en&rclk=1,Restaurants in Houston Texas,4.6,2087,+1 832-409-5785,"520 Westheimer Rd, Houston, TX 77006, United States",travelerstable.com
Vic & Anthony's Steakhouse,https://www.google.com/maps/place/Vic+%26+Anthony%27s+Steakhouse/data=!4m7!3m6!1s0x8640bf2417d131ef:0x7a02857b1af918a4!8m2!3d29.7569799!4d-95.3582543!16s%2Fg%2F1hc39hz9h!19sChIJ7zHRFyS_QIYRpBj5GnuFAno?authuser=0&hl=en&rclk=1,Restaurants in Houston Texas,4.6,3297,+1 713-228-1111,"1510 Texas Ave, Houston, TX 77002, United States",vicandanthonys.com
Hillstone,https://www.google.com/maps/place/Hillstone/data=!4m7!3m6!1s0x8640c0f417e25dab:0x72d9b49fd8c57af7!8m2!3d29.7288564!4d-95.4189089!16s%2Fg%2F1tf4fdxm!19sChIJq13iF_TAQIYR93rF2J-02XI?authuser=0&hl=en&rclk=1,Restaurants in Houston Texas,4.4,2744,+1 713-529-2385,"4848 Kirby Dr, Houston, TX 77098, United States",hillstonerestaurant.com
Hearsay Market Square,https://www.google.com/maps/place/Hearsay+Market+Square/data=!4m7!3m6!1s0x8640bf2fc2696edf:0x229cb5ba11651eb4!8m2!3d29.7630778!4d-95.3616728!16s%2Fg%2F1tf6h04z!19sChIJ325pwi-_QIYRtB5lEbq1nCI?authuser=0&hl=en&rclk=1,Restaurants in Houston Texas,4.4,2021,+1 713-225-8079,"218 Travis St, Houston, TX 77002, United States",hearsaygastrolounge.com
The Chefs Table Houston,https://www.google.com/maps/place/The+Chefs+Table+Houston/data=!4m7!3m6!1s0x8640d3a7210abf9d:0x799a06f78528f166!8m2!3d29.9943572!4d-95.572017!16s%2Fg%2F11nm9p99y7!19sChIJnb8KIafTQIYRZvEohfcGmnk?authuser=0&hl=en&rclk=1,Restaurants in Houston Texas,4.8,1086,+1 832-559-7489,"110 Vintage Park Blvd Building J Suite P, Houston, TX 77070, United States",chefstablehouston.com
Caracol,https://www.google.com/maps/place/Caracol/data=!4m7!3m6!1s0x8640c16a2eeeaf89:0x143520b56c481f4e!8m2!3d29.7434029!4d-95.4623135!16s%2Fg%2F11cnnwp2_v!19sChIJia_uLmrBQIYRTh9IbLUgNRQ?authuser=0&hl=en&rclk=1,Restaurants in Houston Texas,4.6,3173,+1 713-622-9996,"2200 Post Oak Blvd #160, Houston, TX 77056, United States",caracol.net
Houston This Is It Soul Food,https://www.google.com/maps/place/Houston+This+Is+It+Soul+Food/data=!4m7!3m6!1s0x8640bfa110684e0f:0x2028f3ce13771fb7!8m2!3d29.7230442!4d-95.3696909!16s%2Fg%2F1tvq4hwz!19sChIJD05oEKG_QIYRtx93E87zKCA?authuser=0&hl=en&rclk=1,Restaurants in Houston Texas,4.1,3159,+1 713-521-2920,"2712 Blodgett St, Houston, TX 77004, United States",houstonthisisit.com
Riel,https://www.google.com/maps/place/Riel/data=!4m7!3m6!1s0x89b7b80d3b167055:0x57e6be21f426ff03!8m2!3d29.7445531!4d-95.4049369!16s%2Fg%2F11c2pr0x04!19sChIJVXAWOw24t4kRA_8m9CG-5lc?authuser=0&hl=en&rclk=1,Restaurants in Houston Texas,4.6,670,+1 832-831-9109,"1927 Fairview St, Houston, TX 77019, United States",rielhtx.com
Hugo's,https://www.google.com/maps/place/Hugo%27s/data=!4m7!3m6!1s0x8640c09950be9c59:0x92e89a01444d0627!8m2!3d29.7429892!4d-95.3996903!16s%2Fm%2F0x2w887!19sChIJWZy-UJnAQIYRJwZNRAGa6JI?authuser=0&hl=en&rclk=1,Restaurants in Houston Texas,4.6,3722,+1 713-524-7744,"1600 Westheimer Rd, Houston, TX 77006, United States",hugosrestaurant.net
Nancy's Hustle,https://www.google.com/maps/place/Nancy%27s+Hustle/data=!4m7!3m6!1s0x8640bee1e271bb01:0xfe66dab9e95b607b!8m2!3d29.7456806!4d-95.3521694!16s%2Fg%2F11gd92f27_!19sChIJAbtx4uG-QIYRe2Bb6bnaZv4?authuser=0&hl=en&rclk=1,Restaurants in Houston Texas,4.7,1769,+1 346-571-7931,"2704 Polk St A, Houston, TX 77003, United States",nancyshustle.com
