Name,URL,Query,Rating,Reviews,Phone,Address,Website
Harry & Izzy's,https://www.google.com/maps/place/Harry+%26+Izzy%27s/data=!4m7!3m6!1s0x886b50bca7c89873:0x89db4a5ed9361cc8!8m2!3d39.764575!4d-86.15966!16s%2Fg%2F1tg6qw1j!19sChIJc5jIp7xQa4gRyBw22V5K24k?authuser=0&hl=en&rclk=1,Restaurants in Indianapolis Indiana,4.7,3747,+1 317-635-9594,"153 S Illinois St, Indianapolis, IN 46225, United States",harryandizzys.com
The Capital Grille,https://www.google.com/maps/place/The+Capital+Grille/data=!4m7!3m6!1s0x886b50bc6de7fe67:0x7c8b64dc30873f3a!8m2!3d39.767328!4d-86.159186!16s%2Fg%2F1xtf29k4!19sChIJZ_7nbbxQa4gROj-HMNxki3w?authuser=0&hl=en&rclk=1,Restaurants in Indianapolis Indiana,4.6,1168,+1 317-423-8790,"40 W Washington St, Indianapolis, IN 46204, United States",thecapitalgrille.com
Bluebeard,https://www.google.com/maps/place/Bluebeard/data=!4m7!3m6!1s0x886b509ca397bdd5:0x93c243a089e2c5e6!8m2!3d39.7575325!4d-86.1457865!16s%2Fg%2F11g_fgmsh!19sChIJ1b2Xo5xQa4gR5sXiiaBDwpM?authuser=0&hl=en&rclk=1,Restaurants in Indianapolis Indiana,4.6,1934,+1 317-686-1580,"653 Virginia Ave, Indianapolis, IN 46203, United States",bluebeardindy.com
Livery,https://www.google.com/maps/place/Livery/data=!4m7!3m6!1s0x886b50ed99f891c1:0x94d7f4c5b60f0866!8m2!3d39.7766517!4d-86.1454802!16s%2Fg%2F11c2l25hxr!19sChIJwZH4me1Qa4gRZggPtsX015Q?authuser=0&hl=en&rclk=1,Restaurants in Indianapolis Indiana,4.7,2321,+1 317-383-0330,"720 N College Ave, Indianapolis, IN 46202, United States",livery-restaurant.com
OP,https://www.google.com/maps/place/OP/data=!4m7!3m6!1s0x886b50b1a6314bcf:0x2e83433026568d53!8m2!3d39.7670683!4d-86.1676064!16s%2Fg%2F1tcwgqwx!19sChIJz0sxprFQa4gRU41WJjBDgy4?authuser=0&hl=en&rclk=1,Restaurants in Indianapolis Indiana,4.6,1141,+1 317-860-5777,"10 S West St, Indianapolis, IN 46204, United States",opitalianindy.com
Conner's Kitchen + Bar,https://www.google.com/maps/place/Conner%27s+Kitchen+%2B+Bar/data=!4m7!3m6!1s0x886b50ba7e555555:0x86a5105238b2da8e!8m2!3d39.7659612!4d-86.1645707!16s%2Fg%2F11ggz21g64!19sChIJVVVVfrpQa4gRjtqyOFIQpYY?authuser=0&hl=en&rclk=1,Restaurants in Indianapolis Indiana,4.5,2039,+1 317-405-6100,"350 W Maryland St, Indianapolis, IN 46225, United States",connersindy.com
Yard House,https://www.google.com/maps/place/Yard+House/data=!4m7!3m6!1s0x886b50bd739e8751:0x1a536c1492d21bc9!8m2!3d39.765406!4d-86.1590935!16s%2Fg%2F11b7bn1c9j!19sChIJUYeec71Qa4gRyRvSkhRsUxo?authuser=0&hl=en&rclk=1,Restaurants in Indianapolis Indiana,4.5,3879,+1 317-917-4408,"15 W Maryland St, Indianapolis, IN 46204, United States",yardhouse.com
Vida,https://www.google.com/maps/place/Vida/data=!4m7!3m6!1s0x886b50925506040b:0x7631b6508a372f5f!8m2!3d39.7709022!4d-86.1470689!16s%2Fg%2F11bxg4ypdq!19sChIJCwQGVZJQa4gRXy83ilC2MXY?authuser=0&hl=en&rclk=1,Restaurants in Indianapolis Indiana,4.8,894,+1 317-420-2323,"601 E New York St, Indianapolis, IN 46202, United States",vida-restaurant.com
The Eagle Mass Ave,https://www.google.com/maps/place/The+Eagle+Mass+Ave/data=!4m7!3m6!1s0x886b509571bc4967:0x29291c736e3db9b3!8m2!3d39.7718129!4d-86.1539722!16s%2Fg%2F11bxft8wh8!19sChIJZ0m8cZVQa4gRs7k9bnMcKSk?authuser=0&hl=en&rclk=1,Restaurants in Indianapolis Indiana,4.5,4262,+1 317-929-1799,"310 Massachusetts Ave, Indianapolis, IN 46204, United States",eaglerestaurant.com
Mama Carolla's,https://www.google.com/maps/place/Mama+Carolla%27s/data=!4m7!3m6!1s0x886b53c9361f279f:0xaf6a34b845d2139e!8m2!3d39.8508511!4d-86.1408524!16s%2Fg%2F1tflbdcs!19sChIJnycfNslTa4gRnhPSRbg0aq8?authuser=0&hl=en&rclk=1,Restaurants in Indianapolis Indiana,4.7,2357,+1 317-259-9412,"1031 E 54th St, Indianapolis, IN 46220, United States",mamacarollas.com
