Name,URL,Query,Rating,Reviews,Phone,Address,Website
The Bearded Pig,https://www.google.com/maps/place/The+Bearded+Pig/data=!4m7!3m6!1s0x88e5b706a0b0817d:0x6d01e21a28bd9efe!8m2!3d30.3100218!4d-81.6505777!16s%2Fg%2F11cn2sz_1b!19sChIJfYGwoAa35YgR_p69KBriAW0?authuser=0&hl=en&rclk=1,Restaurants in Jacksonville Florida,4.5,4686,+1 904-619-2247,"1808 Kings Ave, Jacksonville, FL 32207, United States",thebeardedpigbbq.com
Restaurant Orsay,https://www.google.com/maps/place/Restaurant+Orsay/data=!4m7!3m6!1s0x88e5b83771900549:0x5c1a87bffbc80287!8m2!3d30.3002142!4d-81.7099295!16s%2Fg%2F1w4vkrhy!19sChIJSQWQcTe45YgRhwLI-7-HGlw?authuser=0&hl=en&rclk=1,Restaurants in Jacksonville Florida,4.7,2034,+1 904-381-0909,"3630 Park St, Jacksonville, FL 32205, United States",restaurantorsay.com
bb's restaurant and bar,https://www.google.com/maps/place/bb%27s+restaurant+and+bar/data=!4m7!3m6!1s0x88e5b70459610e49:0xfc448e7773746172!8m2!3d30.3158457!4d-81.6545195!16s%2Fg%2F1vrqbg2q!19sChIJSQ5hWQS35YgRcmF0c3eORPw?authuser=0&hl=en&rclk=1,Restaurants in Jacksonville Florida,4.6,2062,+1 904-306-0100,"1019 Hendricks Ave, Jacksonville, FL 32207, United States",bbsrestaurant.com
Taverna,https://www.google.com/maps/place/Taverna/data=!4m7!3m6!1s0x88e5b7a90bde059f:0xec6f61a26ef31158!8m2!3d30.303865!4d-81.6547243!16s%2Fg%2F1v0lllqm!19sChIJnwXeC6m35YgRWBHzbqJhb-w?authuser=0&hl=en&rclk=1,Restaurants in Jacksonville Florida,4.5,1700,+1 904-398-3005,"1986 San Marco Blvd, Jacksonville, FL 32207, United States",taverna.restaurant
Seasons 52,https://www.google.com/maps/place/Seasons+52/data=!4m7!3m6!1s0x88e5caa87284fa65:0xde991aa186db4db8!8m2!3d30.251875!4d-81.526072!16s%2Fg%2F1thnplfw!19sChIJZfqEcqjK5YgRuE3bhqEamd4?authuser=0&hl=en&rclk=1,Restaurants in Jacksonville Florida,4.5,2422,+1 904-645-5252,"5096 Big Island Drive, Jacksonville, FL 32246, United States",seasons52.com
Hawkers Asian Street Food,https://www.google.com/maps/place/Hawkers+Asian+Street+Food/data=!4m7!3m6!1s0x88e5b77a00497983:0x921d0c7b06fcfbdd!8m2!3d30.315006!4d-81.680353!16s%2Fg%2F1pt__wxjw!19sChIJg3lJAHq35YgR3fv8BnsMHZI?authuser=0&hl=en&rclk=1,Restaurants in Jacksonville Florida,4.6,6022,+1 904-508-0342,"1001 Park St, Jacksonville, FL 32204, United States",eathawkers.com
Chart House,https://www.google.com/maps/place/Chart+House/data=!4m7!3m6!1s0x88e5b70528e72815:0xadbdbe249608bf36!8m2!3d30.3182185!4d-81.6537196!16s%2Fg%2F1tctsh6p!19sChIJFSjnKAW35YgRNr8IliS-va0?authuser=0&hl=en&rclk=1,Restaurants in Jacksonville Florida,4.3,1979,+1 904-398-3353,"1501 Riverplace Blvd, Jacksonville, FL 32207, United States",chart-house.com
Marker 32,https://www.google.com/maps/place/Marker+32/data=!4m7!3m6!1s0x88e44a2b955bbd15:0x5d14747d3b6a54d6!8m2!3d30.2892379!4d-81.4321476!16s%2Fg%2F1tfd7t1l!19sChIJFb1blStK5IgR1lRqO310FF0?authuser=0&hl=en&rclk=1,Restaurants in Jacksonville Florida,4.6,1368,+1 904-223-1534,"14549 Beach Blvd, Jacksonville, FL 32250, United States",marker32.com
Maple Street Biscuit Company,https://www.google.com/maps/place/Maple+Street+Biscuit+Company/data=!4m7!3m6!1s0x88e5b7a96df23915:0x5e5029702bc921b2!8m2!3d30.3038008!4d-81.653986!16s%2Fg%2F11_s_d686!19sChIJFTnybam35YgRsiHJK3ApUF4?authuser=0&hl=en&rclk=1,Restaurants in Jacksonville Florida,4.6,2269,+1 904-398-1004,"2004 San Marco Blvd, Jacksonville, FL 32207, United States",maplestreetbiscuits.com
Brick Restaurant,https://www.google.com/maps/place/Brick+Restaurant/data=!4m7!3m6!1s0x88e5b83afb491617:0xb7e08ad015524225!8m2!3d30.2968438!4d-81.7041981!16s%2Fg%2F1tfj3z_r!19sChIJFxZJ-zq45YgRJUJSFdCK4Lc?authuser=0&hl=en&rclk=1,Restaurants in Jacksonville Florida,4.4,1821,+1 904-387-0606,"3585 St Johns Ave, Jacksonville, FL 32205, United States",thebrickofavondale.com
River & Post,https://www.google.com/maps/place/River+%26+Post/data=!4m7!3m6!1s0x88e5b7772f9ca7ff:0x3ba88d786662cb0b!8m2!3d30.3141243!4d-81.6780187!16s%2Fg%2F11fxz39cv5!19sChIJ_6ecL3e35YgRC8tiZniNqDs?authuser=0&hl=en&rclk=1,Restaurants in Jacksonville Florida,4.4,5389,+1 904-575-2366,"1000 Riverside Ave #100, Jacksonville, FL 32204, United States",riverandpostjax.com
Terra Gaucha Brazilian Steakhouse - Jacksonville,https://www.google.com/maps/place/Terra+Gaucha+Brazilian+Steakhouse+-+Jacksonville/data=!4m7!3m6!1s0x88e5b57903962fd9:0x5aba681b5d0326ce!8m2!3d30.2635846!4d-81.5565052!16s%2Fg%2F11b76tv9gd!19sChIJ2S-WA3m15YgRziYDXRtoulo?authuser=0&hl=en&rclk=1,Restaurants in Jacksonville Florida,4.8,5733,+1 904-551-5920,"4483 Southside Blvd, Jacksonville, FL 32216, United States",terragaucha.com
Maggiano's Little Italy,https://www.google.com/maps/place/Maggiano%27s+Little+Italy/data=!4m7!3m6!1s0x88e5b5573ccafad7:0x15cdac2feddd70d5!8m2!3d30.258134!4d-81.5250992!16s%2Fg%2F1tff3vxh!19sChIJ1_rKPFe15YgR1XDd7S-szRU?authuser=0&hl=en&rclk=1,Restaurants in Jacksonville Florida,4.5,4691,+1 904-380-4360,"Town Center, 10367 Midtown Pkwy St. Johns, Jacksonville, FL 32246, United States",maggianos.com
