Name,URL,Query,Rating,Reviews,Phone,Address,Website
Flight Restaurant and Wine Bar,https://www.google.com/maps/place/Flight+Restaurant+and+Wine+Bar/data=!4m7!3m6!1s0x87d57e942e6c6e1b:0x9cbc69e34e21c6d1!8m2!3d35.1441195!4d-90.053495!16s%2Fg%2F1tdq1nyd!19sChIJG25sLpR-1YcR0cYhTuNpvJw?authuser=0&hl=en&rclk=1,Restaurants in Memphis Tennessee,4.8,2649,+1 901-521-8005,"39 S Main St, Memphis, TN 38103, United States",flightmemphis.com
Seasons 52,https://www.google.com/maps/place/Seasons+52/data=!4m7!3m6!1s0x887f84c88729189d:0x6257a18d3ff524a1!8m2!3d35.101277!4d-89.859778!16s%2Fg%2F11bbrh8vl6!19sChIJnRgph8iEf4gRoST1P42hV2I?authuser=0&hl=en&rclk=1,Restaurants in Memphis Tennessee,4.5,2588,+1 901-682-9952,"6085 Poplar Ave, Memphis, TN 38119, United States",seasons52.com
The Majestic Grille,https://www.google.com/maps/place/The+Majestic+Grille/data=!4m7!3m6!1s0x87d57e9648b58499:0x8128166fc510ff9e!8m2!3d35.141325!4d-90.0545528!16s%2Fg%2F1thbx5yr!19sChIJmYS1SJZ-1YcRnv8QxW8WKIE?authuser=0&hl=en&rclk=1,Restaurants in Memphis Tennessee,4.4,2266,+1 901-522-8555,"145 S Main St, Memphis, TN 38103, United States",majesticgrille.com
Sage Restaurant,https://www.google.com/maps/place/Sage+Restaurant/data=!4m7!3m6!1s0x87d57fdeee4a544b:0xe46570d21760a90a!8m2!3d35.1426353!4d-90.053688!16s%2Fg%2F11h2g49s6r!19sChIJS1RK7t5_1YcRCqlgF9JwZeQ?authuser=0&hl=en&rclk=1,Restaurants in Memphis Tennessee,4.4,1454,+1 901-672-7902,"94 S Main St, Memphis, TN 38103, United States",sagememphis.com
Houston's,https://www.google.com/maps/place/Houston%27s/data=!4m7!3m6!1s0x887f8465a87b8223:0xa75b4d8d9e99d51d!8m2!3d35.1136696!4d-89.8951147!16s%2Fg%2F1tm0ty0p!19sChIJI4J7qGWEf4gRHdWZno1NW6c?authuser=0&hl=en&rclk=1,Restaurants in Memphis Tennessee,4.3,2326,+1 901-683-0915,"5000 Poplar Ave, Memphis, TN 38117, United States",houstons.com
Huey's Midtown,https://www.google.com/maps/place/Huey%27s+Midtown/data=!4m7!3m6!1s0x887f80a8850bfe17:0xd736bee3ed549aa!8m2!3d35.137255!4d-89.9971255!16s%2Fg%2F1tl9nb56!19sChIJF_4LhaiAf4gRqknVPu5rcw0?authuser=0&hl=en&rclk=1,Restaurants in Memphis Tennessee,4.5,3275,+1 901-726-4372,"1927 Madison Ave, Memphis, TN 38104, United States",hueyburger.com
Itta Bena,https://www.google.com/maps/place/Itta+Bena/data=!4m7!3m6!1s0x87d57e970f994bcb:0x7c8708ae5440c49c!8m2!3d35.1396713!4d-90.0534888!16s%2Fg%2F1tc_x40w!19sChIJy0uZD5d-1YcRnMRAVK4Ih3w?authuser=0&hl=en&rclk=1,Restaurants in Memphis Tennessee,4.6,991,+1 901-578-3031,"145 Beale St, Memphis, TN 38103, United States",ittabenadining.com
Gus's World Famous Fried Chicken,https://www.google.com/maps/place/Gus%27s+World+Famous+Fried+Chicken/data=!4m7!3m6!1s0x87d57ebd2e95d7f5:0xae27bb2a9815686!8m2!3d35.1382853!4d-90.0578591!16s%2Fg%2F1tdfz800!19sChIJ9deVLr1-1YcRhlaBqbJ74go?authuser=0&hl=en&rclk=1,Restaurants in Memphis Tennessee,4.6,6016,+1 901-527-4877,"310 S Front St, Memphis, TN 38103, United States",gusfriedchicken.com
McEwen's,https://www.google.com/maps/place/McEwen%27s/data=!4m7!3m6!1s0x87d57e9418368d4d:0x8e82e8fe773f18c7!8m2!3d35.1441574!4d-90.0523758!16s%2Fg%2F1txc7kwq!19sChIJTY02GJR-1YcRxxg_d_7ogo4?authuser=0&hl=en&rclk=1,Restaurants in Memphis Tennessee,4.6,705,+1 901-527-7085,"120 Monroe Ave, Memphis, TN 38103, United States",mcewensmemphis.com
Huey's Downtown,https://www.google.com/maps/place/Huey%27s+Downtown/data=!4m7!3m6!1s0x87d57e96a29d624b:0x7cceb54b016b53df!8m2!3d35.1428093!4d-90.0526742!16s%2Fg%2F1tzlzhkc!19sChIJS2KdopZ-1YcR31NrAUu1znw?authuser=0&hl=en&rclk=1,Restaurants in Memphis Tennessee,4.4,2902,+1 901-527-2700,"77 S 2nd St, Memphis, TN 38103, United States",hueyburger.com
Char Restaurant,https://www.google.com/maps/place/Char+Restaurant/data=!4m7!3m6!1s0x887f86c9b00f86b5:0x7d4148edac66c1b!8m2!3d35.1195625!4d-89.9460489!16s%2Fg%2F11c582b45f!19sChIJtYYPsMmGf4gRG2zG2o4U1Ac?authuser=0&hl=en&rclk=1,Restaurants in Memphis Tennessee,4.5,2133,+1 901-249-3533,"431 S Highland St #120, Memphis, TN 38111, United States",memphis.charrestaurant.com
Blues City Cafe,https://www.google.com/maps/place/Blues+City+Cafe/data=!4m7!3m6!1s0x87d57e9705a8fc6d:0x8b34cc989a8cae7!8m2!3d35.140139!4d-90.053301!16s%2Fg%2F1hc28cszk!19sChIJbfyoBZd-1YcR58qoiclMswg?authuser=0&hl=en&rclk=1,Restaurants in Memphis Tennessee,4.4,6491,+1 901-526-3637,"138 Beale St, Memphis, TN 38103, United States",bluescitycafe.com
Marlowe's Ribs & Restaurant,https://www.google.com/maps/place/Marlowe%27s+Ribs+%26+Restaurant/data=!4m7!3m6!1s0x87d562cf72d70311:0xb7d747795075a64e!8m2!3d35.0289879!4d-90.0255639!16s%2Fg%2F1tdg3rmm!19sChIJEQPXcs9i1YcRTqZ1UHlH17c?authuser=0&hl=en&rclk=1,Restaurants in Memphis Tennessee,4.5,3481,+1 901-332-4159,"4381 Elvis Presley Blvd, Memphis, TN 38116, United States",marlowesmemphis.com
Brother Juniper's,https://www.google.com/maps/place/Brother+Juniper%27s/data=!4m7!3m6!1s0x887f86c80cec6e6b:0x8f9e0f18eea8cb34!8m2!3d35.1162146!4d-89.9450764!16s%2Fg%2F1w0r0p0t!19sChIJa27sDMiGf4gRNMuo7hgPno8?authuser=0&hl=en&rclk=1,Restaurants in Memphis Tennessee,4.7,2867,+1 901-324-0144,"3519 Walker Ave, Memphis, TN 38111, United States",brotherjunipers.com
Texas de Brazil - Memphis,https://www.google.com/maps/place/Texas+de+Brazil+-+Memphis/data=!4m7!3m6!1s0x87d57e96e040aa05:0x9047c82898028a44!8m2!3d35.1418588!4d-90.0525136!16s%2Fg%2F1v9gkjyq!19sChIJBapA4JZ-1YcRRIoCmCjIR5A?authuser=0&hl=en&rclk=1,Restaurants in Memphis Tennessee,4.5,3494,+1 901-450-5535,"150 Peabody Pl Ste 103, Memphis, TN 38103, United States",texasdebrazil.com
B.B. King's Blues Club,https://www.google.com/maps/place/B.B.+King%27s+Blues+Club/data=!4m7!3m6!1s0x87d57e970f6e2d25:0xdac89550b6349abe!8m2!3d35.1397152!4d-90.0534038!16s%2Fg%2F1tftlrh_!19sChIJJS1uD5d-1YcRvpo0tlCVyNo?authuser=0&hl=en&rclk=1,Restaurants in Memphis Tennessee,4.6,10427,+1 901-524-5464,"143 Beale St, Memphis, TN 38103, United States",bbkings.com
Folk's Folly Prime Steak House,https://www.google.com/maps/place/Folk%27s+Folly+Prime+Steak+House/data=!4m7!3m6!1s0x887f847acb04379b:0x6f8f6af14e306238!8m2!3d35.1158333!4d-89.8961111!16s%2Fg%2F12hkvml2g!19sChIJmzcEy3qEf4gROGIwTvFqj28?authuser=0&hl=en&rclk=1,Restaurants in Memphis Tennessee,4.6,1525,+1 901-762-8200,"551 S Mendenhall Rd, Memphis, TN 38117, United States",folksfolly.com
Porch and Parlor,https://www.google.com/maps/place/Porch+and+Parlor/data=!4m7!3m6!1s0x887f81276ed83dcd:0xa0bd947614203c26!8m2!3d35.1363747!4d-89.9904963!16s%2Fg%2F11h7pzl7yd!19sChIJzT3YbieBf4gRJjwgFHaUvaA?authuser=0&hl=en&rclk=1,Restaurants in Memphis Tennessee,4.7,868,+1 901-725-4000,"2125 Madison Ave, Memphis, TN 38104, United States",porchandparlor.com
Kooky Canuck,https://www.google.com/maps/place/Kooky+Canuck/data=!4m7!3m6!1s0x87d57e96968fec37:0x9574ed30117aecbc!8m2!3d35.142538!4d-90.0526252!16s%2Fm%2F0hn8bs3!19sChIJN-yPlpZ-1YcRvOx6ETDtdJU?authuser=0&hl=en&rclk=1,Restaurants in Memphis Tennessee,4.3,2613,+1 901-578-9800,"87 S 2nd St, Memphis, TN 38103, United States",kookycanuck.com
J. Alexander's Restaurant,https://www.google.com/maps/place/J.+Alexander%27s+Restaurant/data=!4m7!3m6!1s0x887f9dec799acd5f:0x659a43be771c0cf6!8m2!3d35.1984885!4d-89.7914851!16s%2Fg%2F1tfqm44t!19sChIJX82aeeydf4gR9gwcd75DmmU?authuser=0&hl=en&rclk=1,Restaurants in Memphis Tennessee,4.6,2053,+1 901-381-9670,"2670 N Germantown Pkwy, Memphis, TN 38133, United States",jalexanders.com
Esco Memphis Restaurant & Tapas,https://www.google.com/maps/place/Esco+Memphis+Restaurant+%26+Tapas/data=!4m7!3m6!1s0x87d57fbe44f24f51:0xbfcedfef931164b6!8m2!3d35.1390202!4d-90.0532018!16s%2Fg%2F11k9ll0xph!19sChIJUU_yRL5_1YcRtmQRk-_fzr8?authuser=0&hl=en&rclk=1,Restaurants in Memphis Tennessee,4.7,1297,+1 901-808-3726,"158 Lt. George W Lee Ave, Memphis, TN 38103, United States",escobaratlanta.com
The Four Way Soul Food Restaurant,https://www.google.com/maps/place/The+Four+Way+Soul+Food+Restaurant/data=!4m7!3m6!1s0x87d57c2cebdd63db:0x3bdf4b696405d7ec!8m2!3d35.1197556!4d-90.0386976!16s%2Fg%2F1tdq6k61!19sChIJ22Pd6yx81YcR7NcFZGlL3zs?authuser=0&hl=en&rclk=1,Restaurants in Memphis Tennessee,4.5,1390,+1 901-507-1519,"998 Mississippi Blvd, Memphis, TN 38126, United States",fourway901.com
Sunrise Memphis (Downtown),https://www.google.com/maps/place/Sunrise+Memphis+%28Downtown%29/data=!4m7!3m6!1s0x87d57e8a1bd28071:0x19d93ffc249f413e!8m2!3d35.1438543!4d-90.0381699!16s%2Fg%2F11f1230vk2!19sChIJcYDSG4p-1YcRPkGfJPw_2Rk?authuser=0&hl=en&rclk=1,Restaurants in Memphis Tennessee,4.6,2108,+1 901-552-3168,"670 Jefferson Ave, Memphis, TN 38105, United States",sunrise901.com
SOB Downtown,https://www.google.com/maps/place/SOB+Downtown/data=!4m7!3m6!1s0x87d57ea2dd302a5f:0xf1f389629ed1cf1e!8m2!3d35.1369462!4d-90.0575535!16s%2Fg%2F1tf6sbb0!19sChIJXyow3aJ-1YcRHs_RnmKJ8_E?authuser=0&hl=en&rclk=1,Restaurants in Memphis Tennessee,4.4,1086,+1 901-370-2144,"345 S Main St, Memphis, TN 38103, United States",southofbeale.com
The Capital Grille,https://www.google.com/maps/place/The+Capital+Grille/data=!4m7!3m6!1s0x887f84c62cc8b409:0xd607aac7b06ae4fc!8m2!3d35.1018169!4d-89.8617462!16s%2Fg%2F1q62m27hw!19sChIJCbTILMaEf4gR_ORqsMeqB9Y?authuser=0&hl=en&rclk=1,Restaurants in Memphis Tennessee,4.6,1455,+1 901-683-9291,"6065 Poplar Ave, Memphis, TN 38119, United States",thecapitalgrille.com
Side Street Grill,https://www.google.com/maps/place/Side+Street+Grill/data=!4m7!3m6!1s0x887f80afb1c14b01:0xa38557c36a53e125!8m2!3d35.1356628!4d-89.9924104!16s%2Fg%2F1tg79t8n!19sChIJAUvBsa-Af4gRJeFTasNXhaM?authuser=0&hl=en&rclk=1,Restaurants in Memphis Tennessee,4.3,1346,+1 901-274-8955,"31 Florence St, Memphis, TN 38104, United States",sidestreetgrillmemphis.com
Hog & Hominy,https://www.google.com/maps/place/Hog+%26+Hominy/data=!4m7!3m6!1s0x887f8463ac283a09:0x2b991360d4a749ec!8m2!3d35.11268!4d-89.8908455!16s%2Fg%2F11g_2ghwq!19sChIJCToorGOEf4gR7Emn1GATmSs?authuser=0&hl=en&rclk=1,Restaurants in Memphis Tennessee,4.5,1106,+1 901-779-6096,"707 W Brookhaven Cir, Memphis, TN 38117, United States",hogandhominy.com
Soul Fish Cafe,https://www.google.com/maps/place/Soul+Fish+Cafe/data=!4m7!3m6!1s0x887f8472829687d9:0x6a956e2217854773!8m2!3d35.115747!4d-89.904814!16s%2Fg%2F1ptwsmxmz!19sChIJ2YeWgnKEf4gRc0eFFyJulWo?authuser=0&hl=en&rclk=1,Restaurants in Memphis Tennessee,4.5,3293,+1 901-590-0323,"4720 Poplar Ave, Memphis, TN 38117, United States",soulfishcafe.com
The Arcade Restaurant,https://www.google.com/maps/place/The+Arcade+Restaurant/data=!4m7!3m6!1s0x87d57ea3d42a4595:0x28bf7aebb7011e0c!8m2!3d35.1326585!4d-90.0588098!16s%2Fg%2F1wzt2xrd!19sChIJlUUq1KN-1YcRDB4Bt-t6vyg?authuser=0&hl=en&rclk=1,Restaurants in Memphis Tennessee,4.1,4031,+1 901-526-5757,"540 S Main St, Memphis, TN 38103, United States",arcaderestaurant.com
Bryant's Breakfast,https://www.google.com/maps/place/Bryant%27s+Breakfast/data=!4m7!3m6!1s0x887f81609f41357b:0x1547cfd64910258c!8m2!3d35.1488069!4d-89.9287837!16s%2Fg%2F1tfvtpzv!19sChIJezVBn2CBf4gRjCUQSdbPRxU?authuser=0&hl=en&rclk=1,Restaurants in Memphis Tennessee,4.6,2556,+1 901-324-7494,"3965 Summer Ave, Memphis, TN 38122, United States",bryantsbreakfast.com
Andrew Michael,https://www.google.com/maps/place/Andrew+Michael/data=!4m7!3m6!1s0x887f84625551966d:0x695c4b7c8343fe31!8m2!3d35.1130622!4d-89.8902698!16s%2Fg%2F11b7gqdprz!19sChIJbZZRVWKEf4gRMf5Dg3xLXGk?authuser=0&hl=en&rclk=1,Restaurants in Memphis Tennessee,4.7,421,+1 901-347-3569,"712 W Brookhaven Cir, Memphis, TN 38117, United States",andrewmichaelitaliankitchen.com
Paulette's Restaurant,https://www.google.com/maps/place/Paulette%27s+Restaurant/data=!4m7!3m6!1s0x887f80afe3b485d3:0x6ee3050f10149b0a!8m2!3d35.1612826!4d-90.055009!16s%2Fg%2F1tkp0j_n!19sChIJ04W046-Af4gRCpsUEA8F424?authuser=0&hl=en&rclk=1,Restaurants in Memphis Tennessee,4.3,630,+1 901-260-3300,"50 Harbor Town Square, Memphis, TN 38103, United States",paulettes.net
Erling Jensen The Restaurant,https://www.google.com/maps/place/Erling+Jensen+The+Restaurant/data=!4m7!3m6!1s0x887f84ed13f6779d:0x170c4a15420e92b0!8m2!3d35.1030694!4d-89.87715!16s%2Fg%2F1tf71pt3!19sChIJnXf2E-2Ef4gRsJIOQhVKDBc?authuser=0&hl=en&rclk=1,Restaurants in Memphis Tennessee,4.7,558,+1 901-763-3700,"1044 S Yates Rd, Memphis, TN 38119, United States",ejensen.com
Coastal Fish Company,https://www.google.com/maps/place/Coastal+Fish+Company/data=!4m7!3m6!1s0x887f9d07727184c1:0x9e4a10f7bdacaba1!8m2!3d35.1361665!4d-89.8266659!16s%2Fg%2F11fpbjf8j5!19sChIJwYRxcgedf4gRoausvfcQSp4?authuser=0&hl=en&rclk=1,Restaurants in Memphis Tennessee,4.6,1711,+1 901-266-9000,"415 Great View Dr E, Memphis, TN 38134, United States",coastalfishcompany.com
Flying Fish,https://www.google.com/maps/place/Flying+Fish/data=!4m7!3m6!1s0x87d57e96949da0dd:0xacf62ccb7d4d529b!8m2!3d35.142086!4d-90.052831!16s%2Fg%2F1tcyxzhl!19sChIJ3aCdlJZ-1YcRm1JNfcss9qw?authuser=0&hl=en&rclk=1,Restaurants in Memphis Tennessee,4.4,2204,+1 901-522-8228,"105 S 2nd St, Memphis, TN 38103, United States",flyingfishinthe.net
Acre Restaurant,https://www.google.com/maps/place/Acre+Restaurant/data=!4m7!3m6!1s0x887f84133c854b1b:0xd31eb6dbb37367d6!8m2!3d35.112373!4d-89.9072091!16s%2Fg%2F1tjz8q93!19sChIJG0uFPBOEf4gR1mdzs9u2HtM?authuser=0&hl=en&rclk=1,Restaurants in Memphis Tennessee,4.6,328,+1 901-818-2273,"690 S Perkins Rd, Memphis, TN 38117, United States",acrememphis.com
River Oaks Restaurant,https://www.google.com/maps/place/River+Oaks+Restaurant/data=!4m7!3m6!1s0x887f84c0f60dba77:0x728fc49cbdc552c!8m2!3d35.1030082!4d-89.8668212!16s%2Fg%2F1thy0kl2!19sChIJd7oN9sCEf4gRLFXcy0n8KAc?authuser=0&hl=en&rclk=1,Restaurants in Memphis Tennessee,4.5,370,+1 901-683-9305,"5871 Poplar Ave, Memphis, TN 38119, United States",riveroaksrestaurant.com
Slider Inn - Downtown,https://www.google.com/maps/place/Slider+Inn+-+Downtown/data=!4m7!3m6!1s0x87d57f50aaa290d9:0xa27ec5b61ee58ec1!8m2!3d35.1362096!4d-90.057043!16s%2Fg%2F11fph8zb74!19sChIJ2ZCiqlB_1YcRwY7lHrbFfqI?authuser=0&hl=en&rclk=1,Restaurants in Memphis Tennessee,4.4,706,+1 901-729-6900,"363 Mulberry St, Memphis, TN 38103, United States",thesliderinn.com
