Name,URL,Query,Rating,Reviews,Phone,Address,Website
Parc,https://www.google.com/maps/place/Parc/data=!4m7!3m6!1s0x89c6c63a14136c19:0xbe896a0db4a15eaa!8m2!3d39.9491222!4d-75.170749!16s%2Fg%2F1tfts10q!19sChIJGWwTFDrGxokRql6htA1qib4?authuser=0&hl=en&rclk=1,Restaurants in Philadelphia Pennsylvania,4.6,5542,+1 215-545-2262,"227 S 18th St, Philadelphia, PA 19103, United States",parc-restaurant.com
Talula's Garden,https://www.google.com/maps/place/Talula%27s+Garden/data=!4m7!3m6!1s0x89c6c89d45fe20ab:0xd3c70ffc7cab9796!8m2!3d39.9472602!4d-75.1535347!16s%2Fg%2F1v6p57lr!19sChIJqyD-RZ3IxokRlperfPwPx9M?authuser=0&hl=en&rclk=1,Restaurants in Philadelphia Pennsylvania,4.7,2490,+1 215-592-7787,"210 W Washington Square, Philadelphia, PA 19106, United States",talulasgarden.com
Zahav,https://www.google.com/maps/place/Zahav/data=!4m7!3m6!1s0x89c6c89ada6725cd:0x2479810721359c7!8m2!3d39.9462333!4d-75.1450162!16s%2Fg%2F11bwf5p0r5!19sChIJzSVn2prIxokRx1kTchCYRwI?authuser=0&hl=en&rclk=1,Restaurants in Philadelphia Pennsylvania,4.7,2708,+1 215-625-8800,"237 St James Pl, Philadelphia, PA 19106, United States",zahavrestaurant.com
The Dandelion,https://www.google.com/maps/place/The+Dandelion/data=!4m7!3m6!1s0x89c6c630bdc40609:0x325c4c9c3a5ce59d!8m2!3d39.9509989!4d-75.1706311!16s%2Fg%2F1hbpwsk29!19sChIJCQbEvTDGxokRneVcOpxMXDI?authuser=0&hl=en&rclk=1,Restaurants in Philadelphia Pennsylvania,4.6,4550,+1 215-558-2500,"124 S 18th St, Philadelphia, PA 19103, United States",thedandelionpub.com
Butcher and Singer,https://www.google.com/maps/place/Butcher+and+Singer/data=!4m7!3m6!1s0x89c6c62fff8a123b:0xb30573578794c401!8m2!3d39.949473!4d-75.1662616!16s%2Fg%2F1tfkx864!19sChIJOxKK_y_GxokRAcSUh1dzBbM?authuser=0&hl=en&rclk=1,Restaurants in Philadelphia Pennsylvania,4.7,1995,+1 215-732-4444,"1500 Walnut St, Philadelphia, PA 19102, United States",butcherandsinger.com
The Love.,https://www.google.com/maps/place/The+Love./data=!4m7!3m6!1s0x89c6c6309636c489:0x1ef868e3dc95f21f!8m2!3d39.950607!4d-75.1709389!16s%2Fg%2F11f1s34fkj!19sChIJicQ2ljDGxokRH_KV3ONo-B4?authuser=0&hl=en&rclk=1,Restaurants in Philadelphia Pennsylvania,4.6,1418,+1 215-433-1555,"130 S 18th St, Philadelphia, PA 19103, United States",theloverestaurant.com
Wilder,https://www.google.com/maps/place/Wilder/data=!4m7!3m6!1s0x89c6c7cdaca762ad:0x9986f23d152843ca!8m2!3d39.9514799!4d-75.174028!16s%2Fg%2F11pzkppdpm!19sChIJrWKnrM3HxokRykMoFT3yhpk?authuser=0&hl=en&rclk=1,Restaurants in Philadelphia Pennsylvania,4.7,571,+1 215-309-2149,"2009 Sansom St, Philadelphia, PA 19103, United States",wilderphilly.com
Bud & Marilyn's,https://www.google.com/maps/place/Bud+%26+Marilyn%27s/data=!4m7!3m6!1s0x89c6c62595b8d021:0x56d50f9d73ebf874!8m2!3d39.9477838!4d-75.1622937!16s%2Fg%2F11bysjn9mj!19sChIJIdC4lSXGxokRdPjrc50P1VY?authuser=0&hl=en&rclk=1,Restaurants in Philadelphia Pennsylvania,4.5,2196,+1 215-546-2220,"1234 Locust St, Philadelphia, PA 19107, United States",budandmarilyns.com
The Victor Café,https://www.google.com/maps/place/The+Victor+Caf%C3%A9/data=!4m7!3m6!1s0x89c6c61a828634b1:0xe2082c4e3da06723!8m2!3d39.93163!4d-75.1663147!16s%2Fg%2F1tr7kbqs!19sChIJsTSGghrGxokRI2egPU4sCOI?authuser=0&hl=en&rclk=1,Restaurants in Philadelphia Pennsylvania,4.8,1522,+1 215-468-3040,"1303 Dickinson St, Philadelphia, PA 19147, United States",victorcafe.com
El Vez,https://www.google.com/maps/place/El+Vez/data=!4m7!3m6!1s0x89c6c62f6822f5eb:0x33b3cd6752db12c5!8m2!3d39.949702!4d-75.1617703!16s%2Fg%2F1tg8kphp!19sChIJ6_UiaC_GxokRxRLbUmfNszM?authuser=0&hl=en&rclk=1,Restaurants in Philadelphia Pennsylvania,4.5,5689,+1 215-928-9800,"121 S 13th St, Philadelphia, PA 19107, United States",elvezrestaurant.com
Friday Saturday Sunday,https://www.google.com/maps/place/Friday+Saturday+Sunday/data=!4m7!3m6!1s0x89c6c63844d2ba7f:0xffbabafba758c2d5!8m2!3d39.9489446!4d-75.1759667!16s%2Fg%2F1td5s71v!19sChIJf7rSRDjGxokR1cJYp_u6uv8?authuser=0&hl=en&rclk=1,Restaurants in Philadelphia Pennsylvania,4.7,705,+1 215-546-4232,"261 S 21st St, Philadelphia, PA 19103, United States",fridaysaturdaysunday.com
The Capital Grille,https://www.google.com/maps/place/The+Capital+Grille/data=!4m7!3m6!1s0x89c6c62fa6c5113f:0xa15b35ea1f12cb1c!8m2!3d39.95071!4d-75.16375!16s%2Fg%2F1tk8d1yq!19sChIJPxHFpi_GxokRHMsSH-o1W6E?authuser=0&hl=en&rclk=1,Restaurants in Philadelphia Pennsylvania,4.6,2077,+1 215-545-9588,"1338-46 Chestnut St, Philadelphia, PA 19107, United States",thecapitalgrille.com
Ocean Prime,https://www.google.com/maps/place/Ocean+Prime/data=!4m7!3m6!1s0x89c6c62fe2cc3029:0xccf62c138dc03285!8m2!3d39.9501744!4d-75.1659315!16s%2Fg%2F12ml2mmpm!19sChIJKTDM4i_GxokRhTLAjRMs9sw?authuser=0&hl=en&rclk=1,Restaurants in Philadelphia Pennsylvania,4.5,1807,+1 215-563-0163,"124 S 15th St, Philadelphia, PA 19102, United States",ocean-prime.com
Estia Restaurant,https://www.google.com/maps/place/Estia+Restaurant/data=!4m7!3m6!1s0x89c6c62541adc18f:0xd23ed03d41f2468a!8m2!3d39.948459!4d-75.1652552!16s%2Fg%2F1t_hzypb!19sChIJj8GtQSXGxokRikbyQT3QPtI?authuser=0&hl=en&rclk=1,Restaurants in Philadelphia Pennsylvania,4.6,1626,+1 215-735-7700,"1405-07 Locust St, Philadelphia, PA 19102, United States",estiarestaurant.com
Vernick Food & Drink,https://www.google.com/maps/place/Vernick+Food+%26+Drink/data=!4m7!3m6!1s0x89c6c6377f3e79d9:0x948cbec652299341!8m2!3d39.9508618!4d-75.1748874!16s%2Fg%2F11b7gr1lhv!19sChIJ2Xk-fzfGxokRQZMpUsa-jJQ?authuser=0&hl=en&rclk=1,Restaurants in Philadelphia Pennsylvania,4.7,948,+1 267-639-6644,"2031 Walnut St, Philadelphia, PA 19103, United States",vernickphilly.com
