Name,URL,Query,Rating,Reviews,Phone,Address,Website
Aqua Living Factory Outlets,https://www.google.com/maps/place/Aqua+Living+Factory+Outlets/data=!4m7!3m6!1s0x885425a89fe0df79:0xe3d6ca89593f6dea!8m2!3d35.1262587!4d-80.8833023!16s%2Fg%2F11b7khs01c!19sChIJed_gn6glVIgR6m0_WYnK1uM?authuser=0&hl=en&rclk=1,Spas in Charlotte North Carolina,4.6,86,+1 704-322-4204,"520 E Hebron St, Charlotte, NC 28273, United States",aqualivingstores.com
Northlake Chiropractic,https://www.google.com/maps/place/Northlake+Chiropractic/data=!4m7!3m6!1s0x8856a6ffe64ddbbd:0x906552289ce6e74!8m2!3d35.349308!4d-80.854955!16s%2Fg%2F1tffkh71!19sChIJvdtN5v-mVogRdG7OiSJVBgk?authuser=0&hl=en&rclk=1,Spas in Charlotte North Carolina,5.0,72,+1 704-494-4250,"9325 Center Lake Dr #150, Charlotte, NC 28216, United States",northlakechiro.com
Tyme Day Spa,https://www.google.com/maps/place/Tyme+Day+Spa/data=!4m7!3m6!1s0x88569e54736d77d3:0x1b49b39080e506df!8m2!3d35.2298887!4d-80.8457795!16s%2Fg%2F11bbx0cxyh!19sChIJ03dtc1SeVogR3wblgJCzSRs?authuser=0&hl=en&rclk=1,Spas in Charlotte North Carolina,4.8,585,+1 704-621-2070,"402 W Trade St Suite 102, Charlotte, NC 28202, United States",tymedayspa.com
Palestra Boutique Spa,https://www.google.com/maps/place/Palestra+Boutique+Spa/data=!4m7!3m6!1s0x88569ff183d8c54b:0xd9409d4b787b3da6!8m2!3d35.1505342!4d-80.8266406!16s%2Fg%2F1th5d8d0!19sChIJS8XYg_GfVogRpj17eEudQNk?authuser=0&hl=en&rclk=1,Spas in Charlotte North Carolina,4.9,257,+1 704-342-4660,"3100 Apex Dr #101, Charlotte, NC 28211, United States",palestraboutiquespa.com
"The Spa At Ballantyne, Charlotte","https://www.google.com/maps/place/The+Spa+At+Ballantyne,+Charlotte/data=!4m7!3m6!1s0x88569d25e8096a69:0x8c6f3220e0748f06!8m2!3d35.0572811!4d-80.8484569!16s%2Fg%2F1td6ytzm!19sChIJaWoJ6CWdVogRBo904CAyb4w?authuser=0&hl=en&rclk=1",Spas in Charlotte North Carolina,4.2,409,+1 704-248-4141,"The Ballantyne Hotel & Lodge, 10000 Ballantyne Commons Pkwy, Charlotte, NC 28277, United States",spaballantyne.com
URBANA SPA - MASSAGE CHARLOTTE NC,https://www.google.com/maps/place/URBANA+SPA+-+MASSAGE+CHARLOTTE+NC/data=!4m7!3m6!1s0x88569d0778aee229:0xa3cfd81d151fa191!8m2!3d35.083094!4d-80.8449331!16s%2Fg%2F1vnrr9sq!19sChIJKeKueAedVogRkaEfFR3Yz6M?authuser=0&hl=en&rclk=1,Spas in Charlotte North Carolina,4.5,405,+1 704-543-1700,"11230 Carmel Commons Blvd, Charlotte, NC 28226, United States",urbana.health
Nature's Spa and Wellness,https://www.google.com/maps/place/Nature%27s+Spa+and+Wellness/data=!4m7!3m6!1s0x88569da891b1894f:0xc7918aee9d9728a7!8m2!3d35.091521!4d-80.843543!16s%2Fg%2F1tj4hrvq!19sChIJT4mxkaidVogRpyiXne6Kkcc?authuser=0&hl=en&rclk=1,Spas in Charlotte North Carolina,4.9,260,+1 704-542-7306,"6311 Carmel Rd B, Charlotte, NC 28226, United States",natures-spa.com
Relax Spa,https://www.google.com/maps/place/Relax+Spa/data=!4m7!3m6!1s0x88569edd5f6318bb:0xde90682c2161ec95!8m2!3d35.1680127!4d-80.8765638!16s%2Fg%2F11f3p7wxrf!19sChIJuxhjX92eVogRlexhISxokN4?authuser=0&hl=en&rclk=1,Spas in Charlotte North Carolina,4.7,347,+1 704-608-7977,"5100 South Blvd D, Charlotte, NC 28217, United States",massagespacharlotte.com
Le Petit Spa Charlotte,https://www.google.com/maps/place/Le+Petit+Spa+Charlotte/data=!4m7!3m6!1s0x88569e6ba0389507:0x96d36a252a6ab00f!8m2!3d35.148793!4d-80.8350786!16s%2Fg%2F1w4569s1!19sChIJB5U4oGueVogRD7BqKiVq05Y?authuser=0&hl=en&rclk=1,Spas in Charlotte North Carolina,4.9,170,+1 980-406-3269,"6324 Fairview Rd STE 101, Charlotte, NC 28210, United States",lepetitspacharlotte.com
Spa by JW,https://www.google.com/maps/place/Spa+by+JW/data=!4m7!3m6!1s0x8856a1a908e840f7:0xdcc6810303555040!8m2!3d35.2224618!4d-80.8479567!16s%2Fg%2F11sx277pg0!19sChIJ90DoCKmhVogRQFBVAwOBxtw?authuser=0&hl=en&rclk=1,Spas in Charlotte North Carolina,4.8,54,+1 704-499-6651,"600 S College St, Charlotte, NC 28202, United States",marriott.com
