Name,URL,Query,Rating,Reviews,Phone,Address,Website
Blowouts & Company,https://www.google.com/maps/place/Blowouts+%26+Company/data=!4m7!3m6!1s0x864e992e0ee61e0b:0x4a9e98b1d7e294ef!8m2!3d32.7850471!4d-96.7731576!16s%2Fg%2F11w1hjfsc5!19sChIJCx7mDi6ZToYR75Ti17GYnko?authuser=0&hl=en&rclk=1,Spas in Dallas Texas,5.0,18,+1 214-377-9755,"3600 Commerce St #103, Dallas, TX 75226, United States",blowoutsandcompany.com
Spa 9,https://www.google.com/maps/place/Spa+9/data=!4m7!3m6!1s0x864e835762ffb965:0xe2e0a72d6f35993e!8m2!3d32.8658605!4d-96.9445288!16s%2Fg%2F11w9b8z9xt!19sChIJZbn_YleDToYRPpk1by2n4OI?authuser=0&hl=en&rclk=1,Spas in Dallas Texas,5.0,11,+1 972-887-3368,"114 E John W Carpenter Fwy SUITE 120, Irving, TX 75062, United States",spa-9.com
Woodhouse Spa - Dallas,https://www.google.com/maps/place/Woodhouse+Spa+-+Dallas/data=!4m7!3m6!1s0x864e9f2005c20c8f:0xbbf0e0130a5ab822!8m2!3d32.8376263!4d-96.7764358!16s%2Fg%2F11fnp9fdkh!19sChIJjwzCBSCfToYRIrhaChPg8Ls?authuser=0&hl=en&rclk=1,Spas in Dallas Texas,4.5,115,+1 972-777-6068,"5331 E Mockingbird Ln Ste. 172, Dallas, TX 75206, United States",dallas.woodhousespas.com
Riviera Spa - Uptown Knox Travis Walk,https://www.google.com/maps/place/Riviera+Spa+-+Uptown+Knox+Travis+Walk/data=!4m7!3m6!1s0x864e9f20b170f74d:0x4f86f9b84a6ce826!8m2!3d32.822583!4d-96.7903363!16s%2Fg%2F1trsyd_1!19sChIJTfdwsSCfToYRJuhsSrj5hk8?authuser=0&hl=en&rclk=1,Spas in Dallas Texas,4.7,574,+1 214-521-2112,"4514 Travis St #105, Dallas, TX 75205, United States",rivieraspadallas.com
Vis à Vis Day Spa & Med Spa,https://www.google.com/maps/place/Vis+%C3%A0+Vis+Day+Spa+%26+Med+Spa/data=!4m7!3m6!1s0x864e992d908906bf:0x5bdf6d2856f22d5a!8m2!3d32.800605!4d-96.801201!16s%2Fg%2F11b6_k7f5g!19sChIJvwaJkC2ZToYRWi3yViht31s?authuser=0&hl=en&rclk=1,Spas in Dallas Texas,4.5,314,+1 214-884-8886,"2815 Allen St #122, Dallas, TX 75204, United States",spavisavis.com
Vivian's Boutique Spa,https://www.google.com/maps/place/Vivian%27s+Boutique+Spa/data=!4m7!3m6!1s0x864e9f4a0beb3353:0x94d593eebc01786e!8m2!3d32.8104498!4d-96.7705486!16s%2Fg%2F11g86j0py9!19sChIJUzPrC0qfToYRbngBvO6T1ZQ?authuser=0&hl=en&rclk=1,Spas in Dallas Texas,4.8,130,+1 214-484-4714,"5420 Ross Ave, Dallas, TX 75206, United States",viviansdallas.com
Hiatus Day Spa • Med Spa,https://www.google.com/maps/place/Hiatus+Day+Spa+%E2%80%A2+Med+Spa/data=!4m7!3m6!1s0x864e9e6177eaee51:0x111d8de0765119ee!8m2!3d32.8502043!4d-96.8185392!16s%2Fg%2F1td4q37k!19sChIJUe7qd2GeToYR7hlRduCNHRE?authuser=0&hl=en&rclk=1,Spas in Dallas Texas,4.4,264,+1 214-352-4111,"5560 W Lovers Ln #250, Dallas, TX 75209, United States",hiatusspa.com
Riviera Spa - North Dallas Hillcrest Village,https://www.google.com/maps/place/Riviera+Spa+-+North+Dallas+Hillcrest+Village/data=!4m7!3m6!1s0x864c21e4d228adb5:0xf420037472e981a2!8m2!3d32.9626866!4d-96.7887287!16s%2Fg%2F11v0pxcxws!19sChIJta0o0uQhTIYRooHpcnQDIPQ?authuser=0&hl=en&rclk=1,Spas in Dallas Texas,4.9,96,+1 469-960-7225,"6959 Arapaho Rd Suite 101, Dallas, TX 75248, United States",rivieraspadallas.com
Pure Spa,https://www.google.com/maps/place/Pure+Spa/data=!4m7!3m6!1s0x864e9f12e4f0863b:0x43a0d64c4b20a92a!8m2!3d32.8374986!4d-96.7737182!16s%2Fg%2F1260cbnjm!19sChIJO4bw5BKfToYRKqkgS0zWoEM?authuser=0&hl=en&rclk=1,Spas in Dallas Texas,4.5,177,+1 214-827-4200,"5555 E Mockingbird Ln Unit 300, Dallas, TX 75206, United States",purespaandsalon.com
Spa in the City,https://www.google.com/maps/place/Spa+in+the+City/data=!4m7!3m6!1s0x864e9e7c24061a8f:0x297040175b68ae9!8m2!3d32.8514251!4d-96.8249282!16s%2Fg%2F1jkys39y3!19sChIJjxoGJHyeToYR6Yq2dQEElwI?authuser=0&hl=en&rclk=1,Spas in Dallas Texas,4.8,211,+1 214-238-2251,"5009 W Lovers Ln, Dallas, TX 75209, United States",spainthecitydallas.com
Spa Habitat,https://www.google.com/maps/place/Spa+Habitat/data=!4m7!3m6!1s0x864e9ed412792643:0x76b6574ec804623e!8m2!3d32.8080898!4d-96.797911!16s%2Fg%2F1tfh51t0!19sChIJQyZ5EtSeToYRPmIEyE5XtnY?authuser=0&hl=en&rclk=1,Spas in Dallas Texas,4.5,129,+1 214-522-9989,"3699 McKinney Ave # 304, Dallas, TX 75204, United States",spahabitat.com
The Ritz-Carlton Spa,https://www.google.com/maps/place/The+Ritz-Carlton+Spa/data=!4m7!3m6!1s0x864e99f34a22dfd3:0x34c08776d19ef342!8m2!3d32.7923969!4d-96.8041208!16s%2Fg%2F11j31w9dmp!19sChIJ098iSvOZToYRQvOe0XaHwDQ?authuser=0&hl=en&rclk=1,Spas in Dallas Texas,4.3,41,+1 214-922-4820,"2121 McKinney Ave, Dallas, TX 75201, United States",ritzcarlton.com
The Nook Spa,https://www.google.com/maps/place/The+Nook+Spa/data=!4m7!3m6!1s0x864c23ab50b55443:0x90e3ab1a8840a7be!8m2!3d32.9909371!4d-96.8022204!16s%2Fg%2F11ppwlfrby!19sChIJQ1S1UKsjTIYRvqdAiBqr45A?authuser=0&hl=en&rclk=1,Spas in Dallas Texas,4.8,344,+1 972-267-8424,"17477 Preston Rd, Dallas, TX 75252, United States",thenookspa.com
Spa Habitat,https://www.google.com/maps/place/Spa+Habitat/data=!4m7!3m6!1s0x864c209da0184745:0x2b14d1410bfad7a9!8m2!3d32.8953263!4d-96.8056334!16s%2Fg%2F11ghf6xk8d!19sChIJRUcYoJ0gTIYRqdf6C0HRFCs?authuser=0&hl=en&rclk=1,Spas in Dallas Texas,4.7,47,+1 214-361-7787,"5959 Royal Ln #629, Dallas, TX 75230, United States",spahabitat.com
Mokara Salon & Spa,https://www.google.com/maps/place/Mokara+Salon+%26+Spa/data=!4m7!3m6!1s0x864e9910ab9ce00d:0xe8c0c0479f74386b!8m2!3d32.7751958!4d-96.8041208!16s%2Fg%2F1hc1zh9rz!19sChIJDeCcqxCZToYRazh0n0fAwOg?authuser=0&hl=en&rclk=1,Spas in Dallas Texas,4.1,56,+1 214-652-4955,"555 S Lamar St, Dallas, TX 75202, United States",omnihotels.com
Koffee Day Spa,https://www.google.com/maps/place/Koffee+Day+Spa/data=!4m7!3m6!1s0x864e991ee0a103d5:0xe8d9ab4cb0351d0e!8m2!3d32.7720467!4d-96.7939818!16s%2Fg%2F1tjfbp2v!19sChIJ1QOh4B6ZToYRDh01sEyr2eg?authuser=0&hl=en&rclk=1,Spas in Dallas Texas,4.2,184,+1 214-428-9696,"1118 S Akard St, Dallas, TX 75201, United States",koffeedayspa.com
Spa Adolphus,https://www.google.com/maps/place/Spa+Adolphus/data=!4m7!3m6!1s0x864e9918f094566f:0xcb6d154dc176df0c!8m2!3d32.7798929!4d-96.7998399!16s%2Fg%2F11g8dhdjdv!19sChIJb1aU8BiZToYRDN92wU0Vbcs?authuser=0&hl=en&rclk=1,Spas in Dallas Texas,4.1,88,+1 214-651-3670,"1321 Commerce St, Dallas, TX 75202, United States",adolphus.com
Hiatus Day Spa • Med Spa,https://www.google.com/maps/place/Hiatus+Day+Spa+%E2%80%A2+Med+Spa/data=!4m7!3m6!1s0x864e9f838a23cb5b:0xe563ee998cc7856b!8m2!3d32.8815878!4d-96.768889!16s%2Fg%2F11k35p8799!19sChIJW8sjioOfToYRa4XHjJnuY-U?authuser=0&hl=en&rclk=1,Spas in Dallas Texas,4.2,69,+1 214-361-1200,"9820 N Central Expy #507, Dallas, TX 75231, United States",hiatusspa.com
Mara's Med Spa,https://www.google.com/maps/place/Mara%27s+Med+Spa/data=!4m7!3m6!1s0x864e992ffa023855:0x5fd1d5cf6e3c139e!8m2!3d32.7935315!4d-96.8022165!16s%2Fg%2F11b5pjlb0y!19sChIJVTgC-i-ZToYRnhM8bs_V0V8?authuser=0&hl=en&rclk=1,Spas in Dallas Texas,4.8,515,+1 469-730-3333,"2222 McKinney Ave Unit 120, Dallas, TX 75201, United States",marasmedspa.com
Therapeutic Spa,https://www.google.com/maps/place/Therapeutic+Spa/data=!4m7!3m6!1s0x864c20db6ca7ff2f:0xf7680139e842aab6!8m2!3d32.9286956!4d-96.8120574!16s%2Fg%2F1hhxgfj5t!19sChIJL_-nbNsgTIYRtqpC6DkBaPc?authuser=0&hl=en&rclk=1,Spas in Dallas Texas,4.7,106,+1 972-345-7217,"13237 Montfort Dr, Dallas, TX 75240, United States",therapeuticspa-tx.com
The Spa at the Joule,https://www.google.com/maps/place/The+Spa+at+the+Joule/data=!4m7!3m6!1s0x864e9985731142a7:0x20c9dbeb32f2f03f!8m2!3d32.780553!4d-96.7984972!16s%2Fg%2F11fktzfy5l!19sChIJp0IRc4WZToYRP_DyMuvbySA?authuser=0&hl=en&rclk=1,Spas in Dallas Texas,4.2,66,+1 214-261-4555,"1530 Main St, Dallas, TX 75201, United States",thejouledallas.com
Hand and Stone Massage and Facial Spa,https://www.google.com/maps/place/Hand+and+Stone+Massage+and+Facial+Spa/data=!4m7!3m6!1s0x864e9ed4769550ff:0xbbb786aae84f46ec!8m2!3d32.8091698!4d-96.7970476!16s%2Fg%2F11f_d86r3h!19sChIJ_1CVdtSeToYR7EZP6KqGt7s?authuser=0&hl=en&rclk=1,Spas in Dallas Texas,4.4,225,+1 214-414-7824,"3699 McKinney Ave #403, Dallas, TX 75204, United States",handandstonedallaswestvillage.com
Green Lotus Massage,https://www.google.com/maps/place/Green+Lotus+Massage/data=!4m7!3m6!1s0x864e9f269789874b:0xade53a820789041!8m2!3d32.8204815!4d-96.7875044!16s%2Fg%2F1hc95gp5m!19sChIJS4eJlyafToYRQZB4IKhT3go?authuser=0&hl=en&rclk=1,Spas in Dallas Texas,4.9,962,+1 469-941-4555,"4447 N Central Expy UNIT 115, Dallas, TX 75205, United States",greenlotusspa.com
The Spa at The Crescent,https://www.google.com/maps/place/The+Spa+at+The+Crescent/data=!4m7!3m6!1s0x864e993017a86a8b:0x78ed916f4c84f7d5!8m2!3d32.7943022!4d-96.804087!16s%2Fg%2F1tdg_q3b!19sChIJi2qoFzCZToYR1feETG-R7Xg?authuser=0&hl=en&rclk=1,Spas in Dallas Texas,3.9,76,+1 214-871-3232,"400 Crescent Ct, Dallas, TX 75201, United States",crescentcourt.com
King Spa & Sauna,https://www.google.com/maps/place/King+Spa+%26+Sauna/data=!4m7!3m6!1s0x864c27f6ba2c1273:0x8c2128a67653ab64!8m2!3d32.8935706!4d-96.9058523!16s%2Fg%2F11g9mypq40!19sChIJcxIsuvYnTIYRZKtTdqYoIYw?authuser=0&hl=en&rclk=1,Spas in Dallas Texas,4.0,3686,+1 214-420-9070,"2154 Royal Ln, Dallas, TX 75229, United States",kingspa.com
The Spa at The Highland,https://www.google.com/maps/place/The+Spa+at+The+Highland/data=!4m7!3m6!1s0x864e9f103f2820e1:0x9d416f90683a210!8m2!3d32.836157!4d-96.777942!16s%2Fg%2F11t5_8l1gv!19sChIJ4SAoPxCfToYREKKDBvkW1Ak?authuser=0&hl=en&rclk=1,Spas in Dallas Texas,4.2,24,+1 214-560-2800,"5300 E Mockingbird Ln, Dallas, TX 75206, United States",thespaatthehighland.com
Thompson Dallas Spa,https://www.google.com/maps/place/Thompson+Dallas+Spa/data=!4m7!3m6!1s0x864e99e9e8093561:0xe3deac77aad032b8!8m2!3d32.7816867!4d-96.8000401!16s%2Fg%2F11rhrf4s5b!19sChIJYTUJ6OmZToYRuDLQqnes3uM?authuser=0&hl=en&rclk=1,Spas in Dallas Texas,4.2,27,+1 469-726-4114,"205 N Akard St, Dallas, TX 75201, United States",hyatt.com
Hand and Stone Massage and Facial Spa,https://www.google.com/maps/place/Hand+and+Stone+Massage+and+Facial+Spa/data=!4m7!3m6!1s0x864e9f6f8b6ecfc5:0xc518cd9e1efe7597!8m2!3d32.8583984!4d-96.750122!16s%2Fg%2F11fpgyntym!19sChIJxc9ui2-fToYRl3X-Hp7NGMU?authuser=0&hl=en&rclk=1,Spas in Dallas Texas,4.4,124,+1 469-526-4602,"6411 E NW Hwy Ste 135, Dallas, TX 75231, United States",handandstonelakehighlands.com
Hand and Stone Massage and Facial Spa,https://www.google.com/maps/place/Hand+and+Stone+Massage+and+Facial+Spa/data=!4m7!3m6!1s0x864ea1f4f200125b:0x2952b8e9ba4f6a5e!8m2!3d32.8122443!4d-96.729881!16s%2Fg%2F11b7rtst8_!19sChIJWxIA8vShToYRXmpPuum4Uik?authuser=0&hl=en&rclk=1,Spas in Dallas Texas,4.6,313,+1 469-269-0095,"7331 Gaston Ave, Dallas, TX 75214, United States",handandstonearboretumvillage.com
Cooper Spa,https://www.google.com/maps/place/Cooper+Spa/data=!4m7!3m6!1s0x864c208d76bdbc87:0xf9600c856c640fe8!8m2!3d32.9141963!4d-96.8011984!16s%2Fg%2F1tqtb1zs!19sChIJh7y9do0gTIYR6A9kbIUMYPk?authuser=0&hl=en&rclk=1,Spas in Dallas Texas,4.2,47,+1 972-392-7729,"12100 Preston Rd Ste 101, Dallas, TX 75230, United States",cooperaerobics.com
Bella MedSpa,https://www.google.com/maps/place/Bella+MedSpa/data=!4m7!3m6!1s0x864e99638b437085:0xd35d6e86a8d10778!8m2!3d32.7418026!4d-96.8319669!16s%2Fg%2F11j8v610tg!19sChIJhXBDi2OZToYReAfRqIZuXdM?authuser=0&hl=en&rclk=1,Spas in Dallas Texas,4.8,452,+1 972-762-4636,"412 S Llewellyn Ave #150, Dallas, TX 75208, United States",bellamedspadfw.com
Spa House,https://www.google.com/maps/place/Spa+House/data=!4m7!3m6!1s0x864e996fb223810d:0xca169b44b5838621!8m2!3d32.7380505!4d-96.8251652!16s%2Fg%2F11v40tv2yd!19sChIJDYEjsm-ZToYRIYaDtUSbFso?authuser=0&hl=en&rclk=1,Spas in Dallas Texas,5.0,48,+1 469-350-5671,"210 W Pembroke Ave, Dallas, TX 75208, United States",spahouse-106765.square.site
