Name,URL,Query,Rating,Reviews,Phone,Address,Website
M Salon,https://www.google.com/maps/place/M+Salon/data=!4m7!3m6!1s0x8640c0a6ed26ed53:0xeb2c1beb3d0a27dd!8m2!3d29.7518994!4d-95.3974518!16s%2Fg%2F1tdjxd55!19sChIJU-0m7abAQIYR3ScKPesbLOs?authuser=0&hl=en&rclk=1,Spas in Houston Texas,4.5,106,+1 713-527-7800,"1721 Waugh Dr, Houston, TX 77006, United States",msalon.us
Heyday Skincare,https://www.google.com/maps/place/Heyday+Skincare/data=!4m7!3m6!1s0x8640c1227b941dc5:0xb0197918428f474f!8m2!3d29.7533429!4d-95.4091053!16s%2Fg%2F11sv7twdnq!19sChIJxR2UeyLBQIYRT0ePQhh5GbA?authuser=0&hl=en&rclk=1,Spas in Houston Texas,5.0,108,+1 346-483-1713,"2024 W Gray St, Houston, TX 77019, United States",heydayskincare.com
Sanctuary Spa,https://www.google.com/maps/place/Sanctuary+Spa/data=!4m7!3m6!1s0x8640c0be64e7445d:0xb9a6d548cc6db5b0!8m2!3d29.7505168!4d-95.4101104!16s%2Fg%2F1s04j5f0w!19sChIJXUTnZL7AQIYRsLVtzEjVprk?authuser=0&hl=en&rclk=1,Spas in Houston Texas,4.8,231,+1 713-622-7722,"1701 S Shepherd Dr suite c, Houston, TX 77019, United States",besanctuary.com
Houstonian Trellis Spa,https://www.google.com/maps/place/Houstonian+Trellis+Spa/data=!4m7!3m6!1s0x8640c14ac3e9f1df:0xfee0c8fad0e7ceac!8m2!3d29.7692412!4d-95.460908!16s%2Fg%2F1hhjfccqc!19sChIJ3_Hpw0rBQIYRrM7n0PrI4P4?authuser=0&hl=en&rclk=1,Spas in Houston Texas,4.3,468,+1 713-685-6790,"111 N Post Oak Ln, Houston, TX 77024, United States",trellisspa.com
My Spa Joy,https://www.google.com/maps/place/My+Spa+Joy/data=!4m7!3m6!1s0x8640c3cfe28c4f23:0xd1171f58acd6ae8b!8m2!3d29.789439!4d-95.3980899!16s%2Fg%2F11b6_qtj68!19sChIJI0-M4s_DQIYRi67WrFgfF9E?authuser=0&hl=en&rclk=1,Spas in Houston Texas,4.9,1431,+1 832-538-1218,"1007 Heights Blvd, Houston, TX 77008, United States",myspajoy.com
Woodhouse Spa - Vintage,https://www.google.com/maps/place/Woodhouse+Spa+-+Vintage/data=!4m7!3m6!1s0x8640d280d390848d:0xc112194b034db55e!8m2!3d29.9983352!4d-95.5670217!16s%2Fg%2F11cn2mfm2h!19sChIJjYSQ04DSQIYRXrVNA0sZEsE?authuser=0&hl=en&rclk=1,Spas in Houston Texas,4.4,325,+1 281-407-2802,"10420 Louetta Rd #112, Houston, TX 77070, United States",vintage.woodhousespas.com
milk + honey | River Oaks,https://www.google.com/maps/place/milk+%2B+honey+%7C+River+Oaks/data=!4m7!3m6!1s0x8640c0ec0dc166b7:0x3889b7f0d4642789!8m2!3d29.7415588!4d-95.4190932!16s%2Fg%2F11cjkwdfvq!19sChIJt2bBDezAQIYRiSdk1PC3iTg?authuser=0&hl=en&rclk=1,Spas in Houston Texas,4.2,656,+1 713-231-0250,"2800 Kirby Dr Suite A-134, Houston, TX 77098, United States",milkandhoneyspa.com
Hiatus Day Spa • Med Spa,https://www.google.com/maps/place/Hiatus+Day+Spa+%E2%80%A2+Med+Spa/data=!4m7!3m6!1s0x8640c3e1f16615f3:0xec6c99674c9c9d2a!8m2!3d29.7507264!4d-95.4790099!16s%2Fg%2F11g8wpz7l0!19sChIJ8xVm8eHDQIYRKp2cTGeZbOw?authuser=0&hl=en&rclk=1,Spas in Houston Texas,4.4,243,+1 713-470-0990,"5740 San Felipe St #110, Houston, TX 77057, United States",hiatusspa.com
Fiori Spa,https://www.google.com/maps/place/Fiori+Spa/data=!4m7!3m6!1s0x8640c3db52dee421:0xf636e358e46b3130!8m2!3d29.7385613!4d-95.4881928!16s%2Fg%2F1thq5p76!19sChIJIeTeUtvDQIYRMDFr5FjjNvY?authuser=0&hl=en&rclk=1,Spas in Houston Texas,3.8,248,+1 713-244-0070,"2613 Potomac Dr, Houston, TX 77057, United States",fiorispa.com
Mokara Spa,https://www.google.com/maps/place/Mokara+Spa/data=!4m7!3m6!1s0x8640c148fd8e50d3:0x791d246393f88aed!8m2!3d29.7608788!4d-95.4596455!16s%2Fg%2F1vc_qrb4!19sChIJ01CO_UjBQIYR7Yr4k2MkHXk?authuser=0&hl=en&rclk=1,Spas in Houston Texas,4.6,66,+1 713-624-4876,"4 Riverway Dr, Houston, TX 77056, United States",omnihotels.com
