Name,URL,Query,Rating,Reviews,Phone,Address,Website
Moroccan Hammam & Day SPA,https://www.google.com/maps/place/Moroccan+Hammam+%26+Day+SPA/data=!4m7!3m6!1s0x88e449ddd5427015:0xd2b73be25ae9d524!8m2!3d30.287083!4d-81.4027711!16s%2Fg%2F11f9_k7ddj!19sChIJFXBC1d1J5IgRJNXpWuI7t9I?authuser=0&hl=en&rclk=1,Spas in Jacksonville Florida,4.8,174,+1 904-372-4753,"1260 Beach Blvd, Jacksonville Beach, FL 32250, United States",moroccandayspa.com
The Day Spa,https://www.google.com/maps/place/The+Day+Spa/data=!4m7!3m6!1s0x88e44a2e8eb66a8b:0xa913b5c571567f57!8m2!3d30.2856376!4d-81.4370437!16s%2Fg%2F11g9qd6m7q!19sChIJi2q2ji5K5IgRV39WccW1E6k?authuser=0&hl=en&rclk=1,Spas in Jacksonville Florida,4.6,948,+1 904-423-1350,"14444 Beach Blvd suite 3-4, Jacksonville, FL 32250, United States",thedayspafl.com
Integration Spa,https://www.google.com/maps/place/Integration+Spa/data=!4m7!3m6!1s0x88e5af7de6536a3b:0x593a577b5e8e0083!8m2!3d30.4798021!4d-81.6369851!16s%2Fg%2F11mt9k5jy8!19sChIJO2pT5n2v5YgRgwCOXntXOlk?authuser=0&hl=en&rclk=1,Spas in Jacksonville Florida,4.7,180,+1 904-483-9438,"725 Nautica Dr Suite 104, Jacksonville, FL 32218, United States",integrationspa.com
Balanced Soul Wellness,https://www.google.com/maps/place/Balanced+Soul+Wellness/data=!4m7!3m6!1s0x88e5b750df8a8185:0x74846a823d2e6f94!8m2!3d30.310217!4d-81.6548678!16s%2Fg%2F11h3m67tkr!19sChIJhYGK31C35YgRlG8uPYJqhHQ?authuser=0&hl=en&rclk=1,Spas in Jacksonville Florida,4.9,388,+1 904-586-2024,"1510 Hendricks Ave, Jacksonville, FL 32207, United States",balancedsoulwellness.com
Wild Berry Tea Spa,https://www.google.com/maps/place/Wild+Berry+Tea+Spa/data=!4m7!3m6!1s0x88e5b5f6f35529d5:0x85352bf40922544!8m2!3d30.1854536!4d-81.5484475!16s%2Fg%2F11b635k88s!19sChIJ1SlV8_a15YgRRCWSQL9SUwg?authuser=0&hl=en&rclk=1,Spas in Jacksonville Florida,4.9,225,+1 904-257-3135,"10175 Fortune Pkwy UNIT 1004, Jacksonville, FL 32256, United States",wildberryteaspa.com
Seventh Wonder Holistic Spa,https://www.google.com/maps/place/Seventh+Wonder+Holistic+Spa/data=!4m7!3m6!1s0x88e5c7e4bedacf63:0xfa317b260c80a388!8m2!3d30.2882011!4d-81.7147526!16s%2Fg%2F1tdnxqpf!19sChIJY8_avuTH5YgRiKOADCZ7Mfo?authuser=0&hl=en&rclk=1,Spas in Jacksonville Florida,4.6,121,+1 904-381-8686,"4236 St Johns Ave, Jacksonville, FL 32210, United States",seventh-wonder.com
Massage Green SPA,https://www.google.com/maps/place/Massage+Green+SPA/data=!4m7!3m6!1s0x88e44a795c95ddcf:0xc3aa01e98debc93d!8m2!3d30.2548694!4d-81.4651406!16s%2Fg%2F1pv0_s33m!19sChIJz92VXHlK5IgRPcnrjekBqsM?authuser=0&hl=en&rclk=1,Spas in Jacksonville Florida,4.5,188,+1 904-503-9440,"4765 Hodges Blvd #12, Jacksonville, FL 32224, United States",massagegreenspa.com
ANNAZUR Organic SPA,https://www.google.com/maps/place/ANNAZUR+Organic+SPA/data=!4m7!3m6!1s0x88e5bfc543b4ecb3:0x9c8525760dbc9945!8m2!3d30.2539901!4d-81.5959014!16s%2Fg%2F11f7r41mx3!19sChIJs-y0Q8W_5YgRRZm8DXYlhZw?authuser=0&hl=en&rclk=1,Spas in Jacksonville Florida,4.9,720,+1 904-735-5777,"4130 Salisbury Rd #1220, Jacksonville, FL 32216, United States",annazur.com
The NOW Massage Jacksonville Town Center,https://www.google.com/maps/place/The+NOW+Massage+Jacksonville+Town+Center/data=!4m7!3m6!1s0x88e5cb8ab375bf99:0x4b56f35dc9436abe!8m2!3d30.2523999!4d-81.5312986!16s%2Fg%2F11twwgyr2c!19sChIJmb91s4rL5YgRvmpDyV3zVks?authuser=0&hl=en&rclk=1,Spas in Jacksonville Florida,4.8,189,+1 904-675-5012,"4870 Big Island Drive Suite 4870-10, Jacksonville, FL 32246, United States",thenowmassage.com
Be Still Float Studio,https://www.google.com/maps/place/Be+Still+Float+Studio/data=!4m7!3m6!1s0x88e5b783febb719b:0xad71f6591cf5515f!8m2!3d30.3131651!4d-81.6785102!16s%2Fg%2F11g0g_7b5g!19sChIJm3G7_oO35YgRX1H1HFn2ca0?authuser=0&hl=en&rclk=1,Spas in Jacksonville Florida,4.9,542,+1 904-619-9615,"1050 Riverside Ave, Jacksonville, FL 32204, United States",bestillfloat.com
Shine Massage & Spa,https://www.google.com/maps/place/Shine+Massage+%26+Spa/data=!4m7!3m6!1s0x88e449aee578e14f:0xf2546e7b2aad80a7!8m2!3d30.2827545!4d-81.3915174!16s%2Fg%2F11cs69s6vc!19sChIJT-F45a5J5IgRp4CtKntuVPI?authuser=0&hl=en&rclk=1,Spas in Jacksonville Florida,4.9,115,+1 904-753-9070,"353 6th Ave S, Jacksonville Beach, FL 32250, United States",shinemassageandspa.com
Infinity Spa,https://www.google.com/maps/place/Infinity+Spa/data=!4m7!3m6!1s0x88e5c96e4cc82a0f:0x399656cc56b120d9!8m2!3d30.2883885!4d-81.5853207!16s%2Fg%2F11hfjzlb_9!19sChIJDyrITG7J5YgR2SCxVsxWljk?authuser=0&hl=en&rclk=1,Spas in Jacksonville Florida,4.8,50,+1 904-438-5290,"7120-1 Hogan Rd #123, Jacksonville, FL 32216, United States",infinityspajax.com
The Wellness Hub,https://www.google.com/maps/place/The+Wellness+Hub/data=!4m7!3m6!1s0x88e5b9b214d45157:0xf273eca92554a287!8m2!3d30.2229449!4d-81.5693458!16s%2Fg%2F11hy_xpcm2!19sChIJV1HUFLK55YgRh6JUJansc_I?authuser=0&hl=en&rclk=1,Spas in Jacksonville Florida,4.9,520,+1 904-512-7551,"9086 Cypress Green Dr Suite A, Jacksonville, FL 32256, United States",jacksonvillewellnesshub.com
Skin Revive Massage & Spa,https://www.google.com/maps/place/Skin+Revive+Massage+%26+Spa/data=!4m7!3m6!1s0x88e5afb4284a081d:0xe38eaebe2ac4cfc4!8m2!3d30.4814489!4d-81.6263942!16s%2Fg%2F11sbv9l191!19sChIJHQhKKLSv5YgRxM_EKr6ujuM?authuser=0&hl=en&rclk=1,Spas in Jacksonville Florida,4.9,79,+1 904-955-2706,"13453 N Main St STE 304, Jacksonville, FL 32218, United States",vagaro.com
Hand and Stone Massage and Facial Spa,https://www.google.com/maps/place/Hand+and+Stone+Massage+and+Facial+Spa/data=!4m7!3m6!1s0x88e5c940ad59610b:0xc12be5a3ea1bffca!8m2!3d30.19616!4d-81.620608!16s%2Fg%2F1vpptbhc!19sChIJC2FZrUDJ5YgRyv8b6qPlK8E?authuser=0&hl=en&rclk=1,Spas in Jacksonville Florida,4.4,163,+1 904-701-0760,"9965 San Jose Blvd #4, Jacksonville, FL 32257, United States",handandstonejacksonvillefl.com
One Ocean Resort & Spa,https://www.google.com/maps/place/One+Ocean+Resort+%26+Spa/data=!4m10!3m9!1s0x88e4493007719a13:0x3260e3052b5e9249!5m2!4m1!1i2!8m2!3d30.3251186!4d-81.3951972!16s%2Fg%2F1wn34h10!19sChIJE5pxBzBJ5IgRSZJeKwXjYDI?authuser=0&hl=en&rclk=1,Spas in Jacksonville Florida,4.6,3410,+1 904-249-7402,"1 Ocean Blvd, Atlantic Beach, FL 32233, United States",oneoceanresort.com
Massage Envy,https://www.google.com/maps/place/Massage+Envy/data=!4m7!3m6!1s0x88e5c7dbb8a6831b:0x3eec0d37222f5a95!8m2!3d30.2889166!4d-81.7213204!16s%2Fg%2F1tl1jq93!19sChIJG4OmuNvH5YgRlVovIjcN7D4?authuser=0&hl=en&rclk=1,Spas in Jacksonville Florida,4.6,612,+1 904-224-5405,"4509 St Johns Ave Suite 1, Jacksonville, FL 32210, United States",locations.massageenvy.com
Hand and Stone,https://www.google.com/maps/place/Hand+and+Stone/data=!4m7!3m6!1s0x88e5b550c47b3b03:0x77295a08d413ae49!8m2!3d30.2601983!4d-81.5248095!16s%2Fg%2F11b6ggbgpj!19sChIJAzt7xFC15YgRSa4T1AhaKXc?authuser=0&hl=en&rclk=1,Spas in Jacksonville Florida,3.7,315,+1 904-758-8629,"4611 River City Dr Suite 107, Jacksonville, FL 32246, United States",handandstonestjohnstc.com
Spa 27,https://www.google.com/maps/place/Spa+27/data=!4m7!3m6!1s0x88e5b58658f46fcd:0x772ffec9a99ea0be!8m2!3d30.287425!4d-81.5515196!16s%2Fg%2F11t_r9c0wp!19sChIJzW_0WIa15YgRvqCeqcn-L3c?authuser=0&hl=en&rclk=1,Spas in Jacksonville Florida,5.0,2,+1 904-647-5077,"10095 Beach Blvd STE 300, Jacksonville, FL 32246, United States",-
Elase Medical Spa - Town Center (formerly AMARA),https://www.google.com/maps/place/Elase+Medical+Spa+-+Town+Center+%28formerly+AMARA%29/data=!4m7!3m6!1s0x88e5b56adb267447:0xf15503c24311abeb!8m2!3d30.2546541!4d-81.5293859!16s%2Fg%2F11rkfbb1kj!19sChIJR3Qm22q15YgR66sRQ8IDVfE?authuser=0&hl=en&rclk=1,Spas in Jacksonville Florida,4.8,122,+1 904-335-6217,"4853 Big Island Drive, Jacksonville, FL 32246, United States",elase.com
RE Spa,https://www.google.com/maps/place/RE+Spa/data=!4m7!3m6!1s0x88e5cdcef51236b3:0xa70b21bb8f3c57a7!8m2!3d30.1128333!4d-81.5896693!16s%2Fg%2F11b62yzyby!19sChIJszYS9c7N5YgRp1c8j7shC6c?authuser=0&hl=en&rclk=1,Spas in Jacksonville Florida,4.6,248,+1 904-549-7535,"2750 Race Track Rd #101, Fruit Cove, FL 32259, United States",respas.com
Golden Sun Massage Spa,https://www.google.com/maps/place/Golden+Sun+Massage+Spa/data=!4m7!3m6!1s0x88e5b62081801333:0xe2ed20e2af5cf7fb!8m2!3d30.2731422!4d-81.6090639!16s%2Fg%2F11c600vkzr!19sChIJMxOAgSC25YgR-_dcr-Ig7eI?authuser=0&hl=en&rclk=1,Spas in Jacksonville Florida,4.3,28,+1 904-586-2484,"4770 Barnes Rd S #3, Jacksonville, FL 32207, United States",-
Point Massage,https://www.google.com/maps/place/Point+Massage/data=!4m7!3m6!1s0x88e5cbfe631c362f:0x63a7aa6292d2e500!8m2!3d30.2355886!4d-81.5181028!16s%2Fg%2F11p15lwf_c!19sChIJLzYcY_7L5YgRAOXSkmKqp2M?authuser=0&hl=en&rclk=1,Spas in Jacksonville Florida,4.6,171,+1 904-523-5003,"7860 Gate Pkwy Ste 118, Jacksonville, FL 32256, United States",pointmassagespa.wixsite.com
