Name,URL,Query,Rating,Reviews,Phone,Address,Website
Trifecta Mind Body Soul,https://www.google.com/maps/place/Trifecta+Mind+Body+Soul/data=!4m7!3m6!1s0x872b394a2fb34ad7:0x67cb5aa011cf9280!8m2!3d33.4556199!4d-112.3957087!16s%2Fg%2F11rnpc1khl!19sChIJ10qzL0o5K4cRgJLPEaBay2c?authuser=0&hl=en&rclk=1,Spas in Phoenix Arizona,5.0,41,+1 720-530-3090,"15655 W Roosevelt St Ste 220, Goodyear, AZ 85338, United States",trifectahealthandwellness.com
"The Cat's Meow Esthetics & Eyelash Extensions, LLC","https://www.google.com/maps/place/The+Cat%27s+Meow+Esthetics+%26+Eyelash+Extensions,+LLC/data=!4m7!3m6!1s0x872b6906325d6f0b:0x3dc0ae4156b269b8!8m2!3d33.5636932!4d-112.2109478!16s%2Fg%2F1pp2x9snp!19sChIJC29dMgZpK4cRuGmyVkGuwD0?authuser=0&hl=en&rclk=1",Spas in Phoenix Arizona,5.0,6,+1 602-689-1161,"7017 W Lawrence Ln, Peoria, AZ 85345, United States",thecatsmeowesthetics.com
Revive Spa,https://www.google.com/maps/place/Revive+Spa/data=!4m7!3m6!1s0x872b70da38be985b:0x25051fc649f1f8d5!8m2!3d33.6828688!4d-111.9671886!16s%2Fg%2F1260182gg!19sChIJW5i-ONpwK4cR1fjxScYfBSU?authuser=0&hl=en&rclk=1,Spas in Phoenix Arizona,4.7,135,+1 480-293-3700,"5350 E Marriott Dr, Phoenix, AZ 85054, United States",jwrevivespa.com
Body Beautiful Day and Med Spa,https://www.google.com/maps/place/Body+Beautiful+Day+and+Med+Spa/data=!4m7!3m6!1s0x872b0d71675e30fb:0xf889b4a1f4ab120d!8m2!3d33.5018697!4d-112.0298991!16s%2Fg%2F1w0j01xk!19sChIJ-zBeZ3ENK4cRDRKr9KG0ifg?authuser=0&hl=en&rclk=1,Spas in Phoenix Arizona,4.6,159,+1 602-522-9222,"4449 N 24th St, Phoenix, AZ 85016, United States",bodybeautifulspa.net
Alvadora Spa,https://www.google.com/maps/place/Alvadora+Spa/data=!4m7!3m6!1s0x872b0c623c5a916b:0x7a21333d7fe67725!8m2!3d33.504182!4d-111.9677448!16s%2Fg%2F1td6gywj!19sChIJa5FaPGIMK4cRJXfmfz0zIXo?authuser=0&hl=en&rclk=1,Spas in Phoenix Arizona,4.5,129,+1 602-977-6400,"5200 E Camelback Rd, Phoenix, AZ 85018, United States",hyatt.com
CLOVR Life Spa - Uptown Plaza,https://www.google.com/maps/place/CLOVR+Life+Spa+-+Uptown+Plaza/data=!4m7!3m6!1s0x872b139acd491879:0xdafb96075ddf3091!8m2!3d33.5105669!4d-112.0725012!16s%2Fg%2F11fsm5bh8g!19sChIJeRhJzZoTK4cRkTDfXQeW-9o?authuser=0&hl=en&rclk=1,Spas in Phoenix Arizona,4.8,75,+1 602-675-0550,"100 E Camelback Rd Suite 144, Phoenix, AZ 85012, United States",clovrlifespa.com
The Lazy Bee Spa,https://www.google.com/maps/place/The+Lazy+Bee+Spa/data=!4m7!3m6!1s0x872b135bbc83fac5:0xd73951ff514b7d8b!8m2!3d33.491116!4d-112.0795435!16s%2Fg%2F11hs8mrwcq!19sChIJxfqDvFsTK4cRi31LUf9ROdc?authuser=0&hl=en&rclk=1,Spas in Phoenix Arizona,4.9,157,+1 602-635-1608,"401 W Clarendon Ave, Phoenix, AZ 85013, United States",lazybeespa.com
Tierra Luna Spa,https://www.google.com/maps/place/Tierra+Luna+Spa/data=!4m7!3m6!1s0x872b0de29c1ee1a7:0xcf062d5860e202b!8m2!3d33.5235425!4d-112.0205551!16s%2Fg%2F11q94yh72v!19sChIJp-EenOINK4cRKyAOhtVi8Aw?authuser=0&hl=en&rclk=1,Spas in Phoenix Arizona,4.1,44,+1 602-381-7656,"2400 E Missouri Ave, Phoenix, AZ 85016, United States",tierralunaspa.com
Tocaloma Spa & Salon,https://www.google.com/maps/place/Tocaloma+Spa+%26+Salon/data=!4m7!3m6!1s0x872b6dee882d7435:0x76db968a08d17580!8m2!3d33.5960113!4d-112.0644614!16s%2Fg%2F1tdywv5r!19sChIJNXQtiO5tK4cRgHXRCIqW23Y?authuser=0&hl=en&rclk=1,Spas in Phoenix Arizona,4.1,75,+1 602-375-4645,"11111 N 7th St, Phoenix, AZ 85020, United States",tocalomaspa.com
Suddenly Slimmer Med Spa,https://www.google.com/maps/place/Suddenly+Slimmer+Med+Spa/data=!4m7!3m6!1s0x872b0da8f1ad9449:0xc3aae1a82678c0d5!8m2!3d33.4948347!4d-112.0097843!16s%2Fg%2F1w0r0cjh!19sChIJSZSt8agNK4cR1cB4JqjhqsM?authuser=0&hl=en&rclk=1,Spas in Phoenix Arizona,4.8,1018,+1 602-952-8446,"3313 E Indian School Rd, Phoenix, AZ 85018, United States",suddenlyslimmer.com
Arizona Grand Resort & Spa,https://www.google.com/maps/place/Arizona+Grand+Resort+%26+Spa/data=!4m10!3m9!1s0x872b05f46a79b62f:0xb5b8b5472c2254d2!5m2!4m1!1i2!8m2!3d33.3738051!4d-111.9701886!16s%2Fg%2F1tdgkqm9!19sChIJL7Z5avQFK4cR0lQiLEe1uLU?authuser=0&hl=en&rclk=1,Spas in Phoenix Arizona,4.3,7873,+1 877-800-4888,"8000 South Arizona Grand E, Phoenix, AZ 85044, United States",arizonagrandresort.com
Tsunamii Head SPA Massage,https://www.google.com/maps/place/Tsunamii+Head+SPA+Massage/data=!4m7!3m6!1s0x872b39ab5ecbe657:0x4a6d80b3588994ba!8m2!3d33.4677453!4d-112.2648996!16s%2Fg%2F11h5p9mp1y!19sChIJV-bLXqs5K4cRupSJWLOAbUo?authuser=0&hl=en&rclk=1,Spas in Phoenix Arizona,4.7,110,+1 602-529-5759,"1850 N 95th Ave #186, Phoenix, AZ 85037, United States",tsunamii-massage.square.site
Hand and Stone Massage and Facial Spa,https://www.google.com/maps/place/Hand+and+Stone+Massage+and+Facial+Spa/data=!4m7!3m6!1s0x872b6d889d784961:0xc6f34285cc53305f!8m2!3d33.5389739!4d-112.0641603!16s%2Fg%2F11m_mwt6rh!19sChIJYUl4nYhtK4cRXzBTzIVC88Y?authuser=0&hl=en&rclk=1,Spas in Phoenix Arizona,4.8,263,+1 602-399-7035,"742 E Glendale Ave Suite 166, Phoenix, AZ 85020, United States",handandstonephoenix-camelback.com
Phoenix Skin Spa,https://www.google.com/maps/place/Phoenix+Skin+Spa/data=!4m7!3m6!1s0x872b12c0fc9da845:0x3cf2e81c6d57b8d5!8m2!3d33.5109265!4d-112.0740097!16s%2Fg%2F11cmygw2xw!19sChIJRaid_MASK4cR1bhXbRzo8jw?authuser=0&hl=en&rclk=1,Spas in Phoenix Arizona,4.9,1076,+1 602-604-9111,"5060 N Central Ave, Phoenix, AZ 85012, United States",phoenixskinspa.com
Tocasierra Spa & Fitness Center,https://www.google.com/maps/place/Tocasierra+Spa+%26+Fitness+Center/data=!4m7!3m6!1s0x872b72a77cfde0ef:0x20f0cb7087d34e55!8m2!3d33.5469318!4d-112.0441897!16s%2Fg%2F11r8gk90_!19sChIJ7-D9fKdyK4cRVU7Th3DL8CA?authuser=0&hl=en&rclk=1,Spas in Phoenix Arizona,4.2,32,+1 602-906-3820,"7677 N 16th St, Phoenix, AZ 85020, United States",tocasierraspaphx.com
Space Massage Studio - Arcadia,https://www.google.com/maps/place/Space+Massage+Studio+-+Arcadia/data=!4m7!3m6!1s0x872b0cfefd59686d:0x8bf8683f3f8c90a2!8m2!3d33.4973119!4d-112.0135204!16s%2Fg%2F1tlgydpf!19sChIJbWhZ_f4MK4cRopCMPz9o-Is?authuser=0&hl=en&rclk=1,Spas in Phoenix Arizona,4.7,213,+1 602-228-3559,"4202 N 32nd St STE K, Phoenix, AZ 85018, United States",spacephx.com
Massage Envy,https://www.google.com/maps/place/Massage+Envy/data=!4m7!3m6!1s0x872b12d8a829a789:0x5898e2df0edbabad!8m2!3d33.510362!4d-112.046094!16s%2Fg%2F1thlzxmv!19sChIJiacpqNgSK4cRravbDt_imFg?authuser=0&hl=en&rclk=1,Spas in Phoenix Arizona,4.6,916,+1 602-222-3689,"1660 E Camelback Rd #195, Phoenix, AZ 85016, United States",locations.massageenvy.com
D'GALA SPA LLC,https://www.google.com/maps/place/D%27GALA+SPA+LLC/data=!4m7!3m6!1s0x872b6c464f325ee3:0x2bc303eeda045684!8m2!3d33.5244197!4d-112.1054416!16s%2Fg%2F11b7ldy_t9!19sChIJ414yT0ZsK4cRhFYE2u4Dwys?authuser=0&hl=en&rclk=1,Spas in Phoenix Arizona,4.6,50,+1 602-714-3979,"2130 W Bethany Home Rd, Phoenix, AZ 85015, United States",dgalaspa.glossgenius.com
Aji Spa,https://www.google.com/maps/place/Aji+Spa/data=!4m7!3m6!1s0x872b03a2705bc4f5:0x9bcc5a0c9c678111!8m2!3d33.2692685!4d-111.9938423!16s%2Fg%2F1tvr_5h8!19sChIJ9cRbcKIDK4cREYFnnAxazJs?authuser=0&hl=en&rclk=1,Spas in Phoenix Arizona,4.7,411,+1 602-385-5759,"5594 W Wild Horse Pass Blvd, Chandler, AZ 85226, United States",ajispa.com
Phoenix Therapeutic Massage & Spa Treatments,https://www.google.com/maps/place/Phoenix+Therapeutic+Massage+%26+Spa+Treatments/data=!4m7!3m6!1s0x872b0da95e6b9abf:0x40ed88444c9d1f1e!8m2!3d33.4949916!4d-112.0062671!16s%2Fg%2F1hdznmt96!19sChIJv5prXqkNK4cRHh-dTESI7UA?authuser=0&hl=en&rclk=1,Spas in Phoenix Arizona,4.8,49,+1 602-956-2610,"3501 E Indian School Rd, Phoenix, AZ 85018, United States",phoenixtherapeutic.com
It's A Secret Med Spa - Phoenix,https://www.google.com/maps/place/It%27s+A+Secret+Med+Spa+-+Phoenix/data=!4m7!3m6!1s0x872b0dacb2fbe405:0xea362972038da82d!8m2!3d33.5049406!4d-112.0298918!16s%2Fg%2F11kjy11hyc!19sChIJBeT7sqwNK4cRLaiNA3IpNuo?authuser=0&hl=en&rclk=1,Spas in Phoenix Arizona,4.8,66,+1 480-923-3668,"4637 N 24th St, Phoenix, AZ 85016, United States",secretmedspa.com
Hand and Stone Massage and Facial Spa,https://www.google.com/maps/place/Hand+and+Stone+Massage+and+Facial+Spa/data=!4m7!3m6!1s0x872b73a30e7b685f:0x140b9c85e6ad63e1!8m2!3d33.596148!4d-111.9798924!16s%2Fg%2F1v3khzv8!19sChIJX2h7DqNzK4cR4WOt5oWcCxQ?authuser=0&hl=en&rclk=1,Spas in Phoenix Arizona,4.4,412,+1 602-842-0604,"4727 E Cactus Rd #115, Phoenix, AZ 85032, United States",handandstonephoenix.com
Spa Avania,https://www.google.com/maps/place/Spa+Avania/data=!4m7!3m6!1s0x872b74cfd1024c6b:0x3f04dde404f8069b!8m2!3d33.5660098!4d-111.9187289!16s%2Fg%2F1tqpzqhv!19sChIJa0wC0c90K4cRmwb4BOTdBD8?authuser=0&hl=en&rclk=1,Spas in Phoenix Arizona,4.8,681,+1 480-483-5558,"7500 E Doubletree Ranch Rd, Scottsdale, AZ 85258, United States",hyatt.com
Cactus Flower Day Spa,https://www.google.com/maps/place/Cactus+Flower+Day+Spa/data=!4m7!3m6!1s0x872b1353fcfc39bb:0xb524f3f91e74ca8c!8m2!3d33.4937174!4d-112.0910682!16s%2Fg%2F11t2t7ljp5!19sChIJuzn8_FMTK4cRjMp0HvnzJLU?authuser=0&hl=en&rclk=1,Spas in Phoenix Arizona,5.0,34,+1 480-292-4729,"4015 N 15th Ave, Phoenix, AZ 85015, United States",linktr.ee
Look Lab Med Spa,https://www.google.com/maps/place/Look+Lab+Med+Spa/data=!4m7!3m6!1s0x872b0d4e0cfb6fed:0xc695a2577247583d!8m2!3d33.4948445!4d-112.004579!16s%2Fg%2F11s7cn79sw!19sChIJ7W_7DE4NK4cRPVhHcleilcY?authuser=0&hl=en&rclk=1,Spas in Phoenix Arizona,5.0,621,+1 602-854-5665,"3545 E Indian School Rd Suite C, Phoenix, AZ 85018, United States",looklab.com
"Sanctuary Camelback Mountain, A Gurney's Resort & Spa","https://www.google.com/maps/place/Sanctuary+Camelback+Mountain,+A+Gurney%27s+Resort+%26+Spa/data=!4m10!3m9!1s0x872b0c9b9149176b:0xa6e791736d4d43c0!5m2!4m1!1i2!8m2!3d33.5224782!4d-111.9595147!16s%2Fm%2F010r62_5!19sChIJaxdJkZsMK4cRwENNbXOR56Y?authuser=0&hl=en&rclk=1",Spas in Phoenix Arizona,4.7,2125,+1 855-421-3522,"5700 E McDonald Dr, Paradise Valley, AZ 85253, United States",gurneysresorts.com
Brownstone Spa,https://www.google.com/maps/place/Brownstone+Spa/data=!4m7!3m6!1s0x872b0ddbece9b9c9:0xac5d72abcfe20dfd!8m2!3d33.4769785!4d-112.0692132!16s%2Fg%2F11h221y_7d!19sChIJybnp7NsNK4cR_Q3iz6tyXaw?authuser=0&hl=en&rclk=1,Spas in Phoenix Arizona,5.0,32,+1 602-935-9020,"2601 N 3rd St Suite 305, Phoenix, AZ 85004, United States",brownstone-spa.com
Gigi's Mind Body & Soul Spa,https://www.google.com/maps/place/Gigi%27s+Mind+Body+%26+Soul+Spa/data=!4m7!3m6!1s0x872b12a4eb182b11:0x663786d03834f8ad!8m2!3d33.5178001!4d-112.0577265!16s%2Fg%2F113fz7jk6!19sChIJESsY66QSK4cRrfg0ONCGN2Y?authuser=0&hl=en&rclk=1,Spas in Phoenix Arizona,4.5,26,+1 602-441-2279,"1130 E Missouri Ave #720, Phoenix, AZ 85014, United States",spaindex.com
The Phoenician Spa,https://www.google.com/maps/place/The+Phoenician+Spa/data=!4m7!3m6!1s0x872b0b876fef6b31:0x3a56c2b25c233118!8m2!3d33.5055922!4d-111.948914!16s%2Fg%2F1tffptcm!19sChIJMWvvb4cLK4cRGDEjXLLCVjo?authuser=0&hl=en&rclk=1,Spas in Phoenix Arizona,4.6,151,+1 480-423-2452,"6000 E Camelback Rd, Scottsdale, AZ 85251, United States",thephoenician.com
Michelle's Massage & Spa,https://www.google.com/maps/place/Michelle%27s+Massage+%26+Spa/data=!4m7!3m6!1s0x872b72f8fa3bb33d:0xef5d120347705a32!8m2!3d33.5817549!4d-112.0084514!16s%2Fg%2F11b6t1sqcr!19sChIJPbM7-vhyK4cRMlpwRwMSXe8?authuser=0&hl=en&rclk=1,Spas in Phoenix Arizona,4.8,47,+1 602-466-2928,"3375 E Shea Blvd #2, Phoenix, AZ 85028, United States",michellesforever.com
Royal Palms Resort and Spa -The Unbound Collection by Hyatt,https://www.google.com/maps/place/Royal+Palms+Resort+and+Spa+-The+Unbound+Collection+by+Hyatt/data=!4m10!3m9!1s0x872b0c623c5a916b:0xd761040e71fd5a19!5m2!4m1!1i2!8m2!3d33.5047873!4d-111.9688567!16s%2Fg%2F11xr_8pts!19sChIJa5FaPGIMK4cRGVr9cQ4EYdc?authuser=0&hl=en&rclk=1,Spas in Phoenix Arizona,4.7,1302,+1 602-283-1234,"5200 E Camelback Rd, Phoenix, AZ 85018, United States",hyatt.com
