Name,URL,Query,Rating,Reviews,Phone,Address,Website
Spa Kingston,https://www.google.com/maps/place/Spa+Kingston/data=!4m7!3m6!1s0x80d954da768e57bf:0xc5312dd5f0ed414!8m2!3d32.7286927!4d-117.1604945!16s%2Fg%2F1tptqx6q!19sChIJv1eOdtpU2YARFNQOX90SUww?authuser=0&hl=en&rclk=1,Spas in San Diego California,4.7,187,+1 858-888-0655,"2230 Fifth Ave, San Diego, CA 92101, United States",spakingston.com
Whispering Day Spa,https://www.google.com/maps/place/Whispering+Day+Spa/data=!4m7!3m6!1s0x80d954a5bbccc621:0xbd3284a07b42c55b!8m2!3d32.7419925!4d-117.160182!16s%2Fg%2F12qh9h7vr!19sChIJIcbMu6VU2YARW8VCe6CEMr0?authuser=0&hl=en&rclk=1,Spas in San Diego California,4.8,173,+1 619-770-1820,"3525 Fifth Ave, San Diego, CA 92103, United States",whisperingdayspa.com
Spa Pendry San Diego,https://www.google.com/maps/place/Spa+Pendry+San+Diego/data=!4m7!3m6!1s0x80d9535a26c988e7:0x6d6500b44fb3f41b!8m2!3d32.7095615!4d-117.1599065!16s%2Fg%2F11hbqbxqb6!19sChIJ54jJJlpT2YARG_SzT7QAZW0?authuser=0&hl=en&rclk=1,Spas in San Diego California,4.4,29,+1 619-738-7065,"550 J St, San Diego, CA 92101, United States",pendry.com
Eco Chateau,https://www.google.com/maps/place/Eco+Chateau/data=!4m7!3m6!1s0x80d95504374d882b:0xc383dd99076c8eb8!8m2!3d32.7695763!4d-117.1330473!16s%2Fg%2F1hf17njwj!19sChIJK4hNNwRV2YARuI5sB5ndg8M?authuser=0&hl=en&rclk=1,Spas in San Diego California,4.8,186,+1 619-795-6955,"2831 Camino del Rio S #209, San Diego, CA 92108, United States",spaecochateau.com
SpaTerre San Diego,https://www.google.com/maps/place/SpaTerre+San+Diego/data=!4m7!3m6!1s0x80deabc7f41635d5:0xece8eb5ddfeecb03!8m2!3d32.709513!4d-117.2320611!16s%2Fg%2F11j3vq4sjx!19sChIJ1TUW9Mer3oARA8vu313r6Ow?authuser=0&hl=en&rclk=1,Spas in San Diego California,4.8,8,+1 619-819-8154,"1551 Shelter Island Dr suite a, San Diego, CA 92106, United States",resortkonakai.com
Karma Relaxation Spa,https://www.google.com/maps/place/Karma+Relaxation+Spa/data=!4m7!3m6!1s0x80d954d0c2fe42c1:0x9a7a449298c45d80!8m2!3d32.749544!4d-117.1635742!16s%2Fg%2F1tfzs633!19sChIJwUL-wtBU2YARgF3EmJJEepo?authuser=0&hl=en&rclk=1,Spas in San Diego California,4.6,569,+1 619-299-9888,"3969 First Ave., San Diego, CA 92103, United States",karmamassagespa.com
Therapie Day Spa,https://www.google.com/maps/place/Therapie+Day+Spa/data=!4m7!3m6!1s0x80deaa38d1dcda55:0xce2cc8935e6d8488!8m2!3d32.7517238!4d-117.2464539!16s%2Fg%2F1tffk2cv!19sChIJVdrc0Tiq3oARiIRtXpPILM4?authuser=0&hl=en&rclk=1,Spas in San Diego California,4.7,94,+1 619-780-8700,"4985 Voltaire St, San Diego, CA 92107, United States",therapiedayspa.com
Girl on the Go Wellness Spa,https://www.google.com/maps/place/Girl+on+the+Go+Wellness+Spa/data=!4m7!3m6!1s0x80d953637d6fe0bd:0x2b17ea7167f17b55!8m2!3d32.7143602!4d-117.1405831!16s%2Fg%2F12ml2mp1p!19sChIJveBvfWNT2YARVXvxZ3HqFys?authuser=0&hl=en&rclk=1,Spas in San Diego California,4.9,148,+1 619-269-3693,"830 25th St #103, San Diego, CA 92102, United States",girlonthego.net
Aqua Day Spa,https://www.google.com/maps/place/Aqua+Day+Spa/data=!4m7!3m6!1s0x80dbff941bbe90d7:0x513d1b27ac3f2e8d!8m2!3d32.8249989!4d-117.1542784!16s%2Fg%2F1tdbl8rd!19sChIJ15C-G5T_24ARjS4_rCcbPVE?authuser=0&hl=en&rclk=1,Spas in San Diego California,4.3,349,+1 858-279-8889,"4637 Convoy St, San Diego, CA 92111, United States",aquadayspaconvoy.com
eforea Spa San Diego Bayfront,https://www.google.com/maps/place/eforea+Spa+San+Diego+Bayfront/data=!4m7!3m6!1s0x80d95345315f460b:0xc1a5205b3f4d0ff3!8m2!3d32.7037608!4d-117.1584593!16s%2Fg%2F1tdxw9lq!19sChIJC0ZfMUVT2YAR8w9NP1sgpcE?authuser=0&hl=en&rclk=1,Spas in San Diego California,4.5,78,+1 619-321-4290,"1 Park Blvd, San Diego, CA 92101, United States",hilton.com
Yu Spa,https://www.google.com/maps/place/Yu+Spa/data=!4m7!3m6!1s0x80dbffe9769f9a99:0x430c7cc2d2db7f3f!8m2!3d32.8152152!4d-117.1533221!16s%2Fg%2F11fzfcz9h2!19sChIJmZqfdun_24ARP3_b0sJ8DEM?authuser=0&hl=en&rclk=1,Spas in San Diego California,4.3,403,+1 858-987-0476,"3927 Convoy St, San Diego, CA 92111, United States",yuspasd.com
The Hidden Spa Inc.,https://www.google.com/maps/place/The+Hidden+Spa+Inc./data=!4m7!3m6!1s0x80deaa39f686f483:0x7cb8ee6a449ff97e!8m2!3d32.7471761!4d-117.2499143!16s%2Fg%2F1tdqnz7w!19sChIJg_SG9jmq3oARfvmfRGruuHw?authuser=0&hl=en&rclk=1,Spas in San Diego California,4.6,174,+1 619-224-2160,"4969 Santa Monica Ave, San Diego, CA 92107, United States",obhiddenspa.com
