Name,URL,Query,Rating,Reviews,Phone,Address,Website
Fairmont San Francisco,https://www.google.com/maps/place/Fairmont+San+Francisco/data=!4m10!3m9!1s0x8085808d10b86437:0xcf0541d7a109ef4!5m2!4m1!1i2!8m2!3d37.7923897!4d-122.4104443!16s%2Fm%2F02r9zvl!19sChIJN2S4EI2AhYAR9J4Qeh1U8Aw?authuser=0&hl=en&rclk=1,Spas in San Francisco California,4.5,6555,+1 415-772-5000,"950 Mason St, San Francisco, CA 94108, United States",fairmont.com
Pearl Spa and Sauna,https://www.google.com/maps/place/Pearl+Spa+and+Sauna/data=!4m7!3m6!1s0x808580bf2844a611:0x84202db124e98971!8m2!3d37.7858248!4d-122.4290908!16s%2Fg%2F11csr1gpjm!19sChIJEaZEKL-AhYARcYnpJLEtIIQ?authuser=0&hl=en&rclk=1,Spas in San Francisco California,4.8,480,+1 415-580-7142,"1656 Post St, San Francisco, CA 94115, United States",pearlspasf.com
Kabuki Springs & Spa,https://www.google.com/maps/place/Kabuki+Springs+%26+Spa/data=!4m7!3m6!1s0x808580b90470551b:0xe906e0566decb32f!8m2!3d37.7847765!4d-122.4326245!16s%2Fg%2F1ttpbjmy!19sChIJG1VwBLmAhYARL7PsbVbgBuk?authuser=0&hl=en&rclk=1,Spas in San Francisco California,4.7,733,+1 415-922-6000,"1750 Geary Blvd, San Francisco, CA 94115, United States",kabukisprings.com
SenSpa,https://www.google.com/maps/place/SenSpa/data=!4m7!3m6!1s0x8085872a82b8ba85:0x937fcd7e5c8bdc98!8m2!3d37.8020352!4d-122.4502973!16s%2Fg%2F1tcwg65g!19sChIJhbq4giqHhYARmNyLXH7Nf5M?authuser=0&hl=en&rclk=1,Spas in San Francisco California,4.7,140,+1 415-441-1777,"1161 Gorgas Ave, San Francisco, CA 94129, United States",senspa.com
Archimedes Banya,https://www.google.com/maps/place/Archimedes+Banya/data=!4m7!3m6!1s0x808f7f69f39bc0b7:0x87813c37cf522568!8m2!3d37.7305426!4d-122.37276!16s%2Fg%2F1wtbv3b6!19sChIJt8Cb82l_j4ARaCVSzzc8gYc?authuser=0&hl=en&rclk=1,Spas in San Francisco California,4.2,388,+1 415-206-9000,"748 Innes Ave, San Francisco, CA 94124, United States",banyasf.com
Serenity Wellness Spa,https://www.google.com/maps/place/Serenity+Wellness+Spa/data=!4m7!3m6!1s0x808580dac41077d5:0x946b6ac0746672dc!8m2!3d37.7971515!4d-122.4337054!16s%2Fg%2F1tdfcb64!19sChIJ1XcQxNqAhYAR3HJmdMBqa5Q?authuser=0&hl=en&rclk=1,Spas in San Francisco California,5.0,149,+1 415-441-1061,"2087 Union St #2, San Francisco, CA 94123, United States",serenitysf.com
QUA SPA at SOMA GRAND,https://www.google.com/maps/place/QUA+SPA+at+SOMA+GRAND/data=!4m7!3m6!1s0x808580834f212b91:0x585a3f1c6d552e1e!8m2!3d37.7783214!4d-122.4123578!16s%2Fg%2F126158qdd!19sChIJkSshT4OAhYARHi5VbRw_Wlg?authuser=0&hl=en&rclk=1,Spas in San Francisco California,4.6,107,+1 415-598-8686,"1162 Mission St, San Francisco, CA 94103, United States",quaspasf.com
Wela Thai Massage and Spa,https://www.google.com/maps/place/Wela+Thai+Massage+and+Spa/data=!4m7!3m6!1s0x808f7f8d6ae661eb:0x21042aa03ee23805!8m2!3d37.7633353!4d-122.4339375!16s%2Fg%2F11s4wy4cwy!19sChIJ62Hmao1_j4ARBTjiPqAqBCE?authuser=0&hl=en&rclk=1,Spas in San Francisco California,5.0,1603,+1 415-874-9895,"2343 Market St, San Francisco, CA 94114, United States",welathaimassageandspa.com
Cocoon Day Spa Soma,https://www.google.com/maps/place/Cocoon+Day+Spa+Soma/data=!4m7!3m6!1s0x8085807ba10463cd:0xc5c2ed05f846b373!8m2!3d37.7868229!4d-122.3942058!16s%2Fg%2F1tqnlw26!19sChIJzWMEoXuAhYARc7NG-AXtwsU?authuser=0&hl=en&rclk=1,Spas in San Francisco California,4.6,187,+1 415-894-0782,"330 1st St Second Floor, San Francisco, CA 94105, United States",cocoondayspa.com
M Spa,https://www.google.com/maps/place/M+Spa/data=!4m7!3m6!1s0x808f7e1c3183219f:0xb32c3f16c4a570de!8m2!3d37.7658962!4d-122.4306237!16s%2Fg%2F1tm8ktsn!19sChIJnyGDMRx-j4AR3nClxBY_LLM?authuser=0&hl=en&rclk=1,Spas in San Francisco California,4.9,78,+1 415-556-9100,"2187 Market St, San Francisco, CA 94114, United States",mspasf.com
