Name,URL,Query,Rating,Reviews,Phone,Address,Website
Serene Spring (by appointment only),https://www.google.com/maps/place/Serene+Spring+%28by+appointment+only%29/data=!4m7!3m6!1s0x808fb0c62411fd57:0x57fe62ef6569a4c2!8m2!3d37.4151757!4d-122.0946796!16s%2Fg%2F11c1tt_3p4!19sChIJV_0RJMawj4ARwqRpZe9i_lc?authuser=0&hl=en&rclk=1,Spas in San Jose California,3.8,13,+1 650-861-3148,"2218 Old Middlefield Way STE I, Mountain View, CA 94043, United States",serenespring.com
The Spa and Sauna Co. - San Jose - Home of Hot Spring Spas,https://www.google.com/maps/place/The+Spa+and+Sauna+Co.+-+San+Jose+-+Home+of+Hot+Spring+Spas/data=!4m7!3m6!1s0x808fb5046d2bae2d:0x647785f601bb45a6!8m2!3d37.2744462!4d-121.9344979!16s%2Fg%2F1vr1wwch!19sChIJLa4rbQS1j4ARpkW7AfaFd2Q?authuser=0&hl=en&rclk=1,Spas in San Jose California,4.7,68,+1 408-996-9693,"2627 S Bascom Ave, Campbell, CA 95008, United States",spaandsauna.com
All Natural Day Spa,https://www.google.com/maps/place/All+Natural+Day+Spa/data=!4m7!3m6!1s0x808e34a9f68126b5:0xb26b10f10800f9ae!8m2!3d37.3111625!4d-121.9028052!16s%2Fg%2F1hd_8g2x6!19sChIJtSaB9qk0joARrvkACPEQa7I?authuser=0&hl=en&rclk=1,Spas in San Jose California,4.5,73,+1 408-286-8612,"1042 Lincoln Ave, San Jose, CA 95125, United States",allnaturaldayspa.net
The Garden Spa,https://www.google.com/maps/place/The+Garden+Spa/data=!4m7!3m6!1s0x808e3337debebb47:0xefbff3080f903dac!8m2!3d37.2547831!4d-121.8640844!16s%2Fg%2F11j13hjndd!19sChIJR7u-3jczjoARrD2QDwjzv-8?authuser=0&hl=en&rclk=1,Spas in San Jose California,4.6,157,+1 408-859-5785,"5406 Thornwood Dr #130, San Jose, CA 95123, United States",thegardenspasj.com
Wellness Spa,https://www.google.com/maps/place/Wellness+Spa/data=!4m7!3m6!1s0x808e33376b8972dd:0xad57cbabfd5e0d26!8m2!3d37.3110955!4d-121.8964551!16s%2Fg%2F11tx0ksj01!19sChIJ3XKJazczjoARJg1e_avLV60?authuser=0&hl=en&rclk=1,Spas in San Jose California,4.8,61,+1 669-212-0038,"1095 Bird Ave. #1, San Jose, CA 95125, United States",wellnessspasuite1.com
"TrioSpa - Massage, Facials & Waxing / Trio Wellness Mgmt, LLC","https://www.google.com/maps/place/TrioSpa+-+Massage,+Facials+%26+Waxing+%2F+Trio+Wellness+Mgmt,+LLC/data=!4m7!3m6!1s0x808fcbafe500503d:0xb5a650864f2590ff!8m2!3d37.3349!4d-121.916671!16s%2Fg%2F1tdjx7ny!19sChIJPVAA5a_Lj4AR_5AlT4ZQprU?authuser=0&hl=en&rclk=1",Spas in San Jose California,4.8,55,+1 408-985-1544,"1585 The Alameda, San Jose, CA 95126, United States",triowellness.net
Burke Williams,https://www.google.com/maps/place/Burke+Williams/data=!4m7!3m6!1s0x808fcadfeee8d093:0x6da55cc1e55a2752!8m2!3d37.3208922!4d-121.948334!16s%2Fg%2F1td25pjc!19sChIJk9Do7t_Kj4ARUida5cFcpW0?authuser=0&hl=en&rclk=1,Spas in San Jose California,4.4,382,+1 408-241-0071,"355 Santana Row Suite 2010, San Jose, CA 95128, United States",burkewilliams.com
Jen Head Spa,https://www.google.com/maps/place/Jen+Head+Spa/data=!4m7!3m6!1s0x808e337635684d2d:0x4f2fb2bd41e00d58!8m2!3d37.3202509!4d-121.8258338!16s%2Fg%2F11vpr_tvpn!19sChIJLU1oNXYzjoARWA3gQb2yL08?authuser=0&hl=en&rclk=1,Spas in San Jose California,4.8,58,+1 408-666-2206,"1661 Burdette Dr E, San Jose, CA 95121, United States",jenheadspa.com
Serenity Day Spa,https://www.google.com/maps/place/Serenity+Day+Spa/data=!4m7!3m6!1s0x808e33c25025d157:0xc864569cd2c94b4c!8m2!3d37.2598158!4d-121.8768227!16s%2Fg%2F1tvq4bz4!19sChIJV9ElUMIzjoARTEvJ0pxWZMg?authuser=0&hl=en&rclk=1,Spas in San Jose California,4.3,24,+1 408-448-7546,"1123 Luchessi Dr, San Jose, CA 95118, United States",serenityds.com
Massage Envy,https://www.google.com/maps/place/Massage+Envy/data=!4m7!3m6!1s0x808e33d7d8daceeb:0x774c0fa11058996a!8m2!3d37.249583!4d-121.866012!16s%2Fg%2F1pv0v8k_v!19sChIJ687a2NczjoARaplYEKEPTHc?authuser=0&hl=en&rclk=1,Spas in San Jose California,4.5,386,+1 408-227-3689,"954 Blossom Hill Rd, San Jose, CA 95123, United States",locations.massageenvy.com
O'Paradise Spa,https://www.google.com/maps/place/O%27Paradise+Spa/data=!4m7!3m6!1s0x808e32e71e97559d:0x671b7ef99f974272!8m2!3d37.3106242!4d-121.8484656!16s%2Fg%2F11clwlstl2!19sChIJnVWXHucyjoARckKXn_l-G2c?authuser=0&hl=en&rclk=1,Spas in San Jose California,4.2,145,+1 408-288-5175,"2268 Senter Rd STE 216, San Jose, CA 95112, United States",oparadisebooking.com
La Choza Day Spa,https://www.google.com/maps/place/La+Choza+Day+Spa/data=!4m7!3m6!1s0x808e33848ae62cff:0x746167b7e28de4e2!8m2!3d37.2750483!4d-121.8931419!16s%2Fg%2F1tf31mk1!19sChIJ_yzmioQzjoAR4uSN4rdnYXQ?authuser=0&hl=en&rclk=1,Spas in San Jose California,4.4,40,+1 408-448-0573,"1451 Foxworthy Ave, San Jose, CA 95118, United States",lachozadayspa.com
Sunshine Spa,https://www.google.com/maps/place/Sunshine+Spa/data=!4m7!3m6!1s0x808e345a51324ccb:0x14d522dfa779fa3!8m2!3d37.2614976!4d-121.9335648!16s%2Fg%2F1tkrm0l_!19sChIJy0wyUVo0joARo593-i1STQE?authuser=0&hl=en&rclk=1,Spas in San Jose California,4.8,37,+1 408-796-7538,"2042 Camden Ave, San Jose, CA 95124, United States",sunshinespausa.com
Silver Sea Day Spa,https://www.google.com/maps/place/Silver+Sea+Day+Spa/data=!4m7!3m6!1s0x808e34b37046dc81:0x189bfb21978a531f!8m2!3d37.3104164!4d-121.9174263!16s%2Fg%2F11c25r6pn6!19sChIJgdxGcLM0joARH1OKlyH7mxg?authuser=0&hl=en&rclk=1,Spas in San Jose California,4.3,55,+1 408-258-8898,"1520 Southwest Expy #30, San Jose, CA 95126, United States",silverseadayspa.com
Massage Envy,https://www.google.com/maps/place/Massage+Envy/data=!4m7!3m6!1s0x808fcaaaa42e8c71:0xec1f681b9d380178!8m2!3d37.2907602!4d-121.9917897!16s%2Fg%2F1pt_9fs85!19sChIJcYwupKrKj4AReAE4nRtoH-w?authuser=0&hl=en&rclk=1,Spas in San Jose California,4.7,287,+1 408-379-9988,"1316 El Paseo de Saratoga, San Jose, CA 95130, United States",locations.massageenvy.com
Oceanic Foot Spa San Jose,https://www.google.com/maps/place/Oceanic+Foot+Spa+San+Jose/data=!4m7!3m6!1s0x808e33dde0cbb3a1:0x56f477c22b838524!8m2!3d37.2675348!4d-121.9321339!16s%2Fg%2F1q5h1cjgt!19sChIJobPL4N0zjoARJIWDK8J39FY?authuser=0&hl=en&rclk=1,Spas in San Jose California,4.6,318,+1 408-909-2000,"2989 Union Ave, San Jose, CA 95124, United States",sj.oceanicspa.us
Massage Envy,https://www.google.com/maps/place/Massage+Envy/data=!4m7!3m6!1s0x808e331bae88b3d1:0x792d18e0ce4cddde!8m2!3d37.3025301!4d-121.865725!16s%2Fg%2F1tfdz27g!19sChIJ0bOIrhszjoAR3t1MzuAYLXk?authuser=0&hl=en&rclk=1,Spas in San Jose California,4.5,175,+1 408-755-1200,"111 Curtner Ave, San Jose, CA 95125, United States",locations.massageenvy.com
Renu21 Organic Facial & Nails Spa,https://www.google.com/maps/place/Renu21+Organic+Facial+%26+Nails+Spa/data=!4m7!3m6!1s0x808e33ddbf21555f:0xd3afe06246aa5a88!8m2!3d37.252352!4d-121.8770273!16s%2Fg%2F11d_bh4s2j!19sChIJX1Uhv90zjoARiFqqRmLgr9M?authuser=0&hl=en&rclk=1,Spas in San Jose California,4.6,87,+1 669-333-6523,"5353 Almaden Expy Suite D6, San Jose, CA 95118, United States",renu21usa.com
Strada Salon & Day Spa,https://www.google.com/maps/place/Strada+Salon+%26+Day+Spa/data=!4m7!3m6!1s0x808e337117139dc5:0xc024f0fb3583f63a!8m2!3d37.2927284!4d-121.8900299!16s%2Fg%2F1tdqzysc!19sChIJxZ0TF3EzjoAROvaDNfvwJMA?authuser=0&hl=en&rclk=1,Spas in San Jose California,4.4,65,+1 408-267-1178,"2075 Lincoln Ave unit c, San Jose, CA 95125, United States",stradadayspa.com
Dragon Day Spa,https://www.google.com/maps/place/Dragon+Day+Spa/data=!4m7!3m6!1s0x808e346f158f65d7:0x30b319ae148e195c!8m2!3d37.2627345!4d-121.9177587!16s%2Fg%2F11b6t77_9j!19sChIJ12WPFW80joARXBmOFK4ZszA?authuser=0&hl=en&rclk=1,Spas in San Jose California,4.0,91,+1 408-622-8656,"1820 Hillsdale Ave Unit 10, San Jose, CA 95124, United States",dragondayspa.com
"Ritual Day Spa / Massages, Facials, Waxing, Microdermabrasion","https://www.google.com/maps/place/Ritual+Day+Spa+%2F+Massages,+Facials,+Waxing,+Microdermabrasion/data=!4m7!3m6!1s0x808e34def6be4573:0x23db39eacdf98cc1!8m2!3d37.2873035!4d-121.9435167!16s%2Fg%2F1vc_qlf_!19sChIJc0W-9t40joARwYz5zeo52yM?authuser=0&hl=en&rclk=1",Spas in San Jose California,4.8,64,+1 408-680-4705,"18 N Central Ave, Campbell, CA 95008, United States",ritual-spa.com
360 Beauty Spa,https://www.google.com/maps/place/360+Beauty+Spa/data=!4m7!3m6!1s0x808fcfa1a550e3b9:0xf2a308efa022ea2!8m2!3d37.4152699!4d-121.8758956!16s%2Fg%2F11vcmc7q5g!19sChIJueNQpaHPj4ARoi4C-o4wKg8?authuser=0&hl=en&rclk=1,Spas in San Jose California,4.7,14,+1 408-330-3360,"3080 Landess Ave, San Jose, CA 95132, United States",360beautyspa.com
Elegance Spa - San Jose,https://www.google.com/maps/place/Elegance+Spa+-+San+Jose/data=!4m7!3m6!1s0x808e331fd7a11af1:0x28e72bb2b96d87f7!8m2!3d37.2472041!4d-121.8866932!16s%2Fg%2F11f665r4n2!19sChIJ8Rqh1x8zjoAR94dtubIr5yg?authuser=0&hl=en&rclk=1,Spas in San Jose California,4.0,66,+1 408-622-8787,"1335 Blossom Hill Rd, San Jose, CA 95118, United States",elegance-spa.com
Queen's Beauty Spa,https://www.google.com/maps/place/Queen%27s+Beauty+Spa/data=!4m7!3m6!1s0x808fcd1390b4076d:0x950841ad72f5cf1b!8m2!3d37.3607783!4d-121.8371126!16s%2Fg%2F11gb3ys_17!19sChIJbQe0kBPNj4ARG8_1cq1BCJU?authuser=0&hl=en&rclk=1,Spas in San Jose California,4.5,42,+1 408-929-2970,"2614 Alum Rock Ave, San Jose, CA 95116, United States",queensbeautyspasanjose.com
Tranquility Day Spa (Capitol Ave),https://www.google.com/maps/place/Tranquility+Day+Spa+%28Capitol+Ave%29/data=!4m7!3m6!1s0x808fcd993cd99309:0x4a5216daa5ced7be!8m2!3d37.3974483!4d-121.8736499!16s%2Fg%2F11rhsybq7w!19sChIJCZPZPJnNj4ARvtfOpdoWUko?authuser=0&hl=en&rclk=1,Spas in San Jose California,4.4,29,+1 408-259-9888,"1671 N Capitol Ave, San Jose, CA 95132, United States",tranquilitydayspa20.wixsite.com
Four Season Spa Beauty Studio,https://www.google.com/maps/place/Four+Season+Spa+Beauty+Studio/data=!4m7!3m6!1s0x808fcbbba919fd23:0xdd1af7a426112d19!8m2!3d37.2944342!4d-121.989913!16s%2Fg%2F11vp_r_zlw!19sChIJI_0ZqbvLj4ARGS0RJqT3Gt0?authuser=0&hl=en&rclk=1,Spas in San Jose California,5.0,40,+1 408-312-1388,"1551 Saratoga Ave # 10, San Jose, CA 95129, United States",fourseasonbeautyspa.com
Spa by Minh Ha,https://www.google.com/maps/place/Spa+by+Minh+Ha/data=!4m7!3m6!1s0x808e33c10763541f:0x2501e32a3870ca4d!8m2!3d37.2635406!4d-121.876069!16s%2Fg%2F12ls44hm2!19sChIJH1RjB8EzjoARTcpwOCrjASU?authuser=0&hl=en&rclk=1,Spas in San Jose California,4.5,6,+1 408-438-3375,"1095 Branham Ln UNIT 206, San Jose, CA 95136, United States",-
Pure Med Spa,https://www.google.com/maps/place/Pure+Med+Spa/data=!4m7!3m6!1s0x808e35824b044e17:0x169b799fca466338!8m2!3d37.3052112!4d-121.8992613!16s%2Fg%2F11pkk9vjqb!19sChIJF04ES4I1joAROGNGyp95mxY?authuser=0&hl=en&rclk=1,Spas in San Jose California,5.0,29,+1 408-852-3304,"1275 Lincoln Ave #13B, San Jose, CA 95125, United States",puremedspas.com
