Name,URL,Query,Rating,Reviews,Phone,Address,Website
Adventure Landing Dallas,https://www.google.com/maps/place/Adventure+Landing+Dallas/data=!4m7!3m6!1s0x864c2218ce0fa85b:0x95d198898bdc4000!8m2!3d32.9912496!4d-96.7690768!16s%2Fg%2F1tdvvqbx!19sChIJW6gPzhgiTIYRAEDci4mY0ZU?authuser=0&hl=en&rclk=1,Theme parks in Dallas Texas,3.9,2297,+1 972-248-4653,"17717 Coit Rd, Dallas, TX 75252, United States",dallas.adventurelanding.com
Six Flags Over Texas,https://www.google.com/maps/place/Six+Flags+Over+Texas/data=!4m7!3m6!1s0x864e8772665d40ab:0x84cc7dbadd58699f!8m2!3d32.7556875!4d-97.0725625!16zL20vMDJ2Xzdt!19sChIJq0BdZnKHToYRn2lY3bp9zIQ?authuser=0&hl=en&rclk=1,Theme parks in Dallas Texas,4.3,36810,+1 817-640-8900,"Arlington, TX 76011, United States",sixflags.com
Celebration Station,https://www.google.com/maps/place/Celebration+Station/data=!4m7!3m6!1s0x864ea684b69535d5:0xe5493aa49d0a7a89!8m2!3d32.8201229!4d-96.6309638!16s%2Fg%2F1td2h9xd!19sChIJ1TWVtoSmToYRiXoKnaQ6SeU?authuser=0&hl=en&rclk=1,Theme parks in Dallas Texas,4.5,4497,+1 972-279-7888,"4040 Towne Crossing Blvd, Mesquite, TX 75150, United States",celebrationstation.com
Bolder Adventure Park,https://www.google.com/maps/place/Bolder+Adventure+Park/data=!4m7!3m6!1s0x864e89a6e7cc04ed:0xb71ad58767503b1a!8m2!3d32.6988076!4d-97.0373232!16s%2Fg%2F11pz_6l0z9!19sChIJ7QTM56aJToYRGjtQZ4fVGrc?authuser=0&hl=en&rclk=1,Theme parks in Dallas Texas,4.2,1267,+1 469-858-0577,"2324 W Warrior Trail, Grand Prairie, TX 75052, United States",bolderadventurepark.com
Trinity Forest Adventure Park,https://www.google.com/maps/place/Trinity+Forest+Adventure+Park/data=!4m7!3m6!1s0x864ebc9066e4e85b:0x34ff390cf644c43a!8m2!3d32.6898099!4d-96.6757659!16s%2Fg%2F1yglq9lwy!19sChIJW-jkZpC8ToYROsRE9gw5_zQ?authuser=0&hl=en&rclk=1,Theme parks in Dallas Texas,4.7,636,+1 214-391-1000,"1800 Dowdy Ferry Rd, Dallas, TX 75217, United States",trinitytreetops.com
XD Ride Adventure - Galleria Dallas,https://www.google.com/maps/place/XD+Ride+Adventure+-+Galleria+Dallas/data=!4m7!3m6!1s0x864c20db61555555:0x448c7b9acbe4963d!8m2!3d32.9297124!4d-96.8194043!16s%2Fg%2F11f4_l48g8!19sChIJVVVVYdsgTIYRPZbky5p7jEQ?authuser=0&hl=en&rclk=1,Theme parks in Dallas Texas,4.1,52,-,"13350 Dallas Pkwy suite 420, Dallas, TX 75240, United States",xdrideco.com
FUNBOX DALLAS - GRAPEVINE,https://www.google.com/maps/place/FUNBOX+DALLAS+-+GRAPEVINE/data=!4m7!3m6!1s0x864c2b0ef9b3b859:0x3b71f3e1e2540ba!8m2!3d32.964416!4d-97.0400109!16s%2Fg%2F11kryr38g3!19sChIJWbiz-Q4rTIYRukAlHj4ftwM?authuser=0&hl=en&rclk=1,Theme parks in Dallas Texas,4.7,256,+1 877-339-3861,"Outside Parking, 3000 Grapevine Mills Pkwy lot 2c, Grapevine, TX 76051, United States",funbox.com
LEGOLAND Discovery Center Dallas/Fort Worth,https://www.google.com/maps/place/LEGOLAND+Discovery+Center+Dallas%2FFort+Worth/data=!4m7!3m6!1s0x864c2b86c3f54ec1:0x71fb919c40fb4cc1!8m2!3d32.9666453!4d-97.0434661!16s%2Fg%2F11bw8f6sfd!19sChIJwU71w4YrTIYRwUz7QJyR-3E?authuser=0&hl=en&rclk=1,Theme parks in Dallas Texas,3.9,5282,+1 469-444-3050,"3000 Grapevine Mills Pkwy, Grapevine, TX 76051, United States",legolanddiscoverycenter.com
PEPPA PIG Theme Park Dallas-Fort Worth,https://www.google.com/maps/place/PEPPA+PIG+Theme+Park+Dallas-Fort+Worth/data=!4m7!3m6!1s0x864e795a14b06ab1:0x15f3c24b259ff707!8m2!3d32.8492299!4d-97.1968041!16s%2Fg%2F11shq9z7cs!19sChIJsWqwFFp5ToYRB_efJUvC8xU?authuser=0&hl=en&rclk=1,Theme parks in Dallas Texas,4.6,7,-,"8851 Blvd 26, North Richland Hills, Fort Worth, TX 76180, United States",peppapigthemepark.com
NRH2O Family Water Park,https://www.google.com/maps/place/NRH2O+Family+Water+Park/data=!4m7!3m6!1s0x864e78b8836a1253:0x105fc81be0e48c98!8m2!3d32.8500662!4d-97.1945008!16s%2Fm%2F0gxyy09!19sChIJUxJqg7h4ToYRmIzk4BvIXxA?authuser=0&hl=en&rclk=1,Theme parks in Dallas Texas,4.5,3377,+1 817-427-6500,"9001 Blvd 26, North Richland Hills, TX 76180, United States",nrh2o.com
Urban Air Trampoline and Adventure Park,https://www.google.com/maps/place/Urban+Air+Trampoline+and+Adventure+Park/data=!4m7!3m6!1s0x864c210fdbbd0e27:0x9c5033739f05b03e!8m2!3d32.9520737!4d-96.8024467!16s%2Fg%2F11d_v8cgmk!19sChIJJw692w8hTIYRPrAFn3MzUJw?authuser=0&hl=en&rclk=1,Theme parks in Dallas Texas,4.4,1088,+1 469-232-1214,"14902 Preston Rd, Dallas, TX 75254, United States",urbanair.com
Crayola Experience Plano,https://www.google.com/maps/place/Crayola+Experience+Plano/data=!4m7!3m6!1s0x864c237e3e66e2db:0x93cf83740a405cc0!8m2!3d33.0305674!4d-96.8339664!16s%2Fg%2F11g8wnn1yt!19sChIJ2-JmPn4jTIYRwFxACnSDz5M?authuser=0&hl=en&rclk=1,Theme parks in Dallas Texas,4.2,3527,+1 469-642-2901,"6121 W Park Blvd Suite A100, Plano, TX 75093, United States",crayolaexperience.com
Magic Lamp Vacations,https://www.google.com/maps/place/Magic+Lamp+Vacations/data=!4m7!3m6!1s0x864c176df1e61bf3:0x5095a9ebc5533f2f!8m2!3d32.9790839!4d-96.9792846!16s%2Fg%2F11fnp2jmm5!19sChIJ8xvm8W0XTIYRLz9TxeuplVA?authuser=0&hl=en&rclk=1,Theme parks in Dallas Texas,4.3,10,+1 813-753-8427,"329 Clear Haven, Coppell, TX 75019, United States",magiclampvacations.com
Great Wolf Lodge Water Park | Grapevine,https://www.google.com/maps/place/Great+Wolf+Lodge+Water+Park+%7C+Grapevine/data=!4m10!3m9!1s0x864c2b0d910d36ad:0x3d23acf0ef262a0c!5m2!4m1!1i2!8m2!3d32.9419978!4d-97.059787!16s%2Fg%2F1xn_nsr2!19sChIJrTYNkQ0rTIYRDCom7_CsIz0?authuser=0&hl=en&rclk=1,Theme parks in Dallas Texas,4.1,13916,+1 800-693-9653,"100 Great Wolf Dr, Grapevine, TX 76051, United States",greatwolf.com
Adventure Speedway,https://www.google.com/maps/place/Adventure+Speedway/data=!4m7!3m6!1s0x864c233a9762813d:0x3959dffcd0ce7870!8m2!3d32.9904589!4d-96.7694251!16s%2Fg%2F11f87q__gl!19sChIJPYFilzojTIYRcHjO0PzfWTk?authuser=0&hl=en&rclk=1,Theme parks in Dallas Texas,4.0,172,+1 972-248-4653,"17717 Coit Rd, Dallas, TX 75252, United States",centeredgeonline.com
