Name,URL,Query,Rating,Reviews,Phone,Address,Website
Luna Park in Coney Island,https://www.google.com/maps/place/Luna+Park+in+Coney+Island/data=!4m7!3m6!1s0x89c2443594b7c71d:0x1503bf4bfd6f2c6f!8m2!3d40.5752568!4d-73.9785149!16s%2Fm%2F01317vpv!19sChIJHce3lDVEwokRbyxv_Uu_AxU?authuser=0&hl=en&rclk=1,Theme parks in New York New York,4.4,17840,+1 718-373-5862,"1000 Surf Ave, Brooklyn, NY 11224, United States",lunaparknyc.com
Deno's Wonder Wheel Amusement Park,https://www.google.com/maps/place/Deno%27s+Wonder+Wheel+Amusement+Park/data=!4m7!3m6!1s0x89c24434534167ab:0x8cb4eba7154607ba!8m2!3d40.5733309!4d-73.9791552!16s%2Fm%2F0ds0p_c!19sChIJq2dBUzREwokRugdGFafrtIw?authuser=0&hl=en&rclk=1,Theme parks in New York New York,4.5,1753,+1 718-372-2592,"3059 W 12th St, Brooklyn, NY 11224, United States",denoswonderwheel.com
Adventurers Amusement Park,https://www.google.com/maps/place/Adventurers+Amusement+Park/data=!4m7!3m6!1s0x89c245af7d39a8b1:0xf759a388f60c7065!8m2!3d40.5906694!4d-73.9946941!16s%2Fg%2F11h0j_by00!19sChIJsag5fa9FwokRZXAM9oijWfc?authuser=0&hl=en&rclk=1,Theme parks in New York New York,4.1,1438,+1 718-975-2748,"1824 Shore Pkwy, Brooklyn, NY 11214, United States",adventurerspark.com
Fantasy Forest Carousel Park,https://www.google.com/maps/place/Fantasy+Forest+Carousel+Park/data=!4m7!3m6!1s0x89c25fd0e2d04d31:0x8cfd8a018b895585!8m2!3d40.7432938!4d-73.8492741!16s%2Fg%2F1pzxjjb71!19sChIJMU3Q4tBfwokRhVWJiwGK_Yw?authuser=0&hl=en&rclk=1,Theme parks in New York New York,4.3,476,+1 718-788-2676,"5351 111th St, Corona, NY 11368, United States",fantasyforestnyc.com
Area53 - Adventure Park,https://www.google.com/maps/place/Area53+-+Adventure+Park/data=!4m7!3m6!1s0x89c25f3b754310f9:0x5b2560df41d196fe!8m2!3d40.7124414!4d-73.9235501!16s%2Fg%2F11r7nsf6l_!19sChIJ-RBDdTtfwokR_pbRQd9gJVs?authuser=0&hl=en&rclk=1,Theme parks in New York New York,4.4,2731,+1 347-305-7448,"616 Scholes St, Brooklyn, NY 11237, United States",area53nyc.com
Playland Park,https://www.google.com/maps/place/Playland+Park/data=!4m7!3m6!1s0x89c290eb3a47544d:0x35dc0149fb6df1ea!8m2!3d40.9651419!4d-73.6751251!16zL20vMDN6Nncy!19sChIJTVRHOuuQwokR6vFt-0kB3DU?authuser=0&hl=en&rclk=1,Theme parks in New York New York,4.3,8447,+1 914-820-3000,"1 Playland Pkwy, Rye, NY 10580, United States",playland.com
Scream Zone at Luna Park in Coney Island,https://www.google.com/maps/place/Scream+Zone+at+Luna+Park+in+Coney+Island/data=!4m7!3m6!1s0x89c24434feece35f:0x33656742072beb88!8m2!3d40.5732574!4d-73.9799728!16s%2Fg%2F1td05zd6!19sChIJX-Ps_jREwokRiOsrB0JnZTM?authuser=0&hl=en&rclk=1,Theme parks in New York New York,4.5,521,+1 718-373-5862,"New York, 1295, Riegelmann Boardwalk, Brooklyn, NY 11224, United States",lunaparknyc.com
eVRest VR Amusement Park,https://www.google.com/maps/place/eVRest+VR+Amusement+Park/data=!4m7!3m6!1s0x89c245dfe44cf919:0x92430f7982891561!8m2!3d40.6307168!4d-73.9959156!16s%2Fg%2F11h9h0csh2!19sChIJGflM5N9FwokRYRWJgnkPQ5I?authuser=0&hl=en&rclk=1,Theme parks in New York New York,4.9,188,+1 347-563-0964,"5604 New Utrecht Ave, Brooklyn, NY 11219, United States",vrparknyc.com
LEGOLAND New York Resort,https://www.google.com/maps/place/LEGOLAND+New+York+Resort/data=!4m10!3m9!1s0x89c3290cd4197761:0x778bf856db9c7414!5m2!4m1!1i2!8m2!3d41.3780508!4d-74.3133782!16s%2Fg%2F11fqzsp238!19sChIJYXcZ1Awpw4kRFHSc21b4i3c?authuser=0&hl=en&rclk=1,Theme parks in New York New York,3.9,7372,+1 845-410-0290,"1 Legoland Blvd, Goshen, NY 10924, United States",legoland.com
Carousel,https://www.google.com/maps/place/Carousel/data=!4m7!3m6!1s0x89c244344e03f905:0x44b1f83e8f9a0e21!8m2!3d40.5736545!4d-73.9793077!16s%2Fg%2F11dy1h6ps5!19sChIJBfkDTjREwokRIQ6ajz74sUQ?authuser=0&hl=en&rclk=1,Theme parks in New York New York,4.4,85,-,"1027 Riegelmann Boardwalk, Brooklyn, NY 11224, United States",-
Adventureland,https://www.google.com/maps/place/Adventureland/data=!4m7!3m6!1s0x89e82aff63ce40c5:0x457d589e7c83d382!8m2!3d40.752614!4d-73.419844!16s%2Fm%2F02qk3ch!19sChIJxUDOY_8q6IkRgtODfJ5YfUU?authuser=0&hl=en&rclk=1,Theme parks in New York New York,4.4,5576,+1 631-694-6868,"2245 Broadhollow Rd, Farmingdale, NY 11735, United States",adventureland.us
Bayville Adventure Park,https://www.google.com/maps/place/Bayville+Adventure+Park/data=!4m7!3m6!1s0x89c29b4744abf1bb:0x1bfa03911f4507b!8m2!3d40.9079201!4d-73.5823059!16s%2Fg%2F1tdcsg9r!19sChIJu_GrREebwokRe1D0ETmgvwE?authuser=0&hl=en&rclk=1,Theme parks in New York New York,3.7,1398,+1 516-624-7433,"8 Bayville Ave, Bayville, NY 11709, United States",bayvilleadventurepark.com
Oasis Park,https://www.google.com/maps/place/Oasis+Park/data=!4m7!3m6!1s0x89c25a0e1914e9fd:0x14405be6b7a36507!8m2!3d40.7068071!4d-74.0187357!16s%2Fg%2F11c0vk5r6l!19sChIJ_ekUGQ5awokRB2Wjt-ZbQBQ?authuser=0&hl=en&rclk=1,Theme parks in New York New York,4.9,64,-,"50 Battery Pl, New York, NY 10280, United States",-
