Name,URL,Query,Rating,Reviews,Phone,Address,Website
Sesame Place Philadelphia,https://www.google.com/maps/place/Sesame+Place+Philadelphia/data=!4m7!3m6!1s0x89c1515929a26dc7:0xb268058323585553!8m2!3d40.186117!4d-74.8729972!16zL20vMDNsM2Mw!19sChIJx22iKVlRwYkRU1VYI4MFaLI?authuser=0&hl=en&rclk=1,Theme parks in Philadelphia Pennsylvania,4.1,11551,+1 215-702-3566,"100 Sesame Rd, Langhorne, PA 19047, United States",sesameplace.com
Treetop Quest Philly,https://www.google.com/maps/place/Treetop+Quest+Philly/data=!4m7!3m6!1s0x89c6c778a992e1d1:0xa4a1e3d45d3beca4!8m2!3d39.9985389!4d-75.2016018!16s%2Fg%2F11f57vdj3q!19sChIJ0eGSqXjHxokRpOw7XdTjoaQ?authuser=0&hl=en&rclk=1,Theme parks in Philadelphia Pennsylvania,4.7,403,+1 267-901-4145,"51 Chamounix Dr, Philadelphia, PA 19131, United States",treetopquest.com
I-95 Park,https://www.google.com/maps/place/I-95+Park/data=!4m7!3m6!1s0x89c6c88f92b54067:0x59b25dddf7c0d526!8m2!3d39.9477778!4d-75.1420086!16s%2Fg%2F1thssbjh!19sChIJZ0C1ko_IxokRJtXA991dslk?authuser=0&hl=en&rclk=1,Theme parks in Philadelphia Pennsylvania,4.5,501,+1 215-683-0202,"Philadelphia, PA 19106, United States",phila.gov
LEGOLAND Discovery Center Philadelphia,https://www.google.com/maps/place/LEGOLAND+Discovery+Center+Philadelphia/data=!4m7!3m6!1s0x89c6bc47c2733f07:0x44499b55df4684e1!8m2!3d40.1159439!4d-75.2819933!16s%2Fg%2F11c70g6zzg!19sChIJBz9zwke8xokR4YRG31WbSUQ?authuser=0&hl=en&rclk=1,Theme parks in Philadelphia Pennsylvania,4.3,2841,+1 267-245-9696,"Mall, Unit #1055 500 W Germantown Pike, Plymouth Meeting, PA 19462, United States",legolanddiscoverycenter.com
Aviator Park,https://www.google.com/maps/place/Aviator+Park/data=!4m7!3m6!1s0x89c6c6337f288bcb:0xb9d5cd529d8ed4d7!8m2!3d39.957954!4d-75.1718647!16s%2Fg%2F11fx9p74v8!19sChIJy4sofzPGxokR19SOnVLN1bk?authuser=0&hl=en&rclk=1,Theme parks in Philadelphia Pennsylvania,4.6,19,-,"1900-1958 Benjamin Franklin Pkwy, Philadelphia, PA 19103, United States",-
The Funplex,https://www.google.com/maps/place/The+Funplex/data=!4m7!3m6!1s0x89c14a0bfc663e45:0x2e0b11f91b172a1f!8m2!3d39.9677276!4d-74.8919698!16s%2Fg%2F1tgdpg7_!19sChIJRT5m_AtKwYkRHyoXG_kRCy4?authuser=0&hl=en&rclk=1,Theme parks in Philadelphia Pennsylvania,4.3,4764,+1 856-273-9666,"3320-24 NJ-38, Mt Laurel Township, NJ 08054, United States",thefunplex.com
Woodside Park,https://www.google.com/maps/place/Woodside+Park/data=!4m7!3m6!1s0x89c6c77c37e64127:0x7152470138933638!8m2!3d40.0023932!4d-75.2087171!16s%2Fg%2F11gbkq6xqn!19sChIJJ0HmN3zHxokRODaTOAFHUnE?authuser=0&hl=en&rclk=1,Theme parks in Philadelphia Pennsylvania,4.5,55,-,"3910-18 Conshohocken Ave, Philadelphia, PA 19131, United States",phila.gov
Dorney Park & Wildwater Kingdom,https://www.google.com/maps/place/Dorney+Park+%26+Wildwater+Kingdom/data=!4m7!3m6!1s0x89c4309b3e647929:0x4ecce74a41b8eb22!8m2!3d40.5784549!4d-75.5331062!16zL20vMGZ2MHI2!19sChIJKXlkPpswxIkRIuu4QUrnzE4?authuser=0&hl=en&rclk=1,Theme parks in Philadelphia Pennsylvania,4.4,19599,+1 610-395-3724,"4000 Dorney Park Rd, Allentown, PA 18104, United States",dorneypark.com
Sky Zone Trampoline Park,https://www.google.com/maps/place/Sky+Zone+Trampoline+Park/data=!4m7!3m6!1s0x89c6b399d6e55b93:0x5543c253122fcc40!8m2!3d40.0763209!4d-75.0265427!16s%2Fg%2F11ddwhvnfs!19sChIJk1vl1pmzxokRQMwvElPCQ1U?authuser=0&hl=en&rclk=1,Theme parks in Philadelphia Pennsylvania,4.0,1588,+1 215-516-5867,"9490 Blue Grass Rd, Philadelphia, PA 19114, United States",skyzone.com
Dutch Wonderland Family Amusement Park,https://www.google.com/maps/place/Dutch+Wonderland+Family+Amusement+Park/data=!4m7!3m6!1s0x89c63ba25718aad1:0xe651ce580a55cee!8m2!3d40.028272!4d-76.219164!16zL20vMGIyZmQ3!19sChIJ0aoYV6I7xokR7lylgOUcZQ4?authuser=0&hl=en&rclk=1,Theme parks in Philadelphia Pennsylvania,4.4,6234,+1 866-386-2839,"2249 Lincoln Hwy E, Lancaster, PA 17602, United States",dutchwonderland.com
Thrillz High Flying Adventure Park,https://www.google.com/maps/place/Thrillz+High+Flying+Adventure+Park/data=!4m7!3m6!1s0x89c695fae0f6bc91:0xba6b07b09384926e!8m2!3d40.0795209!4d-75.355894!16s%2Fg%2F11sc9r6x6t!19sChIJkbz24PqVxokRbpKEk7AHa7o?authuser=0&hl=en&rclk=1,Theme parks in Philadelphia Pennsylvania,4.5,528,+1 484-235-5555,"555 S Henderson Rd, King of Prussia, PA 19406, United States",thrillzparks.com
Diggerland USA,https://www.google.com/maps/place/Diggerland+USA/data=!4m7!3m6!1s0x89c132873e7964cb:0x48a0684b94ea27c6!8m2!3d39.8132165!4d-74.9225738!16s%2Fg%2F11bbrlst7x!19sChIJy2R5PocywYkRxifqlEtooEg?authuser=0&hl=en&rclk=1,Theme parks in Philadelphia Pennsylvania,4.4,3581,+1 856-768-1110,"100 Pinedge Dr, West Berlin, NJ 08091, United States",diggerlandusa.com
Knoebels Amusement Resort,https://www.google.com/maps/place/Knoebels+Amusement+Resort/data=!4m7!3m6!1s0x89cf6170aa035d7f:0xad793f4032d93472!8m2!3d40.8799602!4d-76.5020762!16zL20vMDJ0MXo5!19sChIJf10DqnBhz4kRcjTZMkA_ea0?authuser=0&hl=en&rclk=1,Theme parks in Philadelphia Pennsylvania,4.8,29141,+1 800-487-4386,"391 Knoebels Blvd, Elysburg, PA 17824, United States",knoebels.com
