Name,URL,Query,Rating,Reviews,Phone,Address,Website
Castles N' Coasters,https://www.google.com/maps/place/Castles+N%27+Coasters/data=!4m7!3m6!1s0x872b1218ffffffff:0xc7a77ab42dc8679a!8m2!3d33.5725174!4d-112.1188154!16zL20vMDYzMzRs!19sChIJ_____xgSK4cRmmfILbR6p8c?authuser=0&hl=en&rclk=1,Theme parks in Phoenix Arizona,4.3,8640,+1 602-997-7575,"9445 N Metro Pkwy E, Phoenix, AZ 85051, United States",castlesncoasters.com
Enchanted Island Amusement Park,https://www.google.com/maps/place/Enchanted+Island+Amusement+Park/data=!4m7!3m6!1s0x872b124e04b067bd:0xf358ad9d6a34b3d1!8m2!3d33.474739!4d-112.088152!16s%2Fg%2F11g68_d86h!19sChIJvWewBE4SK4cR0bM0ap2tWPM?authuser=0&hl=en&rclk=1,Theme parks in Phoenix Arizona,4.3,2777,+1 602-254-1200,"1202 W Encanto Blvd, Phoenix, AZ 85007, United States",enchantedisland.com
Amusement Park Rides (Phoenix Park & Swap),https://www.google.com/maps/place/Amusement+Park+Rides+%28Phoenix+Park+%26+Swap%29/data=!4m7!3m6!1s0x872b0e881c825325:0x46a392b5b3c7be3a!8m2!3d33.446771!4d-111.9993235!16s%2Fg%2F11clsz2d1j!19sChIJJVOCHIgOK4cROr7Hs7WSo0Y?authuser=0&hl=en&rclk=1,Theme parks in Phoenix Arizona,4.4,1020,+1 602-273-1250,"3801 E Washington St, Phoenix, AZ 85034, United States",phoenixparknswap.com
Arizona Boardwalk,https://www.google.com/maps/place/Arizona+Boardwalk/data=!4m7!3m6!1s0x872b0ab761ea7353:0x28eb8e6e6ff6d9a3!8m2!3d33.555783!4d-111.8768729!16s%2Fg%2F11c2nkbjv2!19sChIJU3PqYbcKK4cRo9n2b26O6yg?authuser=0&hl=en&rclk=1,Theme parks in Phoenix Arizona,4.5,5522,+1 480-951-2100,"9500 East Vía de Ventura, Scottsdale, AZ 85256, United States",azboardwalk.com
The Rush Fun Park,https://www.google.com/maps/place/The+Rush+Fun+Park/data=!4m7!3m6!1s0x872b0dff2956a679:0x22de678a6e7e7470!8m2!3d33.4790087!4d-111.9984457!16s%2Fg%2F11j96lh9fq!19sChIJeaZWKf8NK4cRcHR-bopn3iI?authuser=0&hl=en&rclk=1,Theme parks in Phoenix Arizona,4.6,1307,+1 623-432-7874,"3865 E Thomas Rd, Phoenix, AZ 85018, United States",rushfunpark.com
Desert Storm,https://www.google.com/maps/place/Desert+Storm/data=!4m7!3m6!1s0x872b6db668b09771:0x151b2555ca2a676d!8m2!3d33.5727297!4d-112.1188542!16s%2Fm%2F0fqpb6k!19sChIJcZewaLZtK4cRbWcqylUlGxU?authuser=0&hl=en&rclk=1,Theme parks in Phoenix Arizona,4.5,35,+1 602-997-7575,"9445 N Metro Pkwy E, Phoenix, AZ 85051, United States",castlesncoasters.com
Encanto Park,https://www.google.com/maps/place/Encanto+Park/data=!4m7!3m6!1s0x872b1253c82c4907:0xc29f66f2ac0ff98c!8m2!3d33.4742548!4d-112.0891785!16zL20vMDl6bnFs!19sChIJB0ksyFMSK4cRjPkPrPJmn8I?authuser=0&hl=en&rclk=1,Theme parks in Phoenix Arizona,4.6,6358,+1 602-261-8991,"2605 N 15th Ave, Phoenix, AZ 85007, United States",phoenix.gov
LEGOLAND Discovery Center Arizona,https://www.google.com/maps/place/LEGOLAND+Discovery+Center+Arizona/data=!4m7!3m6!1s0x872b0f59e42b18cd:0x7e56643ee4fd0846!8m2!3d33.3856183!4d-111.9634524!16s%2Fg%2F11cnwpldpp!19sChIJzRgr5FkPK4cRRgj95D5kVn4?authuser=0&hl=en&rclk=1,Theme parks in Phoenix Arizona,4.3,3655,+1 480-565-7072,"5000 S Arizona Mills Cir STE 135, Tempe, AZ 85282, United States",legolanddiscoverycenter.com
Mattel Adventure Park,https://www.google.com/maps/place/Mattel+Adventure+Park/data=!4m7!3m6!1s0x872b4133387e8609:0x3335544249dcc8d7!8m2!3d33.5187413!4d-112.2665389!16s%2Fg%2F11rsfc1vjj!19sChIJCYZ-ODNBK4cR18jcSUJUNTM?authuser=0&hl=en&rclk=1,Theme parks in Phoenix Arizona,4.3,41,+1 623-240-0000,"9601 Cardinals Way, Glendale, AZ 85305, United States",matteladventurepark.com
Stratosphere Adventure Park,https://www.google.com/maps/place/Stratosphere+Adventure+Park/data=!4m7!3m6!1s0x872b69f82ed96c81:0x5203de45c2f8704d!8m2!3d33.6374257!4d-112.1805447!16s%2Fg%2F11rc9pq79_!19sChIJgWzZLvhpK4cRTXD4wkXeA1I?authuser=0&hl=en&rclk=1,Theme parks in Phoenix Arizona,4.6,570,+1 602-767-4737,"5665 W Bell Rd, Glendale, AZ 85308, United States",stratosphereadventurepark.com
Owynn’s World of Adventure,https://www.google.com/maps/place/Owynn%E2%80%99s+World+of+Adventure/data=!4m7!3m6!1s0x872b47181f9616f5:0x8e42915362d5fc7a!8m2!3d33.5092774!4d-112.3424387!16s%2Fg%2F11ssbk0vw0!19sChIJ9RaWHxhHK4cRevzVYlORQo4?authuser=0&hl=en&rclk=1,Theme parks in Phoenix Arizona,4.7,203,+1 602-816-4158,"5110 N Dysart Rd, Litchfield Park, AZ 85340, United States",owynnsworldofadventure.com
Makutu's Island,https://www.google.com/maps/place/Makutu%27s+Island/data=!4m7!3m6!1s0x872b04230b7c8349:0x7fa98b7fb0236ec5!8m2!3d33.31941!4d-111.9615467!16s%2Fg%2F1wrgkmcz!19sChIJSYN8CyMEK4cRxW4jsH-LqX8?authuser=0&hl=en&rclk=1,Theme parks in Phoenix Arizona,4.3,2402,+1 480-344-3740,"6919 W Ray Rd, Chandler, AZ 85226, United States",makutusisland.com
"UPTOWN JUNGLE FUN PARK | Laveen, AZ","https://www.google.com/maps/place/UPTOWN+JUNGLE+FUN+PARK+%7C+Laveen,+AZ/data=!4m7!3m6!1s0x872b111b86555519:0xf32dc230681b5a61!8m2!3d33.3893628!4d-112.1367806!16s%2Fg%2F11t756wczt!19sChIJGVVVhhsRK4cRYVobaDDCLfM?authuser=0&hl=en&rclk=1",Theme parks in Phoenix Arizona,4.5,166,+1 602-894-9444,"6310 S 35th Ave, Phoenix, AZ 85041, United States",laveen.uptownjungle.com
Oasis Water Park,https://www.google.com/maps/place/Oasis+Water+Park/data=!4m7!3m6!1s0x872b05f46a79b62f:0xc88088c4f1c35522!8m2!3d33.3743769!4d-111.971985!16s%2Fg%2F113j3sv5h!19sChIJL7Z5avQFK4cRIlXD8cSIgMg?authuser=0&hl=en&rclk=1,Theme parks in Phoenix Arizona,4.4,925,+1 602-438-9000,"8000 Arizona Grand Pkwy, Phoenix, AZ 85044, United States",arizonagrandresort.com
Golfland Sunsplash,https://www.google.com/maps/place/Golfland+Sunsplash/data=!4m7!3m6!1s0x872ba813a39195a5:0x63f372a7007988ea!8m2!3d33.3880994!4d-111.8372277!16s%2Fm%2F0h93tmf!19sChIJpZWRoxOoK4cR6oh5AKdy82M?authuser=0&hl=en&rclk=1,Theme parks in Phoenix Arizona,4.3,6314,+1 480-834-8319,"155 W Hampton Ave, Mesa, AZ 85210, United States",golfland.com
Party Jungle,https://www.google.com/maps/place/Party+Jungle/data=!4m7!3m6!1s0x872b7245aa476b0f:0xd98b25359ef0d485!8m2!3d33.5961428!4d-112.0145736!16s%2Fg%2F11g8w8ykmb!19sChIJD2tHqkVyK4cRhdTwnjUli9k?authuser=0&hl=en&rclk=1,Theme parks in Phoenix Arizona,4.3,907,+1 602-923-9444,"12046 N 32nd St, Phoenix, AZ 85028, United States",party-jungle.com
Gravity Extreme Zone Trampoline and Adventure Park,https://www.google.com/maps/place/Gravity+Extreme+Zone+Trampoline+and+Adventure+Park/data=!4m7!3m6!1s0x872b06ac9b545d2f:0x56d9f75f5b3306d0!8m2!3d33.2987548!4d-111.9484142!16s%2Fg%2F11gg9gk1cb!19sChIJL11Um6wGK4cR0AYzW1_32VY?authuser=0&hl=en&rclk=1,Theme parks in Phoenix Arizona,4.4,1141,+1 480-757-5411,"190 S Kyrene Rd #5, Chandler, AZ 85226, United States",gravityextremezone.com
Urban Air Trampoline and Adventure Park,https://www.google.com/maps/place/Urban+Air+Trampoline+and+Adventure+Park/data=!4m7!3m6!1s0x872b0446f8b78661:0x339f5e2a0f0916f8!8m2!3d33.3213341!4d-111.9791704!16s%2Fg%2F11fxw0ztm_!19sChIJYYa3-EYEK4cR-BYJDypenzM?authuser=0&hl=en&rclk=1,Theme parks in Phoenix Arizona,4.1,786,+1 602-663-9340,"4816 E Ray Rd, Phoenix, AZ 85044, United States",urbanair.com
Daisy Mountain Railroad,https://www.google.com/maps/place/Daisy+Mountain+Railroad/data=!4m7!3m6!1s0x872c9df8ff489317:0x679cc28e3dc4c933!8m2!3d33.863228!4d-112.1353755!16s%2Fg%2F1tk9r76c!19sChIJF5NI__idLIcRM8nEPY7CnGc?authuser=0&hl=en&rclk=1,Theme parks in Phoenix Arizona,4.8,251,+1 623-551-5880,"41703 N Gavilan Peak Pkwy, Phoenix, AZ 85086, United States",daisymountainrailroad.com
Sea Dragon,https://www.google.com/maps/place/Sea+Dragon/data=!4m7!3m6!1s0x872b6ddbe656084f:0x6cfa4c8b46134efb!8m2!3d33.5724859!4d-112.1187853!16s%2Fg%2F11h91985l4!19sChIJTwhW5tttK4cR-04TRotM-mw?authuser=0&hl=en&rclk=1,Theme parks in Phoenix Arizona,3.8,6,+1 602-997-7575,"9445 N Metro Pkwy E, Phoenix, AZ 85051, United States",-
Old Tucson,https://www.google.com/maps/place/Old+Tucson/data=!4m7!3m6!1s0x86d5d8c2baa4f18b:0x66ede0d42c36ec56!8m2!3d32.2183137!4d-111.1289275!16zL20vMGN6eTkw!19sChIJi_GkusLY1YYRVuw2LNTg7WY?authuser=0&hl=en&rclk=1,Theme parks in Phoenix Arizona,4.5,4507,+1 520-883-0100,"201 Kinney Rd, Tucson, AZ 85735, United States",oldtucson.com
The Rush Fun Park,https://www.google.com/maps/place/The+Rush+Fun+Park/data=!4m7!3m6!1s0x872b6b1c50887239:0x595a97fd6741bef8!8m2!3d33.5803535!4d-112.2053358!16s%2Fg%2F11h75p5r7p!19sChIJOXKIUBxrK4cR-L5BZ_2XWlk?authuser=0&hl=en&rclk=1,Theme parks in Phoenix Arizona,4.2,1095,+1 623-243-9900,"6817 W Peoria Ave, Peoria, AZ 85345, United States",rushfunpark.com
Rush fun park,https://www.google.com/maps/place/Rush+fun+park/data=!4m7!3m6!1s0x872b0d0069ba33cd:0xe7ddb66b6c3e191c!8m2!3d33.4788711!4d-111.9987642!16s%2Fg%2F11vrm336lj!19sChIJzTO6aQANK4cRHBk-bGu23ec?authuser=0&hl=en&rclk=1,Theme parks in Phoenix Arizona,4.6,27,+1 623-432-7874,"3853 E Thomas Rd, Phoenix, AZ 85018, United States",rushfunpark.com
Paradise Earth: A Rainforest Adventure,https://www.google.com/maps/place/Paradise+Earth:+A+Rainforest+Adventure/data=!4m7!3m6!1s0x872b0be2aa298511:0x2517bae25a7bd24!8m2!3d33.5535665!4d-111.8759957!16s%2Fg%2F11h84p990q!19sChIJEYUpquILK4cRJL2nJa57UQI?authuser=0&hl=en&rclk=1,Theme parks in Phoenix Arizona,3.3,3,-,"9500 East Vía de Ventura, Scottsdale, AZ 85250, United States",paradiseearth.com
Pangaea Land of the Dinosaurs,https://www.google.com/maps/place/Pangaea+Land+of+the+Dinosaurs/data=!4m7!3m6!1s0x872b0ab9e62d430f:0x72df8f9a54be3659!8m2!3d33.5557582!4d-111.8769819!16s%2Fg%2F11gbwdsnyq!19sChIJD0Mt5rkKK4cRWTa-VJqP33I?authuser=0&hl=en&rclk=1,Theme parks in Phoenix Arizona,3.7,1716,+1 480-362-3466,"9500 East Vía de Ventura c100, Scottsdale, AZ 85256, United States",pangaealandofthedinosaurs.com
Great Wolf Lodge Water Park | Arizona,https://www.google.com/maps/place/Great+Wolf+Lodge+Water+Park+%7C+Arizona/data=!4m10!3m9!1s0x872b0b218e4a205d:0x980e3e82ecda5233!5m2!4m1!1i2!8m2!3d33.5439943!4d-111.8905978!16s%2Fg%2F11f6y4gwfc!19sChIJXSBKjiELK4cRM1La7II-Dpg?authuser=0&hl=en&rclk=1,Theme parks in Phoenix Arizona,4.3,4952,+1 480-948-9653,"7333 N Pima Rd, Scottsdale, AZ 85258, United States",greatwolf.com
Uptown Jungle | N. Phoenix,https://www.google.com/maps/place/Uptown+Jungle+%7C+N.+Phoenix/data=!4m7!3m6!1s0x872b7350b4e00b61:0xa1fe2cb12dc52b9c!8m2!3d33.583666!4d-112.014545!16s%2Fg%2F11q2skwc3b!19sChIJYQvgtFBzK4cRnCvFLbEs_qE?authuser=0&hl=en&rclk=1,Theme parks in Phoenix Arizona,4.4,221,+1 602-767-1778,"10630 N 32nd St, Phoenix, AZ 85028, United States",phoenix.uptownjungle.com
Rush Extreme,https://www.google.com/maps/place/Rush+Extreme/data=!4m7!3m6!1s0x872b072ec353a633:0xee3609f85bcc1524!8m2!3d33.2987548!4d-111.9484142!16s%2Fg%2F11t15h4kbg!19sChIJM6ZTwy4HK4cRJBXMW_gJNu4?authuser=0&hl=en&rclk=1,Theme parks in Phoenix Arizona,4.8,1067,+1 480-757-5411,"190 S Kyrene Rd #5, Chandler, AZ 85226, United States",rushfunpark.com
Jambo Park,https://www.google.com/maps/place/Jambo+Park/data=!4m7!3m6!1s0x872b722789fa71c7:0x3194bce4b5c7f7a4!8m2!3d33.5963596!4d-112.0145751!16s%2Fg%2F1tcx7gx5!19sChIJx3H6iSdyK4cRpPfHteS8lDE?authuser=0&hl=en&rclk=1,Theme parks in Phoenix Arizona,3.1,81,-,"12046 N 32nd St, Phoenix, AZ 85028, United States",-
Hurricane Harbor Phoenix,https://www.google.com/maps/place/Hurricane+Harbor+Phoenix/data=!4m7!3m6!1s0x872b660f654ed85b:0x4d9bd3ff8a019b7!8m2!3d33.6962974!4d-112.1504486!16s%2Fm%2F05zrt_6!19sChIJW9hOZQ9mK4cRtxmg-D-92QQ?authuser=0&hl=en&rclk=1,Theme parks in Phoenix Arizona,3.5,7134,+1 623-201-2000,"4243 W Pinnacle Peak Rd, Glendale, AZ 85310, United States",sixflags.com
World of Illumination - N. Phoenix,https://www.google.com/maps/place/World+of+Illumination+-+N.+Phoenix/data=!4m7!3m6!1s0x872b673d79d01521:0xfde95748436a45ea!8m2!3d33.6961087!4d-112.1512184!16s%2Fg%2F11tdtqg7nx!19sChIJIRXQeT1nK4cR6kVqQ0hX6f0?authuser=0&hl=en&rclk=1,Theme parks in Phoenix Arizona,4.8,216,-,"4243 W Pinnacle Peak Rd, Glendale, AZ 85310, United States",worldofillumination.com
Funbox Glendale,https://www.google.com/maps/place/Funbox+Glendale/data=!4m7!3m6!1s0x872b696007d658b5:0x6eb43f4f0a8af10f!8m2!3d33.6438631!4d-112.226328!16s%2Fg%2F11kb0n8lgj!19sChIJtVjWB2BpK4cRD_GKCk8_tG4?authuser=0&hl=en&rclk=1,Theme parks in Phoenix Arizona,4.1,38,+1 914-953-8425,"7700 W Arrowhead Towne Center, Glendale, AZ 85308, United States",funbox.com
