Name,URL,Query,Rating,Reviews,Phone,Address,Website
Pauly Presley Realty,https://www.google.com/maps/place/Pauly+Presley+Realty/data=!4m7!3m6!1s0x8644b5cbe9db00c9:0x27f4943a4bf703ee!8m2!3d30.259044!4d-97.715373!16s%2Fg%2F1th0bv7_!19sChIJyQDb6cu1RIYR7gP3SzqU9Cc?authuser=0&hl=en&rclk=1,Real estate agents in Austin Texas,5.0,765,+1 512-482-9602,"2401 E 6th St #3033, Austin, TX 78702, United States",paulypresleyrealty.com
Spyglass Realty,https://www.google.com/maps/place/Spyglass+Realty/data=!4m7!3m6!1s0x865b4b06dd7c1f8d:0xdb6003536f592561!8m2!3d30.248024!4d-97.7741216!16s%2Fg%2F1wfvn1vc!19sChIJjR983QZLW4YRYSVZb1MDYNs?authuser=0&hl=en&rclk=1,Real estate agents in Austin Texas,5.0,777,+1 512-580-9338,"2130 Goodrich Ave, Austin, TX 78704, United States",spyglassrealty.com
Bramlett Residential Real Estate,https://www.google.com/maps/place/Bramlett+Residential+Real+Estate/data=!4m7!3m6!1s0x8644cae1b2fd67bd:0x83c82eae7d8d864b!8m2!3d30.3219745!4d-97.7391002!16s%2Fg%2F1tg870zx!19sChIJvWf9suHKRIYRS4aNfa4uyIM?authuser=0&hl=en&rclk=1,Real estate agents in Austin Texas,5.0,1014,+1 512-872-4487,"5025 Burnet Rd #201, Austin, TX 78756, United States",bramlettresidential.com
Realty Austin Compass - Central,https://www.google.com/maps/place/Realty+Austin+Compass+-+Central/data=!4m7!3m6!1s0x8644b514640cba73:0x3043296ea6e5fc7!8m2!3d30.3156766!4d-97.7346402!16s%2Fg%2F1tjyt_k3!19sChIJc7oMZBS1RIYRx19u6pYyBAM?authuser=0&hl=en&rclk=1,Real estate agents in Austin Texas,5.0,1595,+1 512-241-1300,"4615 N Lamar Blvd #303B, Austin, TX 78751, United States",realtyaustin.com
Realty Austin Compass,https://www.google.com/maps/place/Realty+Austin+Compass/data=!4m7!3m6!1s0x865b4b99d883a9ef:0x34a5612ff7b37e3c!8m2!3d30.2563056!4d-97.8694999!16s%2Fg%2F1hjh5lk4l!19sChIJ76mD2JlLW4YRPH6z9y9hpTQ?authuser=0&hl=en&rclk=1,Real estate agents in Austin Texas,5.0,1158,+1 512-241-1300,"7415 Southwest Pkwy #2-200, Austin, TX 78735, United States",realtyaustin.com
Pride of Texas Real Estate,https://www.google.com/maps/place/Pride+of+Texas+Real+Estate/data=!4m7!3m6!1s0x8644b5a606f67b61:0xa612be062d6c4ed6!8m2!3d30.2552606!4d-97.7352446!16s%2Fg%2F1tfjfy97!19sChIJYXv2Bqa1RIYR1k5sLQa-EqY?authuser=0&hl=en&rclk=1,Real estate agents in Austin Texas,4.9,114,+1 512-410-8037,"1107 Lambie St, Austin, TX 78702, United States",prideoftexas.net
The Agency Texas,https://www.google.com/maps/place/The+Agency+Texas/data=!4m7!3m6!1s0x8644ca343fb39177:0x149b8a761a36554c!8m2!3d30.3417782!4d-97.7159821!16s%2Fg%2F11c3s9609w!19sChIJd5GzPzTKRIYRTFU2GnaKmxQ?authuser=0&hl=en&rclk=1,Real estate agents in Austin Texas,4.9,682,+1 713-234-6880,"7427 N Lamar Blvd, Austin, TX 78752, United States",theagencytexas.com
Cain Realty Group,https://www.google.com/maps/place/Cain+Realty+Group/data=!4m7!3m6!1s0x865b4ad04c934a1b:0x5c2e40e37a8df611!8m2!3d30.2332406!4d-97.7864466!16s%2Fg%2F1pychl59f!19sChIJG0qTTNBKW4YREfaNeuNALlw?authuser=0&hl=en&rclk=1,Real estate agents in Austin Texas,5.0,655,+1 512-675-7653,"4010 Menchaca Rd, Austin, TX 78704, United States",cainrealtygroup.com
"Adelina Rotar, Texas Realty Group","https://www.google.com/maps/place/Adelina+Rotar,+Texas+Realty+Group/data=!4m7!3m6!1s0x865b4b3f4a14a44b:0xb2f152005c08a7a!8m2!3d30.2732349!4d-97.816794!16s%2Fg%2F11f62cyqby!19sChIJS6QUSj9LW4YReorABSAVLws?authuser=0&hl=en&rclk=1",Real estate agents in Austin Texas,5.0,608,+1 512-649-2048,"1515 S Capital of Texas Hwy, Austin, TX 78746, United States",texasrealtygroup.com
Byrne Real Estate Group,https://www.google.com/maps/place/Byrne+Real+Estate+Group/data=!4m7!3m6!1s0x865b4ac9cca8c5f9:0x6c588534a6f40316!8m2!3d30.2749713!4d-97.8029431!16s%2Fg%2F1hhh_sthw!19sChIJ-cWozMlKW4YRFgP0pjSFWGw?authuser=0&hl=en&rclk=1,Real estate agents in Austin Texas,5.0,1068,+1 512-942-7880,"3355 Bee Caves Rd Suite 301B, Austin, TX 78746, United States",byrne-austin.com
The Speed & Neuren Group - Austin Realtors,https://www.google.com/maps/place/The+Speed+%26+Neuren+Group+-+Austin+Realtors/data=!4m7!3m6!1s0x8644b58fa5400219:0x6450bd914d360d64!8m2!3d30.2681186!4d-97.7845456!16s%2Fg%2F11l31rx69v!19sChIJGQJApY-1RIYRZA02TZG9UGQ?authuser=0&hl=en&rclk=1,Real estate agents in Austin Texas,5.0,271,+1 512-913-6987,"2500, 3 Bee Caves Rd Bldg, Suite 200, Austin, TX 78746, United States",speed-neurengroup.com
Realty Austin Compass - North,https://www.google.com/maps/place/Realty+Austin+Compass+-+North/data=!4m7!3m6!1s0x8644d2b9e5e400a9:0xd4d9839e07028a30!8m2!3d30.4735422!4d-97.8013208!16s%2Fg%2F1yfh_kmxd!19sChIJqQDk5bnSRIYRMIoCB56D2dQ?authuser=0&hl=en&rclk=1,Real estate agents in Austin Texas,5.0,1057,+1 512-241-1300,"14010 US-183 #400, Austin, TX 78717, United States",realtyaustin.com
Ready Front Real Estate,https://www.google.com/maps/place/Ready+Front+Real+Estate/data=!4m7!3m6!1s0x8644b53234bd3e15:0xb1f95fe8dc8a7f44!8m2!3d30.3059441!4d-97.7432389!16s%2Fg%2F11g8pyq63b!19sChIJFT69NDK1RIYRRH-K3Ohf-bE?authuser=0&hl=en&rclk=1,Real estate agents in Austin Texas,5.0,23,+1 737-210-1690,"3800 N Lamar Blvd #200, Austin, TX 78756, United States",readyfrontrealestate.com
"JBGoodwin REALTORS®, Northwest Austin","https://www.google.com/maps/place/JBGoodwin+REALTORS%C2%AE,+Northwest+Austin/data=!4m7!3m6!1s0x8644cb71fe25e849:0x2b5859bf78d64cf9!8m2!3d30.3726461!4d-97.7530021!16s%2Fg%2F119t82f68!19sChIJSegl_nHLRIYR-UzWeL9ZWCs?authuser=0&hl=en&rclk=1",Real estate agents in Austin Texas,5.0,1023,+1 512-502-7800,"3933 Steck Ave Suite B-101, Austin, TX 78759, United States",jbgoodwin.com
"Alina Gibbs | English Korean Russian Kazakh Speaking Realtor Austin, Texas | Русскоязычный Риэлтор Остин, Техас","https://www.google.com/maps/place/Alina+Gibbs+%7C+English+Korean+Russian+Kazakh+Speaking+Realtor+Austin,+Texas+%7C+%D0%A0%D1%83%D1%81%D1%81%D0%BA%D0%BE%D1%8F%D0%B7%D1%8B%D1%87%D0%BD%D1%8B%D0%B9+%D0%A0%D0%B8%D1%8D%D0%BB%D1%82%D0%BE%D1%80+%D0%9E%D1%81%D1%82%D0%B8%D0%BD,+%D0%A2%D0%B5%D1%85%D0%B0%D1%81/data=!4m7!3m6!1s0x8644cc8bab0f9975:0x1165df18220f061f!8m2!3d30.386187!4d-97.736518!16s%2Fg%2F11hblb627k!19sChIJdZkPq4vMRIYRHwYPIhjfZRE?authuser=0&hl=en&rclk=1",Real estate agents in Austin Texas,4.8,73,+1 512-317-0575,"9606 N Mopac Expy #950, Austin, TX 78759, United States",alinagibbs.com
The Roman Lopez Real Estate Team,https://www.google.com/maps/place/The+Roman+Lopez+Real+Estate+Team/data=!4m7!3m6!1s0x865b4ad04c2d11dd:0x9fd288e55729bd03!8m2!3d30.2595296!4d-97.7935404!16s%2Fg%2F1hc8fc5kn!19sChIJ3REtTNBKW4YRA70pV-WI0p8?authuser=0&hl=en&rclk=1,Real estate agents in Austin Texas,4.8,103,+1 512-399-0368,"1801 S MoPac Expy #100, Austin, TX 78746, United States",romanlopez.com
Remax Kathy De La Cruz Realtor,https://www.google.com/maps/place/Remax+Kathy+De+La+Cruz+Realtor/data=!4m7!3m6!1s0x865b4ac7938ace5f:0xc0307bb595424353!8m2!3d30.2738638!4d-97.7532093!16s%2Fg%2F1tdw3x6g!19sChIJX86Kk8dKW4YRU0NClbV7MMA?authuser=0&hl=en&rclk=1,Real estate agents in Austin Texas,4.6,55,+1 512-470-4877,"724B N Lamar Blvd, Austin, TX 78703, United States",atxmovenow.com
STRÜB Residential Group,https://www.google.com/maps/place/STR%C3%9CB+Residential+Group/data=!4m7!3m6!1s0x8644ca7b1ecec78b:0xc60307a4c921bdbf!8m2!3d30.275913!4d-97.7441529!16s%2Fg%2F1td5gj0_!19sChIJi8fOHnvKRIYRv70hyaQHA8Y?authuser=0&hl=en&rclk=1,Real estate agents in Austin Texas,5.0,299,+1 512-902-9966,"1212 Guadalupe St, Austin, TX 78701, United States",strub.com
Austin Absolute Realty,https://www.google.com/maps/place/Austin+Absolute+Realty/data=!4m7!3m6!1s0x8644ca3c860dd771:0xaf36e017c6c2bc4!8m2!3d30.4592992!4d-97.7949924!16s%2Fg%2F1tznmr87!19sChIJcdcNhjzKRIYRxCtsfAFu8wo?authuser=0&hl=en&rclk=1,Real estate agents in Austin Texas,4.8,43,+1 512-535-1134,"13740 Research Blvd Unit K7, Austin, TX 78750, United States",austinabsoluterealty.com
Local Life Realty,https://www.google.com/maps/place/Local+Life+Realty/data=!4m7!3m6!1s0x8644b5ddc83bdd1d:0x4bc88be7427a0a21!8m2!3d30.3953933!4d-97.727517!16s%2Fg%2F11g8nqjbr7!19sChIJHd07yN21RIYRIQp6QueLyEs?authuser=0&hl=en&rclk=1,Real estate agents in Austin Texas,5.0,55,+1 512-502-5117,"3220 Feathergrass Ct Suite 120, Austin, TX 78758, United States",localliferealty.net
"Reinae Kessler, Broker - Austin Home Girls Realty","https://www.google.com/maps/place/Reinae+Kessler,+Broker+-+Austin+Home+Girls+Realty/data=!4m7!3m6!1s0x8644b51553289bfd:0xc6935cb5afaea686!8m2!3d30.2644215!4d-97.781286!16s%2Fg%2F1tdm8qgv!19sChIJ_ZsoUxW1RIYRhqaur7Vck8Y?authuser=0&hl=en&rclk=1",Real estate agents in Austin Texas,4.9,80,+1 512-983-8556,"901 S MoPac Expy Bldg 1, Ste 300, Austin, TX 78746, United States",austinhomegirlsrealty.com
