Name,URL,Query,Rating,Reviews,Phone,Address,Website
"Evan Downey | Evan Downey Real Estate Group, eXp Realty","https://www.google.com/maps/place/Evan+Downey+%7C+Evan+Downey+Real+Estate+Group,+eXp+Realty/data=!4m7!3m6!1s0x864c3d4e7baeee6f:0x6aef2fd11dd9dbc1!8m2!3d33.011523!4d-96.6891306!16s%2Fg%2F11ncl516hs!19sChIJb-6ue049TIYRwdvZHdEv72o?authuser=0&hl=en&rclk=1",Real estate agents in Dallas Texas,5.0,81,+1 214-997-4929,-,evandowneyrealestate.com
Skyline Realty Firm,https://www.google.com/maps/place/Skyline+Realty+Firm/data=!4m7!3m6!1s0x864c2155e9e75531:0xd2bb6c8a9d0bcee9!8m2!3d32.8218715!4d-96.7892409!16s%2Fg%2F11cnd9qb3m!19sChIJMVXn6VUhTIYR6c4LnYpsu9I?authuser=0&hl=en&rclk=1,Real estate agents in Dallas Texas,4.9,61,+1 469-250-1999,"4514 Cole Ave # 600, Dallas, TX 75205, United States",skylinerealtydallas.com
Alex Prins Real Estate Agent - Compass,https://www.google.com/maps/place/Alex+Prins+Real+Estate+Agent+-+Compass/data=!4m7!3m6!1s0x864e9ecd12b8c10b:0xa6a705662118c8b7!8m2!3d32.8642196!4d-96.8102026!16s%2Fg%2F11b6gnqfp6!19sChIJC8G4Es2eToYRt8gYIWYFp6Y?authuser=0&hl=en&rclk=1,Real estate agents in Dallas Texas,4.9,78,+1 504-400-7822,"5960 Berkshire Ln #700, Dallas, TX 75225, United States",-
Templeton Real Estate Group,https://www.google.com/maps/place/Templeton+Real+Estate+Group/data=!4m7!3m6!1s0x864e990384f954af:0x112aa77026b6680f!8m2!3d32.8049904!4d-96.8144389!16s%2Fg%2F11k1d9kzly!19sChIJr1T5hAOZToYRD2i2JnCnKhE?authuser=0&hl=en&rclk=1,Real estate agents in Dallas Texas,5.0,217,+1 972-677-3991,"3800 Maple Ave #800, Dallas, TX 75219, United States",tregdfw.com
"Jay Robbins, Robbins Real Estate Group","https://www.google.com/maps/place/Jay+Robbins,+Robbins+Real+Estate+Group/data=!4m7!3m6!1s0x864c211677a8ccb1:0xa1259c53fa6c85e3!8m2!3d32.7901241!4d-96.8035094!16s%2Fg%2F1263t68h8!19sChIJscyodxYhTIYR44Vs-lOcJaE?authuser=0&hl=en&rclk=1",Real estate agents in Dallas Texas,4.8,57,+1 214-225-6916,"1920 McKinney Ave 7th floor, Dallas, TX 75201, United States",teamrobbins.com
VIP Realty,https://www.google.com/maps/place/VIP+Realty/data=!4m7!3m6!1s0x864c27750b5ee79b:0xd68c55f6468b6eb1!8m2!3d32.9111209!4d-96.8775139!16s%2Fg%2F1tdj4m2t!19sChIJm-deC3UnTIYRsW6LRvZVjNY?authuser=0&hl=en&rclk=1,Real estate agents in Dallas Texas,4.6,108,+1 214-295-4888,"3010 Lyndon B Johnson Fwy #1200, Dallas, TX 75234, United States",viprealtyinfo.com
"Mysti Stewart Group, Real Estate Agents - Dallas, TX","https://www.google.com/maps/place/Mysti+Stewart+Group,+Real+Estate+Agents+-+Dallas,+TX/data=!4m7!3m6!1s0x864e9eee55555555:0xba70e569924670db!8m2!3d32.811935!4d-96.7546646!16s%2Fg%2F11h4xhs6pg!19sChIJVVVVVe6eToYR23BGkmnlcLo?authuser=0&hl=en&rclk=1",Real estate agents in Dallas Texas,5.0,50,+1 214-213-3537,"6220 Gaston Ave #200, Dallas, TX 75214, United States",mystistewartgroup.com
REAL Dallas Properties and Management,https://www.google.com/maps/place/REAL+Dallas+Properties+and+Management/data=!4m7!3m6!1s0x864e99ccd4aad82b:0x5173e239c3d59515!8m2!3d32.8039918!4d-96.8472312!16s%2Fg%2F11jmz8vt9w!19sChIJK9iq1MyZToYRFZXVwznic1E?authuser=0&hl=en&rclk=1,Real estate agents in Dallas Texas,4.9,186,+1 469-336-5848,"4780 Iberia Ave, Dallas, TX 75207, United States",realdallasproperties.com
The Nuncio Realty Group at Paragon REALTORS,https://www.google.com/maps/place/The+Nuncio+Realty+Group+at+Paragon+REALTORS/data=!4m7!3m6!1s0x864e9f220eaf2747:0xaf52c6a9f659ad1d!8m2!3d32.8166626!4d-96.78801!16s%2Fg%2F11h0jpy_9!19sChIJRyevDiKfToYRHa1Z9qnGUq8?authuser=0&hl=en&rclk=1,Real estate agents in Dallas Texas,5.0,30,+1 214-395-0669,"4228 N Central Expy Suite 100, Dallas, TX 75206, United States",thenunciorealtygroup.com
DLG REALTY ADVISORS,https://www.google.com/maps/place/DLG+REALTY+ADVISORS/data=!4m7!3m6!1s0x864e9f10a0e0d699:0xa764e1b1643c6c38!8m2!3d32.8148269!4d-96.7903176!16s%2Fg%2F11fvfpn66j!19sChIJmdbgoBCfToYROGw8ZLHhZKc?authuser=0&hl=en&rclk=1,Real estate agents in Dallas Texas,5.0,108,+1 972-804-6800,"4131 N Central Expy Suite 975, Dallas, TX 75204, United States",dlgrealtyadvisors.com
Dallas Sage Real Estate | East Dallas Realty,https://www.google.com/maps/place/Dallas+Sage+Real+Estate+%7C+East+Dallas+Realty/data=!4m7!3m6!1s0x864e9f719e53e1f3:0x6a745a422dac0a27!8m2!3d32.8111033!4d-96.756696!16s%2Fg%2F11smgdhy28!19sChIJ8-FTnnGfToYRJwqsLUJadGo?authuser=0&hl=en&rclk=1,Real estate agents in Dallas Texas,5.0,28,+1 214-563-1608,"6031 Gaston Ave, Dallas, TX 75214, United States",eastdallasrealty.com
"Ben Baker, Realtor","https://www.google.com/maps/place/Ben+Baker,+Realtor/data=!4m7!3m6!1s0x864c23cbe686bbc5:0x18926f2e0305faf3!8m2!3d33.0006992!4d-96.7974246!16s%2Fg%2F11gbktdqz1!19sChIJxbuG5ssjTIYR8_oFAy5vkhg?authuser=0&hl=en&rclk=1",Real estate agents in Dallas Texas,4.9,120,+1 214-801-8800,"18333 Preston Rd #100, Dallas, TX 75252, United States",benbaker.kw.com
"NetWorth Realty of Dallas, LLC","https://www.google.com/maps/place/NetWorth+Realty+of+Dallas,+LLC/data=!4m7!3m6!1s0x864c20d54f850eeb:0xbc30d6ef516456a0!8m2!3d32.8280514!4d-96.7838169!16s%2Fg%2F1tgm37_3!19sChIJ6w6FT9UgTIYRoFZkUe_WMLw?authuser=0&hl=en&rclk=1",Real estate agents in Dallas Texas,4.8,165,+1 214-373-9000,"5014 McKinney Ave, Dallas, TX 75205, United States",networthrealtyusa.com
East Dallas Real Estate Group - Paragon Realtors - REALTOR®,https://www.google.com/maps/place/East+Dallas+Real+Estate+Group+-+Paragon+Realtors+-+REALTOR%C2%AE/data=!4m7!3m6!1s0x864e9f77c7cd1727:0xbadc73c5837f87d0!8m2!3d32.8164033!4d-96.7880465!16s%2Fg%2F11fk08xln4!19sChIJJxfNx3efToYR0Id_g8Vz3Lo?authuser=0&hl=en&rclk=1,Real estate agents in Dallas Texas,5.0,12,+1 214-538-7575,"4228 N Central Expy Suite 100, Dallas, TX 75206, United States",eastdallasrealestate.com
NB Elite Realty LLC,https://www.google.com/maps/place/NB+Elite+Realty+LLC/data=!4m7!3m6!1s0x864e99c03236c27b:0x9a860ed75d6e0412!8m2!3d32.781925!4d-96.798178!16s%2Fg%2F11gtz4ln_z!19sChIJe8I2MsCZToYREgRuXdcOhpo?authuser=0&hl=en&rclk=1,Real estate agents in Dallas Texas,4.7,36,+1 844-444-6237,"1601 Elm St f33, Dallas, TX 75201, United States",nbeliterealty.com
