Name,URL,Query,Rating,Reviews,Phone,Address,Website
Nika & Co,https://www.google.com/maps/place/Nika+%26+Co/data=!4m7!3m6!1s0x8824d3243605ffd7:0x533c0e2306b76fb5!8m2!3d42.3508283!4d-83.0640912!16s%2Fg%2F11j68cwqdz!19sChIJ1_8FNiTTJIgRtW-3BiMOPFM?authuser=0&hl=en&rclk=1,Real estate agents in Detroit Michigan,4.9,64,+1 313-858-6580,"4221 Cass Ave #200, Detroit, MI 48201, United States",nika.co
"Match Realty, LLC","https://www.google.com/maps/place/Match+Realty,+LLC/data=!4m7!3m6!1s0x883b2d0b16923807:0xc4019540a3ddf169!8m2!3d42.3350089!4d-83.045577!16s%2Fg%2F11twv0g21v!19sChIJBziSFgstO4gRafHdo0CVAcQ?authuser=0&hl=en&rclk=1",Real estate agents in Detroit Michigan,4.9,99,+1 313-482-7432,"1300 Broadway St, Detroit, MI 48226, United States",matchrealty.com
Berkshire Hathaway HomeServices The Loft Warehouse,https://www.google.com/maps/place/Berkshire+Hathaway+HomeServices+The+Loft+Warehouse/data=!4m7!3m6!1s0x8824d2da6e7da489:0xfd24778f486de71!8m2!3d42.3505339!4d-83.0430952!16s%2Fg%2F1th63_f0!19sChIJiaR9btrSJIgRcd6G9HhH0g8?authuser=0&hl=en&rclk=1,Real estate agents in Detroit Michigan,4.8,216,+1 313-658-6400,"3434 Russell St STE 101, Detroit, MI 48207, United States",theloftwarehouse.com
Rocket Homes,https://www.google.com/maps/place/Rocket+Homes/data=!4m7!3m6!1s0x883b2d30258fa427:0x3518e1e35d8719d2!8m2!3d42.3307108!4d-83.0479262!16s%2Fg%2F1tnctkqk!19sChIJJ6SPJTAtO4gR0hmHXePhGDU?authuser=0&hl=en&rclk=1,Real estate agents in Detroit Michigan,4.6,622,+1 833-297-9378,"719 Griswold St, Detroit, MI 48226, United States",rockethomes.com
Realtyflo Inc,https://www.google.com/maps/place/Realtyflo+Inc/data=!4m7!3m6!1s0x883b2d2546632e27:0x6d9e9b25ef159c8b!8m2!3d42.3320484!4d-83.0475706!16s%2Fg%2F11c2nncb7l!19sChIJJy5jRiUtO4gRi5wV7yWbnm0?authuser=0&hl=en&rclk=1,Real estate agents in Detroit Michigan,4.9,41,+1 313-466-7253,"1001 Woodward Building, Woodward Ave Ste 500, Detroit, MI 48226, United States",realtyflo.com
Alan Davidov - @properties Christie's International Real Estate Detroit,https://www.google.com/maps/place/Alan+Davidov+-+@properties+Christie%27s+International+Real+Estate+Detroit/data=!4m7!3m6!1s0x8824cf07ca8cc919:0xda70d5918074a01a!8m2!3d42.3447181!4d-83.0566559!16s%2Fg%2F11f86bh78q!19sChIJGcmMygfPJIgRGqB0gJHVcNo?authuser=0&hl=en&rclk=1,Real estate agents in Detroit Michigan,4.9,73,+1 313-404-7653,"3100 Woodward Ave #25, Detroit, MI 48201, United States",-
"Erica Collica, Max Broock Realtors Detroit","https://www.google.com/maps/place/Erica+Collica,+Max+Broock+Realtors+Detroit/data=!4m7!3m6!1s0x883b2d7a6e5079fd:0xca31c67a69ee93d1!8m2!3d42.3477291!4d-83.0584794!16s%2Fg%2F11hzfm2240!19sChIJ_XlQbnotO4gR0ZPuaXrGMco?authuser=0&hl=en&rclk=1",Real estate agents in Detroit Michigan,5.0,44,+1 248-830-4970,"3633 Woodward Ave, Detroit, MI 48201, United States",meeterica.com
Munoz Realty Inc,https://www.google.com/maps/place/Munoz+Realty+Inc/data=!4m7!3m6!1s0x883b33006714bfdf:0x17d87f7bc9fc09f5!8m2!3d42.3069942!4d-83.1242615!16s%2Fg%2F1txy2_xg!19sChIJ378UZwAzO4gR9Qn8yXt_2Bc?authuser=0&hl=en&rclk=1,Real estate agents in Detroit Michigan,3.9,218,+1 313-914-7545,"1619 Springwells St, Detroit, MI 48209, United States",munozrealty.com
"Jan Dijkers, Berkshire Hathaway HomeServices The Loft Warehouse - Real Estate agent","https://www.google.com/maps/place/Jan+Dijkers,+Berkshire+Hathaway+HomeServices+The+Loft+Warehouse+-+Real+Estate+agent/data=!4m7!3m6!1s0x8824d30df33abeff:0x34b37fa415e12b78!8m2!3d42.3505882!4d-83.0431899!16s%2Fg%2F11qlrxfnw8!19sChIJ_7468w3TJIgReCvhFaR_szQ?authuser=0&hl=en&rclk=1",Real estate agents in Detroit Michigan,5.0,47,+1 313-319-1370,"3434 Russell St STE 101, Detroit, MI 48207, United States",jandijkers.com
City Living Detroit | @properties Christie's International Real Estate,https://www.google.com/maps/place/City+Living+Detroit+%7C+@properties+Christie%27s+International+Real+Estate/data=!4m7!3m6!1s0x8824d29d0ea67c15:0x19f8cbe849bf0103!8m2!3d42.3447181!4d-83.0566559!16s%2Fg%2F11g9j68xfb!19sChIJFXymDp3SJIgRAwG_SejL-Bk?authuser=0&hl=en&rclk=1,Real estate agents in Detroit Michigan,4.7,16,+1 313-550-2307,"3100 Woodward Ave #25, Detroit, MI 48201, United States",citylivingdetroit.com
Charlie Ponders - KW City - Detroit Real Estate Agent,https://www.google.com/maps/place/Charlie+Ponders+-+KW+City+-+Detroit+Real+Estate+Agent/data=!4m7!3m6!1s0x8824d38f16e8c777:0x20abeade7d8a491f!8m2!3d42.3602801!4d-83.0661102!16s%2Fg%2F11vs997v_s!19sChIJd8foFo_TJIgRH0mKfd7qqyA?authuser=0&hl=en&rclk=1,Real estate agents in Detroit Michigan,5.0,16,+1 248-703-5833,"15 E Kirby St, Detroit, MI 48202, United States",charlieponders.kw.com
Social House Group,https://www.google.com/maps/place/Social+House+Group/data=!4m7!3m6!1s0x8824ad44cc856623:0x63d5fabef6aadf2c!8m2!3d42.3512385!4d-83.0670519!16s%2Fg%2F11h5wp6rdm!19sChIJI2aFzEStJIgRLN-q9r761WM?authuser=0&hl=en&rclk=1,Real estate agents in Detroit Michigan,4.9,146,+1 734-620-4736,"4417 2nd Ave Ste B, Detroit, MI 48201, United States",socialhousegroup.com
Troy Puste - EXP Realty,https://www.google.com/maps/place/Troy+Puste+-+EXP+Realty/data=!4m7!3m6!1s0x883b2da42ca5aa57:0x907ad183296f2206!8m2!3d42.3289256!4d-83.0481492!16s%2Fg%2F11c1nybr31!19sChIJV6qlLKQtO4gRBiJvKYPRepA?authuser=0&hl=en&rclk=1,Real estate agents in Detroit Michigan,4.7,38,+1 734-642-6656,"211 W Congress St #320, Detroit, MI 48226, United States",troypuste.exprealty.com
PREP Realty,https://www.google.com/maps/place/PREP+Realty/data=!4m7!3m6!1s0x883b2d62f0bbee67:0x4aec398a11d7bbd2!8m2!3d42.3535343!4d-83.06831!16s%2Fg%2F11gs_9m0jq!19sChIJZ-678GItO4gR0rvXEYo57Eo?authuser=0&hl=en&rclk=1,Real estate agents in Detroit Michigan,4.5,35,+1 313-855-7737,"4741 2nd Ave, Detroit, MI 48201, United States",prepsold.com
Ryan Lane Realtor,https://www.google.com/maps/place/Ryan+Lane+Realtor/data=!4m7!3m6!1s0x8824c7aa105766fb:0x36e11a61c1943fd8!8m2!3d42.3477337!4d-83.0584579!16s%2Fg%2F11fz28_c84!19sChIJ-2ZXEKrHJIgR2D-UwWEa4TY?authuser=0&hl=en&rclk=1,Real estate agents in Detroit Michigan,5.0,17,+1 248-408-7951,"3633 Woodward Ave, Detroit, MI 48201, United States",ryanlanerealtor.com
Adrienne Ponce Realty,https://www.google.com/maps/place/Adrienne+Ponce+Realty/data=!4m7!3m6!1s0x8824cb4800736df7:0x27e77a61f855f7f7!8m2!3d42.3721713!4d-83.2098208!16s%2Fg%2F11s0k76z5b!19sChIJ921zAEjLJIgR9_dV-GF65yc?authuser=0&hl=en&rclk=1,Real estate agents in Detroit Michigan,5.0,26,+1 586-339-4870,"16603 Plymouth Rd Suite 1, Detroit, MI 48227, United States",adrienneponce.exprealty.com
"Tegest Walker - Metro Detroit, MI Realtor - BHHS The Loft Warehouse","https://www.google.com/maps/place/Tegest+Walker+-+Metro+Detroit,+MI+Realtor+-+BHHS+The+Loft+Warehouse/data=!4m7!3m6!1s0xdf3b7f62cb11a0b:0x6da2f44c4a05b7f!8m2!3d42.3505882!4d-83.0431899!16s%2Fg%2F11rzp9dktd!19sChIJCxqxLPa38w0Rf1ugxEQv2gY?authuser=0&hl=en&rclk=1",Real estate agents in Detroit Michigan,5.0,12,+1 313-520-0336,"3434 Russell St STE 101, Detroit, MI 48207, United States",tegestwalker.com
