Name,URL,Query,Rating,Reviews,Phone,Address,Website
Found Realty Group,https://www.google.com/maps/place/Found+Realty+Group/data=!4m7!3m6!1s0x8640c760b10f7d41:0xb3f86d87d5a92104!8m2!3d29.803205!4d-95.408637!16s%2Fg%2F1tgxtycs!19sChIJQX0PsWDHQIYRBCGp1Ydt-LM?authuser=0&hl=en&rclk=1,Real estate agents in Houston Texas,5.0,650,+1 713-574-9858,"613 1/2 W 19th St, Houston, TX 77008, United States",foundrealtyhouston.com
NextGen Real Estate,https://www.google.com/maps/place/NextGen+Real+Estate/data=!4m7!3m6!1s0x8640b9a143c184c9:0xa510bc108024b038!8m2!3d29.7834283!4d-95.5162759!16s%2Fg%2F11pc3rphgh!19sChIJyYTBQ6G5QIYROLAkgBC8EKU?authuser=0&hl=en&rclk=1,Real estate agents in Houston Texas,4.9,317,+1 346-888-2525,"9135 Katy Fwy #211, Houston, TX 77024, United States",nextgen.realestate
Jay Thomas Real Estate Team,https://www.google.com/maps/place/Jay+Thomas+Real+Estate+Team/data=!4m7!3m6!1s0x8640c13c5703699d:0xb536d964aca0ebec!8m2!3d29.7334656!4d-95.4227762!16s%2Fg%2F11c5xmkwbb!19sChIJnWkDVzzBQIYR7OugrGTZNrU?authuser=0&hl=en&rclk=1,Real estate agents in Houston Texas,4.9,90,+1 832-889-5607,"2925 Richmond Ave., Houston, TX 77098, United States",householdrebate.com
Houston Properties Team,https://www.google.com/maps/place/Houston+Properties+Team/data=!4m7!3m6!1s0x8640bf3ab4128d3b:0xecd97df890dd0cfe!8m2!3d29.7546722!4d-95.4839255!16s%2Fg%2F11h02mzpt!19sChIJO40StDq_QIYR_gzdkPh92ew?authuser=0&hl=en&rclk=1,Real estate agents in Houston Texas,5.0,912,+1 713-425-4194,"1220 Augusta Dr Suite 300, Houston, TX 77057, United States",houstonproperties.com
Houston Broker Team,https://www.google.com/maps/place/Houston+Broker+Team/data=!4m7!3m6!1s0x8640c55ec68080bd:0xb7bc1f9daeaf882c!8m2!3d29.7546993!4d-95.48327!16s%2Fg%2F11j47zp0hp!19sChIJvYCAxl7FQIYRLIivrp0fvLc?authuser=0&hl=en&rclk=1,Real estate agents in Houston Texas,4.9,108,+1 713-494-8170,"1220 Augusta Dr Ste 300, Houston, TX 77057, United States",houstonbroker.com
The MOVEMETOTX Team,https://www.google.com/maps/place/The+MOVEMETOTX+Team/data=!4m7!3m6!1s0x8640c168d896f8ad:0x2504916271f32c34!8m2!3d29.7235375!4d-95.3795159!16s%2Fg%2F11c57y8q62!19sChIJrfiW2GjBQIYRNCzzcWKRBCU?authuser=0&hl=en&rclk=1,Real estate agents in Houston Texas,4.9,166,+1 832-558-2522,"1834 Southmore Blvd, Houston, TX 77004, United States",movemetotx.com
Corcoran Prestige Realty,https://www.google.com/maps/place/Corcoran+Prestige+Realty/data=!4m7!3m6!1s0x8640bf0d4417653f:0x6cc487e82b1732e1!8m2!3d29.8045019!4d-95.4288101!16s%2Fg%2F1pty5rzb8!19sChIJP2UXRA2_QIYR4TIXK-iHxGw?authuser=0&hl=en&rclk=1,Real estate agents in Houston Texas,4.9,240,+1 713-364-4003,"2000 Ella Blvd, Houston, TX 77008, United States",corcoranprestige.com
CB Realty,https://www.google.com/maps/place/CB+Realty/data=!4m7!3m6!1s0x8640c736ec624bed:0x871cbb5a2d134914!8m2!3d29.810293!4d-95.481182!16s%2Fg%2F11bbrk2tgh!19sChIJ7Uti7DbHQIYRFEkTLVq7HIc?authuser=0&hl=en&rclk=1,Real estate agents in Houston Texas,5.0,199,+1 832-581-3661,"2067 Jacquelyn Dr, Houston, TX 77055, United States",cbrealtyteam.com
"Jennifer Yoingco, Houston REALTOR","https://www.google.com/maps/place/Jennifer+Yoingco,+Houston+REALTOR/data=!4m7!3m6!1s0x864732e250acee49:0x78cf819e00771264!8m2!3d29.8879743!4d-95.6417812!16s%2Fg%2F11f3wqyvfr!19sChIJSe6sUOIyR4YRZBJ3AJ6Bz3g?authuser=0&hl=en&rclk=1",Real estate agents in Houston Texas,5.0,182,+1 832-286-8636,"15420 Ridge Park Dr, Houston, TX 77095, United States",houstonsuburb.com
Energy Realty,https://www.google.com/maps/place/Energy+Realty/data=!4m7!3m6!1s0x8640db8c9ff62a8d:0x6a00a07292be5b85!8m2!3d29.7680861!4d-95.6230078!16s%2Fg%2F1260_9_gj!19sChIJjSr2n4zbQIYRhVu-knKgAGo?authuser=0&hl=en&rclk=1,Real estate agents in Houston Texas,4.7,137,+1 281-679-6266,"1111 Eldridge Pkwy Ste 200, Houston, TX 77077, United States",energy-realty.com
