Name,URL,Query,Rating,Reviews,Phone,Address,Website
"The Bizzarro Agency, New York Real Estate Agents","https://www.google.com/maps/place/The+Bizzarro+Agency,+New+York+Real+Estate+Agents/data=!4m7!3m6!1s0x89c2f4047a662a59:0xec19633db17368db!8m2!3d40.8071338!4d-73.9425488!16s%2Fg%2F12lv5511r!19sChIJWSpmegT0wokR22hzsT1jGew?authuser=0&hl=en&rclk=1",Real estate agents in New York New York,5.0,540,+1 917-979-2259,"8 W 126th St, New York, NY 10027, United States",bizzarroagency.com
Manhattan Realty Group,https://www.google.com/maps/place/Manhattan+Realty+Group/data=!4m7!3m6!1s0x89c259038c990fa7:0x884dc2a7ca9270b4!8m2!3d40.7512499!4d-73.9731679!16s%2Fg%2F11bxb9__p9!19sChIJpw-ZjANZwokRtHCSyqfCTYg?authuser=0&hl=en&rclk=1,Real estate agents in New York New York,4.9,354,+1 212-470-7070,"211 E 43rd St #804, New York, NY 10017, United States",mrgnyc.com
"REAL ESTATE Agents near Midtown Manhattan, Queens NY","https://www.google.com/maps/place/REAL+ESTATE+Agents+near+Midtown+Manhattan,+Queens+NY/data=!4m7!3m6!1s0x89c259f7b4422e27:0x177a3f28b75cd501!8m2!3d40.7563172!4d-73.9782738!16s%2Fg%2F11h9gcvwlh!19sChIJJy5CtPdZwokRAdVctyg_ehc?authuser=0&hl=en&rclk=1",Real estate agents in New York New York,5.0,13,+1 212-444-8708,"575 5th Ave Floor 14, New York, NY 10017, United States",aarealestatenyc.com
Byson Real Estate Co.,https://www.google.com/maps/place/Byson+Real+Estate+Co./data=!4m7!3m6!1s0x89c259b7e014dacf:0x682ed482fe96f70c!8m2!3d40.7332041!4d-73.8411824!16s%2Fg%2F11gy8cv8c9!19sChIJz9oU4LdZwokRDPeW_oLULmg?authuser=0&hl=en&rclk=1,Real estate agents in New York New York,4.8,84,+1 646-828-1254,-,byson.io
Highline Residential - Real Estate Brokerage,https://www.google.com/maps/place/Highline+Residential+-+Real+Estate+Brokerage/data=!4m7!3m6!1s0x89c258ff8a5f21cb:0xf5da25d55209ae49!8m2!3d40.750491!4d-73.984105!16s%2Fg%2F12hnk052g!19sChIJyyFfiv9YwokRSa4JUtUl2vU?authuser=0&hl=en&rclk=1,Real estate agents in New York New York,4.0,171,+1 212-960-8740,"10 W 37th St Fl 4, New York, NY 10018, United States",hlres.com
Most NYC Realty,https://www.google.com/maps/place/Most+NYC+Realty/data=!4m7!3m6!1s0x4f1802cee37e5353:0x8a638db31f7d3d2e!8m2!3d40.7554289!4d-73.9927124!16s%2Fg%2F11txkbb1xm!19sChIJU1N-484CGE8RLj19H7ONY4o?authuser=0&hl=en&rclk=1,Real estate agents in New York New York,5.0,41,+1 518-750-4670,"325 W 38th St #809, New York, NY 10018, United States",mostnyc.com
ELIKA Real Estate,https://www.google.com/maps/place/ELIKA+Real+Estate/data=!4m7!3m6!1s0x89c25a11454c2621:0x15bb15338c314e5c!8m2!3d40.7234004!4d-74.0054379!16s%2Fg%2F1tkc30d5!19sChIJISZMRRFawokRXE4xjDMVuxU?authuser=0&hl=en&rclk=1,Real estate agents in New York New York,4.9,66,+1 212-590-0540,"101 Avenue of the Americas 9th Floor, New York, NY 10013, United States",elikarealestate.com
Rachel Realty NYC,https://www.google.com/maps/place/Rachel+Realty+NYC/data=!4m7!3m6!1s0x89c2f6287fd017c9:0x6b78817ce2ed228e!8m2!3d40.7898996!4d-73.9757779!16s%2Fg%2F1tct9n7n!19sChIJyRfQfyj2wokRjiLt4nyBeGs?authuser=0&hl=en&rclk=1,Real estate agents in New York New York,4.8,51,+1 917-417-1550,"255 W 88th St suite 1B, New York, NY 10024, United States",rachelrealtynyc.com
Batra Group Real Estate,https://www.google.com/maps/place/Batra+Group+Real+Estate/data=!4m7!3m6!1s0x89c259a9ca6b4651:0x3d8391f6cf627309!8m2!3d40.7441619!4d-73.9853125!16s%2Fg%2F11cnp3ycbk!19sChIJUUZryqlZwokRCXNiz_aRgz0?authuser=0&hl=en&rclk=1,Real estate agents in New York New York,5.0,210,+1 646-202-1877,"79 Madison Ave, New York, NY 10016, United States",batrany.com
REAL New York,https://www.google.com/maps/place/REAL+New+York/data=!4m7!3m6!1s0x89c259288c8a4311:0xdd5cf15cac27ab61!8m2!3d40.7213064!4d-73.9874058!16s%2Fg%2F11jrrqc3d4!19sChIJEUOKjChZwokRYasnrFzxXN0?authuser=0&hl=en&rclk=1,Real estate agents in New York New York,4.7,345,+1 212-279-1289,"164 Ludlow St 1st Floor, New York, NY 10002, United States",realnewyork.com
