Name,URL,Query,Rating,Reviews,Phone,Address,Website
Whissel Realty Group,https://www.google.com/maps/place/Whissel+Realty+Group/data=!4m7!3m6!1s0x80dbfe2e5cb8be55:0x6e470b4232f3d8b5!8m2!3d32.7487676!4d-117.1255791!16s%2Fg%2F12q4wdpm7!19sChIJVb64XC7-24ARtdjzMkILR24?authuser=0&hl=en&rclk=1,Real estate agents in San Diego California,4.9,530,+1 619-473-4440,"3180 University Ave Suite 600, San Diego, CA 92104, United States",whisselrealty.com
Mike & Jessica Wolf - Coldwell Banker West - Wolf Real Estate Team,https://www.google.com/maps/place/Mike+%26+Jessica+Wolf+-+Coldwell+Banker+West+-+Wolf+Real+Estate+Team/data=!4m7!3m6!1s0x80d954ba02a34e69:0x3b22113c9dc258db!8m2!3d32.7305243!4d-117.1608177!16s%2Fg%2F1tdg_l3h!19sChIJaU6jArpU2YAR21jCnTwRIjs?authuser=0&hl=en&rclk=1,Real estate agents in San Diego California,5.0,242,+1 858-722-6847,"410 Kalmia St, San Diego, CA 92101, United States",michaeljwolf.net
"PorchLight Realty brokered by eXp Realty of Southern California, Inc.","https://www.google.com/maps/place/PorchLight+Realty+brokered+by+eXp+Realty+of+Southern+California,+Inc./data=!4m7!3m6!1s0x80d9551e335d8acf:0xd04dab7eee322f9a!8m2!3d32.7479399!4d-117.1247518!16s%2Fg%2F11c6pnn8zs!19sChIJz4pdMx5V2YARmi8y7n6rTdA?authuser=0&hl=en&rclk=1",Real estate agents in San Diego California,5.0,384,+1 619-558-2854,"3825 32nd St, San Diego, CA 92104, United States",porchlightsocal.com
Team Steele San Diego Homes,https://www.google.com/maps/place/Team+Steele+San+Diego+Homes/data=!4m7!3m6!1s0x80dc01ec51262277:0x81fd69183b32029!8m2!3d32.7708225!4d-117.1339614!16s%2Fg%2F11b75lnf4m!19sChIJdyImUewB3IARKSCzg5HWHwg?authuser=0&hl=en&rclk=1,Real estate agents in San Diego California,5.0,279,+1 619-887-4429,"2820 Camino del Rio S Ste 300, San Diego, CA 92108, United States",steelesandiegohomes.com
Alex Saavedra with Core Real Estate Services,https://www.google.com/maps/place/Alex+Saavedra+with+Core+Real+Estate+Services/data=!4m7!3m6!1s0x80d9553b96dc3b75:0x2349db7219b812d5!8m2!3d32.7487788!4d-117.1329014!16s%2Fg%2F1yg6ngqbv!19sChIJdTvcljtV2YAR1RK4GXLbSSM?authuser=0&hl=en&rclk=1,Real estate agents in San Diego California,5.0,110,+1 619-519-0683,"2828 University Ave STE 107, San Diego, CA 92104, United States",buysdhomes.com
David Demangos San Diego Realtor - EXP Realty,https://www.google.com/maps/place/David+Demangos+San+Diego+Realtor+-+EXP+Realty/data=!4m7!3m6!1s0x80dc089ec7566ded:0x3031a3a89054b38!8m2!3d32.9450664!4d-117.2411171!16s%2Fg%2F1yfj8gw_1!19sChIJ7W1Wx54I3IAROEsFiToaAwM?authuser=0&hl=en&rclk=1,Real estate agents in San Diego California,5.0,84,+1 858-232-8410,"12520 High Bluff Dr # 390, San Diego, CA 92130, United States",awesomesandiegorealestate.com
The Neuman Team - Berkshire Hathaway HomeServices California Properties,https://www.google.com/maps/place/The+Neuman+Team+-+Berkshire+Hathaway+HomeServices+California+Properties/data=!4m7!3m6!1s0x80d9535994af6b75:0x19ef281a6ed9fe3e!8m2!3d32.71068!4d-117.160293!16s%2Fg%2F1tcwrf48!19sChIJdWuvlFlT2YARPv7Zbhoo7xk?authuser=0&hl=en&rclk=1,Real estate agents in San Diego California,4.9,121,+1 619-595-7025,"516 Fifth Ave, San Diego, CA 92101, United States",sandiegodowntown.com
Greater Good Realty,https://www.google.com/maps/place/Greater+Good+Realty/data=!4m7!3m6!1s0x80d95355ece4f7fb:0x79f8312f2d2af893!8m2!3d32.7201971!4d-117.16958!16s%2Fg%2F1tjt26p9!19sChIJ-_fk7FVT2YARk_gqLS8x-Hk?authuser=0&hl=en&rclk=1,Real estate agents in San Diego California,5.0,48,+1 619-206-1551,"1420 Kettner Blvd suite 100, San Diego, CA 92101, United States",greatergoodrealty.com
"Thank You Heroes Home Rebate Program - Real Estate Agents in San Diego, California","https://www.google.com/maps/place/Thank+You+Heroes+Home+Rebate+Program+-+Real+Estate+Agents+in+San+Diego,+California/data=!4m7!3m6!1s0x80dbff915bfb3119:0xa0fb59d6f2050472!8m2!3d32.8297291!4d-117.1385775!16s%2Fg%2F11dx8yy6wc!19sChIJGTH7W5H_24ARcgQF8tZZ-6A?authuser=0&hl=en&rclk=1",Real estate agents in San Diego California,4.9,255,+1 619-937-3660,"8787 Complex Dr Suite 210, San Diego, CA 92123, United States",thankyouheroes.com
Pacific Real Estate Center,https://www.google.com/maps/place/Pacific+Real+Estate+Center/data=!4m7!3m6!1s0x80deab035f520e75:0xcd26ed2b33c50c6f!8m2!3d32.720358!4d-117.232549!16s%2Fg%2F1tdwv_m8!19sChIJdQ5SXwOr3oARbwzFMyvtJs0?authuser=0&hl=en&rclk=1,Real estate agents in San Diego California,5.0,58,+1 619-851-8100,"1005 Rosecrans St #200, San Diego, CA 92106, United States",pacificrealestatesd.com
"Jeff Rosa, San Diego REALTOR - Market Real Estate","https://www.google.com/maps/place/Jeff+Rosa,+San+Diego+REALTOR+-+Market+Real+Estate/data=!4m7!3m6!1s0x80d9572b99b42ffb:0x5202581b82fed948!8m2!3d32.8245525!4d-117.0929024!16s%2Fg%2F1ptwm41ps!19sChIJ-y-0mStX2YARSNn-ghtYAlI?authuser=0&hl=en&rclk=1",Real estate agents in San Diego California,5.0,68,+1 619-886-8790,-,marketsocal.com
Melissa Tucci,https://www.google.com/maps/place/Melissa+Tucci/data=!4m7!3m6!1s0x80d954e1c30a7a49:0xfde4de277692f9fa!8m2!3d32.7592632!4d-117.1460298!16s%2Fg%2F1tffpmst!19sChIJSXoKw-FU2YAR-vmSdife5P0?authuser=0&hl=en&rclk=1,Real estate agents in San Diego California,5.0,25,+1 619-787-6852,"4505 Park Blvd, San Diego, CA 92116, United States",melissatucci.com
Tyler Mathews - San Diego Real Estate Agent - Gluch Group - eXp Realty,https://www.google.com/maps/place/Tyler+Mathews+-+San+Diego+Real+Estate+Agent+-+Gluch+Group+-+eXp+Realty/data=!4m7!3m6!1s0x80d955792069af5b:0x3e735a813807e502!8m2!3d32.7166066!4d-117.1695229!16s%2Fg%2F11q3yl77gv!19sChIJW69pIHlV2YARAuUHOIFacz4?authuser=0&hl=en&rclk=1,Real estate agents in San Diego California,5.0,99,+1 619-391-9228,"1050 Kettner Blvd Ste. D, San Diego, CA 92101, United States",gluchgroupsandiego.com
EXP Realty - Scott Cheng Team,https://www.google.com/maps/place/EXP+Realty+-+Scott+Cheng+Team/data=!4m7!3m6!1s0x80dc0711835013ab:0x626cc98cdc53002b!8m2!3d33.0142378!4d-117.0783642!16s%2Fg%2F1th63p4q!19sChIJqxNQgxEH3IARKwBT3IzJbGI?authuser=0&hl=en&rclk=1,Real estate agents in San Diego California,5.0,166,+1 858-405-0002,"16516 Bernardo Center Dr STE 300, San Diego, CA 92128, United States",findyourhomesandiego.com
"Carol Mundell & Shaun Rivera, REALTORS | Team Mundell","https://www.google.com/maps/place/Carol+Mundell+%26+Shaun+Rivera,+REALTORS+%7C+Team+Mundell/data=!4m7!3m6!1s0x80d9553b90ff35a7:0x38a9d4d59c1a7eda!8m2!3d32.771397!4d-117.156812!16s%2Fg%2F11gf19cs4_!19sChIJpzX_kDtV2YAR2n4anNXUqTg?authuser=0&hl=en&rclk=1",Real estate agents in San Diego California,5.0,23,+1 858-967-7331,"7676 Hazard Center Dr, San Diego, CA 92108, United States",teammundell.com
