Name,URL,Query,Rating,Reviews,Phone,Address,Website
Wheelhouse Detroit,https://www.google.com/maps/place/Wheelhouse+Detroit/data=!4m7!3m6!1s0x883b2cd71393d6af:0x3ffd2479c2a68bd8!8m2!3d42.3304453!4d-83.032043!16s%2Fg%2F1tcwm6ws!19sChIJr9aTE9csO4gR2Iumwnkk_T8?authuser=0&hl=en&rclk=1,Bike rentals in Detroit Michigan,4.6,84,+1 313-656-2453,"1340 Atwater St, Detroit, MI 48207, United States",wheelhousedetroit.com
Trek Bicycle Detroit Midtown,https://www.google.com/maps/place/Trek+Bicycle+Detroit+Midtown/data=!4m7!3m6!1s0x8824d3895d336f79:0x6f38a11c29920b2b!8m2!3d42.3475808!4d-83.0582651!16s%2Fg%2F11fn52g2j1!19sChIJeW8zXYnTJIgRKwuSKRyhOG8?authuser=0&hl=en&rclk=1,Bike rentals in Detroit Michigan,4.8,88,+1 313-484-3338,"3613 Woodward Ave, Detroit, MI 48201, United States",trekbikes.com
Detroit Bikes,https://www.google.com/maps/place/Detroit+Bikes/data=!4m7!3m6!1s0x883b2d3052f705ad:0xa13bdcc8ddf9f7e5!8m2!3d46.423669!4d-129.9427086!16s%2Fg%2F11bcf2gbqc!19sChIJrQX3UjAtO4gR5ff53cjcO6E?authuser=0&hl=en&rclk=1,Bike rentals in Detroit Michigan,4.7,30,-,-,detroitbikes.com
Metropolis Cycles Bike Shop,https://www.google.com/maps/place/Metropolis+Cycles+Bike+Shop/data=!4m7!3m6!1s0x883b2d59c704ed97:0xaae64722f5d8d8ec!8m2!3d42.3311715!4d-83.0755301!16s%2Fg%2F11bc8cw2fm!19sChIJl-0Ex1ktO4gR7NjY9SJH5qo?authuser=0&hl=en&rclk=1,Bike rentals in Detroit Michigan,4.9,143,+1 313-818-3248,"2117 Michigan Ave, Detroit, MI 48216, United States",metropoliscycles.bike
MoGo Bike Share Station,https://www.google.com/maps/place/MoGo+Bike+Share+Station/data=!4m7!3m6!1s0x883b2d58e8a26ccf:0x1085aaf9e23407a3!8m2!3d42.3315208!4d-83.052377!16s%2Fg%2F11k5hfph27!19sChIJz2yi6FgtO4gRowc04vmqhRA?authuser=0&hl=en&rclk=1,Bike rentals in Detroit Michigan,5.0,1,-,"Michigan Ave &, Cass Ave, Detroit, MI 48226, United States",mogodetroit.org
The Michigan Pedaler,https://www.google.com/maps/place/The+Michigan+Pedaler/data=!4m7!3m6!1s0x883b2d35cf2d693d:0x41004eb99d33c63c!8m2!3d42.3316854!4d-83.0667171!16s%2Fg%2F11f3qx1kxt!19sChIJPWktzzUtO4gRPMYznblOAEE?authuser=0&hl=en&rclk=1,Bike rentals in Detroit Michigan,4.9,657,+1 313-744-3272,"1460 Michigan Ave, Detroit, MI 48216, United States",michiganpedaler.com
The Hub of Detroit,https://www.google.com/maps/place/The+Hub+of+Detroit/data=!4m7!3m6!1s0x8824d2b69c1e8e19:0x6940fd0e1caa064c!8m2!3d42.3463688!4d-83.0613367!16s%2Fg%2F1vzqswty!19sChIJGY4enLbSJIgRTAaqHA79QGk?authuser=0&hl=en&rclk=1,Bike rentals in Detroit Michigan,4.5,79,+1 313-833-0813,"3611 Cass Ave, Detroit, MI 48201, United States",thehubofdetroit.org
Detroit Cycle Boat,https://www.google.com/maps/place/Detroit+Cycle+Boat/data=!4m7!3m6!1s0x8824d58b509ee40d:0x969a4c7308242562!8m2!3d42.3567733!4d-82.9651252!16s%2Fg%2F11ghs70v00!19sChIJDeSeUIvVJIgRYiUkCHNMmpY?authuser=0&hl=en&rclk=1,Bike rentals in Detroit Michigan,5.0,1452,+1 313-710-5156,"150 Old St Jean St, Detroit, MI 48214, United States",detroitcycleboat.com
BIKE LIFE RENTAL,https://www.google.com/maps/place/BIKE+LIFE+RENTAL/data=!4m7!3m6!1s0x8824d1848354d575:0xf32766ead0860720!8m2!3d42.4477666!4d-83.0688007!16s%2Fg%2F11j4q26n88!19sChIJddVUg4TRJIgRIAeG0OpmJ_M?authuser=0&hl=en&rclk=1,Bike rentals in Detroit Michigan,4.8,25,-,"3511 8 Mile Rd, Warren, MI 48091, United States",-
The Garage Detroit - Bicycles and Motors,https://www.google.com/maps/place/The+Garage+Detroit+-+Bicycles+and+Motors/data=!4m7!3m6!1s0x883b35b965439b3b:0xc5d231ff1f1fb09a!8m2!3d42.3462327!4d-83.196682!16s%2Fg%2F11ptr7q4jw!19sChIJO5tDZbk1O4gRmrAfH_8x0sU?authuser=0&hl=en&rclk=1,Bike rentals in Detroit Michigan,4.7,32,+1 313-269-5003,"7405 Greenfield Rd, Detroit, MI 48228, United States",-
