Name,URL,Query,Rating,Reviews,Phone,Address,Website
El Paso BCycle: San Jacinto Plaza,https://www.google.com/maps/place/El+Paso+BCycle:+San+Jacinto+Plaza/data=!4m7!3m6!1s0x86e7599abf8e874b:0xe7006ed6b8399fd1!8m2!3d31.7598706!4d-106.4892196!16s%2Fg%2F11hzlz73k2!19sChIJS4eOv5pZ54YR0Z85uNZuAOc?authuser=0&hl=en&rclk=1,Bike rentals in El Paso Texas,5.0,1,+1 915-212-2453,"189-101 E Main St, El Paso, TX 79901, United States",elpaso.bcycle.com
Trek El Paso,https://www.google.com/maps/place/Trek+El+Paso/data=!4m7!3m6!1s0x86e7440e542cb50f:0x4d8862a358ff4acf!8m2!3d31.7742362!4d-106.2529358!16s%2Fg%2F1tcwgf68!19sChIJD7UsVA5E54YRz0r_WKNiiE0?authuser=0&hl=en&rclk=1,Bike rentals in El Paso Texas,4.7,296,+1 915-225-0011,"2260 N Zaragoza Rd #103, El Paso, TX 79938, United States",trekbikes.com
Crazy Cat Cyclery,https://www.google.com/maps/place/Crazy+Cat+Cyclery/data=!4m7!3m6!1s0x86e75844f8b901b1:0x990508bb9fef3783!8m2!3d31.7786028!4d-106.5028274!16s%2Fg%2F11b5yvhqxs!19sChIJsQG5-ERY54YRgzfvn7sIBZk?authuser=0&hl=en&rclk=1,Bike rentals in El Paso Texas,4.4,239,+1 915-532-9666,"2800 N Stanton St, El Paso, TX 79902, United States",crazycatcyclery.com
El Paso BCycle: City Hall,https://www.google.com/maps/place/El+Paso+BCycle:+City+Hall/data=!4m7!3m6!1s0x86e75962d920586d:0x27a52961a5f24e20!8m2!3d31.7615018!4d-106.4850142!16s%2Fg%2F11h4xhm55q!19sChIJbVgg2WJZ54YRIE7ypWEppSc?authuser=0&hl=en&rclk=1,Bike rentals in El Paso Texas,3.0,1,+1 915-212-2453,"300 N Campbell St, El Paso, TX 79901, United States",elpaso.bcycle.com
El Paso BCycle: Cleveland Square,https://www.google.com/maps/place/El+Paso+BCycle:+Cleveland+Square/data=!4m7!3m6!1s0x86e759131728c87d:0x697a19372f8bb6d4!8m2!3d31.7595521!4d-106.4915959!16s%2Fg%2F11hzlz8xjs!19sChIJfcgoFxNZ54YR1LaLLzcZemk?authuser=0&hl=en&rclk=1,Bike rentals in El Paso Texas,5.0,1,+1 915-212-2453,"510 N Santa Fe St, El Paso, TX 79901, United States",elpaso.bcycle.com
Trek El Paso,https://www.google.com/maps/place/Trek+El+Paso/data=!4m7!3m6!1s0x86ddff2d2f35bfc5:0x5dc1fe2bf4b2ad8b!8m2!3d31.8834666!4d-106.570487!16s%2Fg%2F11dyqrt3mk!19sChIJxb81Ly3_3YYRi62y9Cv-wV0?authuser=0&hl=en&rclk=1,Bike rentals in El Paso Texas,4.8,368,+1 915-270-9996,"1620 Resler Dr A, El Paso, TX 79911, United States",trekbikes.com
The Bike Station Store,https://www.google.com/maps/place/The+Bike+Station+Store/data=!4m7!3m6!1s0x86e75cccc59b32af:0xe5b18951bdb31bd7!8m2!3d31.7113711!4d-106.3472503!16s%2Fg%2F11bwm2nwzy!19sChIJrzKbxcxc54YR1xuzvVGJseU?authuser=0&hl=en&rclk=1,Bike rentals in El Paso Texas,4.0,114,+1 915-307-4050,"8387 Alameda Ave suite e, El Paso, TX 79907, United States",bikestationstore.com
Desert Fox Cyclery,https://www.google.com/maps/place/Desert+Fox+Cyclery/data=!4m7!3m6!1s0x86e75af81c9c4427:0x7cf56409e0e4b763!8m2!3d31.7505035!4d-106.2818298!16s%2Fg%2F11bbx0gz9r!19sChIJJ0ScHPha54YRY7fk4Alk9Xw?authuser=0&hl=en&rclk=1,Bike rentals in El Paso Texas,4.7,117,+1 915-300-1663,"1691 N Zaragoza Rd, El Paso, TX 79936, United States",-
El Paso BCycle: SunCycle,https://www.google.com/maps/place/El+Paso+BCycle:+SunCycle/data=!4m7!3m6!1s0x86e759e247891d7d:0x96b46aabee0e8edf!8m2!3d31.8111352!4d-106.4245174!16s%2Fg%2F11qmm74qz7!19sChIJfR2JR-JZ54YR344O7qtqtJY?authuser=0&hl=en&rclk=1,Bike rentals in El Paso Texas,1.0,2,+1 915-212-2453,-,elpaso.bcycle.com
El Paso BCycle: Anthony Street,https://www.google.com/maps/place/El+Paso+BCycle:+Anthony+Street/data=!4m7!3m6!1s0x86e75981466fbaeb:0x13fe80e9563c930a!8m2!3d31.7570918!4d-106.494145!16s%2Fg%2F11hzlzz698!19sChIJ67pvRoFZ54YRCpM8VumA_hM?authuser=0&hl=en&rclk=1,Bike rentals in El Paso Texas,0.0,0,+1 915-212-2453,"116 Anthony St, El Paso, TX 79901, United States",elpaso.bcycle.com
