Name,URL,Query,Rating,Reviews,Phone,Address,Website
Bayou bike rentals,https://www.google.com/maps/place/Bayou+bike+rentals/data=!4m7!3m6!1s0x8640bf488bf56e9f:0x2518ff673ee7dd39!8m2!3d29.7623973!4d-95.3759717!16s%2Fg%2F11bwm5yg6q!19sChIJn271i0i_QIYROd3nPmf_GCU?authuser=0&hl=en&rclk=1,Bike rentals in Houston Texas,4.7,110,-,-,-
EaDo Bike Co,https://www.google.com/maps/place/EaDo+Bike+Co/data=!4m7!3m6!1s0x8640bee003adb329:0x155354047b775573!8m2!3d29.7499199!4d-95.3518832!16s%2Fg%2F11g697v335!19sChIJKbOtA-C-QIYRc1V3ewRUUxU?authuser=0&hl=en&rclk=1,Bike rentals in Houston Texas,4.7,211,-,-,-
Trill On Wheels Hip-Hop Party Bike,https://www.google.com/maps/place/Trill+On+Wheels+Hip-Hop+Party+Bike/data=!4m7!3m6!1s0x8640c5d680e830ef:0x9663688827350d4c!8m2!3d29.7336863!4d-95.3754602!16s%2Fg%2F11qzyrtb7_!19sChIJ7zDogNbFQIYRTA01J4hoY5Y?authuser=0&hl=en&rclk=1,Bike rentals in Houston Texas,4.9,2897,-,-,-
Houston BCycle: Stude Park,https://www.google.com/maps/place/Houston+BCycle:+Stude+Park/data=!4m7!3m6!1s0x8640b8ae42c9fb75:0x5c6cc4efd14d9d5a!8m2!3d29.779091!4d-95.3856673!16s%2Fg%2F11cmv1xc5p!19sChIJdfvJQq64QIYRWp1N0e_EbFw?authuser=0&hl=en&rclk=1,Bike rentals in Houston Texas,4.5,28,-,-,-
West End Bicycles,https://www.google.com/maps/place/West+End+Bicycles/data=!4m7!3m6!1s0x8640c0ca53a407e5:0xacd16929881edee4!8m2!3d29.7672517!4d-95.417502!16s%2Fg%2F1tdh8v3b!19sChIJ5QekU8rAQIYR5N4eiClp0aw?authuser=0&hl=en&rclk=1,Bike rentals in Houston Texas,4.7,234,-,-,-
"Rent EBoards Houston | Surrons, EScooters, EBikes, & Personal Electric Vehicles","https://www.google.com/maps/place/Rent+EBoards+Houston+%7C+Surrons,+EScooters,+EBikes,+%26+Personal+Electric+Vehicles/data=!4m7!3m6!1s0x8640bf89b66f00d1:0x6822b43654cc8407!8m2!3d29.7666704!4d-95.3570333!16s%2Fg%2F11jgddk_q6!19sChIJ0QBvtom_QIYRB4TMVDa0Img?authuser=0&hl=en&rclk=1",Bike rentals in Houston Texas,4.9,201,-,-,-
Letsdothishouston,https://www.google.com/maps/place/Letsdothishouston/data=!4m7!3m6!1s0x8640bf678bbb5c5b:0x6d95e985fca18dac!8m2!3d29.7328792!4d-95.3660742!16s%2Fg%2F11q999xf_z!19sChIJW1y7i2e_QIYRrI2h_IXplW0?authuser=0&hl=en&rclk=1,Bike rentals in Houston Texas,4.9,41,-,-,-
Blue Line Bike Lab,https://www.google.com/maps/place/Blue+Line+Bike+Lab/data=!4m7!3m6!1s0x8640b8a83d27afd1:0x44672f2a27e26d92!8m2!3d29.79828!4d-95.3988679!16s%2Fg%2F1tdzlypj!19sChIJ0a8nPai4QIYRkm3iJyovZ0Q?authuser=0&hl=en&rclk=1,Bike rentals in Houston Texas,4.8,524,-,-,-
Planetary Cycles,https://www.google.com/maps/place/Planetary+Cycles/data=!4m7!3m6!1s0x8640c1cdef84e877:0x6f40ceff119b4a54!8m2!3d29.6862367!4d-95.4567511!16s%2Fg%2F1tmcmmbw!19sChIJd-iE783BQIYRVEqbEf_OQG8?authuser=0&hl=en&rclk=1,Bike rentals in Houston Texas,4.8,674,-,-,-
Glyderz Scooter & Bike Rentals,https://www.google.com/maps/place/Glyderz+Scooter+%26+Bike+Rentals/data=!4m7!3m6!1s0x8640bff7c2ea039f:0x52ed774f5b83e618!8m2!3d29.7571865!4d-95.3650323!16s%2Fg%2F11kgcpxdz_!19sChIJnwPqwve_QIYRGOaDW0937VI?authuser=0&hl=en&rclk=1,Bike rentals in Houston Texas,4.7,359,-,-,-
