Name,URL,Query,Rating,Reviews,Phone,Address,Website
Beach Life Rentals,https://www.google.com/maps/place/Beach+Life+Rentals/data=!4m7!3m6!1s0x88e4493ea6275abb:0xd3cee0d29de5f7a8!8m2!3d30.2945472!4d-81.3914032!16s%2Fg%2F1q6jj80wt!19sChIJu1onpj5J5IgRqPflndLgztM?authuser=0&hl=en&rclk=1,Bike rentals in Jacksonville Florida,5.0,199,+1 904-584-7368,"102 6th Ave N APT 13, Jacksonville Beach, FL 32250, United States",beachliferentals.com
Art Bikes Jax,https://www.google.com/maps/place/Art+Bikes+Jax/data=!4m7!3m6!1s0x2a9857569a8da51:0xe018ef1a533eadfb!8m2!3d30.2971062!4d-81.7031269!16s%2Fg%2F11qgky5vtw!19sChIJUdqoaXWFqQIR-60-UxrvGOA?authuser=0&hl=en&rclk=1,Bike rentals in Jacksonville Florida,5.0,135,+1 904-524-6936,"3544 St Johns Ave, Jacksonville, FL 32205, United States",artbikesjax.com
Rent Beach Stuff,https://www.google.com/maps/place/Rent+Beach+Stuff/data=!4m7!3m6!1s0x88e449aa1d107567:0x72af5f86f2f31412!8m2!3d30.2893137!4d-81.3892204!16s%2Fg%2F1tmxxdgz!19sChIJZ3UQHapJ5IgREhTz8oZfr3I?authuser=0&hl=en&rclk=1,Bike rentals in Jacksonville Florida,4.9,24,+1 904-305-6472,"11 1st St N, Jacksonville Beach, FL 32250, United States",rentbeachstuff.com
East Coast Sport Rentals,https://www.google.com/maps/place/East+Coast+Sport+Rentals/data=!4m7!3m6!1s0x88e4491ae38654b1:0xfd3e42a98ce5a467!8m2!3d30.3035601!4d-81.3915906!16s%2Fg%2F1tfmjmvd!19sChIJsVSG4xpJ5IgRZ6TljKlCPv0?authuser=0&hl=en&rclk=1,Bike rentals in Jacksonville Florida,4.7,44,+1 904-349-0997,"1617 1st St N, Jacksonville Beach, FL 32250, United States",eastcoastsportrentals.info
Bicycles Etc.,https://www.google.com/maps/place/Bicycles+Etc./data=!4m7!3m6!1s0x88e5ca30aae9a331:0x10e8723da2561616!8m2!3d30.226236!4d-81.589435!16s%2Fg%2F1tf7yjyt!19sChIJMaPpqjDK5YgRFhZWoj1y6BA?authuser=0&hl=en&rclk=1,Bike rentals in Jacksonville Florida,4.8,522,+1 904-733-9030,"8036 Philips Hwy #8, Jacksonville, FL 32256, United States",bicyclesetc.net
Open Road Bicycles,https://www.google.com/maps/place/Open+Road+Bicycles/data=!4m7!3m6!1s0x88e5b7cda4a62453:0xdd0b9e19a4bd3c86!8m2!3d30.2748276!4d-81.6509108!16s%2Fg%2F1ts3m0bz!19sChIJUySmpM235YgRhjy9pBmeC90?authuser=0&hl=en&rclk=1,Bike rentals in Jacksonville Florida,4.7,120,+1 904-636-7772,"4460 Hendricks Ave, Jacksonville, FL 32207, United States",openroadbicycles.com
ZenCog Bicycle Company,https://www.google.com/maps/place/ZenCog+Bicycle+Company/data=!4m7!3m6!1s0x88e5b77e76ce0ebb:0x9e783f19db088598!8m2!3d30.3151482!4d-81.6891455!16s%2Fg%2F1tl0y4r4!19sChIJuw7Odn635YgRmIUI2xk_eJ4?authuser=0&hl=en&rclk=1,Bike rentals in Jacksonville Florida,4.8,218,+1 904-619-0496,"883 Stockton St, Jacksonville, FL 32204, United States",zencog.com
Open Road Bicycles,https://www.google.com/maps/place/Open+Road+Bicycles/data=!4m7!3m6!1s0x88e42d5304ea777b:0x77d6fca40bff88f6!8m2!3d30.0612222!4d-81.5131916!16s%2Fg%2F1tg4m5s1!19sChIJe3fqBFMt5IgR9oj_C6T81nc?authuser=0&hl=en&rclk=1,Bike rentals in Jacksonville Florida,4.6,94,+1 904-819-0422,"2220 County Rd 210 Ste 305, St Johns, FL 32259, United States",openroadbicycles.com
Bicycle Clinic Llc,https://www.google.com/maps/place/Bicycle+Clinic+Llc/data=!4m7!3m6!1s0x88e5cbb4f37445e9:0x6b6c0ce4345e0cbc!8m2!3d30.1742141!4d-81.6050787!16s%2Fg%2F1tdbrpkg!19sChIJ6UV087TL5YgRvAxeNOQMbGs?authuser=0&hl=en&rclk=1,Bike rentals in Jacksonville Florida,4.9,342,+1 904-422-1144,"11018 Old St Augustine Rd #111, Jacksonville, FL 32257, United States",bicycleclinicjax.com
Trek Bicycle Jacksonville Lakeshore,https://www.google.com/maps/place/Trek+Bicycle+Jacksonville+Lakeshore/data=!4m7!3m6!1s0x88e5b864fdbfda51:0xbe018d2086179983!8m2!3d30.2803127!4d-81.7268198!16s%2Fg%2F1thmltg6!19sChIJUdq__WS45YgRg5kXhiCNAb4?authuser=0&hl=en&rclk=1,Bike rentals in Jacksonville Florida,4.9,595,+1 904-388-0612,"2108 Blanding Blvd, Jacksonville, FL 32210, United States",trekbikes.com
Bike Shop Cycle Spectrum,https://www.google.com/maps/place/Bike+Shop+Cycle+Spectrum/data=!4m7!3m6!1s0x88e449b22869424d:0x32002abc407609f6!8m2!3d30.2765448!4d-81.3887045!16s%2Fg%2F1td6yybf!19sChIJTUJpKLJJ5IgR9gl2QLwqADI?authuser=0&hl=en&rclk=1,Bike rentals in Jacksonville Florida,4.5,168,+1 904-249-3959,"1263 3rd St S, Jacksonville, FL 32250, United States",cyclespectrum.com
Trek Bicycle Jacksonville Beach,https://www.google.com/maps/place/Trek+Bicycle+Jacksonville+Beach/data=!4m7!3m6!1s0x88e449a04b62206d:0x7befb7550499e5a0!8m2!3d30.288562!4d-81.404205!16s%2Fg%2F1td0z8vx!19sChIJbSBiS6BJ5IgRoOWZBFW373s?authuser=0&hl=en&rclk=1,Bike rentals in Jacksonville Florida,4.9,603,+1 904-246-4433,"1313 Beach Blvd, Jacksonville Beach, FL 32250, United States",trekbikes.com
Pedal Pub Jax,https://www.google.com/maps/place/Pedal+Pub+Jax/data=!4m7!3m6!1s0x88e5b7483fa15d1d:0xd6f96c0c38fe6ed6!8m2!3d30.3172293!4d-81.697161!16s%2Fg%2F11h8fpym94!19sChIJHV2hP0i35YgR1m7-OAxs-dY?authuser=0&hl=en&rclk=1,Bike rentals in Jacksonville Florida,5.0,2571,+1 904-782-7433,"2702 Ernest St, Jacksonville, FL 32205, United States",pedalpub.com
Champion Cycling Inc,https://www.google.com/maps/place/Champion+Cycling+Inc/data=!4m7!3m6!1s0x88e4490568eb0a91:0xe8722fc2633ada9!8m2!3d30.3005162!4d-81.3938548!16s%2Fg%2F1trxl2lw!19sChIJkQrraAVJ5IgRqa0zJvwihw4?authuser=0&hl=en&rclk=1,Bike rentals in Jacksonville Florida,4.6,183,+1 904-241-0900,"1303 3rd St N, Jacksonville Beach, FL 32250, United States",championcycling.net
Bike and Beach Bike and Stand Up Paddle Board Shop,https://www.google.com/maps/place/Bike+and+Beach+Bike+and+Stand+Up+Paddle+Board+Shop/data=!4m7!3m6!1s0x88e4493a576fe457:0xd6ea31e4599b250c!8m2!3d30.3233083!4d-81.3973462!16s%2Fg%2F1wcxdxmc!19sChIJV-RvVzpJ5IgRDCWbWeQx6tY?authuser=0&hl=en&rclk=1,Bike rentals in Jacksonville Florida,4.7,96,+1 904-249-4245,"217 3rd St, Neptune Beach, FL 32266, United States",bikesdirect.com
904 Beach Rentals,https://www.google.com/maps/place/904+Beach+Rentals/data=!4m7!3m6!1s0x88e4491b133d29a9:0xe3929986ff4d6b14!8m2!3d30.34499!4d-81.6831069!16s%2Fg%2F11fkxxmzc3!19sChIJqSk9ExtJ5IgRFGtN_4aZkuM?authuser=0&hl=en&rclk=1,Bike rentals in Jacksonville Florida,5.0,10,+1 904-435-5758,-,904beachrentals.com
Pedego Electric Bikes Amelia Island,https://www.google.com/maps/place/Pedego+Electric+Bikes+Amelia+Island/data=!4m7!3m6!1s0x88e45576a350cf3b:0x60b28e69ebe445e3!8m2!3d30.5923732!4d-81.4563938!16s%2Fg%2F11n8dhyfv1!19sChIJO89Qo3ZV5IgR40Xk62mOsmA?authuser=0&hl=en&rclk=1,Bike rentals in Jacksonville Florida,5.0,211,+1 904-310-6658,"4800 1st Coast Hwy, Fernandina Beach, FL 32034, United States",pedegoelectricbikes.com
Bicycles Etc.,https://www.google.com/maps/place/Bicycles+Etc./data=!4m7!3m6!1s0x88e431786607738b:0xa2ee30c235e30cef!8m2!3d30.109656!4d-81.4184602!16s%2Fg%2F11g6qkdvxt!19sChIJi3MHZngx5IgR7wzjNcIw7qI?authuser=0&hl=en&rclk=1,Bike rentals in Jacksonville Florida,4.9,302,+1 904-373-5888,"152 Capital Green Drive, Ponte Vedra Beach, FL 32081, United States",bicyclesetc.net
The Beach Store & More,https://www.google.com/maps/place/The+Beach+Store+%26+More/data=!4m7!3m6!1s0x88e4ff37bd00dc6f:0x5dcb02ba57537960!8m2!3d30.638447!4d-81.4373837!16s%2Fg%2F1tcz93yf!19sChIJb9wAvTf_5IgRYHlTV7oCy10?authuser=0&hl=en&rclk=1,Bike rentals in Jacksonville Florida,4.8,94,+1 904-310-6124,"2021 S Fletcher Ave, Fernandina Beach, FL 32034, United States",thebeachstoreandmore.com
Jax Beach Surf Shop,https://www.google.com/maps/place/Jax+Beach+Surf+Shop/data=!4m7!3m6!1s0x88e449074da4e0a7:0x423160c3b4c778e6!8m2!3d30.2945472!4d-81.3914032!16s%2Fg%2F1tfg3xj_!19sChIJp-CkTQdJ5IgR5njHtMNgMUI?authuser=0&hl=en&rclk=1,Bike rentals in Jacksonville Florida,4.5,97,+1 904-247-7873,"102 6th Ave N APT 13, Jacksonville Beach, FL 32250, United States",jaxbeachsurfshop.com
Riptide Watersports Rentals and Tours,https://www.google.com/maps/place/Riptide+Watersports+Rentals+and+Tours/data=!4m7!3m6!1s0x88e4ffbe7dd22771:0x3779a503fd66d4e9!8m2!3d30.6683336!4d-81.4317606!16s%2Fg%2F11g0g4s827!19sChIJcSfSfb7_5IgR6dRm_QOleTc?authuser=0&hl=en&rclk=1,Bike rentals in Jacksonville Florida,4.9,255,+1 904-891-5687,"5 N Fletcher Ave, Fernandina Beach, FL 32034, United States",riptidewatersports.com
Pedego Electric Bikes Ponte Vedra,https://www.google.com/maps/place/Pedego+Electric+Bikes+Ponte+Vedra/data=!4m7!3m6!1s0x88e437eb7b228729:0xc7fdaa29a5a0edc3!8m2!3d30.2043196!4d-81.3814845!16s%2Fg%2F11hy_mzxxm!19sChIJKYcie-s35IgRw-2gpSmq_cc?authuser=0&hl=en&rclk=1,Bike rentals in Jacksonville Florida,5.0,265,+1 904-373-5204,"340 Front St Suite 750, Ponte Vedra Beach, FL 32082, United States",pedegoelectricbikes.com
SuperCorsa Cycles,https://www.google.com/maps/place/SuperCorsa+Cycles/data=!4m7!3m6!1s0x88e455bc6f7c9705:0xed3338d8cb96719b!8m2!3d30.5876426!4d-81.4570693!16s%2Fg%2F11cn6hgw3n!19sChIJBZd8b7xV5IgRm3GWy9g4M-0?authuser=0&hl=en&rclk=1,Bike rentals in Jacksonville Florida,5.0,130,+1 904-310-0003,"4925 1st Coast Hwy, Fernandina Beach, FL 32034, United States",supercorsacycles.com
Tucker Cycles,https://www.google.com/maps/place/Tucker+Cycles/data=!4m7!3m6!1s0x88e5b83ac5ae5d09:0x41224c4cdefda9bf!8m2!3d30.2972318!4d-81.7029448!16s%2Fg%2F1tff8f6f!19sChIJCV2uxTq45YgRv6n93kxMIkE?authuser=0&hl=en&rclk=1,Bike rentals in Jacksonville Florida,4.9,86,+1 904-388-9066,"3544 St Johns Ave, Jacksonville, FL 32205, United States",tuckercyclesjax.com
Champion Cycling Inc,https://www.google.com/maps/place/Champion+Cycling+Inc/data=!4m7!3m6!1s0x88e5cecc8a56413b:0x6ffcab04a8bba15b!8m2!3d30.165902!4d-81.632004!16s%2Fg%2F1ttdnt94!19sChIJO0FWiszO5YgRW6G7qASr_G8?authuser=0&hl=en&rclk=1,Bike rentals in Jacksonville Florida,4.7,112,+1 904-262-5744,"11447 San Jose Blvd, Jacksonville, FL 32223, United States",championcycling.net
Cycle Ace Bicycles,https://www.google.com/maps/place/Cycle+Ace+Bicycles/data=!4m7!3m6!1s0x88e5adfd6178915d:0xe7af98658a360414!8m2!3d30.4511323!4d-81.6033205!16s%2Fg%2F1tdd625g!19sChIJXZF4Yf2t5YgRFAQ2imWYr-c?authuser=0&hl=en&rclk=1,Bike rentals in Jacksonville Florida,4.7,69,+1 904-757-2453,"1565 Howard Rd, Jacksonville, FL 32218, United States",-
RentaBikeNow for Store #40,https://www.google.com/maps/place/RentaBikeNow+for+Store+%2340/data=!4m7!3m6!1s0x88e5b50fb27ee4c9:0x4551ba27e0640e6e!8m2!3d30.2872782!4d-81.551553!16s%2Fg%2F1tdl2cqz!19sChIJyeR-sg-15YgRbg5k4Ce6UUU?authuser=0&hl=en&rclk=1,Bike rentals in Jacksonville Florida,5.0,1,+1 847-441-4292,"10095 Beach Blvd, Jacksonville, FL 32246, United States",rentabikenow.com
Amelia's Wheels,https://www.google.com/maps/place/Amelia%27s+Wheels/data=!4m7!3m6!1s0x88e4541101c8c7f9:0xf1c69ac6728529ac!8m2!3d30.556401!4d-81.447651!16s%2Fg%2F1jljys1vm!19sChIJ-cfIARFU5IgRrCmFcsaaxvE?authuser=0&hl=en&rclk=1,Bike rentals in Jacksonville Florida,4.2,43,+1 904-277-5120,"48 Amelia Village Cir, Fernandina Beach, FL 32034, United States",omnihotels.com
Fernandina Beach Cycling & Fitness,https://www.google.com/maps/place/Fernandina+Beach+Cycling+%26+Fitness/data=!4m7!3m6!1s0x88e4fee51133b241:0xc58d52ede9246841!8m2!3d30.6702702!4d-81.4591183!16s%2Fg%2F1v8j17pp!19sChIJQbIzEeX-5IgRQWgk6e1SjcU?authuser=0&hl=en&rclk=1,Bike rentals in Jacksonville Florida,4.9,103,+1 904-277-3227,"11 S 8th St, Fernandina Beach, FL 32034, United States",fernandinabeachcyclingandfitness.com
REI,https://www.google.com/maps/place/REI/data=!4m7!3m6!1s0x88e5caa77e2de8ff:0x87ca2e49b2d2e743!8m2!3d30.2534987!4d-81.5319768!16s%2Fg%2F1v1tnxf1!19sChIJ_-gtfqfK5YgRQ-fSskkuyoc?authuser=0&hl=en&rclk=1,Bike rentals in Jacksonville Florida,4.5,429,+1 904-996-1613,"4862 Big Island Drive, Jacksonville, FL 32246, United States",rei.com
Anastasia Bicycle Rental (ABR) of St. Augustine,https://www.google.com/maps/place/Anastasia+Bicycle+Rental+%28ABR%29+of+St.+Augustine/data=!4m7!3m6!1s0x88e42749afefca81:0x2f7b79b2370a2fd!8m2!3d29.9064859!4d-81.3054114!16s%2Fg%2F11rg_gtch4!19sChIJgcrvr0kn5IgR_aJwI5u39wI?authuser=0&hl=en&rclk=1,Bike rentals in Jacksonville Florida,5.0,216,+1 904-789-1143,-,anastasiabicyclerental.com
Open Road Bicycles,https://www.google.com/maps/place/Open+Road+Bicycles/data=!4m7!3m6!1s0x88e5c53fae132b59:0x86420fa1d81fbb85!8m2!3d30.1029538!4d-81.7150745!16s%2Fg%2F1w347f8k!19sChIJWSsTrj_F5YgRhbsf2KEPQoY?authuser=0&hl=en&rclk=1,Bike rentals in Jacksonville Florida,4.5,139,+1 904-541-1816,"1560 Business Center Dr # 4, Orange Park, FL 32003, United States",openroadbicycles.com
Planet Bicycle,https://www.google.com/maps/place/Planet+Bicycle/data=!4m7!3m6!1s0x88e4493a591e730b:0xd7c77328674a78df!8m2!3d30.3254673!4d-81.4066623!16s%2Fg%2F11fj2nsj00!19sChIJC3MeWTpJ5IgR33hKZyhzx9c?authuser=0&hl=en&rclk=1,Bike rentals in Jacksonville Florida,5.0,79,+1 904-372-7448,"79 Sailfish Dr E, Atlantic Beach, FL 32233, United States",planetbicycleusa.com
EagleRider Motorcycle Rentals and Tours Jacksonville Harley-Davidson,https://www.google.com/maps/place/EagleRider+Motorcycle+Rentals+and+Tours+Jacksonville+Harley-Davidson/data=!4m7!3m6!1s0x88e5ca4f789725eb:0x14a31ed4501ec5fd!8m2!3d30.2217232!4d-81.5734991!16s%2Fg%2F11f3nkr032!19sChIJ6yWXeE_K5YgR_cUeUNQeoxQ?authuser=0&hl=en&rclk=1,Bike rentals in Jacksonville Florida,4.2,23,+1 904-425-2003,"8909 Baymeadows Rd, Jacksonville, FL 32256, United States",eaglerider.com
Bike Amelia,https://www.google.com/maps/place/Bike+Amelia/data=!4m7!3m6!1s0x88e4ff6cbe8e05b3:0x4763e7b30970620e!8m2!3d30.6679787!4d-81.4321032!16s%2Fg%2F11j3501fs4!19sChIJswWOvmz_5IgRDmJwCbPnY0c?authuser=0&hl=en&rclk=1,Bike rentals in Jacksonville Florida,5.0,39,+1 904-580-4461,"5 N Fletcher Ave, Fernandina Beach, FL 32034, United States",bikeamelia.com
