Name,URL,Query,Rating,Reviews,Phone,Address,Website
Bicycle John's,https://www.google.com/maps/place/Bicycle+John%27s/data=!4m7!3m6!1s0x80c287c8a68b2371:0x2de64a82632d1a53!8m2!3d34.4211665!4d-118.5050793!16s%2Fg%2F1tfwdrqf!19sChIJcSOLpsiHwoARUxotY4JK5i0?authuser=0&hl=en&rclk=1,Bike rentals in Los Angeles California,4.8,100,+1 661-254-7300,"26635 Valley Center Dr #108, Santa Clarita, CA 91351, United States",bicyclejohnsscv.com
RentaBikeNow for Store #181,https://www.google.com/maps/place/RentaBikeNow+for+Store+%23181/data=!4m7!3m6!1s0x80e83a788b5b2e15:0xb4afc73f21f7a4a9!8m2!3d34.1831606!4d-118.9147334!16s%2Fg%2F1261vb7hk!19sChIJFS5bi3g66IARqaT3IT_Hr7Q?authuser=0&hl=en&rclk=1,Bike rentals in Los Angeles California,5.0,1,+1 847-441-4292,"1560 Newbury Rd #6, Newbury Park, CA 91320, United States",rentabikenow.com
Bikes and Hikes LA - Los Angeles Tours,https://www.google.com/maps/place/Bikes+and+Hikes+LA+-+Los+Angeles+Tours/data=!4m7!3m6!1s0x80c2bea52ccce2c7:0xc60d481fa9b4c920!8m2!3d34.090612!4d-118.357917!16s%2Fg%2F1xgzc0zb!19sChIJx-LMLKW-woARIMm0qR9IDcY?authuser=0&hl=en&rclk=1,Bike rentals in Los Angeles California,4.9,1424,+1 323-796-8555,"7740 Santa Monica Blvd, Los Angeles, CA 90046, United States",bikesandhikesla.com
Synaptic Cycles Bicycle Rentals (Delivery Only),https://www.google.com/maps/place/Synaptic+Cycles+Bicycle+Rentals+%28Delivery+Only%29/data=!4m7!3m6!1s0x80c2ba5e9fb9dc8b:0xe2cefd50f4ebe661!8m2!3d34.020479!4d-118.4117325!16s%2Fg%2F11bbr9j304!19sChIJi9y5n166woARYebr9FD9zuI?authuser=0&hl=en&rclk=1,Bike rentals in Los Angeles California,4.9,46,+1 949-484-6409,-,synapticcycles.com
Just Ride L.A.,https://www.google.com/maps/place/Just+Ride+L.A./data=!4m7!3m6!1s0x80c2c7c5795adafd:0x21749527b7a4f423!8m2!3d34.0340313!4d-118.2649097!16s%2Fg%2F1tg3bchy!19sChIJ_dpaecXHwoARI_SktyeVdCE?authuser=0&hl=en&rclk=1,Bike rentals in Los Angeles California,4.5,368,+1 213-745-6783,"1626 S Hill St, Los Angeles, CA 90015, United States",justridela.com
Sunryde,https://www.google.com/maps/place/Sunryde/data=!4m7!3m6!1s0x80c2bd03368a024f:0xa36205f767e910b2!8m2!3d34.0628924!4d-118.4481101!16s%2Fg%2F11pcbhkwkt!19sChIJTwKKNgO9woARshDpZ_cFYqM?authuser=0&hl=en&rclk=1,Bike rentals in Los Angeles California,5.0,27,+1 213-474-7933,"954 Gayley Ave, Los Angeles, CA 90024, United States",sunryde.com
Beachside Bike & E-Bike Rentals & Repairs,https://www.google.com/maps/place/Beachside+Bike+%26+E-Bike+Rentals+%26+Repairs/data=!4m7!3m6!1s0x80dd4b21954decbf:0x6327a825dfac443d!8m2!3d33.8194731!4d-118.3888431!16s%2Fg%2F11qs801_xj!19sChIJv-xNlSFL3YARPUSs3yWoJ2M?authuser=0&hl=en&rclk=1,Bike rentals in Los Angeles California,4.9,654,+1 424-999-9040,"1611 S Catalina Ave Unit 105, Redondo Beach, CA 90277, United States",beachsidebikerental.com
Beverly Hills Bike Shop,https://www.google.com/maps/place/Beverly+Hills+Bike+Shop/data=!4m7!3m6!1s0x80c2b95ae25c1bd9:0x999cd8e8e5ad0746!8m2!3d34.044301!4d-118.4202525!16s%2Fg%2F1td1dp8f!19sChIJ2Rtc4lq5woARRget5ejYnJk?authuser=0&hl=en&rclk=1,Bike rentals in Los Angeles California,4.7,125,+1 310-275-2453,"10546 W Pico Blvd, Los Angeles, CA 90064, United States",beverlyhillsbikeshop.com
Livelo Downtown LA - Performance Bike Rental and Guided Tours,https://www.google.com/maps/place/Livelo+Downtown+LA+-+Performance+Bike+Rental+and+Guided+Tours/data=!4m7!3m6!1s0x80c2c7584509064b:0x11089e866e3fbca0!8m2!3d34.020479!4d-118.4117325!16s%2Fg%2F11h10vgcmx!19sChIJSwYJRVjHwoARoLw_boaeCBE?authuser=0&hl=en&rclk=1,Bike rentals in Los Angeles California,4.6,7,+1 415-992-6488,-,livelo.cc
"The ReCYCLIST Bike Shop for Used Bikes Sales, Tune Ups, Bicycle Rentals","https://www.google.com/maps/place/The+ReCYCLIST+Bike+Shop+for+Used+Bikes+Sales,+Tune+Ups,+Bicycle+Rentals/data=!4m7!3m6!1s0x80c2ba5e8fffb33b:0xb7020db553926261!8m2!3d33.993645!4d-118.4408415!16s%2Fg%2F1tt8cjj0!19sChIJO7P_j166woARYWKSU7UNArc?authuser=0&hl=en&rclk=1",Bike rentals in Los Angeles California,3.6,136,+1 310-993-5727,"13106 Washington Blvd, Los Angeles, CA 90066, United States",westlosangelesbicycleservice.com
