Name,URL,Query,Rating,Reviews,Phone,Address,Website
RentaBikeNow for Store #143,https://www.google.com/maps/place/RentaBikeNow+for+Store+%23143/data=!4m7!3m6!1s0x89c258e9ff37ecf9:0xe55faaac1196ceb!8m2!3d40.7666612!4d-73.9597816!16s%2Fg%2F1hhlfflhc!19sChIJ-ew3_-lYwokR62wZwar6VQ4?authuser=0&hl=en&rclk=1,Bike rentals in New York New York,0.0,0,+1 847-441-4292,"1306 2nd Ave, New York, NY 10065, United States",-
Cycle Park NYC Bike Rental Scooter Rentals eBike and Tours at Central Park,https://www.google.com/maps/place/Cycle+Park+NYC+Bike+Rental+Scooter+Rentals+eBike+and+Tours+at+Central+Park/data=!4m7!3m6!1s0x89c25912b9b62caf:0x4392cdce0904cf40!8m2!3d40.7657508!4d-73.9827651!16s%2Fg%2F11t40dyqhh!19sChIJryy2uRJZwokRQM8ECc7NkkM?authuser=0&hl=en&rclk=1,Bike rentals in New York New York,5.0,1703,+1 929-483-7420,"240 W 56th St, New York, NY 10019, United States",cyclepark.nyc
Bike Rental Central Park,https://www.google.com/maps/place/Bike+Rental+Central+Park/data=!4m7!3m6!1s0x89c259a68452b44f:0x4b14b2793295f99d!8m2!3d40.7639915!4d-73.977695!16s%2Fg%2F11k1brctcg!19sChIJT7RShKZZwokRnfmVMnmyFEs?authuser=0&hl=en&rclk=1,Bike rentals in New York New York,4.4,1287,+1 212-664-9600,"1391 6th Ave, New York, NY 10019, United States",bikerentalcentralpark.com
Bike Rent NYC - 5th Ave,https://www.google.com/maps/place/Bike+Rent+NYC+-+5th+Ave/data=!4m7!3m6!1s0x89c258f046acfbbf:0x730a5be66597c68b!8m2!3d40.7650707!4d-73.9733378!16s%2Fg%2F11f0w_8m2f!19sChIJv_usRvBYwokRi8aXZeZbCnM?authuser=0&hl=en&rclk=1,Bike rentals in New York New York,4.6,280,+1 917-283-2453,"71507 Grand Army Plaza, New York, NY 10019, United States",bikerent.nyc
Bike Rent NYC & Scooter Rentals & Scooter NYC,https://www.google.com/maps/place/Bike+Rent+NYC+%26+Scooter+Rentals+%26+Scooter+NYC/data=!4m7!3m6!1s0x89c259789158365d:0x23f060134efc6772!8m2!3d40.7527077!4d-73.9863856!16s%2Fg%2F11kpxn8pcd!19sChIJXTZYkXhZwokRcmf8ThNg8CM?authuser=0&hl=en&rclk=1,Bike rentals in New York New York,5.0,416,+1 646-883-4099,"109 W 38th St, New York, NY 10018, United States",bingit.nyc
"Bike Rent NYC - 117 West 58th Street, New York","https://www.google.com/maps/place/Bike+Rent+NYC+-+117+West+58th+Street,+New+York/data=!4m7!3m6!1s0x89c258f7356b7cd7:0xdd9955bd2eca96b5!8m2!3d40.765463!4d-73.97724!16s%2Fg%2F1td0bvt6!19sChIJ13xrNfdYwokRtZbKLr1Vmd0?authuser=0&hl=en&rclk=1",Bike rentals in New York New York,4.3,793,+1 212-956-9646,"117 W 58th St, New York, NY 10019, United States",bikerent.nyc
Fancy Apple Bike & Scooter Rentals and Tours at Central Park,https://www.google.com/maps/place/Fancy+Apple+Bike+%26+Scooter+Rentals+and+Tours+at+Central+Park/data=!4m7!3m6!1s0x89c258f98d380207:0x3bb43a02d9ce2889!8m2!3d40.7648523!4d-73.9808332!16s%2Fg%2F1vpfkfwr!19sChIJBwI4jflYwokRiSjO2QI6tDs?authuser=0&hl=en&rclk=1,Bike rentals in New York New York,4.8,2475,+1 917-720-8850,"870 7th Ave, New York, NY 10019, United States",fancyapple.com
"Bike Rent NYC - Central Park Scooter Rentals, Bicycle Rentals & Tours, Bicycle & Scooter Sales","https://www.google.com/maps/place/Bike+Rent+NYC+-+Central+Park+Scooter+Rentals,+Bicycle+Rentals+%26+Tours,+Bicycle+%26+Scooter+Sales/data=!4m7!3m6!1s0x89c258f70897a6ff:0xd592799ba8de1f26!8m2!3d40.7664582!4d-73.9798353!16s%2Fg%2F1tgx2ykv!19sChIJ_6aXCPdYwokRJh_eqJt5ktU?authuser=0&hl=en&rclk=1",Bike rentals in New York New York,3.8,469,+1 212-541-8759,"203 W 58th St, New York, NY 10019, United States",bikerent.nyc
Unlimited Biking,https://www.google.com/maps/place/Unlimited+Biking/data=!4m7!3m6!1s0x89c25a18805e327b:0xa52e5d9f2e98228b!8m2!3d40.7145018!4d-74.0069022!16s%2Fg%2F11dzvwf3l1!19sChIJezJegBhawokRiyKYLp9dLqU?authuser=0&hl=en&rclk=1,Bike rentals in New York New York,4.8,766,+1 212-749-4444,"79 Chambers St, New York, NY 10007, United States",unlimitedbiking.com
Fancy Apple Bike & Scooter Rentals and Tours at Brooklyn Bridge,https://www.google.com/maps/place/Fancy+Apple+Bike+%26+Scooter+Rentals+and+Tours+at+Brooklyn+Bridge/data=!4m7!3m6!1s0x89c25bb46dc92ab1:0x3ebb3968af975589!8m2!3d40.7140224!4d-74.0084821!16s%2Fg%2F11stfrfl8m!19sChIJsSrJbbRbwokRiVWXr2g5uz4?authuser=0&hl=en&rclk=1,Bike rentals in New York New York,4.9,215,+1 929-599-5237,"125 Church St, New York, NY 10007, United States",fancyapple.com
