Name,URL,Query,Rating,Reviews,Phone,Address,Website
Fairmount Bicycles,https://www.google.com/maps/place/Fairmount+Bicycles/data=!4m7!3m6!1s0x89c6c7cede923b83:0xf2ac8ccf5b13de6b!8m2!3d39.9674695!4d-75.1708371!16s%2Fg%2F1tdhfzct!19sChIJgzuS3s7HxokRa94TW8-MrPI?authuser=0&hl=en&rclk=1,Bike rentals in Philadelphia Pennsylvania,4.8,266,+1 267-507-9370,"2015 Fairmount Ave, Philadelphia, PA 19130, United States",fairmountbicycles.com
Wheel Fun Rentals | Boathouse Row,https://www.google.com/maps/place/Wheel+Fun+Rentals+%7C+Boathouse+Row/data=!4m7!3m6!1s0x89c6c7b11c19a4e7:0xdf2831faf9398c82!8m2!3d39.9692557!4d-75.1855461!16s%2Fg%2F1ydpfzxdf!19sChIJ56QZHLHHxokRgow5-foxKN8?authuser=0&hl=en&rclk=1,Bike rentals in Philadelphia Pennsylvania,4.0,86,+1 215-232-7778,"1 Boathouse Row, Philadelphia, PA 19130, United States",wheelfunrentals.com
Whizz E-Bikes Rental in Philadelphia,https://www.google.com/maps/place/Whizz+E-Bikes+Rental+in+Philadelphia/data=!4m7!3m6!1s0x89c6c92dae57dd71:0xb4563dbb71937d4a!8m2!3d39.9500774!4d-75.1462046!16s%2Fg%2F11w891222h!19sChIJcd1Xri3JxokRSn2Tcbs9VrQ?authuser=0&hl=en&rclk=1,Bike rentals in Philadelphia Pennsylvania,4.9,61,+1 929-579-1347,"308 Market St, Philadelphia, PA 19106, United States",short.getwhizz.com
Queen Village Bicycles,https://www.google.com/maps/place/Queen+Village+Bicycles/data=!4m7!3m6!1s0x89c6c90b4c31155b:0x9f2114457d35139c!8m2!3d39.9400631!4d-75.1496413!16s%2Fg%2F11qq5klb3j!19sChIJWxUxTAvJxokRnBM1fUUUIZ8?authuser=0&hl=en&rclk=1,Bike rentals in Philadelphia Pennsylvania,4.8,62,+1 267-227-4982,"720 S 4th St, Philadelphia, PA 19147, United States",queenvillagebicycles.com
Cadence Cycling Centers- Manayunk,https://www.google.com/maps/place/Cadence+Cycling+Centers-+Manayunk/data=!4m7!3m6!1s0x89c6b8950dcf5d41:0x46fd2c8d1829bc69!8m2!3d40.0156404!4d-75.211248!16s%2Fg%2F1vkxn6rb!19sChIJQV3PDZW4xokRabwpGI0s_UY?authuser=0&hl=en&rclk=1,Bike rentals in Philadelphia Pennsylvania,4.7,208,+1 215-508-4300,"3740 Main St, Philadelphia, PA 19127, United States",cadencecycling.com
Keswick Cycle University City,https://www.google.com/maps/place/Keswick+Cycle+University+City/data=!4m7!3m6!1s0x89c6c6f70d822c25:0xd44517a94f2e1f70!8m2!3d39.9530884!4d-75.2046299!16s%2Fg%2F1td_j6cd!19sChIJJSyCDffGxokRcB8uT6kXRdQ?authuser=0&hl=en&rclk=1,Bike rentals in Philadelphia Pennsylvania,4.7,345,+1 215-387-7433,"4040 Locust St, Philadelphia, PA 19104, United States",keswickcycle.com
Trek Bicycle Philadelphia Manayunk,https://www.google.com/maps/place/Trek+Bicycle+Philadelphia+Manayunk/data=!4m7!3m6!1s0x89c6b8946e54b94d:0x56961c0b49879768!8m2!3d40.023506!4d-75.219628!16s%2Fg%2F11f32wfghk!19sChIJTblUbpS4xokRaJeHSQscllY?authuser=0&hl=en&rclk=1,Bike rentals in Philadelphia Pennsylvania,4.9,528,+1 215-487-7433,"4159 Main St, Philadelphia, PA 19127, United States",trekbikes.com
Philly by E-Bike,https://www.google.com/maps/place/Philly+by+E-Bike/data=!4m7!3m6!1s0x89c6c9eb59da9401:0x951218507a6cdc07!8m2!3d39.9515513!4d-75.1392602!16s%2Fg%2F11twqjqdz9!19sChIJAZTaWevJxokRB9xselAYEpU?authuser=0&hl=en&rclk=1,Bike rentals in Philadelphia Pennsylvania,0.0,0,+1 215-523-5827,"7 N Christopher Columbus Blvd #7b, Philadelphia, PA 19106, United States",phillybysegway.com
South Philly Bike Shop,https://www.google.com/maps/place/South+Philly+Bike+Shop/data=!4m7!3m6!1s0x89c6c60f7abc3071:0xe1a74583216cf069!8m2!3d39.9264333!4d-75.1668877!16s%2Fg%2F1tx47_p0!19sChIJcTC8eg_GxokRafBsIYNFp-E?authuser=0&hl=en&rclk=1,Bike rentals in Philadelphia Pennsylvania,4.6,157,+1 215-334-9100,"1901 S 13th St, Philadelphia, PA 19148, United States",southphillybikes.com
Frankenstein Bike Worx,https://www.google.com/maps/place/Frankenstein+Bike+Worx/data=!4m7!3m6!1s0x89c6c63ade202695:0x242762f97f9a5d35!8m2!3d39.9474441!4d-75.167646!16s%2Fg%2F1tjcqdf8!19sChIJlSYg3jrGxokRNV2af_liJyQ?authuser=0&hl=en&rclk=1,Bike rentals in Philadelphia Pennsylvania,4.0,97,+1 215-893-0415,"1529 Spruce St, Philadelphia, PA 19102, United States",frankinstienbikeworx.com
