Name,URL,Query,Rating,Reviews,Phone,Address,Website
Bicycle Express,https://www.google.com/maps/place/Bicycle+Express/data=!4m7!3m6!1s0x808fccb70661623d:0x8603435572d6ebac!8m2!3d37.3300842!4d-121.8822363!16s%2Fg%2F1tf7mt4t!19sChIJPWJhBrfMj4ARrOvWclVDA4Y?authuser=0&hl=en&rclk=1,Bike rentals in San Jose California,4.7,278,+1 408-998-1618,"131 E William St, San Jose, CA 95112, United States",bicycleexpress.net
Hyland Family Bicycles,https://www.google.com/maps/place/Hyland+Family+Bicycles/data=!4m7!3m6!1s0x808e34bcb1448f95:0x644080664ff1f23e!8m2!3d37.2976874!4d-121.9139095!16s%2Fg%2F1w_vnhjr!19sChIJlY9Esbw0joARPvLxT2aAQGQ?authuser=0&hl=en&rclk=1,Bike rentals in San Jose California,4.8,191,+1 408-269-2300,"1515 Meridian Ave, San Jose, CA 95125, United States",hylandbikes.com
Mike's Bikes of San Jose,https://www.google.com/maps/place/Mike%27s+Bikes+of+San+Jose/data=!4m7!3m6!1s0x808e3358274bf2e1:0xb6af8641e7d0a4fa!8m2!3d37.3072732!4d-121.8997939!16s%2Fg%2F1hc5yqnmd!19sChIJ4fJLJ1gzjoAR-qTQ50GGr7Y?authuser=0&hl=en&rclk=1,Bike rentals in San Jose California,4.4,223,+1 408-295-2453,"1180 Lincoln Ave, San Jose, CA 95125, United States",mikesbikes.com
Summit Bicycles,https://www.google.com/maps/place/Summit+Bicycles/data=!4m7!3m6!1s0x808e324a16e9ab83:0x74ae565ea89e8092!8m2!3d37.302273!4d-121.865477!16s%2Fg%2F1td7ccr1!19sChIJg6vpFkoyjoARkoCeqF5WrnQ?authuser=0&hl=en&rclk=1,Bike rentals in San Jose California,4.2,166,+1 408-264-2453,"111 Curtner Ave Suite 80, San Jose, CA 95125, United States",summitbicycles.com
Got Bikes?,https://www.google.com/maps/place/Got+Bikes%3F/data=!4m7!3m6!1s0x808e30502c1eede3:0x61de64e09da4ca84!8m2!3d37.2467638!4d-121.8685556!16s%2Fg%2F1tfbt37l!19sChIJ4-0eLFAwjoARhMqkneBk3mE?authuser=0&hl=en&rclk=1,Bike rentals in San Jose California,4.4,81,+1 408-455-8074,"5859 Winfield Blvd, San Jose, CA 95123, United States",gotbikes.com
Upshift Cycles,https://www.google.com/maps/place/Upshift+Cycles/data=!4m7!3m6!1s0x808fcaeedc3ab05f:0xf840fd4c2b8bbf8b!8m2!3d37.3321345!4d-121.9124134!16s%2Fg%2F1tf3p41g!19sChIJX7A63O7Kj4ARi7-LK0z9QPg?authuser=0&hl=en&rclk=1,Bike rentals in San Jose California,4.8,214,+1 408-244-8356,"1280 The Alameda, San Jose, CA 95126, United States",upshiftsj.com
Summit Bicycles,https://www.google.com/maps/place/Summit+Bicycles/data=!4m7!3m6!1s0x808e35e48719a7d9:0x554ced247941cd7d!8m2!3d37.2215166!4d-121.9787219!16s%2Fg%2F1tlkclzd!19sChIJ2acZh-Q1joARfc1BeSTtTFU?authuser=0&hl=en&rclk=1,Bike rentals in San Jose California,4.5,102,+1 408-399-9142,"111 E Main St, Los Gatos, CA 95030, United States",summitbicycles.com
Trail Head Cyclery,https://www.google.com/maps/place/Trail+Head+Cyclery/data=!4m7!3m6!1s0x808e345b5dde37df:0x72fb81e0b7629141!8m2!3d37.3233458!4d-122.028931!16s%2Fg%2F1tj91sh9!19sChIJ3zfeXVs0joARQZFit-CB-3I?authuser=0&hl=en&rclk=1,Bike rentals in San Jose California,4.5,207,+1 408-369-9666,"20301 Stevens Creek Blvd, Cupertino, CA 95014, United States",trailheadcyclery.com
San Jose Bicycles,https://www.google.com/maps/place/San+Jose+Bicycles/data=!4m7!3m6!1s0x808e32e43ec348dd:0x1f781b431aec3b19!8m2!3d37.307511!4d-121.849231!16s%2Fg%2F1hdyx9rxz!19sChIJ3UjDPuQyjoARGTvsGkMbeB8?authuser=0&hl=en&rclk=1,Bike rentals in San Jose California,4.3,175,+1 408-964-8640,"565 Tully Rd, San Jose, CA 95111, United States",sjbikeshop.com
Bay Wheels,https://www.google.com/maps/place/Bay+Wheels/data=!4m7!3m6!1s0x808fcca2684bf241:0xea746523605ce4ab!8m2!3d37.336802!4d-121.8940901!16s%2Fg%2F1pv5xyz3w!19sChIJQfJLaKLMj4ARq-RcYCNldOo?authuser=0&hl=en&rclk=1,Bike rentals in San Jose California,4.5,2,-,"San Pedro Square, San Jose, CA 95110, United States",-
