Name,URL,Query,Rating,Reviews,Phone,Address,Website
Philz Coffee,https://www.google.com/maps/place/Philz+Coffee/data=!4m7!3m6!1s0x880fd3b68c42c901:0x95d25f838b55d24f!8m2!3d41.9107019!4d-87.634354!16s%2Fg%2F11mc5f52t4!19sChIJAclCjLbTD4gRT9JVi4Nf0pU?authuser=0&hl=en&rclk=1,Cafes in Chicago Illinois,4.4,123,+1 312-929-2140,"1555 N Wells St, Chicago, IL 60610, United States",philzcoffee.com
Ever Restaurant,https://www.google.com/maps/place/Ever+Restaurant/data=!4m7!3m6!1s0x880e2d48be154aa9:0xa988dac75d0a622c!8m2!3d41.8869314!4d-87.6604084!16s%2Fg%2F11j6x_glrp!19sChIJqUoVvkgtDogRLGIKXcfaiKk?authuser=0&hl=en&rclk=1,Cafes in Chicago Illinois,4.8,304,-,"1340 W Fulton St, Chicago, IL 60607, United States",ever-restaurant.com
Nutella Cafe Chicago,https://www.google.com/maps/place/Nutella+Cafe+Chicago/data=!4m7!3m6!1s0x880e2caf5b938853:0x280d39187bc1d87!8m2!3d41.8855439!4d-87.6242562!16s%2Fg%2F11dztq7hpf!19sChIJU4iTW68sDogRhx28h5HTgAI?authuser=0&hl=en&rclk=1,Cafes in Chicago Illinois,4.1,8772,+1 312-729-5186,"189 Michigan Ave, Chicago, IL 60601, United States",nutella.com
Cafe Jumping Bean,https://www.google.com/maps/place/Cafe+Jumping+Bean/data=!4m7!3m6!1s0x880e2d00ca33c0fb:0x6e45042fd695384d!8m2!3d41.8577252!4d-87.6628297!16s%2Fg%2F1th87q50!19sChIJ-8AzygAtDogRTTiV1i8ERW4?authuser=0&hl=en&rclk=1,Cafes in Chicago Illinois,4.7,1185,+1 312-455-0019,"1439 W 18th St, Chicago, IL 60608, United States",-
The Wormhole Coffee,https://www.google.com/maps/place/The+Wormhole+Coffee/data=!4m7!3m6!1s0x880fd2c659f78e63:0xdbccde2384438e52!8m2!3d41.9084133!4d-87.6746028!16s%2Fg%2F1tcysf87!19sChIJY473WcbSD4gRUo5DhCPezNs?authuser=0&hl=en&rclk=1,Cafes in Chicago Illinois,4.6,1860,+1 773-661-2468,"1462 N Milwaukee Ave, Chicago, IL 60622, United States",instagram.com
Tempo Cafe,https://www.google.com/maps/place/Tempo+Cafe/data=!4m7!3m6!1s0x880fd35270748d2b:0xb4cfd6616a1e1d80!8m2!3d41.8985241!4d-87.6279931!16s%2Fg%2F1v62j7r5!19sChIJK410cFLTD4gRgB0eamHWz7Q?authuser=0&hl=en&rclk=1,Cafes in Chicago Illinois,4.3,2060,+1 312-943-4373,"6 E Chestnut St, Chicago, IL 60611, United States",tempochicago.com
Plein Air Cafe,https://www.google.com/maps/place/Plein+Air+Cafe/data=!4m7!3m6!1s0x880e29168167b6f9:0xab17546f96057dfc!8m2!3d41.790027!4d-87.596067!16s%2Fg%2F1pzt10ss3!19sChIJ-bZngRYpDogR_H0Flm9UF6s?authuser=0&hl=en&rclk=1,Cafes in Chicago Illinois,4.5,656,+1 773-966-7531,"5751 S Woodlawn Ave, Chicago, IL 60637, United States",pleinaircafe.co
Cafe Mustache,https://www.google.com/maps/place/Cafe+Mustache/data=!4m7!3m6!1s0x880fcd6279e40b69:0x9087d13868aed5ed!8m2!3d41.9233059!4d-87.6977999!16s%2Fg%2F1tcxvvc1!19sChIJaQvkeWLND4gR7dWuaDjRh5A?authuser=0&hl=en&rclk=1,Cafes in Chicago Illinois,4.5,703,+1 773-687-9063,"2313 N Milwaukee Ave, Chicago, IL 60647, United States",cafemustache.com
Intelligentsia Coffee Millennium Park Coffeebar,https://www.google.com/maps/place/Intelligentsia+Coffee+Millennium+Park+Coffeebar/data=!4m7!3m6!1s0x880e2ca59d87f58f:0x16c6cb5e284d552d!8m2!3d41.884283!4d-87.6257752!16s%2Fg%2F1hc55s20n!19sChIJj_WHnaUsDogRLVVNKF7LxhY?authuser=0&hl=en&rclk=1,Cafes in Chicago Illinois,4.3,1791,+1 312-920-9332,"53 E Randolph St, Chicago, IL 60601, United States",intelligentsia.com
Sawada Coffee,https://www.google.com/maps/place/Sawada+Coffee/data=!4m7!3m6!1s0x880e2cdada6e91e9:0x85e817197841a73e!8m2!3d41.8836251!4d-87.6487119!16s%2Fg%2F11ckwy0qw6!19sChIJ6ZFu2tosDogRPqdBeBkX6IU?authuser=0&hl=en&rclk=1,Cafes in Chicago Illinois,4.7,1751,+1 312-344-1750,"112 N Green St, Chicago, IL 60607, United States",sawadacoffee.com
Dark Matter Coffee - Osmium Coffee Bar,https://www.google.com/maps/place/Dark+Matter+Coffee+-+Osmium+Coffee+Bar/data=!4m7!3m6!1s0x880fd3ab44eeb3ab:0x5014e228924526bd!8m2!3d41.9397066!4d-87.657306!16s%2Fg%2F11b5pj_57p!19sChIJq7PuRKvTD4gRvSZFkijiFFA?authuser=0&hl=en&rclk=1,Cafes in Chicago Illinois,4.7,969,+1 773-360-7553,"1117 W Belmont Ave, Chicago, IL 60657, United States",darkmattercoffee.com
Gaslight Coffee Roasters,https://www.google.com/maps/place/Gaslight+Coffee+Roasters/data=!4m7!3m6!1s0x880fcd62fcc09c0b:0x4b446755eaaec633!8m2!3d41.9245667!4d-87.6997915!16s%2Fg%2F11r96kjdt!19sChIJC5zA_GLND4gRM8au6lVnREs?authuser=0&hl=en&rclk=1,Cafes in Chicago Illinois,4.5,741,-,"2385 N Milwaukee Ave, Chicago, IL 60647, United States",gaslightcoffee.com
Gold Coast Cafe,https://www.google.com/maps/place/Gold+Coast+Cafe/data=!4m7!3m6!1s0x880fd3848f67b779:0x74574fff24294a96!8m2!3d41.8964491!4d-87.6315759!16s%2Fg%2F11s9c9kt8l!19sChIJebdnj4TTD4gRlkopJP9PV3Q?authuser=0&hl=en&rclk=1,Cafes in Chicago Illinois,4.6,123,+1 312-291-8185,"754 N Clark St, Chicago, IL 60654, United States",goldcoastcafechi.com
Dark Matter Coffee - Star Lounge Coffee Bar,https://www.google.com/maps/place/Dark+Matter+Coffee+-+Star+Lounge+Coffee+Bar/data=!4m7!3m6!1s0x880e2d52d8a0186d:0x1330071d2449842e!8m2!3d41.8955538!4d-87.6901849!16s%2Fg%2F1vn_zjzs!19sChIJbRig2FItDogRLoRJJB0HMBM?authuser=0&hl=en&rclk=1,Cafes in Chicago Illinois,4.7,992,+1 773-384-7827,"2521 W Chicago Ave, Chicago, IL 60622, United States",darkmattercoffee.com
Side Practice Coffee,https://www.google.com/maps/place/Side+Practice+Coffee/data=!4m7!3m6!1s0x880fd1939a853341:0x26daf1536bce515d!8m2!3d41.9758686!4d-87.6791457!16s%2Fg%2F11hjf0j2tz!19sChIJQTOFmpPRD4gRXVHOa1Px2iY?authuser=0&hl=en&rclk=1,Cafes in Chicago Illinois,4.7,208,+1 773-754-8763,"5139 N Damen Ave, Chicago, IL 60625, United States",sidepracticecoffee.square.site
Ritual Coffeehouse,https://www.google.com/maps/place/Ritual+Coffeehouse/data=!4m7!3m6!1s0x880fd240f6f03a27:0x282399a570ddc13!8m2!3d41.9540523!4d-87.6752372!16s%2Fg%2F11g6nhxk0b!19sChIJJzrw9kDSD4gRE9wNV5o5ggI?authuser=0&hl=en&rclk=1,Cafes in Chicago Illinois,4.7,458,+1 773-857-1224,"1821 W Irving Park Rd, Chicago, IL 60613, United States",facebook.com
Kapéj Coffee Roasters,https://www.google.com/maps/place/Kap%C3%A9j+Coffee+Roasters/data=!4m7!3m6!1s0x880fd3389fdb1f61:0x16d290cbb08e7d6f!8m2!3d41.9089347!4d-87.6382528!16s%2Fg%2F1trxf972!19sChIJYR_bnzjTD4gRb32OsMuQ0hY?authuser=0&hl=en&rclk=1,Cafes in Chicago Illinois,4.7,554,+1 312-291-9022,"1447 N Sedgwick St, Chicago, IL 60610, United States",kapejcoffee.com
Cafe Deko,https://www.google.com/maps/place/Cafe+Deko/data=!4m7!3m6!1s0x880fd3a0490fc261:0xc9519ad7850ccac8!8m2!3d41.9328424!4d-87.6492684!16s%2Fg%2F11m7mmf8mz!19sChIJYcIPSaDTD4gRyMoMhdeaUck?authuser=0&hl=en&rclk=1,Cafes in Chicago Illinois,4.6,368,+1 773-661-6425,"800 W Diversey Pkwy, Chicago, IL 60614, United States",cafedeko.com
TARY Coffee House,https://www.google.com/maps/place/TARY+Coffee+House/data=!4m7!3m6!1s0x880e2d53bb79d977:0x81dd7c473fd1158e!8m2!3d41.8906748!4d-87.6317482!16s%2Fg%2F11vhggj5_k!19sChIJd9l5u1MtDogRjhXRP0d83YE?authuser=0&hl=en&rclk=1,Cafes in Chicago Illinois,4.7,456,+1 773-771-9473,"111 W Illinois St, Chicago, IL 60654, United States",tarycoffee.com
Bourgeois Pig Cafe,https://www.google.com/maps/place/Bourgeois+Pig+Cafe/data=!4m7!3m6!1s0x880fd30ffc0490e9:0x2fcabe0f6b47dad!8m2!3d41.9256734!4d-87.6479217!16s%2Fm%2F05szw_1!19sChIJ6ZAE_A_TD4gRrX209uCr_AI?authuser=0&hl=en&rclk=1,Cafes in Chicago Illinois,4.4,890,+1 773-883-5282,"738 W Fullerton Ave, Chicago, IL 60614, United States",bpigcafe.com
Ipsento 606,https://www.google.com/maps/place/Ipsento+606/data=!4m7!3m6!1s0x880fd2bddaf250ed:0x5c43b1a6f189b6a3!8m2!3d41.9144273!4d-87.6832607!16s%2Fg%2F11cnd9nw2s!19sChIJ7VDy2r3SD4gRo7aJ8aaxQ1w?authuser=0&hl=en&rclk=1,Cafes in Chicago Illinois,4.6,1022,+1 872-206-8697,"1813 N Milwaukee Ave, Chicago, IL 60647, United States",ipsento-606.square.site
Dark Matter Coffee - The Mothership,https://www.google.com/maps/place/Dark+Matter+Coffee+-+The+Mothership/data=!4m7!3m6!1s0x880e2d4d67081259:0xfba8ccb74b79cf88!8m2!3d41.8950699!4d-87.687134!16s%2Fg%2F1hc7dw4r1!19sChIJWRIIZ00tDogRiM95S7fMqPs?authuser=0&hl=en&rclk=1,Cafes in Chicago Illinois,4.7,1198,+1 773-697-8472,"738 N Western Ave, Chicago, IL 60612, United States",darkmattercoffee.com
Vietfive Coffee - Chicago,https://www.google.com/maps/place/Vietfive+Coffee+-+Chicago/data=!4m7!3m6!1s0x880e2df7e0dbf5e7:0xcff97b0327324229!8m2!3d41.8817894!4d-87.6550831!16s%2Fg%2F11p67_970g!19sChIJ5_Xb4PctDogRKUIyJwN7-c8?authuser=0&hl=en&rclk=1,Cafes in Chicago Illinois,4.6,281,+1 312-929-4732,"1116 W Madison St, Chicago, IL 60607, United States",vietfive.com
