Name,URL,Query,Rating,Reviews,Phone,Address,Website
Caribou Coffee,https://www.google.com/maps/place/Caribou+Coffee/data=!4m7!3m6!1s0x883865e3718934ef:0xa803a5e939569dc!8m2!3d39.9552964!4d-82.8111035!16s%2Fg%2F11v4rj7yq6!19sChIJ7zSJceNlOIgR3GmVk146gAo?authuser=0&hl=en&rclk=1,Cafes in Columbus Ohio,4.5,109,+1 380-237-1100,"7010 E Main St, Reynoldsburg, OH 43068, United States",locations.cariboucoffee.com
Fox in the Snow Cafe,https://www.google.com/maps/place/Fox+in+the+Snow+Cafe/data=!4m7!3m6!1s0x88388ed1ec27f5c5:0xaecb3332dd59fdc1!8m2!3d39.9841624!4d-82.9993464!16s%2Fg%2F11b6d510l2!19sChIJxfUn7NGOOIgRwf1Z3TIzy64?authuser=0&hl=en&rclk=1,Cafes in Columbus Ohio,4.7,2419,+1 614-826-0007,"1031 N 4th St, Columbus, OH 43201, United States",foxinthesnow.com
Mission Coffee Co.,https://www.google.com/maps/place/Mission+Coffee+Co./data=!4m7!3m6!1s0x88388eda1c909597:0xc6fccff56e2d8df!8m2!3d39.9806376!4d-83.0046196!16s%2Fg%2F1hc5q34f0!19sChIJl5WQHNqOOIgR39jiVv_Mbww?authuser=0&hl=en&rclk=1,Cafes in Columbus Ohio,4.6,564,-,"11 Price Ave, Columbus, OH 43201, United States",missioncoffeeco.com
German Village Coffee Shop,https://www.google.com/maps/place/German+Village+Coffee+Shop/data=!4m7!3m6!1s0x883888ac8ee4a29b:0x79583d617878b056!8m2!3d39.9394745!4d-82.9909012!16s%2Fg%2F1vyn4j4y!19sChIJm6LkjqyIOIgRVrB4eGE9WHk?authuser=0&hl=en&rclk=1,Cafes in Columbus Ohio,4.7,1094,+1 614-443-8900,"193 Thurman Ave, Columbus, OH 43206, United States",gvcoffeeshop.com
Cafe De Nook,https://www.google.com/maps/place/Cafe+De+Nook/data=!4m7!3m6!1s0x88388f3411046a01:0xfafbc4396acbd32d!8m2!3d39.9588106!4d-82.9977817!16s%2Fg%2F11ckqrqfbt!19sChIJAWoEETSPOIgRLdPLajnE-_o?authuser=0&hl=en&rclk=1,Cafes in Columbus Ohio,4.8,230,+1 614-745-3712,"175 S 3rd St, Columbus, OH 43215, United States",-
Chocolate Café,https://www.google.com/maps/place/Chocolate+Caf%C3%A9/data=!4m7!3m6!1s0x88388e42d712ee41:0xc3adf7b8a1586b22!8m2!3d39.9957861!4d-83.0473778!16s%2Fg%2F1thcs_p9!19sChIJQe4S10KOOIgRImtYobj3rcM?authuser=0&hl=en&rclk=1,Cafes in Columbus Ohio,4.6,1116,+1 614-485-2233,"1855 Northwest Blvd, Columbus, OH 43212, United States",chocolatecafecolumbus.com
Stauf's Coffee Roasters,https://www.google.com/maps/place/Stauf%27s+Coffee+Roasters/data=!4m7!3m6!1s0x88388f4b7be30795:0xb4a07466b704923!8m2!3d39.9495856!4d-82.9956865!16s%2Fg%2F1tghq7lx!19sChIJlQfje0uPOIgRI0lwa0YHSgs?authuser=0&hl=en&rclk=1,Cafes in Columbus Ohio,4.6,1178,+1 614-221-1563,"627 S 3rd St #1060, Columbus, OH 43206, United States",staufs.com
Parable Cafe,https://www.google.com/maps/place/Parable+Cafe/data=!4m7!3m6!1s0x8838894b268b5259:0xe845d1d2a6bca06c!8m2!3d39.9590386!4d-83.0002557!16s%2Fg%2F11k_htnmwg!19sChIJWVKLJkuJOIgRbKC8ptLRReg?authuser=0&hl=en&rclk=1,Cafes in Columbus Ohio,4.5,562,+1 614-972-6001,"149 S High St, Columbus, OH 43215, United States",parable.coffee
The Roosevelt Coffeehouse,https://www.google.com/maps/place/The+Roosevelt+Coffeehouse/data=!4m7!3m6!1s0x883888d2cd2780fb:0xce8b110fba6bd0e3!8m2!3d39.966006!4d-82.9931475!16s%2Fg%2F11b7l69_51!19sChIJ-4AnzdKIOIgR49Brug8Ri84?authuser=0&hl=en&rclk=1,Cafes in Columbus Ohio,4.7,1062,+1 614-670-5228,"300 E Long St, Columbus, OH 43215, United States",rooseveltcoffee.org
Fox In The Snow Cafe,https://www.google.com/maps/place/Fox+In+The+Snow+Cafe/data=!4m7!3m6!1s0x883888ac602f8f2d:0x32d37fbc2acd08!8m2!3d39.9398362!4d-82.990447!16s%2Fg%2F11f3n60726!19sChIJLY8vYKyIOIgRCM0qvH_TMgA?authuser=0&hl=en&rclk=1,Cafes in Columbus Ohio,4.6,1045,+1 614-826-0007,"210 Thurman Ave, Columbus, OH 43206, United States",foxinthesnow.com
Stauf's Coffee Roasters,https://www.google.com/maps/place/Stauf%27s+Coffee+Roasters/data=!4m7!3m6!1s0x88388e5190daff07:0x3cca13367341c3b6!8m2!3d39.983777!4d-83.045055!16s%2Fg%2F1v29cpnx!19sChIJB__akFGOOIgRtsNBczYTyjw?authuser=0&hl=en&rclk=1,Cafes in Columbus Ohio,4.6,1478,+1 614-486-4861,"1277 Grandview Ave, Columbus, OH 43212, United States",staufs.com
Brioso Coffee,https://www.google.com/maps/place/Brioso+Coffee/data=!4m7!3m6!1s0x88388f31c65fa2df:0x93e022e54fc1b02f!8m2!3d39.9634638!4d-83.0010813!16s%2Fg%2F1tyzznhs!19sChIJ36JfxjGPOIgRL7DBT-Ui4JM?authuser=0&hl=en&rclk=1,Cafes in Columbus Ohio,4.6,403,+1 614-670-8490,"53 N High St, Columbus, OH 43215, United States",briosocoffee.com
Kafe Kerouac,https://www.google.com/maps/place/Kafe+Kerouac/data=!4m7!3m6!1s0x88388ea37b98fa85:0xbca5f8e1f4bb6d30!8m2!3d40.0081961!4d-83.0094337!16s%2Fm%2F0k2335m!19sChIJhfqYe6OOOIgRMG279OH4pbw?authuser=0&hl=en&rclk=1,Cafes in Columbus Ohio,4.6,1004,+1 614-299-2672,"2250 N High St, Columbus, OH 43201, United States",kafekerouac.com
One Line Coffee-Short North,https://www.google.com/maps/place/One+Line+Coffee-Short+North/data=!4m7!3m6!1s0x88388ed7808d0387:0xdfd160f0912a7e75!8m2!3d39.9776191!4d-83.0038365!16s%2Fg%2F11x9_8rpz!19sChIJhwONgNeOOIgRdX4qkfBg0d8?authuser=0&hl=en&rclk=1,Cafes in Columbus Ohio,4.6,795,+1 614-564-9852,"745 N High St, Columbus, OH 43215, United States",onelinecoffee.com
Northstar Cafe in the Short North,https://www.google.com/maps/place/Northstar+Cafe+in+the+Short+North/data=!4m7!3m6!1s0x88388eda12bc98fd:0xee34ac30cb0869d9!8m2!3d39.9815694!4d-83.004593!16s%2Fg%2F1xgrnlq8!19sChIJ_Zi8EtqOOIgR2WkIyzCsNO4?authuser=0&hl=en&rclk=1,Cafes in Columbus Ohio,4.5,2317,+1 614-298-9999,"951 N High St, Columbus, OH 43201, United States",thenorthstarcafe.com
