Name,URL,Query,Rating,Reviews,Phone,Address,Website
Garden Cafe,https://www.google.com/maps/place/Garden+Cafe/data=!4m7!3m6!1s0x864e98b3bd691d33:0x5ed5c8c3c5c0d964!8m2!3d32.8025749!4d-96.7636352!16s%2Fg%2F1tf7bhsp!19sChIJMx1pvbOYToYRZNnAxcPI1V4?authuser=0&hl=en&rclk=1,Cafes in Dallas Texas,4.5,731,+1 214-887-8330,"5310 Junius St, Dallas, TX 75214, United States",gardencafe.net
Cafe Brazil - Deep Ellum,https://www.google.com/maps/place/Cafe+Brazil+-+Deep+Ellum/data=!4m7!3m6!1s0x864e98dd179b5141:0x537b53e748186665!8m2!3d32.7849871!4d-96.7830264!16s%2Fg%2F1tg5_12z!19sChIJQVGbF92YToYRZWYYSOdTe1M?authuser=0&hl=en&rclk=1,Cafes in Dallas Texas,4.1,2442,+1 214-747-2730,"2815 Elm St, Dallas, TX 75226, United States",cafebrazil.com
Triumphs Espresso & Whiskey,https://www.google.com/maps/place/Triumphs+Espresso+%26+Whiskey/data=!4m7!3m6!1s0x864e998fb2ffef29:0xcabb5acd6b29a3c0!8m2!3d32.794223!4d-96.8310407!16s%2Fg%2F11s598lnsz!19sChIJKe__so-ZToYRwKMpa81au8o?authuser=0&hl=en&rclk=1,Cafes in Dallas Texas,4.7,295,-,"141 Manufacturing St Suite 110, Dallas, TX 75207, United States",triumphsdallas.com
Opening Bell Coffee,https://www.google.com/maps/place/Opening+Bell+Coffee/data=!4m7!3m6!1s0x864e9903b6cd4dbd:0x5cfe530c861396f1!8m2!3d32.7673584!4d-96.796026!16s%2Fm%2F0k2xhny!19sChIJvU3NtgOZToYR8ZYThgxT_lw?authuser=0&hl=en&rclk=1,Cafes in Dallas Texas,4.6,668,+1 214-565-0383,"1409 Botham Jean Blvd, Dallas, TX 75215, United States",openingbellcoffee.com
La Reunion,https://www.google.com/maps/place/La+Reunion/data=!4m7!3m6!1s0x864e9942b2e4ed73:0xaa7b6f75ff0d74f8!8m2!3d32.7467062!4d-96.8284347!16s%2Fg%2F11h7_p_w4x!19sChIJc-3kskKZToYR-HQN_3Vve6o?authuser=0&hl=en&rclk=1,Cafes in Dallas Texas,4.4,411,+1 972-282-5918,"229 N Bishop Ave, Dallas, TX 75208, United States",lareunioncoffee.com
Luckys Café,https://www.google.com/maps/place/Luckys+Caf%C3%A9/data=!4m7!3m6!1s0x864e9ecfad8e1cbf:0xe391a185cf1458bf!8m2!3d32.8127688!4d-96.8049987!16s%2Fg%2F11b5pjl2vp!19sChIJvxyOrc-eToYRv1gUz4WhkeM?authuser=0&hl=en&rclk=1,Cafes in Dallas Texas,4.5,2260,+1 214-522-3500,"3531 Oak Lawn Ave, Dallas, TX 75219, United States",luckysdallas.com
Coffee House Cafe,https://www.google.com/maps/place/Coffee+House+Cafe/data=!4m7!3m6!1s0x864c23ce5fae7ed7:0xe58d55a8e00bc612!8m2!3d32.9978358!4d-96.7991618!16s%2Fg%2F1tf3byn2!19sChIJ136uX84jTIYREsYL4KhVjeU?authuser=0&hl=en&rclk=1,Cafes in Dallas Texas,4.3,1610,+1 972-232-2333,"6150 Frankford Rd, Dallas, TX 75252, United States",coffeehousecafe.com
Merit Coffee Co.,https://www.google.com/maps/place/Merit+Coffee+Co./data=!4m7!3m6!1s0x864e999c3cc0c611:0x1400e7be0be48d9!8m2!3d32.7839245!4d-96.7847895!16s%2Fg%2F11h0jvfy5m!19sChIJEcbAPJyZToYR2Ui-4HsOQAE?authuser=0&hl=en&rclk=1,Cafes in Dallas Texas,4.5,593,+1 469-248-3440,"2639 Main St, Dallas, TX 75226, United States",meritcoffee.com
La La Land Kind Cafe,https://www.google.com/maps/place/La+La+Land+Kind+Cafe/data=!4m7!3m6!1s0x864e9f19310016a3:0xe4be2b5aca57c9d7!8m2!3d32.8106878!4d-96.8066818!16s%2Fg%2F11jks1m92_!19sChIJoxYAMRmfToYR18lXylorvuQ?authuser=0&hl=en&rclk=1,Cafes in Dallas Texas,4.5,593,+1 469-709-8033,"3330 Oak Lawn Ave, Dallas, TX 75219, United States",lalalandkindcafe.com
Cafe Brazil - University Park,https://www.google.com/maps/place/Cafe+Brazil+-+University+Park/data=!4m7!3m6!1s0x864e9f0c2f83cd4d:0xa49d4c8df7ad0313!8m2!3d32.8444029!4d-96.7734384!16s%2Fg%2F1tg9nk0n!19sChIJTc2DLwyfToYREwOt941MnaQ?authuser=0&hl=en&rclk=1,Cafes in Dallas Texas,4.3,3158,+1 214-691-7791,"6420 N Central Expy, Dallas, TX 75206, United States",cafebrazil.com
