Name,URL,Query,Rating,Reviews,Phone,Address,Website
Dessert Oasis Coffee Roasters Detroit,https://www.google.com/maps/place/Dessert+Oasis+Coffee+Roasters+Detroit/data=!4m7!3m6!1s0x883b2d304d5c95cd:0x9b808caf20089b7b!8m2!3d42.3329972!4d-83.0489528!16s%2Fg%2F11bx3nn2j2!19sChIJzZVcTTAtO4gRe5sIIK-MgJs?authuser=0&hl=en&rclk=1,Cafes in Detroit Michigan,4.6,883,+1 313-338-3515,"1220 Griswold St, Detroit, MI 48226, United States",docr.coffee
Cafe Sous Terre,https://www.google.com/maps/place/Cafe+Sous+Terre/data=!4m7!3m6!1s0x8824d31b2c0c5d4d:0xd11950fe2922d21b!8m2!3d42.3532722!4d-83.0661922!16s%2Fg%2F11v021m_yj!19sChIJTV0MLBvTJIgRG9IiKf5QGdE?authuser=0&hl=en&rclk=1,Cafes in Detroit Michigan,4.8,218,+1 313-228-2880,"445 W Forest Ave, Detroit, MI 48201, United States",cafesousterre.com
AWAKE Cafe,https://www.google.com/maps/place/AWAKE+Cafe/data=!4m7!3m6!1s0x8824d3d5287b5a0b:0x52f76e1c3eaf1882!8m2!3d42.3496324!4d-83.068056!16s%2Fg%2F11fjbqpgx2!19sChIJC1p7KNXTJIgRghivPhxu91I?authuser=0&hl=en&rclk=1,Cafes in Detroit Michigan,4.8,310,+1 313-315-3038,"4224 3rd Ave, Detroit, MI 48201, United States",awakedetroit.com
The Congregation,https://www.google.com/maps/place/The+Congregation/data=!4m7!3m6!1s0x8824cde4c06e40c9:0x2dc12b076dbae4a9!8m2!3d42.3775399!4d-83.1005714!16s%2Fg%2F11j1bpc6xr!19sChIJyUBuwOTNJIgRqeS6bQcrwS0?authuser=0&hl=en&rclk=1,Cafes in Detroit Michigan,4.7,953,+1 313-307-5518,"9321 Rosa Parks Blvd, Detroit, MI 48206, United States",thecongregationdetroit.com
Anthology Coffee,https://www.google.com/maps/place/Anthology+Coffee/data=!4m7!3m6!1s0x883b2d5cf160e2a7:0x3815a1240519a624!8m2!3d42.3488306!4d-83.0361796!16s%2Fg%2F1pp2wzt2d!19sChIJp-Jg8VwtO4gRJKYZBSShFTg?authuser=0&hl=en&rclk=1,Cafes in Detroit Michigan,4.6,382,+1 313-355-4040,"1948 Division St, Detroit, MI 48207, United States",anthologycoffee.com
La Ventana Cafe,https://www.google.com/maps/place/La+Ventana+Cafe/data=!4m7!3m6!1s0x8824d3749bc9daa1:0xb9acd172a2a8f3b1!8m2!3d42.344671!4d-83.037509!16s%2Fg%2F11tsq1sjrd!19sChIJodrJm3TTJIgRsfOoonLRrLk?authuser=0&hl=en&rclk=1,Cafes in Detroit Michigan,4.6,139,-,"1492 Gratiot Ave, Detroit, MI 48207, United States",laventana.cafe
Avalon Café and Bakery,https://www.google.com/maps/place/Avalon+Caf%C3%A9+and+Bakery/data=!4m7!3m6!1s0x883b2d302fc13a0f:0x48c0ddd10efcaba4!8m2!3d42.3327845!4d-83.0479385!16s%2Fg%2F11df81q2rz!19sChIJDzrBLzAtO4gRpKv8DtHdwEg?authuser=0&hl=en&rclk=1,Cafes in Detroit Michigan,4.4,1200,+1 313-285-8006,"1049 Woodward Ave, Detroit, MI 48226, United States",avalonbreads.net
Coffee Down Under,https://www.google.com/maps/place/Coffee+Down+Under/data=!4m7!3m6!1s0x883b2dc57fc2ad45:0xaf825f0df75f3c2e!8m2!3d42.3292865!4d-83.0484296!16s%2Fg%2F11frdln51y!19sChIJRa3Cf8UtO4gRLjxf9w1fgq8?authuser=0&hl=en&rclk=1,Cafes in Detroit Michigan,4.6,212,+1 313-444-6626,"607 Shelby St Basement, Detroit, MI 48226, United States",coffeedownunder.com
James Oliver,https://www.google.com/maps/place/James+Oliver/data=!4m7!3m6!1s0x883b2d73b5cb15cf:0xda2e4c56a6019c50!8m2!3d42.3317104!4d-83.0629614!16s%2Fg%2F11nx681ds9!19sChIJzxXLtXMtO4gRUJwBplZMLto?authuser=0&hl=en&rclk=1,Cafes in Detroit Michigan,4.4,290,+1 313-765-9505,"1236 Michigan Ave, Detroit, MI 48226, United States",jamesolivercoffee.com
SPKRBOX,https://www.google.com/maps/place/SPKRBOX/data=!4m7!3m6!1s0x883b2da3ec47dfe1:0x8bae0e8d67b880e4!8m2!3d42.3338199!4d-83.0499098!16s%2Fg%2F11q4bld0qv!19sChIJ4d9H7KMtO4gR5IC4Z40Oros?authuser=0&hl=en&rclk=1,Cafes in Detroit Michigan,4.5,233,+1 313-496-1010,"200 Grand River Ave, Detroit, MI 48226, United States",spkrbox.bar
