Name,URL,Query,Rating,Reviews,Phone,Address,Website
Press Cafe,https://www.google.com/maps/place/Press+Cafe/data=!4m7!3m6!1s0x864e725f6221cf2d:0xf85bcf0a4f9fef56!8m2!3d32.7071563!4d-97.3948271!16s%2Fg%2F11bxdychsc!19sChIJLc8hYl9yToYRVu-fTwrPW_g?authuser=0&hl=en&rclk=1,Cafes in Fort Worth Texas,4.3,1822,+1 817-570-6002,"4801 Edwards Ranch Rd #105, Fort Worth, TX 76109, United States",presscafeftworth.com
BREWED,https://www.google.com/maps/place/BREWED/data=!4m7!3m6!1s0x864e717577b3bed1:0x424f71b2d39ef809!8m2!3d32.730439!4d-97.332642!16s%2Fg%2F1hf0wnqnm!19sChIJ0b6zd3VxToYRCfie07JxT0I?authuser=0&hl=en&rclk=1,Cafes in Fort Worth Texas,4.3,2131,+1 817-803-4753,"801 W Magnolia Ave, Fort Worth, TX 76104, United States",brewedfw.com
Rio Dulce Coffee,https://www.google.com/maps/place/Rio+Dulce+Coffee/data=!4m7!3m6!1s0x864e714124bb92c9:0x1a831efe97f09d3!8m2!3d32.7565197!4d-97.3333737!16s%2Fg%2F11f03ppnz5!19sChIJyZK7JEFxToYR0wl_6e8xqAE?authuser=0&hl=en&rclk=1,Cafes in Fort Worth Texas,4.8,627,+1 682-730-1335,"109 Houston St, Fort Worth, TX 76102, United States",riodulcecoffee.com
Paris Coffee Shop,https://www.google.com/maps/place/Paris+Coffee+Shop/data=!4m7!3m6!1s0x864e71756bbca783:0xe049ce2d4d58f0c9!8m2!3d32.730876!4d-97.331914!16s%2Fg%2F1tczf9cp!19sChIJg6e8a3VxToYRyfBYTS3OSeA?authuser=0&hl=en&rclk=1,Cafes in Fort Worth Texas,4.3,2210,+1 817-945-1702,"704 W Magnolia Ave, Fort Worth, TX 76104, United States",pariscoffeeshopfw.com
WFM Coffee Bar,https://www.google.com/maps/place/WFM+Coffee+Bar/data=!4m7!3m6!1s0x864e729488f8788f:0xcdf355b582840bc9!8m2!3d32.700038!4d-97.4129749!16s%2Fg%2F11g6yprj_z!19sChIJj3j4iJRyToYRyQuEgrVV880?authuser=0&hl=en&rclk=1,Cafes in Fort Worth Texas,3.6,8,+1 682-316-8040,"3720 Vision Dr, Fort Worth, TX 76109, United States",wholefoodsmarket.com
Starbucks,https://www.google.com/maps/place/Starbucks/data=!4m7!3m6!1s0x864e775d88626d23:0xdc0d5394ded22791!8m2!3d32.7955101!4d-97.3498597!16s%2Fg%2F11ssfh4dpv!19sChIJI21iiF13ToYRkSfS3pRTDdw?authuser=0&hl=en&rclk=1,Cafes in Fort Worth Texas,3.6,109,+1 682-348-9714,"108 NW 28th St, Fort Worth, TX 76164, United States",-
Montgomery Street Cafe,https://www.google.com/maps/place/Montgomery+Street+Cafe/data=!4m7!3m6!1s0x864e73c64dd5eca5:0x4ecdb5ac07e2dc7c!8m2!3d32.7404561!4d-97.3701854!16s%2Fg%2F1tfq51h9!19sChIJpezVTcZzToYRfNziB6y1zU4?authuser=0&hl=en&rclk=1,Cafes in Fort Worth Texas,4.6,558,+1 817-731-8033,"2000 Montgomery St, Fort Worth, TX 76107, United States",fortworth.com
Cafe Momento,https://www.google.com/maps/place/Cafe+Momento/data=!4m7!3m6!1s0x864e7125629bb5e9:0x58643ea7f6cfd9f1!8m2!3d32.7317471!4d-97.340382!16s%2Fg%2F11v0mt6k2k!19sChIJ6bWbYiVxToYR8dnP9qc-ZFg?authuser=0&hl=en&rclk=1,Cafes in Fort Worth Texas,4.9,52,+1 682-393-1323,"1200 6th Ave, Fort Worth, TX 76104, United States",the-gifted-group.com
El Gran Café,https://www.google.com/maps/place/El+Gran+Caf%C3%A9/data=!4m7!3m6!1s0x864e71d8d1eee5df:0xbf92ba7b6fe926b2!8m2!3d32.687137!4d-97.3242714!16s%2Fg%2F11f157r1ph!19sChIJ3-Xu0dhxToYRsibpb3u6kr8?authuser=0&hl=en&rclk=1,Cafes in Fort Worth Texas,4.7,120,+1 817-760-8021,"4200 South Fwy Suite 1079, Fort Worth, TX 76115, United States",el-gran-cafe.square.site
Coffee Folk,https://www.google.com/maps/place/Coffee+Folk/data=!4m7!3m6!1s0x864e7a7773947fb7:0xed3c76e9fed38bc7!8m2!3d32.7458561!4d-97.2620804!16s%2Fg%2F11c702b2gx!19sChIJt3-Uc3d6ToYRx4vT_ul2PO0?authuser=0&hl=en&rclk=1,Cafes in Fort Worth Texas,4.9,287,+1 817-313-3219,"4147 Meadowbrook Dr, Fort Worth, TX 76103, United States",facebook.com
