Name,URL,Query,Rating,Reviews,Phone,Address,Website
Benihana,https://www.google.com/maps/place/Benihana/data=!4m7!3m6!1s0x8640e69389c98483:0xceb906171485e6c0!8m2!3d29.5952209!4d-95.619396!16s%2Fg%2F1th82b26!19sChIJg4TJiZPmQIYRwOaFFBcGuc4?authuser=0&hl=en&rclk=1,Cafes in Houston Texas,4.4,2223,+1 281-565-8888,"2579 Town Center Blvd N, Sugar Land, TX 77479, United States",benihana.com
Tropical Smoothie Cafe,https://www.google.com/maps/place/Tropical+Smoothie+Cafe/data=!4m7!3m6!1s0x8640b7b5be30c62f:0xfde2d8db6d00b0b5!8m2!3d29.691804!4d-95.7719065!16s%2Fg%2F11_r3r9_2!19sChIJL8YwvrW3QIYRtbAAbdvY4v0?authuser=0&hl=en&rclk=1,Cafes in Houston Texas,4.2,274,+1 832-595-0499,"5620 W Grand Pkwy S, Richmond, TX 77406, United States",tropicalsmoothiecafe.com
Empire Café,https://www.google.com/maps/place/Empire+Caf%C3%A9/data=!4m7!3m6!1s0x8640c099f712d6a7:0xb6ff38dc48f90361!8m2!3d29.7428774!4d-95.4035854!16s%2Fg%2F1thy05gx!19sChIJp9YS95nAQIYRYQP5SNw4_7Y?authuser=0&hl=en&rclk=1,Cafes in Houston Texas,4.5,2835,+1 713-528-5282,"1732 Westheimer Rd, Houston, TX 77098, United States",empirecafe.com
Tout Suite,https://www.google.com/maps/place/Tout+Suite/data=!4m7!3m6!1s0x8640bed8f266310d:0xf2be062ecea4822f!8m2!3d29.7586416!4d-95.3505875!16s%2Fg%2F11b6xf0x6d!19sChIJDTFm8ti-QIYRL4Kkzi4GvvI?authuser=0&hl=en&rclk=1,Cafes in Houston Texas,4.3,4429,+1 713-227-8688,"2001 Commerce St, Houston, TX 77002, United States",toutsuitehtx.com
Common Bond Bistro & Bakery - Montrose,https://www.google.com/maps/place/Common+Bond+Bistro+%26+Bakery+-+Montrose/data=!4m7!3m6!1s0x8640c099866b8587:0x96bbfdf55c700a6c!8m2!3d29.7429661!4d-95.4023099!16s%2Fg%2F1q627x25k!19sChIJh4VrhpnAQIYRbApwXPX9u5Y?authuser=0&hl=en&rclk=1,Cafes in Houston Texas,4.5,3035,+1 713-529-3535,"1706 Westheimer Rd, Houston, TX 77006, United States",commonbondbistro.com
The Nook Cafe,https://www.google.com/maps/place/The+Nook+Cafe/data=!4m7!3m6!1s0x8640be595a4b3c6b:0xc4b4fbebc9621467!8m2!3d29.7228344!4d-95.3372613!16s%2Fg%2F1ptxhhctj!19sChIJazxLWlm-QIYRZxRiyev7tMQ?authuser=0&hl=en&rclk=1,Cafes in Houston Texas,4.4,768,-,"4701 Calhoun Rd, Houston, TX 77004, United States",thenookcoffeehouse.com
Agora,https://www.google.com/maps/place/Agora/data=!4m7!3m6!1s0x8640c0998f3055dd:0x304ce258d1780794!8m2!3d29.7429424!4d-95.4026071!16s%2Fg%2F1ts1n023!19sChIJ3VUwj5nAQIYRlAd40VjiTDA?authuser=0&hl=en&rclk=1,Cafes in Houston Texas,4.4,3168,-,"1712 Westheimer Rd, Houston, TX 77098, United States",agorahouston.com
Sweet Paris,https://www.google.com/maps/place/Sweet+Paris/data=!4m7!3m6!1s0x8640c05decbb1963:0x73958f01492cc498!8m2!3d29.71763!4d-95.415844!16s%2Fg%2F1tg8k30t!19sChIJYxm77F3AQIYRmMQsSQGPlXM?authuser=0&hl=en&rclk=1,Cafes in Houston Texas,4.6,1999,+1 713-360-6266,"2420 Rice Boulevard, Houston, TX 77005, United States",sweetparis.com
Coral Sword,https://www.google.com/maps/place/Coral+Sword/data=!4m7!3m6!1s0x8640be8a499fa59d:0x4ac710b83204d14d!8m2!3d29.7307314!4d-95.3274771!16s%2Fg%2F11gf601g83!19sChIJnaWfSYq-QIYRTdEEMrgQx0o?authuser=0&hl=en&rclk=1,Cafes in Houston Texas,4.8,1021,+1 832-742-8987,"1318 Telephone Rd, Houston, TX 77023, United States",coralsword.com
Slowpokes,https://www.google.com/maps/place/Slowpokes/data=!4m7!3m6!1s0x8640c7a757c69895:0xfa40381fcb6b176f!8m2!3d29.8169276!4d-95.4206697!16s%2Fg%2F11cm83nszt!19sChIJlZjGV6fHQIYRbxdryx84QPo?authuser=0&hl=en&rclk=1,Cafes in Houston Texas,4.6,1024,+1 832-742-5949,"1203 W 34th St suite d, Houston, TX 77018, United States",imaslowpoke.com
Siphon Coffee,https://www.google.com/maps/place/Siphon+Coffee/data=!4m7!3m6!1s0x8640bf64a4f5bfdb:0xbd3769015ac51d24!8m2!3d29.738531!4d-95.3882988!16s%2Fg%2F11bbrlm0bp!19sChIJ27_1pGS_QIYRJB3FWgFpN70?authuser=0&hl=en&rclk=1,Cafes in Houston Texas,4.4,1707,+1 281-974-4426,"701 W Alabama St, Houston, TX 77006, United States",siphoncoffee.com
Sweet Paris,https://www.google.com/maps/place/Sweet+Paris/data=!4m7!3m6!1s0x8640db4cd484da79:0x68128bed7b0df5d0!8m2!3d29.7796818!4d-95.5618091!16s%2Fg%2F11b6t01n79!19sChIJedqE1EzbQIYR0PUNe-2LEmg?authuser=0&hl=en&rclk=1,Cafes in Houston Texas,4.6,2292,+1 832-770-9086,"797 Sorella Ct, Houston, TX 77024, United States",sweetparis.com
Black Hole Coffee House,https://www.google.com/maps/place/Black+Hole+Coffee+House/data=!4m7!3m6!1s0x8640c08213dbe49f:0x14eb9a20efced16e!8m2!3d29.7324466!4d-95.3949937!16s%2Fg%2F1tj7ffm4!19sChIJn-TbE4LAQIYRbtHO7yCa6xQ?authuser=0&hl=en&rclk=1,Cafes in Houston Texas,4.3,2149,+1 713-528-0653,"4504 Graustark St, Houston, TX 77006, United States",m.facebook.com
Brass Tacks,https://www.google.com/maps/place/Brass+Tacks/data=!4m7!3m6!1s0x8640bf7f75389e09:0xa6fe0379fa4942d9!8m2!3d29.7514608!4d-95.3494392!16s%2Fg%2F11gl28_hl1!19sChIJCZ44dX-_QIYR2UJJ-nkD_qY?authuser=0&hl=en&rclk=1,Cafes in Houston Texas,4.6,1006,+1 713-352-7626,"612 Live Oak St, Houston, TX 77003, United States",brasstackshouston.com
Segundo Coffee Lab,https://www.google.com/maps/place/Segundo+Coffee+Lab/data=!4m7!3m6!1s0x8640bf38de012db9:0xc804ea14b5c68b03!8m2!3d29.7446993!4d-95.3391776!16s%2Fg%2F11rg5l4f72!19sChIJuS0B3ji_QIYRA4vGtRTqBMg?authuser=0&hl=en&rclk=1,Cafes in Houston Texas,4.5,531,+1 346-240-3032,"711 Milby St #35, Houston, TX 77023, United States",segundocoffee.com
Coco Crepes & Coffee,https://www.google.com/maps/place/Coco+Crepes+%26+Coffee/data=!4m7!3m6!1s0x8640bf417857cb5f:0xec4be57817007328!8m2!3d29.7523464!4d-95.3777414!16s%2Fg%2F1tdyf__1!19sChIJX8tXeEG_QIYRKHMAF3jlS-w?authuser=0&hl=en&rclk=1,Cafes in Houston Texas,4.5,1457,+1 713-521-0700,"218 Gray St Suite A, Houston, TX 77002, United States",cococrepes.com
Black Walnut Cafe,https://www.google.com/maps/place/Black+Walnut+Cafe/data=!4m7!3m6!1s0x8640c0c8f9e4b2f9:0xcd4a5252b59c8d14!8m2!3d29.7618781!4d-95.4180541!16s%2Fg%2F11gzqcgqw!19sChIJ-bLk-cjAQIYRFI2ctVJSSs0?authuser=0&hl=en&rclk=1,Cafes in Houston Texas,4.4,2814,+1 713-868-1800,"5512 Memorial Dr, Houston, TX 77007, United States",blackwalnutcafe.com
Catalina Coffee,https://www.google.com/maps/place/Catalina+Coffee/data=!4m7!3m6!1s0x8640bf4c3510cacb:0xa463f801e7b96bc6!8m2!3d29.7679733!4d-95.3806446!16s%2Fg%2F1w455_9_!19sChIJy8oQNUy_QIYRxmu55wH4Y6Q?authuser=0&hl=en&rclk=1,Cafes in Houston Texas,4.6,1692,+1 713-861-8448,"2201 Washington Ave, Houston, TX 77007, United States",catalinacoffeeshop.com
Campesino Coffee House,https://www.google.com/maps/place/Campesino+Coffee+House/data=!4m7!3m6!1s0x8640c09fd4f66fa3:0xdc0f171bdde4e8f8!8m2!3d29.7459968!4d-95.3941935!16s%2Fg%2F11bc71344z!19sChIJo2_21J_AQIYR-Ojk3RsXD9w?authuser=0&hl=en&rclk=1,Cafes in Houston Texas,4.6,1173,+1 832-831-6486,"2602 Waugh Dr, Houston, TX 77006, United States",-
Roast & Brew,https://www.google.com/maps/place/Roast+%26+Brew/data=!4m7!3m6!1s0x8640c702b95187a9:0x47212590970059b6!8m2!3d29.8030351!4d-95.4157847!16s%2Fg%2F11j6htr0l_!19sChIJqYdRuQLHQIYRtlkAl5AlIUc?authuser=0&hl=en&rclk=1,Cafes in Houston Texas,4.7,678,+1 346-802-4844,"931 W 19th St, Houston, TX 77008, United States",roastandbrewcafetx.com
