Name,URL,Query,Rating,Reviews,Phone,Address,Website
Nine Lives Cat Café,https://www.google.com/maps/place/Nine+Lives+Cat+Caf%C3%A9/data=!4m7!3m6!1s0x886b5a792d1e37ef:0x353d099e147fba54!8m2!3d39.7496985!4d-86.1395785!16s%2Fg%2F11csrr1ks5!19sChIJ7zceLXlaa4gRVLp_FJ4JPTU?authuser=0&hl=en&rclk=1,Cafes in Indianapolis Indiana,4.7,1068,+1 317-602-5287,"1315 Shelby St #1, Indianapolis, IN 46203, United States",ninelivescatcafe.com
Quills Coffee,https://www.google.com/maps/place/Quills+Coffee/data=!4m7!3m6!1s0x886b50c6067115d9:0x70e71dcb0856775!8m2!3d39.7802597!4d-86.1573051!16s%2Fg%2F11b6zswv9v!19sChIJ2RVxBsZQa4gRdWeFsNxxDgc?authuser=0&hl=en&rclk=1,Cafes in Indianapolis Indiana,4.6,648,+1 317-426-1431,"941 N Meridian St, Indianapolis, IN 46204, United States",quillscoffee.com
Café Patachou,https://www.google.com/maps/place/Caf%C3%A9+Patachou/data=!4m7!3m6!1s0x886b50bbb271a443:0xe2d85277ffc2e7a2!8m2!3d39.7669396!4d-86.1619453!16s%2Fg%2F1tjz8pst!19sChIJQ6RxsrtQa4gRoufC_3dS2OI?authuser=0&hl=en&rclk=1,Cafes in Indianapolis Indiana,4.6,2693,+1 317-632-0765,"225 W Washington St, Indianapolis, IN 46204, United States",cafepatachou.com
Brickhouse Coffee Company,https://www.google.com/maps/place/Brickhouse+Coffee+Company/data=!4m7!3m6!1s0x886b4b3ea7908d69:0x5e0d47dc61e16443!8m2!3d39.897499!4d-85.9949264!16s%2Fg%2F1pv6yzd0_!19sChIJaY2Qpz5La4gRQ2ThYdxHDV4?authuser=0&hl=en&rclk=1,Cafes in Indianapolis Indiana,4.8,1057,+1 317-436-8669,"9771 Fall Creek Rd, Indianapolis, IN 46256, United States",brickhouseroasters.com
Coat Check Coffee,https://www.google.com/maps/place/Coat+Check+Coffee/data=!4m7!3m6!1s0x886b50eb52c11055:0x23e6a534e092ec1f!8m2!3d39.7737872!4d-86.1503065!16s%2Fg%2F11c6f1g6f6!19sChIJVRDBUutQa4gRH-yS4DSl5iM?authuser=0&hl=en&rclk=1,Cafes in Indianapolis Indiana,4.7,895,-,"401 E Michigan St, Indianapolis, IN 46204, United States",coatcheckcoffee.com
Tea's Me Cafe Indy,https://www.google.com/maps/place/Tea%27s+Me+Cafe+Indy/data=!4m7!3m6!1s0x886b5121d0e1224d:0xae94e35cb8e2115a!8m2!3d39.7975724!4d-86.1543999!16s%2Fg%2F1tftlz1q!19sChIJTSLh0CFRa4gRWhHiuFzjlK4?authuser=0&hl=en&rclk=1,Cafes in Indianapolis Indiana,4.8,558,+1 317-920-1016,"140 E 22nd St B, Indianapolis, IN 46202, United States",teasmeindy.com
Parlor Public House,https://www.google.com/maps/place/Parlor+Public+House/data=!4m7!3m6!1s0x886b510d1f77a5e5:0x7b80267b8c24ab43!8m2!3d39.7699533!4d-86.1469553!16s%2Fg%2F11pq9mlyz6!19sChIJ5aV3Hw1Ra4gRQ6skjHsmgHs?authuser=0&hl=en&rclk=1,Cafes in Indianapolis Indiana,4.6,420,+1 317-610-0106,"600 E Ohio St Suite B, Indianapolis, IN 46202, United States",parlorpublichouse.com
Ascend Coffee,https://www.google.com/maps/place/Ascend+Coffee/data=!4m7!3m6!1s0x886b4d26915923ad:0x1c72af8bdb6b1570!8m2!3d39.911531!4d-86.0676758!16s%2Fg%2F11kc7bsv9f!19sChIJrSNZkSZNa4gRcBVr24uvchw?authuser=0&hl=en&rclk=1,Cafes in Indianapolis Indiana,4.9,204,-,"5941 E 86th St, Indianapolis, IN 46250, United States",ascendindy.com
Georgia Street Grind,https://www.google.com/maps/place/Georgia+Street+Grind/data=!4m7!3m6!1s0x886b50bcb3fdc199:0xa114759614410341!8m2!3d39.7641192!4d-86.1588041!16s%2Fg%2F11c2kl_7m_!19sChIJmcH9s7xQa4gRQQNBFJZ1FKE?authuser=0&hl=en&rclk=1,Cafes in Indianapolis Indiana,4.9,331,+1 317-371-9949,"1001, 25 W Georgia St #101, Indianapolis, IN 46225, United States",georgiastreetgrind.com
GoldLeaf Savory & Sweet,https://www.google.com/maps/place/GoldLeaf+Savory+%26+Sweet/data=!4m7!3m6!1s0x886b5372e7007399:0x526290703de9ffde!8m2!3d39.8400422!4d-86.1287786!16s%2Fg%2F11fnp7yfgc!19sChIJmXMA53JTa4gR3v_pPXCQYlI?authuser=0&hl=en&rclk=1,Cafes in Indianapolis Indiana,4.9,329,+1 317-600-3542,"1901 E 46th St #1, Indianapolis, IN 46205, United States",goldleafindy.com
chronic coffee & smoothies,https://www.google.com/maps/place/chronic+coffee+%26+smoothies/data=!4m7!3m6!1s0x886b5110935eb51d:0x8568e2e731fbf4a4!8m2!3d39.7662555!4d-86.1549303!16s%2Fg%2F11rcs8c8d6!19sChIJHbVekxBRa4gRpPT7MefiaIU?authuser=0&hl=en&rclk=1,Cafes in Indianapolis Indiana,4.9,371,+1 317-377-4812,"42 Virginia Ave, Indianapolis, IN 46204, United States",chroniccoffeeindy.com
Neidhammer Coffee Co.,https://www.google.com/maps/place/Neidhammer+Coffee+Co./data=!4m7!3m6!1s0x886b506609742c2f:0x81ee299e0d466329!8m2!3d39.7678706!4d-86.1250896!16s%2Fg%2F11bzyyd1nh!19sChIJLyx0CWZQa4gRKWNGDZ4p7oE?authuser=0&hl=en&rclk=1,Cafes in Indianapolis Indiana,4.6,627,+1 317-602-5642,"2104 E Washington St, Indianapolis, IN 46201, United States",neidhammercoffeeco.com
Top Out Café,https://www.google.com/maps/place/Top+Out+Caf%C3%A9/data=!4m7!3m6!1s0x886b513c40080717:0xa395c5e4a8bfe3fa!8m2!3d39.7850091!4d-86.1341914!16s%2Fg%2F11q8gmzxhf!19sChIJFwcIQDxRa4gR-uO_qOTFlaM?authuser=0&hl=en&rclk=1,Cafes in Indianapolis Indiana,4.6,79,+1 317-953-6669,"Upstairs Mezzanine at North Mass Boulder, 1411 Roosevelt Ave, Indianapolis, IN 46201, United States",topoutcafe.com
