Name,URL,Query,Rating,Reviews,Phone,Address,Website
Secret Garden Café,https://www.google.com/maps/place/Secret+Garden+Caf%C3%A9/data=!4m7!3m6!1s0x88e5b50fb27ee4c9:0xb853e27d209afae!8m2!3d30.2872919!4d-81.551223!16s%2Fg%2F1tg828k6!19sChIJyeR-sg-15YgRrq8J0ic-hQs?authuser=0&hl=en&rclk=1,Cafes in Jacksonville Florida,4.4,1319,+1 904-645-0859,"10095 Beach Blvd Ste 600, Jacksonville, FL 32246, United States",secretgardencafe.org
European Street Cafe,https://www.google.com/maps/place/European+Street+Cafe/data=!4m7!3m6!1s0x88e5b82b4a89620d:0x79ae49b7adef50d0!8m2!3d30.30997!4d-81.69532!16s%2Fm%2F0k37h3p!19sChIJDWKJSiu45YgR0FDvrbdJrnk?authuser=0&hl=en&rclk=1,Cafes in Jacksonville Florida,4.6,2329,+1 904-384-9999,"2753 Park St, Jacksonville, FL 32205, United States",europeanstreet.com
Southern Grounds & Co.,https://www.google.com/maps/place/Southern+Grounds+%26+Co./data=!4m7!3m6!1s0x88e5b7b5faafcb79:0x5e3e6ab736f5f307!8m2!3d30.3067423!4d-81.6501726!16s%2Fg%2F11ghlk0l7y!19sChIJecuv-rW35YgRB_P1NrdqPl4?authuser=0&hl=en&rclk=1,Cafes in Jacksonville Florida,4.6,1258,+1 904-619-1503,"1671 Atlantic Blvd, Jacksonville, FL 32207, United States",southerngrounds.com
Bold Bean Coffee Roasters - Riverside,https://www.google.com/maps/place/Bold+Bean+Coffee+Roasters+-+Riverside/data=!4m7!3m6!1s0x88e5b455c798f8ab:0x26ef33f3d0560b78!8m2!3d30.3154511!4d-81.6893112!16s%2Fg%2F1tdf256_!19sChIJq_iYx1W05YgReAtW0PMz7yY?authuser=0&hl=en&rclk=1,Cafes in Jacksonville Florida,4.7,1300,+1 904-738-7670,"869 Stockton St, Jacksonville, FL 32204, United States",boldbeancoffee.com
The Coffee Grinder,https://www.google.com/maps/place/The+Coffee+Grinder/data=!4m7!3m6!1s0x88e5caf9d6fd187b:0x9b1744d71dbc2ddb!8m2!3d30.2199535!4d-81.5543976!16s%2Fg%2F1tdvk_g9!19sChIJexj91vnK5YgR2y28HddEF5s?authuser=0&hl=en&rclk=1,Cafes in Jacksonville Florida,4.6,1053,+1 904-642-7600,"9834 Old Baymeadows Rd, Jacksonville, FL 32256, United States",thecoffeegrinderjax.com
Bitty & Beau's Coffee,https://www.google.com/maps/place/Bitty+%26+Beau%27s+Coffee/data=!4m7!3m6!1s0x88e5b7fade05b155:0x96f18ff8e675b051!8m2!3d30.3046301!4d-81.654983!16s%2Fg%2F11t8bfgkg2!19sChIJVbEF3vq35YgRUbB15viP8ZY?authuser=0&hl=en&rclk=1,Cafes in Jacksonville Florida,4.9,444,+1 904-683-6083,"1965 San Marco Blvd, Jacksonville, FL 32207, United States",bittyandbeauscoffee.com
Cool Moose Cafe,https://www.google.com/maps/place/Cool+Moose+Cafe/data=!4m7!3m6!1s0x88e5b9d4d36fc135:0x4e3220efeb5e4445!8m2!3d30.3102301!4d-81.6938826!16s%2Fg%2F1tlkd5ht!19sChIJNcFv09S55YgRRURe6-8gMk4?authuser=0&hl=en&rclk=1,Cafes in Jacksonville Florida,4.4,1467,+1 904-381-4242,"2708 Park St, Jacksonville, FL 32205, United States",coolmoosecafe.net
Kava & Company - San Marco,https://www.google.com/maps/place/Kava+%26+Company+-+San+Marco/data=!4m7!3m6!1s0x88e5b788414835cd:0x962faa3b78304fb6!8m2!3d30.3131574!4d-81.6539969!16s%2Fg%2F11q4d9x2sd!19sChIJzTVIQYi35YgRtk8weDuqL5Y?authuser=0&hl=en&rclk=1,Cafes in Jacksonville Florida,4.9,394,+1 904-551-3809,"1224 Kings Ave, Jacksonville, FL 32207, United States",kavaandcompany.com
Urban Grind Coffee Company,https://www.google.com/maps/place/Urban+Grind+Coffee+Company/data=!4m7!3m6!1s0x88e5b71769071eb9:0x6928a61cae2b43ad!8m2!3d30.3266031!4d-81.6591038!16s%2Fg%2F11bx8s5hrt!19sChIJuR4HaRe35YgRrUMrrhymKGk?authuser=0&hl=en&rclk=1,Cafes in Jacksonville Florida,4.6,393,+1 904-516-7799,"45 W Bay St, Jacksonville, FL 32202, United States",urbangrind.coffee
Le Petit Paris Cafe Mandarin,https://www.google.com/maps/place/Le+Petit+Paris+Cafe+Mandarin/data=!4m7!3m6!1s0x88e5c9a0f06ed6d7:0x34782597acfada4a!8m2!3d30.1961357!4d-81.6216812!16s%2Fg%2F11h0jzmmt2!19sChIJ19Zu8KDJ5YgRStr6rJcleDQ?authuser=0&hl=en&rclk=1,Cafes in Jacksonville Florida,4.7,1051,+1 904-512-7777,"9965 San Jose Blvd Suite 46, Jacksonville, FL 32257, United States",lepetitparisjax.com
