Name,URL,Query,Rating,Reviews,Phone,Address,Website
Bird & Branch Coffee Roasters,https://www.google.com/maps/place/Bird+%26+Branch+Coffee+Roasters/data=!4m7!3m6!1s0x89c25853c46c584d:0x2be347662f0035e!8m2!3d40.7603366!4d-73.9908687!16s%2Fg%2F11hbtg2w_k!19sChIJTVhsxFNYwokRXgPwYnY0vgI?authuser=0&hl=en&rclk=1,Cafes in New York New York,4.6,685,+1 917-265-8444,"359 W 45th St, New York, NY 10036, United States",birdandbranch.com
Cafe Manhattan,https://www.google.com/maps/place/Cafe+Manhattan/data=!4m7!3m6!1s0x89c258ffb995e8a1:0x2d4ea84adae6c762!8m2!3d40.7562507!4d-73.9809498!16s%2Fg%2F1tjypmvf!19sChIJoeiVuf9YwokRYsfm2kqoTi0?authuser=0&hl=en&rclk=1,Cafes in New York New York,4.1,343,+1 212-921-1515,"35 W 45th St # A, New York, NY 10036, United States",cafemanhattan.com
Aleef Cafe,https://www.google.com/maps/place/Aleef+Cafe/data=!4m7!3m6!1s0x89c259ad30ff58c3:0xa40168f3cf56ff27!8m2!3d40.7561758!4d-73.9925797!16s%2Fg%2F1td59jld!19sChIJw1j_MK1ZwokRJ_9Wz_NoAaQ?authuser=0&hl=en&rclk=1,Cafes in New York New York,4.8,400,+1 212-564-2723,"333 W 39th St, New York, NY 10018, United States",-
Caffe Reggio,https://www.google.com/maps/place/Caffe+Reggio/data=!4m7!3m6!1s0x89c25991817682af:0xc21f1f85a7b96c03!8m2!3d40.7303079!4d-74.0003706!16s%2Fm%2F0c41py6!19sChIJr4J2gZFZwokRA2y5p4UfH8I?authuser=0&hl=en&rclk=1,Cafes in New York New York,4.3,1742,+1 212-475-9557,"119 MacDougal St, New York, NY 10012, United States",caffereggio.com
GRIND THE NYC COFFEE SHOP & BAGEL HOUSE,https://www.google.com/maps/place/GRIND+THE+NYC+COFFEE+SHOP+%26+BAGEL+HOUSE/data=!4m7!3m6!1s0x89c259125a931087:0x3d471d4575240620!8m2!3d40.7590839!4d-73.9918101!16s%2Fg%2F11kgnrjx7t!19sChIJhxCTWhJZwokRIAYkdUUdRz0?authuser=0&hl=en&rclk=1,Cafes in New York New York,4.5,708,+1 646-755-8073,"602 9th Ave, New York, NY 10036, United States",grindnyc.com
Fiat Café,https://www.google.com/maps/place/Fiat+Caf%C3%A9/data=!4m7!3m6!1s0x89c25988bb792f17:0x74a7014ab152dc96!8m2!3d40.7214311!4d-73.9956551!16s%2Fg%2F1vr3f26p!19sChIJFy95u4hZwokRltxSsUoBp3Q?authuser=0&hl=en&rclk=1,Cafes in New York New York,4.4,1070,+1 212-969-1809,"203 Mott St, New York, NY 10012, United States",fiatcafenyc.com
In Common NYC - A Breakfast & Brunch Restaurant,https://www.google.com/maps/place/In+Common+NYC+-+A+Breakfast+%26+Brunch+Restaurant/data=!4m7!3m6!1s0x89c259b52862a671:0xd50cb6d3dbcffc98!8m2!3d40.753835!4d-73.996243!16s%2Fg%2F11j2w8817l!19sChIJcaZiKLVZwokRmPzP29O2DNU?authuser=0&hl=en&rclk=1,Cafes in New York New York,4.6,1296,+1 646-370-3099,"441 9th Ave Suite 101, New York, NY 10001, United States",incommonnyc.com
Little Collins,https://www.google.com/maps/place/Little+Collins/data=!4m7!3m6!1s0x89c259af84f24db9:0xb6a8d79d323b5b56!8m2!3d40.7523639!4d-73.9735114!16s%2Fg%2F11b61qq0km!19sChIJuU3yhK9ZwokRVls7Mp3XqLY?authuser=0&hl=en&rclk=1,Cafes in New York New York,4.6,2148,+1 212-308-1969,"708 3rd Ave, New York, NY 10017, United States",littlecollinsnyc.com
Café New York,https://www.google.com/maps/place/Caf%C3%A9+New+York/data=!4m7!3m6!1s0x3be7ce0ea7ef5ff5:0xb74b40bfdf20ec11!8m2!3d18.9579953!4d72.8109848!16s%2Fg%2F1w96f6kc!19sChIJ9V_vpw7O5zsREewg379AS7c?authuser=0&hl=en&rclk=1,Cafes in New York New York,4.3,3189,022 2363 2876,"44, Dabholkar Building, N S Patkar Marg, Mumbai, Maharashtra 400007",cafenewyork.in
Café Integral,https://www.google.com/maps/place/Caf%C3%A9+Integral/data=!4m7!3m6!1s0x89c259889b2eaaab:0x66784a0bd9b66d7c!8m2!3d40.7203698!4d-73.9952115!16s%2Fg%2F11cr_5lhbb!19sChIJq6oum4hZwokRfG222QtKeGY?authuser=0&hl=en&rclk=1,Cafes in New York New York,4.5,432,-,"149 Elizabeth St, New York, NY 10012, United States",cafeintegral.com
Coffee Project New York | East Village,https://www.google.com/maps/place/Coffee+Project+New+York+%7C+East+Village/data=!4m7!3m6!1s0x89c2599b5a24d7fd:0x9e354f6cf514b9fc!8m2!3d40.7270884!4d-73.989382!16s%2Fg%2F11c3svpqld!19sChIJ_dckWptZwokR_LkU9WxPNZ4?authuser=0&hl=en&rclk=1,Cafes in New York New York,4.7,755,+1 212-228-7888,"239 E 5th St, New York, NY 10003, United States",coffeeprojectny.com
Round K by Sol,https://www.google.com/maps/place/Round+K+by+Sol/data=!4m7!3m6!1s0x89c259871c9097d9:0xeb7a528122347140!8m2!3d40.7150818!4d-73.9931521!16s%2Fg%2F11b88tgqr4!19sChIJ2ZeQHIdZwokRQHE0IoFSeus?authuser=0&hl=en&rclk=1,Cafes in New York New York,4.5,640,+1 347-471-1601,"78 Canal St, New York, NY 10002, United States",roundkbysol.com
