Name,URL,Query,Rating,Reviews,Phone,Address,Website
JoJo Coffeehouse Breakfast & Brunch,https://www.google.com/maps/place/JoJo+Coffeehouse+Breakfast+%26+Brunch/data=!4m7!3m6!1s0x872b0b3c37298d37:0x15c76d04c2809781!8m2!3d33.4906907!4d-111.9263989!16s%2Fg%2F11fj7hy0p8!19sChIJN40pNzwLK4cRgZeAwgRtxxU?authuser=0&hl=en&rclk=1,Cafes in Phoenix Arizona,4.3,1250,+1 480-907-6100,"3712 N Scottsdale Rd Suite 110, Scottsdale, AZ 85251, United States",jojocoffeehouse.com
Modern Grind,https://www.google.com/maps/place/Modern+Grind/data=!4m7!3m6!1s0x872b3995b2135cb9:0x8b5e6cdf2de84c33!8m2!3d33.4613474!4d-112.3378477!16s%2Fg%2F11mvnn6_3d!19sChIJuVwTspU5K4cRM0zoLd9sXos?authuser=0&hl=en&rclk=1,Cafes in Phoenix Arizona,4.8,319,+1 623-248-4040,"13044 W Rancho Santa Fe Blvd, Avondale, AZ 85392, United States",moderngrindcoffee.com
Fair Trade Cafe,https://www.google.com/maps/place/Fair+Trade+Cafe/data=!4m7!3m6!1s0x872b123dd3870023:0xb53c3e62d863c6a3!8m2!3d33.4593921!4d-112.0743347!16s%2Fg%2F1vpq7bxy!19sChIJIwCH0z0SK4cRo8Zj2GI-PLU?authuser=0&hl=en&rclk=1,Cafes in Phoenix Arizona,4.5,1020,+1 602-354-8150,"1020 N 1st Ave, Phoenix, AZ 85003, United States",azfairtrade.com
Lux Central,https://www.google.com/maps/place/Lux+Central/data=!4m7!3m6!1s0x872b12ecf6d5df1f:0x9c94e3196571aa51!8m2!3d33.5004756!4d-112.0741388!16s%2Fg%2F1v2kxxb8!19sChIJH9_V9uwSK4cRUapxZRnjlJw?authuser=0&hl=en&rclk=1,Cafes in Phoenix Arizona,4.5,2881,+1 602-327-1396,"4402 N Central Ave, Phoenix, AZ 85012, United States",luxcoffee.com
"Songbird Coffee & Tea House - Phoenix, AZ","https://www.google.com/maps/place/Songbird+Coffee+%26+Tea+House+-+Phoenix,+AZ/data=!4m7!3m6!1s0x872b12163bf7661b:0x968bf8b4d61af5b3!8m2!3d33.4570297!4d-112.0702026!16s%2Fg%2F119v0htqy!19sChIJG2b3OxYSK4cRs_Ua1rT4i5Y?authuser=0&hl=en&rclk=1",Cafes in Phoenix Arizona,4.7,943,+1 602-374-4192,"812 N 3rd St Ac, Phoenix, AZ 85004, United States",songbirdcoffeehouse.com
"Jobot Coffee, Breakfast and Pizzeria","https://www.google.com/maps/place/Jobot+Coffee,+Breakfast+and+Pizzeria/data=!4m7!3m6!1s0x872b1216fd415379:0x3764c7087cd8d21b!8m2!3d33.4584535!4d-112.0696776!16s%2Fg%2F11c6062jyx!19sChIJeVNB_RYSK4cRG9LYfAjHZDc?authuser=0&hl=en&rclk=1",Cafes in Phoenix Arizona,4.5,1230,-,"333 E Roosevelt St, Phoenix, AZ 85004, United States",untappd.com
Tres Leches Café,https://www.google.com/maps/place/Tres+Leches+Caf%C3%A9/data=!4m7!3m6!1s0x872b12ba2d7c61b1:0xe84c1c45d514ced2!8m2!3d33.451478!4d-112.0964941!16s%2Fg%2F11c3v6yxky!19sChIJsWF8LboSK4cR0s4U1UUcTOg?authuser=0&hl=en&rclk=1,Cafes in Phoenix Arizona,4.7,1874,+1 602-368-1804,"1714 W Van Buren St, Phoenix, AZ 85007, United States",treslechesaz.com
5th Avenue Cafe,https://www.google.com/maps/place/5th+Avenue+Cafe/data=!4m7!3m6!1s0x872b125980f948cb:0xdabb4b285ab04866!8m2!3d33.4799758!4d-112.0806354!16s%2Fg%2F1td4kl65!19sChIJy0j5gFkSK4cRZkiwWihLu9o?authuser=0&hl=en&rclk=1,Cafes in Phoenix Arizona,4.5,999,+1 602-274-0963,"501 W Thomas Rd, Phoenix, AZ 85013, United States",5thavenuecafephoenix.com
Lola Coffee,https://www.google.com/maps/place/Lola+Coffee/data=!4m7!3m6!1s0x872b123bff81964d:0xc70c38f4f2e313ac!8m2!3d33.4587994!4d-112.0774034!16s%2Fg%2F1vjdqjg0!19sChIJTZaB_zsSK4cRrBPj8vQ4DMc?authuser=0&hl=en&rclk=1,Cafes in Phoenix Arizona,4.5,929,+1 602-252-2265,"1001 N 3rd Ave #6, Phoenix, AZ 85003, United States",lolacoffeebarphx.com
Jewel's Bakery & Cafe,https://www.google.com/maps/place/Jewel%27s+Bakery+%26+Cafe/data=!4m7!3m6!1s0x872b0c35fee08c7f:0x3eb4c09edd6ea04c!8m2!3d33.4801431!4d-111.9937632!16s%2Fg%2F1ydxc8jzw!19sChIJf4zg_jUMK4cRTKBu3Z7AtD4?authuser=0&hl=en&rclk=1,Cafes in Phoenix Arizona,4.5,1077,+1 602-714-5243,"4041 E Thomas Rd, Phoenix, AZ 85018, United States",jewelsbakeryandcafe.com
