Name,URL,Query,Rating,Reviews,Phone,Address,Website
Crepeccino Café & Crêperie,https://www.google.com/maps/place/Crepeccino+Caf%C3%A9+%26+Cr%C3%AAperie/data=!4m7!3m6!1s0x865c673c5991b071:0xf07192fd21dfdf91!8m2!3d29.517053!4d-98.5977324!16s%2Fg%2F11fd7ln7n2!19sChIJcbCRWTxnXIYRkd_fIf2ScfA?authuser=0&hl=en&rclk=1,Cafes in San Antonio Texas,4.9,12383,+1 210-600-3362,"5500 Babcock Rd #104, San Antonio, TX 78240, United States",crepeccino.com
Halcyon Southtown,https://www.google.com/maps/place/Halcyon+Southtown/data=!4m7!3m6!1s0x865c58bb11da3409:0x36c0aa226dc4ee55!8m2!3d29.4099575!4d-98.4954049!16s%2Fg%2F1hjh1zxkk!19sChIJCTTaEbtYXIYRVe7EbSKqwDY?authuser=0&hl=en&rclk=1,Cafes in San Antonio Texas,4.2,2200,+1 210-277-7045,"1414 S Alamo St, San Antonio, TX 78210, United States",halcyoncoffeebar.com
What's Brewing Coffee Roasters,https://www.google.com/maps/place/What%27s+Brewing+Coffee+Roasters/data=!4m7!3m6!1s0x865c603c909accf7:0x52bb96c6c1984d42!8m2!3d29.5450882!4d-98.4969805!16s%2Fg%2F1vm_y9cc!19sChIJ98yakDxgXIYRQk2YwcaWu1I?authuser=0&hl=en&rclk=1,Cafes in San Antonio Texas,4.8,636,+1 210-308-8882,"138 W Rhapsody Dr, San Antonio, TX 78216, United States",sacoffeeroasters.com
La Villita Cafe,https://www.google.com/maps/place/La+Villita+Cafe/data=!4m7!3m6!1s0x865c58ab9e6b1713:0x6b0a2cc6a64e30d2!8m2!3d29.4214682!4d-98.4891433!16s%2Fg%2F11bxjlvdx8!19sChIJExdrnqtYXIYR0jBOpsYsCms?authuser=0&hl=en&rclk=1,Cafes in San Antonio Texas,4.2,1631,+1 210-223-4700,"418 Villita St, San Antonio, TX 78205, United States",lavillitacafe.com
Candlelight Coffeehouse/ PourHouse,https://www.google.com/maps/place/Candlelight+Coffeehouse%2F+PourHouse/data=!4m7!3m6!1s0x865c5f61e0adb147:0xf6883a77ced09faa!8m2!3d29.4528637!4d-98.4850322!16s%2Fg%2F1wj_6g2l!19sChIJR7Gt4GFfXIYRqp_Qznc6iPY?authuser=0&hl=en&rclk=1,Cafes in San Antonio Texas,4.3,1012,+1 210-738-0099,"107 Kings Ct, San Antonio, TX 78212, United States",candlelightsatx.com
Black Rifle Coffee Company,https://www.google.com/maps/place/Black+Rifle+Coffee+Company/data=!4m7!3m6!1s0x865c613764a28c63:0x2ecdced1b7d224c2!8m2!3d29.5659354!4d-98.4843537!16s%2Fg%2F11kgkhj9fd!19sChIJY4yiZDdhXIYRwiTSt9HOzS4?authuser=0&hl=en&rclk=1,Cafes in San Antonio Texas,4.6,1639,+1 210-963-9660,"180 W Bitters Rd, San Antonio, TX 78216, United States",blackriflecoffee.com
Local Coffee,https://www.google.com/maps/place/Local+Coffee/data=!4m7!3m6!1s0x865cf5f6b69571a5:0x828b025366b9d32b!8m2!3d29.442171!4d-98.4796448!16s%2Fg%2F1ptwnh3sp!19sChIJpXGVtvb1XIYRK9O5ZlMCi4I?authuser=0&hl=en&rclk=1,Cafes in San Antonio Texas,4.5,1057,+1 210-530-1004,"302 Pearl Pkwy, San Antonio, TX 78215, United States",localcoffee.com
Summer Moon Coffee,https://www.google.com/maps/place/Summer+Moon+Coffee/data=!4m7!3m6!1s0x865cf58a0280bffb:0xfc5f2264cdab53f8!8m2!3d29.4544686!4d-98.4835244!16s%2Fg%2F11c1xdbqzz!19sChIJ-7-AAor1XIYR-FOrzWQiX_w?authuser=0&hl=en&rclk=1,Cafes in San Antonio Texas,4.6,1261,+1 210-320-1773,"3233 N St Mary's St #102, San Antonio, TX 78212, United States",locations.summermooncoffee.com
CommonWealth Coffeehouse & Bakery,https://www.google.com/maps/place/CommonWealth+Coffeehouse+%26+Bakery/data=!4m7!3m6!1s0x865cf598a4675509:0x338744fd75b16990!8m2!3d29.4664382!4d-98.4628442!16s%2Fg%2F11bbx18ldx!19sChIJCVVnpJj1XIYRkGmxdf1EhzM?authuser=0&hl=en&rclk=1,Cafes in San Antonio Texas,4.5,1050,+1 210-560-2955,"118 Davis Ct, San Antonio, TX 78209, United States",commonwealthcoffeehouse.com
Brevity Coffee Co.,https://www.google.com/maps/place/Brevity+Coffee+Co./data=!4m7!3m6!1s0x865c6781e22b0d6b:0xae37b2c0f6d45844!8m2!3d29.5237046!4d-98.5994811!16s%2Fg%2F11fmqkby3w!19sChIJaw0r4oFnXIYRRFjU9sCyN64?authuser=0&hl=en&rclk=1,Cafes in San Antonio Texas,4.8,499,+1 210-819-4651,"8802 Huebner Rd, San Antonio, TX 78240, United States",brevitycoffee.com
