Name,URL,Query,Rating,Reviews,Phone,Address,Website
Caffe Trieste,https://www.google.com/maps/place/Caffe+Trieste/data=!4m7!3m6!1s0x808580f3f5da2173:0xee2ded4b4986b7ee!8m2!3d37.7986417!4d-122.4073139!16s%2Fg%2F124yjgn93!19sChIJcyHa9fOAhYAR7reGSUvtLe4?authuser=0&hl=en&rclk=1,Cafes in San Francisco California,4.5,1515,+1 415-392-6739,"601 Vallejo St., San Francisco, CA 94133, United States",caffetrieste.com
Caffe Greco,https://www.google.com/maps/place/Caffe+Greco/data=!4m7!3m6!1s0x808580f3de0660e1:0xe63bbbda3582b728!8m2!3d37.7989689!4d-122.4084844!16s%2Fg%2F1td7hz6_!19sChIJ4WAG3vOAhYARKLeCNdq7O-Y?authuser=0&hl=en&rclk=1,Cafes in San Francisco California,4.4,1373,+1 415-397-6261,"423 Columbus Ave, San Francisco, CA 94133, United States",caffegreco.com
Simple Pleasures Cafe,https://www.google.com/maps/place/Simple+Pleasures+Cafe/data=!4m7!3m6!1s0x808587a6473e3f81:0xbfe82a5ae1062485!8m2!3d37.7759728!4d-122.4958428!16s%2Fg%2F1vr1ww1z!19sChIJgT8-R6aHhYARhSQG4Voq6L8?authuser=0&hl=en&rclk=1,Cafes in San Francisco California,4.6,502,+1 415-387-4022,"3434 Balboa St, San Francisco, CA 94121, United States",facebook.com
The Coffee Movement,https://www.google.com/maps/place/The+Coffee+Movement/data=!4m7!3m6!1s0x808587fb77f5f64d:0x25d564f177f99946!8m2!3d37.7764721!4d-122.4778225!16s%2Fg%2F11sbx1rx9m!19sChIJTfb1d_uHhYARRpn5d_Fk1SU?authuser=0&hl=en&rclk=1,Cafes in San Francisco California,4.8,317,-,"1737 Balboa St, San Francisco, CA 94121, United States",thecoffeemovement.com
Scullery,https://www.google.com/maps/place/Scullery/data=!4m7!3m6!1s0x80858091bc0e5d87:0x90138f42dddaf5dc!8m2!3d37.7864505!4d-122.4145707!16s%2Fg%2F11c54bgtjx!19sChIJh10OvJGAhYAR3PXa3UKPE5A?authuser=0&hl=en&rclk=1,Cafes in San Francisco California,4.7,440,+1 415-440-4497,"687 Geary St, San Francisco, CA 94102, United States",scullerysf.com
The Buena Vista,https://www.google.com/maps/place/The+Buena+Vista/data=!4m7!3m6!1s0x808f7e37f0d196f9:0xcf2a7b909a94bfc3!8m2!3d37.8065338!4d-122.4207185!16s%2Fm%2F0pc6037!19sChIJ-ZbR8Dd-j4ARw7-UmpB7Ks8?authuser=0&hl=en&rclk=1,Cafes in San Francisco California,4.6,7039,+1 415-474-5044,"2765 Hyde St, San Francisco, CA 94109, United States",thebuenavista.com
Mellis Cafe,https://www.google.com/maps/place/Mellis+Cafe/data=!4m7!3m6!1s0x80858176c4ea853f:0x8a0ca47afa25feca!8m2!3d37.7855163!4d-122.4089138!16s%2Fg%2F11svz_93b1!19sChIJP4XqxHaBhYARyv4l-nqkDIo?authuser=0&hl=en&rclk=1,Cafes in San Francisco California,4.8,167,+1 415-572-6841,"154 Ellis St, San Francisco, CA 94102, United States",order.online
Progressive Grounds,https://www.google.com/maps/place/Progressive+Grounds/data=!4m7!3m6!1s0x808f7e5959ef59ab:0x8edc887281227476!8m2!3d37.7390371!4d-122.4176918!16s%2Fm%2F01zp3th!19sChIJq1nvWVl-j4ARdnQigXKI3I4?authuser=0&hl=en&rclk=1,Cafes in San Francisco California,4.5,424,+1 415-282-6233,"400 Cortland Ave, San Francisco, CA 94110, United States",progressivegroundssf.com
Cafe Réveille,https://www.google.com/maps/place/Cafe+R%C3%A9veille/data=!4m7!3m6!1s0x80858080115485ad:0xfdddfa12d0dbe0c1!8m2!3d37.7735205!4d-122.3916911!16s%2Fg%2F11by_ppddl!19sChIJrYVUEYCAhYARweDb0BL63f0?authuser=0&hl=en&rclk=1,Cafes in San Francisco California,4.4,815,+1 415-580-7260,"610 Long Bridge Street, San Francisco, CA 94158, United States",cafereveille.com
The Coffee Movement,https://www.google.com/maps/place/The+Coffee+Movement/data=!4m7!3m6!1s0x808580f2dc1b33a1:0x1cb0bd8eb71079b1!8m2!3d37.7947671!4d-122.4102942!16s%2Fg%2F11gdvqtpvr!19sChIJoTMb3PKAhYARsXkQt469sBw?authuser=0&hl=en&rclk=1,Cafes in San Francisco California,4.8,982,-,"1030 Washington St, San Francisco, CA 94108, United States",thecoffeemovement.com
