Name,URL,Query,Rating,Reviews,Phone,Address,Website
Vitality Bowls,https://www.google.com/maps/place/Vitality+Bowls/data=!4m7!3m6!1s0x808fb600405baa05:0x9899d7ec24ea1cb3!8m2!3d37.3676146!4d-121.994349!16s%2Fg%2F11g6qrjzrq!19sChIJBapbQAC2j4ARsxzqJOzXmZg?authuser=0&hl=en&rclk=1,Cafes in San Jose California,3.8,186,+1 408-249-0699,"3555 Monroe St Ste 70, Santa Clara, CA 95051, United States",vitalitybowls.com
Warm Springs Plaza,https://www.google.com/maps/place/Warm+Springs+Plaza/data=!4m7!3m6!1s0x808fc65cc7623037:0x3d78d2fa0bab530!8m2!3d37.4917919!4d-121.9287047!16s%2Fg%2F1x5qt07c!19sChIJNzBix1zGj4ARMLW6oC-N1wM?authuser=0&hl=en&rclk=1,Cafes in San Jose California,4.1,1301,+1 425-462-2505,"Warm Springs Blvd, Fremont, CA 94539, United States",warmspringsplaza.com
Nirvana Soul Coffee,https://www.google.com/maps/place/Nirvana+Soul+Coffee/data=!4m7!3m6!1s0x808fcdf9b0ce52cf:0xfdeac7a5e235e1b0!8m2!3d37.3311664!4d-121.8870153!16s%2Fg%2F11jdc2xh4w!19sChIJz1LOsPnNj4ARsOE14qXH6v0?authuser=0&hl=en&rclk=1,Cafes in San Jose California,4.7,600,+1 408-564-6617,"315 S 1st St, San Jose, CA 95113, United States",nirvanasoulcoffee.com
Con Azucar Cafe,https://www.google.com/maps/place/Con+Azucar+Cafe/data=!4m7!3m6!1s0x808fcdd982ffe083:0xf950dba6777c1d84!8m2!3d37.3373811!4d-121.8884326!16s%2Fg%2F11pkbnvsmv!19sChIJg-D_gtnNj4ARhB18d6bbUPk?authuser=0&hl=en&rclk=1,Cafes in San Jose California,4.1,907,+1 408-982-3012,"101 E Santa Clara St, San Jose, CA 95113, United States",conazucarcafe.com
Philz Coffee,https://www.google.com/maps/place/Philz+Coffee/data=!4m7!3m6!1s0x808fccbbd516f8b7:0xa48a49dfd03f76e9!8m2!3d37.3336237!4d-121.8848654!16s%2Fg%2F1ttpbk06!19sChIJt_gW1bvMj4AR6XY_0N9JiqQ?authuser=0&hl=en&rclk=1,Cafes in San Jose California,4.6,1786,+1 408-971-4212,"118 Paseo de San Antonio, San Jose, CA 95112, United States",philzcoffee.com
Crema Coffee Roasting Company.,https://www.google.com/maps/place/Crema+Coffee+Roasting+Company./data=!4m7!3m6!1s0x808fcb5dcd63db11:0xf52ddebcbcaf993b!8m2!3d37.3253068!4d-121.9113628!16s%2Fg%2F1tfp2pr5!19sChIJEdtjzV3Lj4ARO5mvvLzeLfU?authuser=0&hl=en&rclk=1,Cafes in San Jose California,4.2,672,+1 408-320-4790,"238 Race St, San Jose, CA 95126, United States",facebook.com
Voltaire Coffee Roasters,https://www.google.com/maps/place/Voltaire+Coffee+Roasters/data=!4m7!3m6!1s0x808fccb083dd2c8d:0x6c3d307643805c39!8m2!3d37.3298891!4d-121.8868481!16s%2Fg%2F11bx1y8j_6!19sChIJjSzdg7DMj4AROVyAQ3YwPWw?authuser=0&hl=en&rclk=1,Cafes in San Jose California,4.5,529,+1 408-747-9697,"360 S Market St #80, San Jose, CA 95113, United States",voltairecoffeeroasters.com
Coffee & Water Lab,https://www.google.com/maps/place/Coffee+%26+Water+Lab/data=!4m7!3m6!1s0x808fcb9e23cde167:0x9dea7628e958c298!8m2!3d37.3155753!4d-121.9765562!16s%2Fg%2F11kcjrj71s!19sChIJZ-HNI57Lj4ARmMJY6Sh26p0?authuser=0&hl=en&rclk=1,Cafes in San Jose California,4.6,421,+1 408-490-4988,"603 Saratoga Ave #40, San Jose, CA 95129, United States",coffeeandwaterlab.com
Caffe Bene,https://www.google.com/maps/place/Caffe+Bene/data=!4m7!3m6!1s0x808fc90514eda7ab:0xdfff8f185fd75dc3!8m2!3d37.41277!4d-121.937611!16s%2Fg%2F11fx94x9jl!19sChIJq6ftFAXJj4ARw13XXxiP_98?authuser=0&hl=en&rclk=1,Cafes in San Jose California,4.3,812,+1 669-284-9959,"181 E Tasman Dr #80, San Jose, CA 95134, United States",caffebenesanjose.com
T-Square Coffee & Tea,https://www.google.com/maps/place/T-Square+Coffee+%26+Tea/data=!4m7!3m6!1s0x808e33e4749fa983:0xe4e174193bcbfd19!8m2!3d37.311126!4d-121.8951488!16s%2Fg%2F11sg__2bpb!19sChIJg6mfdOQzjoARGf3LOxl04eQ?authuser=0&hl=en&rclk=1,Cafes in San Jose California,4.7,121,+1 650-680-5969,"1102 Bird Ave. # 20, San Jose, CA 95125, United States",-
