Name,URL,Query,Rating,Reviews,Phone,Address,Website
Hiley Volkswagen of Arlington,https://www.google.com/maps/place/Hiley+Volkswagen+of+Arlington/data=!4m7!3m6!1s0x864e881eefd449e7:0xbff46ca545063cc6!8m2!3d32.6789181!4d-97.0887575!16s%2Fg%2F1hcb8kqs3!19sChIJ50nU7x6IToYRxjwGRaVs9L8?authuser=0&hl=en&rclk=1,Car Dealerships in Dallas Texas,4.4,1481,+1 817-575-6000,"1461 E Interstate 20, Arlington, TX 76018, United States",hileyvw.com
Rocky Mountain Truck Stop,https://www.google.com/maps/place/Rocky+Mountain+Truck+Stop/data=!4m7!3m6!1s0x864e9dbd88d06bc5:0xb6f805261d31bb24!8m2!3d32.8785125!4d-96.8965581!16s%2Fg%2F11y3n7ty70!19sChIJxWvQiL2dToYRJLsxHSYF-LY?authuser=0&hl=en&rclk=1,Car Dealerships in Dallas Texas,4.4,49,+1 972-345-9393,"10849 Composite Dr, Dallas, TX 75220, United States",rockymountaintruckstop.com
Texas Cars Direct,https://www.google.com/maps/place/Texas+Cars+Direct/data=!4m7!3m6!1s0x864c2798ffb65287:0x206183ee31560e7b!8m2!3d32.9089258!4d-96.8859354!16s%2Fg%2F1tt1t29t!19sChIJh1K2_5gnTIYRew5WMe6DYSA?authuser=0&hl=en&rclk=1,Car Dealerships in Dallas Texas,4.7,923,+1 972-243-3400,"2718 Forest Ln, Dallas, TX 75234, United States",texascarsdirect.com
Toyota of Dallas,https://www.google.com/maps/place/Toyota+of+Dallas/data=!4m7!3m6!1s0x864c2797139d6829:0x4925de534ee3904a!8m2!3d32.9080553!4d-96.8891417!16s%2Fg%2F1tfk07md!19sChIJKWidE5cnTIYRSpDjTlPeJUk?authuser=0&hl=en&rclk=1,Car Dealerships in Dallas Texas,4.3,13628,+1 972-584-9144,"2610 Forest Ln, Dallas, TX 75234, United States",toyotaofdallas.com
DriveTime Used Cars,https://www.google.com/maps/place/DriveTime+Used+Cars/data=!4m7!3m6!1s0x864e91ad68d5c803:0xafc0db79c980aa6e!8m2!3d32.6435114!4d-96.8519006!16s%2Fg%2F1tfgdn7w!19sChIJA8jVaK2RToYRbqqAyXnbwK8?authuser=0&hl=en&rclk=1,Car Dealerships in Dallas Texas,4.9,3157,+1 972-572-5800,"39510 Lyndon B Johnson Fwy, Dallas, TX 75232, United States",drivetime.com
Select City Cars,https://www.google.com/maps/place/Select+City+Cars/data=!4m7!3m6!1s0x864c1e2d7fd2a661:0x7a908e4dc097f905!8m2!3d32.8978329!4d-96.7012553!16s%2Fg%2F1pp2txjf1!19sChIJYabSfy0eTIYRBfmXwE2OkHo?authuser=0&hl=en&rclk=1,Car Dealerships in Dallas Texas,4.8,554,+1 469-569-1405,"10650 Control Pl, Dallas, TX 75238, United States",selectcitycars.com
Big Tex Auto Mart,https://www.google.com/maps/place/Big+Tex+Auto+Mart/data=!4m7!3m6!1s0x864ea0dc893787bb:0x86abf73da5dc4419!8m2!3d32.8648357!4d-96.6802305!16s%2Fg%2F1tf1p7jf!19sChIJu4c3idygToYRGUTcpT33q4Y?authuser=0&hl=en&rclk=1,Car Dealerships in Dallas Texas,4.8,1010,+1 214-348-2100,"11501 E NW Hwy, Dallas, TX 75218, United States",bigtexautomart.com
Dallas Dodge Chrysler Jeep RAM,https://www.google.com/maps/place/Dallas+Dodge+Chrysler+Jeep+RAM/data=!4m7!3m6!1s0x864ea0c41264b8e9:0xef12a9c6ae022242!8m2!3d32.870711!4d-96.679088!16s%2Fg%2F1tl7p3q4!19sChIJ6bhkEsSgToYRQiICrsapEu8?authuser=0&hl=en&rclk=1,Car Dealerships in Dallas Texas,4.0,5256,+1 214-327-9361,"11550 Lyndon B Johnson Fwy, Dallas, TX 75238, United States",dallasdodge.net
Palomino Motors,https://www.google.com/maps/place/Palomino+Motors/data=!4m7!3m6!1s0x864e9c6575c2c2c9:0xfaa5fface8b35acd!8m2!3d32.8147803!4d-96.8681061!16s%2Fg%2F1tgwn31y!19sChIJycLCdWWcToYRzVqz6Kz_pfo?authuser=0&hl=en&rclk=1,Car Dealerships in Dallas Texas,4.4,254,+1 214-879-0111,"7021 John W. Carpenter Fwy, Dallas, TX 75247, United States",palominomotors.com
Forest Lane Chrysler Dodge Jeep Ram,https://www.google.com/maps/place/Forest+Lane+Chrysler+Dodge+Jeep+Ram/data=!4m7!3m6!1s0x864c27607aba8bc9:0xdb9389374dc87d22!8m2!3d32.9072394!4d-96.8927276!16s%2Fg%2F11gnpdsp7g!19sChIJyYu6emAnTIYRIn3ITTeJk9s?authuser=0&hl=en&rclk=1,Car Dealerships in Dallas Texas,4.4,1233,+1 469-872-2352,"2536 Forest Ln, Dallas, TX 75234, United States",forestlanecdjr.com
Auto Liquidators Plus,https://www.google.com/maps/place/Auto+Liquidators+Plus/data=!4m7!3m6!1s0x864e91149afec9b3:0xe1f1660c1500b050!8m2!3d32.645645!4d-96.8613557!16s%2Fg%2F1tgpym0g!19sChIJs8n-mhSRToYRULAAFQxm8eE?authuser=0&hl=en&rclk=1,Car Dealerships in Dallas Texas,4.7,2454,+1 469-291-9948,"39670 Lyndon B Johnson Fwy, Dallas, TX 75237, United States",autoliquidatorsplus.com
B7 Motors,https://www.google.com/maps/place/B7+Motors/data=!4m7!3m6!1s0x864ea396f057ecad:0xd55136e878f49c76!8m2!3d32.7806337!4d-96.6819528!16s%2Fg%2F11d_786f37!19sChIJrexX8JajToYRdpz0eOg2UdU?authuser=0&hl=en&rclk=1,Car Dealerships in Dallas Texas,4.8,716,+1 214-484-7671,"4820 S Buckner Blvd, Dallas, TX 75227, United States",b7motorsdallas.com
EchoPark Automotive Dallas (Grand Prairie),https://www.google.com/maps/place/EchoPark+Automotive+Dallas+%28Grand+Prairie%29/data=!4m7!3m6!1s0x864e99bd2e33e98b:0x5db29c0bc03f64b2!8m2!3d32.6731761!4d-97.0468826!16s%2Fg%2F1td7j47x!19sChIJi-kzLr2ZToYRsmQ_wAucsl0?authuser=0&hl=en&rclk=1,Car Dealerships in Dallas Texas,4.6,12477,+1 972-737-0529,"2615 I-20 Frontage Rd, Grand Prairie, TX 75052, United States",echopark.com
BBC Motorsports,https://www.google.com/maps/place/BBC+Motorsports/data=!4m7!3m6!1s0x864e9bff5a37ebbf:0x53dd1c98d83447a6!8m2!3d32.8017291!4d-96.840271!16s%2Fg%2F1tdyg0zm!19sChIJv-s3Wv-bToYRpkc02Jgc3VM?authuser=0&hl=en&rclk=1,Car Dealerships in Dallas Texas,4.8,401,+1 214-833-6819,"1320 Chemical St B2, Dallas, TX 75207, United States",bbcmotorsports.com
Cowboy Toyota,https://www.google.com/maps/place/Cowboy+Toyota/data=!4m7!3m6!1s0x864ea3e6194f4f0f:0xe33e9643c9b69df!8m2!3d32.8000978!4d-96.6805359!16s%2Fg%2F1tnms40s!19sChIJD09PGeajToYR32mbPGTpMw4?authuser=0&hl=en&rclk=1,Car Dealerships in Dallas Texas,4.6,4018,+1 214-414-7406,"9525 E R L Thornton Fwy, Dallas, TX 75228, United States",cowboytoyota.com
Planet Lincoln Love Field,https://www.google.com/maps/place/Planet+Lincoln+Love+Field/data=!4m7!3m6!1s0x864e9daff3a1df59:0xb4e4fbe8d7d84d02!8m2!3d32.8500898!4d-96.8411809!16s%2Fg%2F11fsbcqf2n!19sChIJWd-h86-dToYRAk3Y1-j75LQ?authuser=0&hl=en&rclk=1,Car Dealerships in Dallas Texas,4.7,1461,+1 972-354-5200,"7767 Lemmon Ave, Dallas, TX 75209, United States",loveplanetlincoln.com
Magic Auto Sales,https://www.google.com/maps/place/Magic+Auto+Sales/data=!4m7!3m6!1s0x864ea36ba2a1bdd3:0x6aff5270f382a596!8m2!3d32.747732!4d-96.6823157!16s%2Fg%2F1q6jjlmp2!19sChIJ072homujToYRlqWC83BS_2o?authuser=0&hl=en&rclk=1,Car Dealerships in Dallas Texas,4.7,529,+1 214-239-8482,"2030 S Buckner Blvd, Dallas, TX 75217, United States",magicautosalestx.com
Young Chevrolet,https://www.google.com/maps/place/Young+Chevrolet/data=!4m7!3m6!1s0x864ea3e81961b897:0xb7bd347e12899c9c!8m2!3d32.798617!4d-96.685472!16s%2Fg%2F1vjdqgtt!19sChIJl7hhGeijToYRnJyJEn40vbc?authuser=0&hl=en&rclk=1,Car Dealerships in Dallas Texas,4.4,3542,+1 469-620-7697,"9301 E R L Thornton Fwy, Dallas, TX 75228, United States",youngchevrolet.com
Friendly Chevrolet,https://www.google.com/maps/place/Friendly+Chevrolet/data=!4m7!3m6!1s0x864e9c0f79d9952d:0xc0cd168f7e32b1c2!8m2!3d32.8108482!4d-96.846466!16s%2Fg%2F1hc1mslv7!19sChIJLZXZeQ-cToYRwrEyfo8WzcA?authuser=0&hl=en&rclk=1,Car Dealerships in Dallas Texas,4.1,3885,+1 214-935-5933,"2754 N Stemmons Fwy, Dallas, TX 75207, United States",friendlychevy.com
Auto City Credit,https://www.google.com/maps/place/Auto+City+Credit/data=!4m7!3m6!1s0x864ea2d7c7169f4b:0x1bebf5b6e03759d5!8m2!3d32.7289269!4d-96.7081618!16s%2Fg%2F1tf5f4kn!19sChIJS58Wx9eiToYR1Vk34Lb16xs?authuser=0&hl=en&rclk=1,Car Dealerships in Dallas Texas,4.6,1320,+1 214-447-0573,"6575 C F Hawn Fwy, Dallas, TX 75217, United States",autocitycredit.com
Go Luxury Auto Group,https://www.google.com/maps/place/Go+Luxury+Auto+Group/data=!4m7!3m6!1s0x864e993f4ee222db:0x398e5de68977a52e!8m2!3d32.792034!4d-96.8254329!16s%2Fg%2F11r7859s8n!19sChIJ2yLiTj-ZToYRLqV3ieZdjjk?authuser=0&hl=en&rclk=1,Car Dealerships in Dallas Texas,4.8,1006,+1 469-529-8243,"148 Riveredge Dr suite 120, Dallas, TX 75207, United States",goluxuryauto.com
ALPHA AUTOPLEX,https://www.google.com/maps/place/ALPHA+AUTOPLEX/data=!4m7!3m6!1s0x864e9c6d8e970417:0x7bcb2b5a62d73adf!8m2!3d32.8127593!4d-96.8601875!16s%2Fg%2F11c37h7vn1!19sChIJFwSXjm2cToYR3zrXYlory3s?authuser=0&hl=en&rclk=1,Car Dealerships in Dallas Texas,4.5,1370,+1 214-230-0101,"3090 N Stemmons Fwy, Dallas, TX 75247, United States",alphaautoplex.com
ALPHA AUTOPLEX,https://www.google.com/maps/place/ALPHA+AUTOPLEX/data=!4m7!3m6!1s0x864e9c6d8e970417:0x7bcb2b5a62d73adf!8m2!3d32.8127593!4d-96.8601875!16s%2Fg%2F11c37h7vn1!19sChIJFwSXjm2cToYR3zrXYlory3s?authuser=0&hl=en&rclk=1,Car Dealerships in Dallas Texas,4.5,1370,+1 214-230-0101,"3090 N Stemmons Fwy, Dallas, TX 75247, United States",alphaautoplex.com
Rusty Wallis Honda,https://www.google.com/maps/place/Rusty+Wallis+Honda/data=!4m7!3m6!1s0x864ea0d2690b8261:0x3155b8ab3a0af408!8m2!3d32.8660896!4d-96.6674195!16s%2Fg%2F1tg_gggh!19sChIJYYILadKgToYRCPQKOqu4VTE?authuser=0&hl=en&rclk=1,Car Dealerships in Dallas Texas,4.6,5259,+1 806-230-4231,"12277 Shiloh Rd, Dallas, TX 75228, United States",rustywallishonda.com
Affordable Auto Sales,https://www.google.com/maps/place/Affordable+Auto+Sales/data=!4m7!3m6!1s0x864ea085b6453d8f:0xa29dbf7ad9e62b9c!8m2!3d32.8907956!4d-96.6996128!16s%2Fg%2F1v7pyx1s!19sChIJjz1FtoWgToYRnCvm2Xq_naI?authuser=0&hl=en&rclk=1,Car Dealerships in Dallas Texas,4.8,89,+1 972-284-0318,"10420 Plano Rd #102, Dallas, TX 75238, United States",affordabledallascars.com
