Name,URL,Query,Rating,Reviews,Phone,Address,Website
Major World,https://www.google.com/maps/place/Major+World/data=!4m7!3m6!1s0x89c25f247811ba45:0xb4247959e074cafb!8m2!3d40.7532693!4d-73.9182855!16s%2Fg%2F1tzlzwx7!19sChIJRboReCRfwokR-8p04Fl5JLQ?authuser=0&hl=en&rclk=1,Car Dealerships in New York New York,4.5,13381,+1 929-565-0276,"43-40 Northern Blvd, Long Island City, NY 11101, United States",majorworld.com
Toyota of Manhattan,https://www.google.com/maps/place/Toyota+of+Manhattan/data=!4m7!3m6!1s0x89c2584e35576ebd:0xab24f81e5b166953!8m2!3d40.7650828!4d-73.9954643!16s%2Fg%2F1tpf80v7!19sChIJvW5XNU5YwokRU2kWWx74JKs?authuser=0&hl=en&rclk=1,Car Dealerships in New York New York,4.1,2735,+1 646-609-9121,"679 11th Ave, New York, NY 10019, United States",toyotaofmanhattan.com
Hillside Auto Mall,https://www.google.com/maps/place/Hillside+Auto+Mall/data=!4m7!3m6!1s0x89c26268074d71eb:0xddd3fa2c0587be54!8m2!3d40.7069583!4d-73.8065056!16s%2Fg%2F1pp2tk9_s!19sChIJ63FNB2hiwokRVL6HBSz6090?authuser=0&hl=en&rclk=1,Car Dealerships in New York New York,4.4,1507,+1 718-558-0788,"15001 Hillside Ave., Jamaica, NY 11432, United States",hillsideautony.com
"Queens Auto Mall, Inc. - Used Car Dealership New York","https://www.google.com/maps/place/Queens+Auto+Mall,+Inc.+-+Used+Car+Dealership+New+York/data=!4m7!3m6!1s0x89c260c97b8e12bb:0x807f2cccb71b1661!8m2!3d40.6972409!4d-73.8150374!16s%2Fg%2F1td61ndf!19sChIJuxKOe8lgwokRYRYbt8wsf4A?authuser=0&hl=en&rclk=1",Car Dealerships in New York New York,4.2,3507,+1 718-313-0885,"134-01 Atlantic Ave, Richmond Hill, NY 11418, United States",queensauction.com
Chrysler Dodge Jeep Ram FIAT of Manhattan,https://www.google.com/maps/place/Chrysler+Dodge+Jeep+Ram+FIAT+of+Manhattan/data=!4m7!3m6!1s0x89c2584fdea42857:0xd59812a13672e212!8m2!3d40.7647575!4d-73.9951745!16s%2Fg%2F11_rn6cj8!19sChIJVyik3k9YwokREuJyNqESmNU?authuser=0&hl=en&rclk=1,Car Dealerships in New York New York,4.3,1735,+1 212-549-2208,"678 11th Ave, New York, NY 10019, United States",nycjeep.com
Stream Auto Outlet - Used Car Dealer New York,https://www.google.com/maps/place/Stream+Auto+Outlet+-+Used+Car+Dealer+New+York/data=!4m7!3m6!1s0x89c2652b78c1bd0d:0xaa875f27ba6e2f3f!8m2!3d40.6676348!4d-73.7090998!16s%2Fg%2F11fnvtwjdk!19sChIJDb3BeCtlwokRPy9uuidfh6o?authuser=0&hl=en&rclk=1,Car Dealerships in New York New York,4.8,2118,+1 516-774-1976,"324 W Merrick Rd, Valley Stream, NY 11580, United States",streamautooutlet.com
Power Motors NYC Queens - Used Car Dealership,https://www.google.com/maps/place/Power+Motors+NYC+Queens+-+Used+Car+Dealership/data=!4m7!3m6!1s0x89c2616b0b87fcc1:0x6777e8514e1b4bea!8m2!3d40.7050743!4d-73.8112106!16s%2Fg%2F11pc7qclst!19sChIJwfyHC2thwokR6ksbTlHod2c?authuser=0&hl=en&rclk=1,Car Dealerships in New York New York,4.2,1216,+1 718-576-2020,"144-20 Hillside Ave., Jamaica, NY 11435, United States",powermotorsnyc.com
Manhattan Motorcars Inc.,https://www.google.com/maps/place/Manhattan+Motorcars+Inc./data=!4m7!3m6!1s0x89c259c32e81bbc9:0xde16a1cb3d61eedf!8m2!3d40.76653!4d-73.994821!16s%2Fg%2F1td2vtmt!19sChIJybuBLsNZwokR3-5hPcuhFt4?authuser=0&hl=en&rclk=1,Car Dealerships in New York New York,4.8,2528,+1 877-398-5126,"711 11th Ave, New York, NY 10019, United States",manhattanmotorcarsporsche.com
Open Road Volkswagen Manhattan,https://www.google.com/maps/place/Open+Road+Volkswagen+Manhattan/data=!4m7!3m6!1s0x89c2585b06c6eb07:0xcc4554ea7a5d744c!8m2!3d40.7692142!4d-73.9916124!16s%2Fg%2F1tj8bb8k!19sChIJB-vGBltYwokRTHRdeupURcw?authuser=0&hl=en&rclk=1,Car Dealerships in New York New York,4.6,1129,+1 646-358-8100,"802 11th Ave, New York, NY 10019, United States",vwmanhattan.com
Brooklyn Auto Mall,https://www.google.com/maps/place/Brooklyn+Auto+Mall/data=!4m7!3m6!1s0x89c25c457884d88d:0xc4d174cc154c884!8m2!3d40.6768421!4d-73.9012737!16s%2Fg%2F11f7ftmbj4!19sChIJjdiEeEVcwokRhMhUwUwXTQw?authuser=0&hl=en&rclk=1,Car Dealerships in New York New York,4.6,469,+1 833-735-2277,"1833 E New York Ave, Brooklyn, NY 11207, United States",brooklynautomallny.com
