Name,URL,Query,Rating,Reviews,Phone,Address,Website
Caballo Auto Sales Inc,https://www.google.com/maps/place/Caballo+Auto+Sales+Inc/data=!4m7!3m6!1s0x89c6b7d18f8e7edd:0x66abac4febf727c!8m2!3d40.0011541!4d-75.1143239!16s%2Fg%2F11h3vc5wb2!19sChIJ3X6Oj9G3xokRfHK__sS6agY?authuser=0&hl=en&rclk=1,Car Dealerships in Philadelphia Pennsylvania,3.3,3,+1 215-426-4687,"3453 G St, Philadelphia, PA 19134, United States",-
SouthPhillyMotors,https://www.google.com/maps/place/SouthPhillyMotors/data=!4m7!3m6!1s0x89c6c5f00b2676b1:0x1961b6c5e2ea7bab!8m2!3d39.9146534!4d-75.2205907!16s%2Fg%2F11vxmwhpb_!19sChIJsXYmC_DFxokRq3vq4sW2YRk?authuser=0&hl=en&rclk=1,Car Dealerships in Philadelphia Pennsylvania,5.0,1,+1 267-549-0233,"6600 Essington Ave, Philadelphia, PA 19153, United States",southphillymotors.com
South Philly Auto Sales,https://www.google.com/maps/place/South+Philly+Auto+Sales/data=!4m7!3m6!1s0x89c6c5d80b54d1f1:0x36d9037ba9ee0375!8m2!3d39.921646!4d-75.188228!16s%2Fg%2F12611stb6!19sChIJ8dFUC9jFxokRdQPuqXsD2TY?authuser=0&hl=en&rclk=1,Car Dealerships in Philadelphia Pennsylvania,3.8,131,+1 267-519-2163,"2434 W Passyunk Ave, Philadelphia, PA 19145, United States",southphillyautosales.com
Philly Auto,https://www.google.com/maps/place/Philly+Auto/data=!4m7!3m6!1s0x89c6b3b1646c962f:0x796986d2b706ffbb!8m2!3d40.0101117!4d-75.0810468!16s%2Fg%2F113f7h3g4!19sChIJL5ZsZLGzxokRu_8Gt9KGaXk?authuser=0&hl=en&rclk=1,Car Dealerships in Philadelphia Pennsylvania,4.2,1648,+1 215-953-7400,"4530 Torresdale Ave, Philadelphia, PA 19124, United States",phillyauto.com
Real Deal Auto Sales,https://www.google.com/maps/place/Real+Deal+Auto+Sales/data=!4m7!3m6!1s0x89c6c7fd85d8e65b:0x5f67eb5fda67f986!8m2!3d39.9912416!4d-75.1546124!16s%2Fg%2F1tf58vrh!19sChIJW-bYhf3HxokRhvln2l_rZ18?authuser=0&hl=en&rclk=1,Car Dealerships in Philadelphia Pennsylvania,4.8,312,+1 215-221-6220,"2509 N Broad St Rear Right, Philadelphia, PA 19132, United States",realdealphilly.com
Roll's Auto Sales,https://www.google.com/maps/place/Roll%27s+Auto+Sales/data=!4m7!3m6!1s0x89c6b440ad154c3f:0x89eb3c2055e4af05!8m2!3d40.0305154!4d-75.0554263!16s%2Fg%2F1tkmnhwf!19sChIJP0wVrUC0xokRBa_kVSA864k?authuser=0&hl=en&rclk=1,Car Dealerships in Philadelphia Pennsylvania,4.7,1911,+1 215-333-8856,"6550 Frankford Ave, Philadelphia, PA 19135, United States",rollsauto.com
First Class Auto Land l Top Used Cars for Sale,https://www.google.com/maps/place/First+Class+Auto+Land+l+Top+Used+Cars+for+Sale/data=!4m7!3m6!1s0x89c6b63965443b5f:0x218500f90aaf58e8!8m2!3d40.0057173!4d-75.0925517!16s%2Fg%2F1tfq5m0y!19sChIJXztEZTm2xokR6FivCvkAhSE?authuser=0&hl=en&rclk=1,Car Dealerships in Philadelphia Pennsylvania,4.1,227,+1 215-533-5181,"4050 Frankford Ave, Philadelphia, PA 19124, United States",firstclassautoland.com
Hertz Car Sales Philadelphia,https://www.google.com/maps/place/Hertz+Car+Sales+Philadelphia/data=!4m7!3m6!1s0x89c6c46ab82ecf65:0xd4ac25cfec50dc77!8m2!3d39.9062523!4d-75.2248696!16s%2Fg%2F1pv0_xpx0!19sChIJZc8uuGrExokRd9xQ7M8lrNQ?authuser=0&hl=en&rclk=1,Car Dealerships in Philadelphia Pennsylvania,3.5,275,+1 215-240-8681,"6815 Essington Ave, Philadelphia, PA 19153, United States",hertzcarsales.com
carla matia auto sale inc,https://www.google.com/maps/place/carla+matia+auto+sale+inc/data=!4m7!3m6!1s0x89c6b7158ad3ed07:0xb3714f75f47fd0ff!8m2!3d40.0061674!4d-75.0953173!16s%2Fg%2F11q9ty394q!19sChIJB-3TihW3xokR_9B_9HVPcbM?authuser=0&hl=en&rclk=1,Car Dealerships in Philadelphia Pennsylvania,3.0,2,+1 610-483-7204,"3949 Kensington Ave, Philadelphia, PA 19124, United States",-
Prestige Auto Sales Inc.,https://www.google.com/maps/place/Prestige+Auto+Sales+Inc./data=!4m7!3m6!1s0x89c6b7ab7734eeaf:0x2b42e387e5a6b8ca!8m2!3d40.0283914!4d-75.1105018!16s%2Fg%2F1tkbz568!19sChIJr-40d6u3xokRyrim5YfjQis?authuser=0&hl=en&rclk=1,Car Dealerships in Philadelphia Pennsylvania,4.0,190,+1 215-288-7379,"3970 E Roosevelt Blvd, Philadelphia, PA 19124, United States",padrivenow.com
