Name,URL,Query,Rating,Reviews,Phone,Address,Website
EchoPark Automotive San Antonio,https://www.google.com/maps/place/EchoPark+Automotive+San+Antonio/data=!4m7!3m6!1s0x865c4334fa03728f:0xbad83736c533334c!8m2!3d29.5923916!4d-98.596236!16s%2Fg%2F11f0wpr9s8!19sChIJj3ID-jRDXIYRTDMzxTY32Lo?authuser=0&hl=en&rclk=1,Car Dealerships in San Antonio Texas,4.8,2952,+1 210-384-2299,"5611 N Loop 1604 W, San Antonio, TX 78257, United States",echopark.com
Luna Car Center - Used Cars San Antonio Texas,https://www.google.com/maps/place/Luna+Car+Center+-+Used+Cars+San+Antonio+Texas/data=!4m7!3m6!1s0x865c5f9c3bd360a7:0xa9c9896637bce230!8m2!3d29.4712131!4d-98.4987079!16s%2Fg%2F1vgx153q!19sChIJp2DTO5xfXIYRMOK8N2aJyak?authuser=0&hl=en&rclk=1,Car Dealerships in San Antonio Texas,4.7,1950,+1 210-731-8510,"3904 San Pedro Ave, San Antonio, TX 78212, United States",lunacarcenter.com
Texas Auto Dealer LLC,https://www.google.com/maps/place/Texas+Auto+Dealer+LLC/data=!4m7!3m6!1s0x865c624ffcfaaaab:0x5da0ea2ef490157d!8m2!3d29.3591644!4d-98.5233398!16s%2Fg%2F11gmy1glxq!19sChIJq6r6_E9iXIYRfRWQ9C7qoF0?authuser=0&hl=en&rclk=1,Car Dealerships in San Antonio Texas,4.9,516,+1 210-999-9532,"6970 Interstate 35 Access Rd, San Antonio, TX 78224, United States",txautodealer.com
Ancira Chrysler Jeep Dodge Ram,https://www.google.com/maps/place/Ancira+Chrysler+Jeep+Dodge+Ram/data=!4m7!3m6!1s0x865c59fa9ae5b0b9:0xf1d40555298155e4!8m2!3d29.5430869!4d-98.5742742!16s%2Fg%2F1jgm1zvvc!19sChIJubDlmvpZXIYR5FWBKVUF1PE?authuser=0&hl=en&rclk=1,Car Dealerships in San Antonio Texas,4.6,5170,+1 210-558-1500,"10807 I-10, San Antonio, TX 78230, United States",anciracjd.com
Oso Grande Auto Sales,https://www.google.com/maps/place/Oso+Grande+Auto+Sales/data=!4m7!3m6!1s0x865c5859952dd82f:0xc45e7d374d3735d4!8m2!3d29.3731943!4d-98.5161697!16s%2Fg%2F11b70kr0zg!19sChIJL9gtlVlYXIYR1DU3TTd9XsQ?authuser=0&hl=en&rclk=1,Car Dealerships in San Antonio Texas,4.9,1353,+1 210-924-5455,"5407 Interstate 35 Access Rd, San Antonio, TX 78211, United States",osograndeautos.com
DriveTime Used Cars,https://www.google.com/maps/place/DriveTime+Used+Cars/data=!4m7!3m6!1s0x865c5daa07162f93:0xa9bbe82dc7b0d1c!8m2!3d29.4640806!4d-98.6196609!16s%2Fg%2F1tggp1j9!19sChIJky8WB6pdXIYRHA173IK-mwo?authuser=0&hl=en&rclk=1,Car Dealerships in San Antonio Texas,4.9,2945,+1 210-342-4200,"2890 Cinema Ridge, San Antonio, TX 78238, United States",drivetime.com
Freedom Chevrolet,https://www.google.com/maps/place/Freedom+Chevrolet/data=!4m7!3m6!1s0x865c66c266e44095:0x4d025892994c8624!8m2!3d29.5693472!4d-98.5915668!16s%2Fg%2F1td2mxm7!19sChIJlUDkZsJmXIYRJIZMmZJYAk0?authuser=0&hl=en&rclk=1,Car Dealerships in San Antonio Texas,4.3,4484,+1 210-697-6000,"13483 I-10, San Antonio, TX 78249, United States",freedomchevy.com
Northside Chevrolet,https://www.google.com/maps/place/Northside+Chevrolet/data=!4m7!3m6!1s0x865c600e56e0b3ff:0x445ffbf0796d0f96!8m2!3d29.5259118!4d-98.4980205!16s%2Fg%2F1td4dzsq!19sChIJ_7PgVg5gXIYRlg9tefD7X0Q?authuser=0&hl=en&rclk=1,Car Dealerships in San Antonio Texas,4.0,2315,+1 210-265-6130,"9400 San Pedro Ave, San Antonio, TX 78216, United States",mynschevy.com
Ancira Winton Chevrolet,https://www.google.com/maps/place/Ancira+Winton+Chevrolet/data=!4m7!3m6!1s0x865c5dbd510ac7b3:0xe8fdc70608f4197c!8m2!3d29.4857959!4d-98.605536!16s%2Fg%2F1tcwx46w!19sChIJs8cKUb1dXIYRfBn0CAbH_eg?authuser=0&hl=en&rclk=1,Car Dealerships in San Antonio Texas,4.5,8344,+1 210-390-6255,"6111 Bandera Rd, San Antonio, TX 78238, United States",ancirachev.com
CarMax,https://www.google.com/maps/place/CarMax/data=!4m7!3m6!1s0x865c60a3ffe1abeb:0xf68c98e895bab81a!8m2!3d29.5202756!4d-98.556757!16s%2Fg%2F1tmqrspx!19sChIJ66vh_6NgXIYRGri6leiYjPY?authuser=0&hl=en&rclk=1,Car Dealerships in San Antonio Texas,4.2,2591,+1 210-342-4662,"3611 Fountainhead Dr, San Antonio, TX 78229, United States",carmax.com
North Park Toyota of San Antonio,https://www.google.com/maps/place/North+Park+Toyota+of+San+Antonio/data=!4m7!3m6!1s0x865c509979144129:0xdc621b5516214732!8m2!3d29.3156907!4d-98.6121757!16s%2Fg%2F1tkkv8xp!19sChIJKUEUeZlQXIYRMkchFlUbYtw?authuser=0&hl=en&rclk=1,Car Dealerships in San Antonio Texas,4.5,7971,+1 210-600-5677,"10703 SW Loop 410, San Antonio, TX 78211, United States",northparktoyota.com
Clear Choice Automotive,https://www.google.com/maps/place/Clear+Choice+Automotive/data=!4m7!3m6!1s0x865c5f7619be3df7:0x4e31c5bfde65156e!8m2!3d29.470014!4d-98.499621!16s%2Fg%2F11g8178ls0!19sChIJ9z2-GXZfXIYRbhVl3r_FMU4?authuser=0&hl=en&rclk=1,Car Dealerships in San Antonio Texas,4.9,958,+1 210-267-2900,"3803 San Pedro Ave, San Antonio, TX 78212, United States",clearchoiceautosales.net
Red McCombs Toyota Sales,https://www.google.com/maps/place/Red+McCombs+Toyota+Sales/data=!4m7!3m6!1s0x865c60a17827646d:0xc64e6998bd902d40!8m2!3d29.5713044!4d-98.5952707!16s%2Fg%2F1th0ysf2!19sChIJbWQneKFgXIYRQC2QvZhpTsY?authuser=0&hl=en&rclk=1,Car Dealerships in San Antonio Texas,4.4,2780,+1 210-812-4667,"13526 W Interstate 10 Frontage Rd, San Antonio, TX 78249, United States",redmccombstoyota.com
