Name,URL,Query,Rating,Reviews,Phone,Address,Website
T D Auto Wholesale,https://www.google.com/maps/place/T+D+Auto+Wholesale/data=!4m7!3m6!1s0x808f7e84dbcb0669:0xb6ef0c7e179f3178!8m2!3d37.7193121!4d-122.4386288!16s%2Fg%2F1tcyl86d!19sChIJaQbL24R-j4AReDGfF34M77Y?authuser=0&hl=en&rclk=1,Car Dealerships in San Francisco California,4.1,17,+1 415-587-1275,"4941 Mission St, San Francisco, CA 94112, United States",tdautowholesale.com
San Francisco Toyota,https://www.google.com/maps/place/San+Francisco+Toyota/data=!4m7!3m6!1s0x808580ea942854ef:0x20dfab289d721cca!8m2!3d37.7914616!4d-122.4228471!16s%2Fg%2F1tjwhzr6!19sChIJ71QolOqAhYARyhxynSir3yA?authuser=0&hl=en&rclk=1,Car Dealerships in San Francisco California,4.2,142,+1 415-750-8300,"1701 Van Ness Ave, San Francisco, CA 94109, United States",sftoyota.com
Excelsior Motors Inc,https://www.google.com/maps/place/Excelsior+Motors+Inc/data=!4m7!3m6!1s0x808f7e89ae011709:0x518fdcad3a2edb64!8m2!3d37.728263!4d-122.4321473!16s%2Fg%2F1tmqgfsq!19sChIJCRcBrol-j4ARZNsuOq3cj1E?authuser=0&hl=en&rclk=1,Car Dealerships in San Francisco California,4.2,16,+1 415-862-1956,"4340 Mission St, San Francisco, CA 94112, United States",excelsiormotorssf.com
City Motor Sales,https://www.google.com/maps/place/City+Motor+Sales/data=!4m7!3m6!1s0x808f7f288727c551:0xc7dfd24490f00aee!8m2!3d37.7669601!4d-122.4180685!16s%2Fg%2F11mv_3_7vk!19sChIJUcUnhyh_j4AR7grwkETS38c?authuser=0&hl=en&rclk=1,Car Dealerships in San Francisco California,3.0,4,+1 415-761-1209,"400 S Van Ness Ave, San Francisco, CA 94103, United States",citymotorsale.com
Will's Auto Sales,https://www.google.com/maps/place/Will%27s+Auto+Sales/data=!4m7!3m6!1s0x8085874a98915555:0xfe0c2ce2a32a03a5!8m2!3d37.7819094!4d-122.4482056!16s%2Fg%2F11p73qbs8k!19sChIJVVWRmEqHhYARpQMqo-IsDP4?authuser=0&hl=en&rclk=1,Car Dealerships in San Francisco California,0.0,0,+1 415-424-2284,"2715 Geary Blvd, San Francisco, CA 94118, United States",willsautosalessf.com
San Francisco Honda,https://www.google.com/maps/place/San+Francisco+Honda/data=!4m7!3m6!1s0x8085809e8f28c747:0x86defb72b6dec067!8m2!3d37.7881792!4d-122.4225697!16s%2Fg%2F1tffpkwn!19sChIJR8coj56AhYARZ8DetnL73oY?authuser=0&hl=en&rclk=1,Car Dealerships in San Francisco California,4.0,594,+1 415-855-8145,"1395 Van Ness Ave, San Francisco, CA 94109, United States",sfhonda.com
Bay Area Latin Auto,https://www.google.com/maps/place/Bay+Area+Latin+Auto/data=!4m7!3m6!1s0x808fed48991fb207:0x77881f214e25b16b!8m2!3d37.7881792!4d-122.4225697!16s%2Fg%2F11hglqbpyp!19sChIJB7IfmUjtj4ARa7ElTiEfiHc?authuser=0&hl=en&rclk=1,Car Dealerships in San Francisco California,5.0,1,-,"1395 Van Ness Ave, San Francisco, CA 94109, United States",-
Community Car Sales,https://www.google.com/maps/place/Community+Car+Sales/data=!4m7!3m6!1s0x808f7fd63b36a28f:0xa5edc888ba7fc94a!8m2!3d37.7277849!4d-122.3933283!16s%2Fg%2F11tk8_b2xl!19sChIJj6I2O9Z_j4ARSsl_uojI7aU?authuser=0&hl=en&rclk=1,Car Dealerships in San Francisco California,1.0,1,+1 415-410-5220,"1690 Yosemite Ave, San Francisco, CA 94124, United States",-
Volvo Cars San Francisco,https://www.google.com/maps/place/Volvo+Cars+San+Francisco/data=!4m7!3m6!1s0x808f7e26bb74fdeb:0xc005bd9390976d60!8m2!3d37.7687005!4d-122.4175483!16s%2Fg%2F12hqg5vzz!19sChIJ6_10uyZ-j4ARYG2XkJO9BcA?authuser=0&hl=en&rclk=1,Car Dealerships in San Francisco California,4.6,230,+1 415-241-8100,"285 S Van Ness Ave, San Francisco, CA 94103, United States",sanfranciscovolvo.com
Royal Motor Sales,https://www.google.com/maps/place/Royal+Motor+Sales/data=!4m7!3m6!1s0x808f7e26b45d66ff:0xb2acf872e33f47ed!8m2!3d37.7686918!4d-122.418278!16s%2Fg%2F11b6rzj0m0!19sChIJ_2ZdtCZ-j4AR7Uc_43L4rLI?authuser=0&hl=en&rclk=1,Car Dealerships in San Francisco California,3.7,10,+1 415-241-8100,"280 S Van Ness Ave, San Francisco, CA 94103, United States",mazdasanfrancisco.com
