Name,URL,Query,Rating,Reviews,Phone,Address,Website
Pure Charlotte,https://www.google.com/maps/place/Pure+Charlotte/data=!4m7!3m6!1s0x88569e15ed1421c7:0x143ea9d64f318cc0!8m2!3d35.1509279!4d-80.8321395!16s%2Fg%2F1tf3c7hx!19sChIJxyEU7RWeVogRwIwxT9apPhQ?authuser=0&hl=en&rclk=1,Clothing stores in Charlotte North Carolina,4.8,163,-,"4400 Sharon Rd, Charlotte, NC 28211, United States",pureatlanta.com
K&G Fashion Superstore,https://www.google.com/maps/place/K%26G+Fashion+Superstore/data=!4m7!3m6!1s0x88569ee994fd7e71:0x929ff3f589b56e2d!8m2!3d35.1622902!4d-80.8748457!16s%2Fg%2F1vknq2l7!19sChIJcX79lOmeVogRLW61ifXzn5I?authuser=0&hl=en&rclk=1,Clothing stores in Charlotte North Carolina,4.3,721,+1 704-525-6601,"5401 South Blvd #A230, Charlotte, NC 28217, United States",kgstores.com
Revolution Clothiers & Co.,https://www.google.com/maps/place/Revolution+Clothiers+%26+Co./data=!4m7!3m6!1s0x8856a025ea89b4db:0x6f3fae8cd94ed00b!8m2!3d35.211214!4d-80.8563882!16s%2Fg%2F1261y2sxj!19sChIJ27SJ6iWgVogRC9BO2YyuP28?authuser=0&hl=en&rclk=1,Clothing stores in Charlotte North Carolina,4.9,129,+1 704-971-1990,"227 East Blvd, Charlotte, NC 28203, United States",revolutionclothiersco.com
Banana Republic Factory Store,https://www.google.com/maps/place/Banana+Republic+Factory+Store/data=!4m7!3m6!1s0x885699c4013fc295:0xcaf952fd6df2e3ea!8m2!3d35.1690848!4d-80.970547!16s%2Fg%2F11cms26x68!19sChIJlcI_AcSZVogR6uPybf1S-co?authuser=0&hl=en&rclk=1,Clothing stores in Charlotte North Carolina,4.3,236,+1 704-588-6830,"5410 New Fashion Way #270, Charlotte, NC 28278, United States",bananarepublic.gap.com
KK Bloom Boutique,https://www.google.com/maps/place/KK+Bloom+Boutique/data=!4m7!3m6!1s0x88569e4cc8c40379:0x7ed204c9cb89ade9!8m2!3d35.17441!4d-80.839424!16s%2Fg%2F1tfn3g0g!19sChIJeQPEyEyeVogR6a2Jy8kE0n4?authuser=0&hl=en&rclk=1,Clothing stores in Charlotte North Carolina,4.9,70,+1 704-919-1142,"2823 Selwyn Ave E, Charlotte, NC 28209, United States",shopkkbloom.com
Urban Outfitters,https://www.google.com/maps/place/Urban+Outfitters/data=!4m7!3m6!1s0x88569e15ed1421c7:0x7e7847304dca04d1!8m2!3d35.1525351!4d-80.8332825!16s%2Fg%2F1thgc4td!19sChIJxyEU7RWeVogR0QTKTTBHeH4?authuser=0&hl=en&rclk=1,Clothing stores in Charlotte North Carolina,3.9,194,+1 704-366-7497,"Southpark Mall, 4400 Sharon Rd, Charlotte, NC 28211, United States",urbanoutfitters.com
Uptown Cheapskate Charlotte,https://www.google.com/maps/place/Uptown+Cheapskate+Charlotte/data=!4m7!3m6!1s0x88541c3cbb5e7077:0x4c9927f7a121e0ec!8m2!3d35.31062!4d-80.74839!16s%2Fg%2F1hm3tz1df!19sChIJd3BeuzwcVIgR7OAhofcnmUw?authuser=0&hl=en&rclk=1,Clothing stores in Charlotte North Carolina,4.5,766,+1 704-900-8014,"9015 J M Keynes Dr #5, Charlotte, NC 28262, United States",uptowncheapskate.com
K|LA Boutique,https://www.google.com/maps/place/K%7CLA+Boutique/data=!4m7!3m6!1s0x88569e54b22176e7:0xf792c5808852164a!8m2!3d35.1752808!4d-80.8497176!16s%2Fg%2F11g8cw1kbm!19sChIJ53YhslSeVogRShZSiIDFkvc?authuser=0&hl=en&rclk=1,Clothing stores in Charlotte North Carolina,4.8,270,+1 704-665-6358,"4123 Park Rd, Charlotte, NC 28209, United States",shopkla.com
Free People,https://www.google.com/maps/place/Free+People/data=!4m7!3m6!1s0x88569f7a081c3c33:0x61912aeed9591506!8m2!3d35.2093857!4d-80.8604708!16s%2Fg%2F11c2rbw0nj!19sChIJMzwcCHqfVogRBhVZ2e4qkWE?authuser=0&hl=en&rclk=1,Clothing stores in Charlotte North Carolina,4.3,110,+1 704-335-3414,"2000 South Blvd #100, Charlotte, NC 28203, United States",freepeople.com
Uptown Cheapskate South End,https://www.google.com/maps/place/Uptown+Cheapskate+South+End/data=!4m7!3m6!1s0x88569fd11f06d8f1:0x2c3154c1b6542740!8m2!3d35.168878!4d-80.8750508!16s%2Fg%2F11fr4gtnmy!19sChIJ8dgGH9GfVogRQCdUtsFUMSw?authuser=0&hl=en&rclk=1,Clothing stores in Charlotte North Carolina,4.3,459,+1 704-900-7400,"5033 South Blvd unit e, Charlotte, NC 28217, United States",uptowncheapskate.com
