Name,URL,Query,Rating,Reviews,Phone,Address,Website
K&G Fashion Superstore,https://www.google.com/maps/place/K%26G+Fashion+Superstore/data=!4m7!3m6!1s0x88388c83d61ca217:0x277358faed342054!8m2!3d40.062425!4d-82.9959437!16s%2Fg%2F1tyzznh2!19sChIJF6Ic1oOMOIgRVCA07fpYcyc?authuser=0&hl=en&rclk=1,Clothing stores in Columbus Ohio,4.2,712,+1 614-841-1778,"908 Morse Rd, Columbus, OH 43229, United States",kgstores.com
HOMAGE Short North,https://www.google.com/maps/place/HOMAGE+Short+North/data=!4m7!3m6!1s0x88388ed7ebd6ef7d:0xbf47b73eac0eb716!8m2!3d39.9784384!4d-83.0040485!16s%2Fg%2F1tdp5q41!19sChIJfe_W69eOOIgRFrcOrD63R78?authuser=0&hl=en&rclk=1,Clothing stores in Columbus Ohio,4.6,146,+1 614-706-4254,"783 N High St, Columbus, OH 43215, United States",homage.com
Urban Outfitters,https://www.google.com/maps/place/Urban+Outfitters/data=!4m7!3m6!1s0x88388eb91cb8b087:0x4e32a42690372ab3!8m2!3d40.0500479!4d-82.9156568!16s%2Fg%2F1tg2f4ks!19sChIJh7C4HLmOOIgRsyo3kCakMk4?authuser=0&hl=en&rclk=1,Clothing stores in Columbus Ohio,3.8,179,+1 614-298-8809,"3970 Easton Station B210, Columbus, OH 43219, United States",urbanoutfitters.com
Vamp Official,https://www.google.com/maps/place/Vamp+Official/data=!4m7!3m6!1s0x88388eda63e05f1d:0x322860b87c779b64!8m2!3d39.9821491!4d-83.0047298!16s%2Fg%2F11g9g517qf!19sChIJHV_gY9qOOIgRZJt3fLhgKDI?authuser=0&hl=en&rclk=1,Clothing stores in Columbus Ohio,5.0,45,+1 614-358-6377,"969 N High St, Columbus, OH 43201, United States",vampofficial.com
Happy Go Lucky Home & Her,https://www.google.com/maps/place/Happy+Go+Lucky+Home+%26+Her/data=!4m7!3m6!1s0x88388eda711a34a5:0x2182b2c51c00184f!8m2!3d39.9784303!4d-83.0040438!16s%2Fg%2F1hc1kt457!19sChIJpTQacdqOOIgRTxgAHMWygiE?authuser=0&hl=en&rclk=1,Clothing stores in Columbus Ohio,4.8,33,+1 614-297-1100,"787 N High St, Columbus, OH 43215, United States",shophappygolucky.com
Samson Men's Emporium,https://www.google.com/maps/place/Samson+Men%27s+Emporium/data=!4m7!3m6!1s0x88388ed77a1a6515:0x837faf1b6e20cd46!8m2!3d39.9765022!4d-83.0032663!16s%2Fg%2F11bx2kh273!19sChIJFWUaeteOOIgRRs0gbhuvf4M?authuser=0&hl=en&rclk=1,Clothing stores in Columbus Ohio,4.9,82,+1 614-504-8038,"694 N High St, Columbus, OH 43215, United States",samsonmensemporium.com
FERA,https://www.google.com/maps/place/FERA/data=!4m7!3m6!1s0x88388fb451c691f1:0x6716b0b270b8ce7e!8m2!3d39.9763905!4d-83.0030388!16s%2Fg%2F11j2fyw661!19sChIJ8ZHGUbSPOIgRfs64cLKwFmc?authuser=0&hl=en&rclk=1,Clothing stores in Columbus Ohio,4.9,31,+1 614-927-2005,"682 N High St, Columbus, OH 43215, United States",fera.co
Ladybird,https://www.google.com/maps/place/Ladybird/data=!4m7!3m6!1s0x88388ed78f23d70b:0x2d5261568cb57e10!8m2!3d39.9782269!4d-83.0032887!16s%2Fg%2F1wj_tyk_!19sChIJC9cjj9eOOIgREH61jFZhUi0?authuser=0&hl=en&rclk=1,Clothing stores in Columbus Ohio,4.5,29,+1 614-372-5459,"772 N High St, Columbus, OH 43215, United States",ladybirdfashion.com
Clothing Underground,https://www.google.com/maps/place/Clothing+Underground/data=!4m7!3m6!1s0x88388eb8813827a3:0x8b931d5a7e75095e!8m2!3d39.9961147!4d-83.0071139!16s%2Fg%2F11bxfgp3sz!19sChIJoyc4gbiOOIgRXgl1flodk4s?authuser=0&hl=en&rclk=1,Clothing stores in Columbus Ohio,4.1,37,+1 614-525-0198,"1652 N High St, Columbus, OH 43201, United States",instagram.com
THREAD Grandview,https://www.google.com/maps/place/THREAD+Grandview/data=!4m7!3m6!1s0x88388e51a2556521:0x9188c7248406821c!8m2!3d39.9937556!4d-83.0367631!16s%2Fg%2F1txy2_r8!19sChIJIWVVolGOOIgRHIIGhCTHiJE?authuser=0&hl=en&rclk=1,Clothing stores in Columbus Ohio,4.1,42,+1 614-906-3407,"1110 Chambers Rd B, Columbus, OH 43212, United States",shopthreadonline.com
