Name,URL,Query,Rating,Reviews,Phone,Address,Website
Golden Goose Dallas,https://www.google.com/maps/place/Golden+Goose+Dallas/data=!4m7!3m6!1s0x864e9fb9e0a792f3:0x97068c82b444a1ad!8m2!3d32.8682643!4d-96.7740187!16s%2Fg%2F11j1jbdn_j!19sChIJ85Kn4LmfToYRraFEtIKMBpc?authuser=0&hl=en&rclk=1,Clothing stores in Dallas Texas,3.3,34,+1 972-803-5444,"Mall, 8687 N Central Expy North Park, Dallas, TX 75225, United States",goldengoose.com
Urban Outfitters,https://www.google.com/maps/place/Urban+Outfitters/data=!4m7!3m6!1s0x864e9f11869d5839:0xc243bed918c047ce!8m2!3d32.8378842!4d-96.7759399!16s%2Fg%2F1tf081v9!19sChIJOVidhhGfToYRzkfAGNm-Q8I?authuser=0&hl=en&rclk=1,Clothing stores in Dallas Texas,4.2,305,+1 214-821-4371,"5331 E Mockingbird Ln, Dallas, TX 75206, United States",urbanoutfitters.com
Dated Faded Worn Vintage Store,https://www.google.com/maps/place/Dated+Faded+Worn+Vintage+Store/data=!4m7!3m6!1s0x864e99cff1eaef2b:0x8760e5c9812b6261!8m2!3d32.7842756!4d-96.7811086!16s%2Fg%2F11rh0nwlrh!19sChIJK-_q8c-ZToYRYWIrgcnlYIc?authuser=0&hl=en&rclk=1,Clothing stores in Dallas Texas,4.9,257,+1 469-644-0784,"2924 Main St #103, Dallas, TX 75226, United States",datedfadedworn.com
Uptown Cheapskate University Park,https://www.google.com/maps/place/Uptown+Cheapskate+University+Park/data=!4m7!3m6!1s0x864e9f13c86ec87d:0xac2e80ec9e4690db!8m2!3d32.8358681!4d-96.775039!16s%2Fg%2F11hbjdh6fb!19sChIJfchuyBOfToYR25BGnuyALqw?authuser=0&hl=en&rclk=1,Clothing stores in Dallas Texas,4.4,775,+1 972-685-9494,"5400 E Mockingbird Ln #104, Dallas, TX 75206, United States",uptowncheapskate.com
Ross Dress for Less,https://www.google.com/maps/place/Ross+Dress+for+Less/data=!4m7!3m6!1s0x864e98d4e703474b:0x92d4dbfb647cb46a!8m2!3d32.803467!4d-96.7891041!16s%2Fg%2F11h4c8hjjc!19sChIJS0cD59SYToYRarR8ZPvb1JI?authuser=0&hl=en&rclk=1,Clothing stores in Dallas Texas,3.9,1241,+1 214-841-0100,"2405 N Haskell Ave., Dallas, TX 75204, United States",rossstores.com
Urban Stylez Fashion and Apparel,https://www.google.com/maps/place/Urban+Stylez+Fashion+and+Apparel/data=!4m7!3m6!1s0x864ea36211de44f5:0x9305507333255976!8m2!3d32.7645309!4d-96.7733624!16s%2Fg%2F11bx4cjggs!19sChIJ9UTeEWKjToYRdlklM3NQBZM?authuser=0&hl=en&rclk=1,Clothing stores in Dallas Texas,4.8,96,+1 469-507-4341,"2310 Martin Luther King Jr Blvd, Dallas, TX 75215, United States",shopurbanstylez.com
Clutch Vintage,https://www.google.com/maps/place/Clutch+Vintage/data=!4m7!3m6!1s0x864e997cfaa4a4c3:0x7c489c610cf6dc17!8m2!3d32.8034667!4d-96.7788325!16s%2Fg%2F11s5cn1wdl!19sChIJw6Sk-nyZToYRF9z2DGGcSHw?authuser=0&hl=en&rclk=1,Clothing stores in Dallas Texas,4.8,25,+1 972-974-3345,"4540 Ross Ave Suite 150, Dallas, TX 75204, United States",theclutchvintage.com
Front Door Fashion,https://www.google.com/maps/place/Front+Door+Fashion/data=!4m7!3m6!1s0x864e995587157481:0x81503a4186d4751d!8m2!3d32.7998676!4d-96.8425539!16s%2Fg%2F1q5bm2k41!19sChIJgXQVh1WZToYRHXXUhkE6UIE?authuser=0&hl=en&rclk=1,Clothing stores in Dallas Texas,4.2,33,+1 469-351-7144,"2535 Irving Blvd Suite 150, Dallas, TX 75207, United States",frontdoorfashion.com
Brit Rose,https://www.google.com/maps/place/Brit+Rose/data=!4m7!3m6!1s0x864e9fbf5999db79:0xa9556657b59e65f1!8m2!3d32.850927!4d-96.811009!16s%2Fg%2F11f648dnrp!19sChIJeduZWb-fToYR8WWetVdmVak?authuser=0&hl=en&rclk=1,Clothing stores in Dallas Texas,4.8,37,+1 469-868-6411,"4425 Lovers Ln, Dallas, TX 75225, United States",shopbritrose.com
Hemline Dallas,https://www.google.com/maps/place/Hemline+Dallas/data=!4m7!3m6!1s0x864e9e5faed767d7:0x1fc48f06534a403c!8m2!3d32.8509212!4d-96.8113975!16s%2Fg%2F1tld0l9t!19sChIJ12fXrl-eToYRPEBKUwaPxB8?authuser=0&hl=en&rclk=1,Clothing stores in Dallas Texas,4.8,33,+1 214-559-3600,"4439 Lovers Ln, Dallas, TX 75225, United States",shophemlinedallas.com
Favor the Kind,https://www.google.com/maps/place/Favor+the+Kind/data=!4m7!3m6!1s0x864e9f246edec9e3:0xe195d54cf2db14b4!8m2!3d32.825894!4d-96.769859!16s%2Fg%2F1tgx2fg3!19sChIJ48nebiSfToYRtBTb8kzVleE?authuser=0&hl=en&rclk=1,Clothing stores in Dallas Texas,4.3,94,+1 214-370-8010,"3024 Greenville Ave, Dallas, TX 75206, United States",joyvilleinc.com
Forty Five Ten,https://www.google.com/maps/place/Forty+Five+Ten/data=!4m7!3m6!1s0x864e99a9a69f5ee7:0xbadc4fbd2db2ebcb!8m2!3d32.7812239!4d-96.7978418!16s%2Fg%2F11k4l1tlcm!19sChIJ516fpqmZToYRy-uyLb1P3Lo?authuser=0&hl=en&rclk=1,Clothing stores in Dallas Texas,4.4,10,+1 214-559-4510,"1615 Main St, Dallas, TX 75201, United States",fortyfiveten.com
"Diva's Den Fashion, LLC","https://www.google.com/maps/place/Diva%27s+Den+Fashion,+LLC/data=!4m7!3m6!1s0x864ea6d433659639:0x6edaa057123652dc!8m2!3d32.8636464!4d-96.6821506!16s%2Fg%2F11crzg_jtl!19sChIJOZZlM9SmToYR3FI2Eleg2m4?authuser=0&hl=en&rclk=1",Clothing stores in Dallas Texas,4.1,52,+1 469-571-3647,"Side Entrance, 11420 E NW Hwy STE 140A, Dallas, TX 75218, United States",divasdenfashion.com
indigo 1745,https://www.google.com/maps/place/indigo+1745/data=!4m7!3m6!1s0x864e9985b045f36d:0x7ad991224ce98950!8m2!3d32.7487677!4d-96.8277873!16s%2Fg%2F1tk1zg53!19sChIJbfNFsIWZToYRUInpTCKR2Xo?authuser=0&hl=en&rclk=1,Clothing stores in Dallas Texas,4.5,31,+1 214-948-1745,"370 W Seventh St, Dallas, TX 75208, United States",-
Add Vintage,https://www.google.com/maps/place/Add+Vintage/data=!4m7!3m6!1s0x864e991667bc6a91:0x2484eb2d98c3dbed!8m2!3d32.784813!4d-96.7779094!16s%2Fg%2F11mv1k2myl!19sChIJkWq8ZxaZToYR7dvDmC3rhCQ?authuser=0&hl=en&rclk=1,Clothing stores in Dallas Texas,4.8,16,-,"111 Murray St, Dallas, TX 75226, United States",addvintagedallas.com
TV Fashion Outlet Dallas Location,https://www.google.com/maps/place/TV+Fashion+Outlet+Dallas+Location/data=!4m7!3m6!1s0x864e99551118dcfd:0x54b10690526b4345!8m2!3d32.8007524!4d-96.8333923!16s%2Fg%2F11b63cg9r0!19sChIJ_dwYEVWZToYRRUNrUpAGsVQ?authuser=0&hl=en&rclk=1,Clothing stores in Dallas Texas,4.4,369,+1 214-638-9033,"1505 Wycliff Ave, Dallas, TX 75207, United States",facebook.com
K.A. Classics,https://www.google.com/maps/place/K.A.+Classics/data=!4m7!3m6!1s0x864e9985ca4ac9d1:0xffa52699a160f11a!8m2!3d32.776932!4d-96.789031!16s%2Fg%2F11g8cnfvx2!19sChIJ0clKyoWZToYRGvFgoZkmpf8?authuser=0&hl=en&rclk=1,Clothing stores in Dallas Texas,4.7,110,+1 214-535-6441,"1011 S Pearl Expy Suite 172, Dallas, TX 75201, United States",kaclassics.co
DLM Supply,https://www.google.com/maps/place/DLM+Supply/data=!4m7!3m6!1s0x864e9a29a598fe71:0xc6fdbb9988d4615e!8m2!3d32.7496693!4d-96.8373032!16s%2Fg%2F11c544kycx!19sChIJcf6YpSmaToYRXmHUiJm7_cY?authuser=0&hl=en&rclk=1,Clothing stores in Dallas Texas,4.8,53,+1 469-917-8081,"837 W Davis St, Dallas, TX 75208, United States",dlmsupplyco.com
Urban Outfitters,https://www.google.com/maps/place/Urban+Outfitters/data=!4m7!3m6!1s0x864e9fbefb38286f:0x561f11eb0a00e08e!8m2!3d32.8689126!4d-96.7734195!16s%2Fg%2F1vxcwv18!19sChIJbyg4-76fToYRjuAACusRH1Y?authuser=0&hl=en&rclk=1,Clothing stores in Dallas Texas,4.1,405,+1 214-361-2001,"NorthPark Center, 8687 N Central Expy #2280, Dallas, TX 75225, United States",urbanoutfitters.com
Reformation,https://www.google.com/maps/place/Reformation/data=!4m7!3m6!1s0x864e9f245581141f:0x1a0ff4ff4d4c66c8!8m2!3d32.8194355!4d-96.7839668!16s%2Fg%2F11f0kvtw26!19sChIJHxSBVSSfToYRyGZMTf_0Dxo?authuser=0&hl=en&rclk=1,Clothing stores in Dallas Texas,4.3,51,+1 469-946-9864,"2815 N Henderson Ave, Dallas, TX 75206, United States",thereformation.com
2nd Street Deep Ellum,https://www.google.com/maps/place/2nd+Street+Deep+Ellum/data=!4m7!3m6!1s0x864e990173a32ab5:0x54477c6a3de207c6!8m2!3d32.7838683!4d-96.7825775!16s%2Fg%2F11tg2tj93r!19sChIJtSqjcwGZToYRxgfiPWp8R1Q?authuser=0&hl=en&rclk=1,Clothing stores in Dallas Texas,4.0,115,+1 214-257-8545,"2816 Main St, Dallas, TX 75226, United States",2ndstreetusa.com
Anthropologie,https://www.google.com/maps/place/Anthropologie/data=!4m7!3m6!1s0x864e9eee4b78de2d:0x763120db5e405ad5!8m2!3d32.8227564!4d-96.7871781!16s%2Fg%2F1tf2smvq!19sChIJLd54S-6eToYR1VpAXtsgMXY?authuser=0&hl=en&rclk=1,Clothing stores in Dallas Texas,4.3,83,+1 214-219-4510,"4600 McKinney Ave, Dallas, TX 75205, United States",anthropologie.com
Glamour Goddess Boutique | Women's Clothing,https://www.google.com/maps/place/Glamour+Goddess+Boutique+%7C+Women%27s+Clothing/data=!4m7!3m6!1s0x864c21c8a6360861:0x9602872048af07e!8m2!3d32.9297776!4d-96.8216599!16s%2Fg%2F11h4dxcn2t!19sChIJYQg2psghTIYRfvCKBHIoYAk?authuser=0&hl=en&rclk=1,Clothing stores in Dallas Texas,5.0,113,+1 469-399-7903,"13450 Inwood Rd #200, Dallas, TX 75240, United States",glamour-goddess-btq.myshopify.com
Rare Heart Vintage,https://www.google.com/maps/place/Rare+Heart+Vintage/data=!4m7!3m6!1s0x864e9995eea3010f:0x5c681428ef88f42a!8m2!3d32.7490923!4d-96.827513!16s%2Fg%2F11hz9vz_65!19sChIJDwGj7pWZToYRKvSI7ygUaFw?authuser=0&hl=en&rclk=1,Clothing stores in Dallas Texas,4.3,18,+1 972-863-9422,"330 W Davis St Suite #101, Dallas, TX 75208, United States",rareheartvintage.com
"dear hannah,","https://www.google.com/maps/place/dear+hannah,/data=!4m7!3m6!1s0x864e9f00c2bf7911:0x76063d82cfd8088!8m2!3d32.8480185!4d-96.7881155!16s%2Fg%2F11b7f0nc56!19sChIJEXm_wgCfToYRiID9LNhjYAc?authuser=0&hl=en&rclk=1",Clothing stores in Dallas Texas,3.5,38,+1 469-291-7605,"6717 Snider Plaza, Dallas, TX 75205, United States",shopdearhannah.com
