Name,URL,Query,Rating,Reviews,Phone,Address,Website
Spectacles,https://www.google.com/maps/place/Spectacles/data=!4m7!3m6!1s0x883b2d2df979ddaf:0xd6f10fabce16ae17!8m2!3d42.3357914!4d-83.0465796!16s%2Fg%2F1tk_pyrf!19sChIJr915-S0tO4gRF64WzqsP8dY?authuser=0&hl=en&rclk=1,Clothing stores in Detroit Michigan,4.7,47,+1 313-963-6886,"230 E Grand River Ave, Detroit, MI 48226, United States",specdet.com
Girl Boss Fashions,https://www.google.com/maps/place/Girl+Boss+Fashions/data=!4m7!3m6!1s0x8824df2b3aaa4fe5:0xb7ade4b27f517354!8m2!3d42.3335518!4d-83.0454597!16s%2Fg%2F11fsqjr3hp!19sChIJ5U-qOivfJIgRVHNRf7Lkrbc?authuser=0&hl=en&rclk=1,Clothing stores in Detroit Michigan,4.8,36,+1 313-474-2677,"111 Monroe St, Detroit, MI 48226, United States",girlbossfashions.com
Pure Detroit Tours and Retail,https://www.google.com/maps/place/Pure+Detroit+Tours+and+Retail/data=!4m7!3m6!1s0x8824d29d05f9c9f9:0x64ac9b112561182f!8m2!3d42.3701845!4d-83.0773681!16s%2Fg%2F1wj_6ndw!19sChIJ-cn5BZ3SJIgRLxhhJRGbrGQ?authuser=0&hl=en&rclk=1,Clothing stores in Detroit Michigan,4.6,128,+1 313-873-7873,"3011 W Grand Blvd #101, Detroit, MI 48202, United States",puredetroit.com
Peacock Room,https://www.google.com/maps/place/Peacock+Room/data=!4m7!3m6!1s0x8824d2bd705e37ff:0xcd32059ed44016c5!8m2!3d42.3603654!4d-83.0663984!16s%2Fg%2F1hc1n7kyd!19sChIJ_zdecL3SJIgRxRZA1J4FMs0?authuser=0&hl=en&rclk=1,Clothing stores in Detroit Michigan,4.5,65,+1 313-559-5500,"15 E Kirby St, Detroit, MI 48202, United States",facebook.com
Flo Boutique Co,https://www.google.com/maps/place/Flo+Boutique+Co/data=!4m7!3m6!1s0x8824d2b0b0198ea3:0x77e4efdf6168ee59!8m2!3d42.3506002!4d-83.0639523!16s%2Fg%2F1tgdtryx!19sChIJo44ZsLDSJIgRWe5oYd_v5Hc?authuser=0&hl=en&rclk=1,Clothing stores in Detroit Michigan,4.8,54,+1 313-831-4901,"404 W Willis St, Detroit, MI 48201, United States",floboutiquedetroit.com
The Black Dress co,https://www.google.com/maps/place/The+Black+Dress+co/data=!4m7!3m6!1s0x8824d2b8feeb54a5:0xc5d7f476d4a01437!8m2!3d42.3535649!4d-83.0599548!16s%2Fg%2F1wj_tx7k!19sChIJpVTr_rjSJIgRNxSg1Hb018U?authuser=0&hl=en&rclk=1,Clothing stores in Detroit Michigan,4.7,27,+1 313-833-7795,"Street Level, 87 E Canfield St, Detroit, MI 48201, United States",instagram.com
Teasers Boutique,https://www.google.com/maps/place/Teasers+Boutique/data=!4m7!3m6!1s0x8824ce9789451b23:0xd12932afa84cb4ac!8m2!3d42.4343158!4d-83.1419284!16s%2Fg%2F1td65ymw!19sChIJIxtFiZfOJIgRrLRMqK8yKdE?authuser=0&hl=en&rclk=1,Clothing stores in Detroit Michigan,4.8,53,+1 313-341-3131,"19355 Livernois, Detroit, MI 48221, United States",teasersboutique.online
Flamingo Vintage,https://www.google.com/maps/place/Flamingo+Vintage/data=!4m7!3m6!1s0x883b330c3efd7fbf:0xf1b0dc0378155c3b!8m2!3d42.3176632!4d-83.1013599!16s%2Fg%2F11fjvws2kh!19sChIJv3_9PgwzO4gRO1wVeAPcsPE?authuser=0&hl=en&rclk=1,Clothing stores in Detroit Michigan,4.8,95,+1 313-489-3902,"5449 Vernor W, Detroit, MI 48209, United States",flamingovintagedetroit.com
Savvy Chic Trends & Parisienne Boutique,https://www.google.com/maps/place/Savvy+Chic+Trends+%26+Parisienne+Boutique/data=!4m7!3m6!1s0x8824d2d711e17057:0x811237c0d6900c61!8m2!3d42.348129!4d-83.039412!16s%2Fg%2F1thvt9ww!19sChIJV3DhEdfSJIgRYQyQ1sA3EoE?authuser=0&hl=en&rclk=1,Clothing stores in Detroit Michigan,4.7,21,+1 313-833-8769,"2712 Riopelle St, Detroit, MI 48207, United States",-
Hot Sam's Detroit,https://www.google.com/maps/place/Hot+Sam%27s+Detroit/data=!4m7!3m6!1s0x883b2d2e37d35b43:0x9d162c5feeb8a26a!8m2!3d42.3338989!4d-83.045193!16s%2Fg%2F1thghq09!19sChIJQ1vTNy4tO4gRaqK47l8sFp0?authuser=0&hl=en&rclk=1,Clothing stores in Detroit Michigan,4.9,110,+1 313-961-6779,"127 Monroe St, Detroit, MI 48226, United States",hotsamsdetroit.com
