Name,URL,Query,Rating,Reviews,Phone,Address,Website
Boomerang Boutique,https://www.google.com/maps/place/Boomerang+Boutique/data=!4m7!3m6!1s0x886b50f2033b4aeb:0x9eff3f70a847b1bb!8m2!3d39.7785253!4d-86.143656!16s%2Fg%2F1ptxlnqpw!19sChIJ60o7A_JQa4gRu7FHqHA__54?authuser=0&hl=en&rclk=1,Clothing stores in Indianapolis Indiana,4.9,106,-,"845B Massachusetts Ave, Indianapolis, IN 46204, United States",boomerangboutique.com
Ross Dress for Less,https://www.google.com/maps/place/Ross+Dress+for+Less/data=!4m7!3m6!1s0x886b5bb6e6135d27:0x2e2107e850f857bd!8m2!3d39.7034828!4d-86.1527597!16s%2Fg%2F11c32l5tqq!19sChIJJ10T5rZba4gRvVf4UOgHIS4?authuser=0&hl=en&rclk=1,Clothing stores in Indianapolis Indiana,4.2,830,+1 317-791-7033,"4200 S East St, Indianapolis, IN 46227, United States",rossstores.com
Bold,https://www.google.com/maps/place/Bold/data=!4m7!3m6!1s0x886ca9876df1042d:0xf01366691bbe2f3b!8m2!3d39.8213314!4d-86.2859367!16s%2Fg%2F11h__dg2kz!19sChIJLQTxbYepbIgROy--G2lmE_A?authuser=0&hl=en&rclk=1,Clothing stores in Indianapolis Indiana,0.0,0,-,"7179 Wharfside Ln, Indianapolis, IN 46214, United States",bold-1.ueniweb.com
Sage Boutique,https://www.google.com/maps/place/Sage+Boutique/data=!4m7!3m6!1s0x886b5094c6901fed:0xaf14a0e5fc93863a!8m2!3d39.7732215!4d-86.1513105!16s%2Fg%2F11cr_154nd!19sChIJ7R-QxpRQa4gROoaT_OWgFK8?authuser=0&hl=en&rclk=1,Clothing stores in Indianapolis Indiana,4.2,13,+1 317-423-2919,"431 Massachusetts Ave, Indianapolis, IN 46204, United States",sagemassave.tumblr.com
Consistent Clothing LLC,https://www.google.com/maps/place/Consistent+Clothing+LLC/data=!4m7!3m6!1s0x6a945cbf868fae3b:0x6af7c4445fa3abb7!8m2!3d39.7794369!4d-86.2987148!16s%2Fg%2F11st6fz4cx!19sChIJO66Phr9clGoRt6ujX0TE92o?authuser=0&hl=en&rclk=1,Clothing stores in Indianapolis Indiana,0.0,0,+1 317-717-0785,"7820 W 10th St, Indianapolis, IN 46214, United States",consistentclothing.etsy.com
T.J. Maxx,https://www.google.com/maps/place/T.J.+Maxx/data=!4m7!3m6!1s0x886b50bc0823f4e7:0x9a69dc4631f9cbdc!8m2!3d39.7681947!4d-86.1600698!16s%2Fg%2F1td7ty7n!19sChIJ5_QjCLxQa4gR3Mv5MUbcaZo?authuser=0&hl=en&rclk=1,Clothing stores in Indianapolis Indiana,4.2,1172,+1 317-972-0273,"50 N Illinois St, Indianapolis, IN 46204, United States",tjmaxx.tjx.com
Hussle Inc.,https://www.google.com/maps/place/Hussle+Inc./data=!4m7!3m6!1s0x886b51dfc0a1253b:0x3c8932856b0617a7!8m2!3d39.7666979!4d-86.1348276!16s%2Fg%2F11h61l5l2c!19sChIJOyWhwN9Ra4gRpxcGa4UyiTw?authuser=0&hl=en&rclk=1,Clothing stores in Indianapolis Indiana,0.0,0,+1 317-597-4268,"1413 E Washington St, Indianapolis, IN 46201, United States",-
Sherezz Fashions & Accessories,https://www.google.com/maps/place/Sherezz+Fashions+%26+Accessories/data=!4m7!3m6!1s0x886b54e1d3a7bc29:0xe7ff5c42af1dbe4b!8m2!3d46.423669!4d-129.9427086!16s%2Fg%2F11c5sn2xmg!19sChIJKbyn0-FUa4gRS74dr0Jc_-c?authuser=0&hl=en&rclk=1,Clothing stores in Indianapolis Indiana,5.0,9,+1 317-979-4934,-,facebook.com
WNS Apparel,https://www.google.com/maps/place/WNS+Apparel/data=!4m7!3m6!1s0x886b50bb7fe79f63:0xa63ff8d7fff036ff!8m2!3d39.766304!4d-86.159322!16s%2Fg%2F11c135vq92!19sChIJY5_nf7tQa4gR_zbw_9f4P6Y?authuser=0&hl=en&rclk=1,Clothing stores in Indianapolis Indiana,4.3,32,+1 317-721-9453,"49 W Maryland St g6, Indianapolis, IN 46204, United States",wns.clothing
Daily Thread,https://www.google.com/maps/place/Daily+Thread/data=!4m7!3m6!1s0x886b51ea0a4e3331:0x4bdf69dbef7d6aaa!8m2!3d39.7663578!4d-86.1592586!16s%2Fg%2F11trg9q3jt!19sChIJMTNOCupRa4gRqmp979tp30s?authuser=0&hl=en&rclk=1,Clothing stores in Indianapolis Indiana,5.0,2,+1 612-353-7140,"49w W Maryland St, Indianapolis, IN 46204, United States",shopdailythread.com
