Name,URL,Query,Rating,Reviews,Phone,Address,Website
K&G Fashion Superstore,https://www.google.com/maps/place/K%26G+Fashion+Superstore/data=!4m7!3m6!1s0x88c2c707f99e662d:0x3f38dec7806f0ec7!8m2!3d30.3210691!4d-81.5557759!16s%2Fg%2F1tfmd17z!19sChIJLWae-QfHwogRxw5vgMfeOD8?authuser=0&hl=en&rclk=1,Clothing stores in Jacksonville Florida,4.3,494,+1 904-724-7244,"9340 Arlington Expy, Jacksonville, FL 32225, United States",kgstores.com
Urban Outfitters,https://www.google.com/maps/place/Urban+Outfitters/data=!4m7!3m6!1s0x88e5b550c8d15465:0xb9b0c1855a57d5fb!8m2!3d30.2553185!4d-81.5249678!16s%2Fg%2F1v5_b7jv!19sChIJZVTRyFC15YgR-9VXWoXBsLk?authuser=0&hl=en&rclk=1,Clothing stores in Jacksonville Florida,3.9,411,+1 904-564-4226,"St. John Town Ctr, 4791 River City Dr #101, Jacksonville, FL 32246, United States",urbanoutfitters.com
Uptown Cheapskate Jacksonville,https://www.google.com/maps/place/Uptown+Cheapskate+Jacksonville/data=!4m7!3m6!1s0x88e5c938b5d77c9b:0xe9859a84f31a650!8m2!3d30.1859307!4d-81.6257398!16s%2Fg%2F11c1t9vj2l!19sChIJm3zXtTjJ5YgRUKYxT6hZmA4?authuser=0&hl=en&rclk=1,Clothing stores in Jacksonville Florida,4.7,1033,+1 904-438-5258,"10601 San Jose Blvd Ste 4, Jacksonville, FL 32257, United States",uptowncheapskate.com
Jane Doe Boutique Jacksonville Fl,https://www.google.com/maps/place/Jane+Doe+Boutique+Jacksonville+Fl/data=!4m7!3m6!1s0x88e5b77a03c70fe9:0x1cf621d55bfa346b!8m2!3d30.314671!4d-81.6805843!16s%2Fg%2F1tgxvcd9!19sChIJ6Q_HA3q35YgRazT6W9Uh9hw?authuser=0&hl=en&rclk=1,Clothing stores in Jacksonville Florida,4.9,75,+1 904-356-0027,"1027 Park St, Jacksonville, FL 32204, United States",shopjanedoe.com
Edge City,https://www.google.com/maps/place/Edge+City/data=!4m7!3m6!1s0x88e5b77a0208a793:0x68e25711dd4921b6!8m2!3d30.3149052!4d-81.6805557!16s%2Fg%2F1v9t_qsg!19sChIJk6cIAnq35YgRtiFJ3RFX4mg?authuser=0&hl=en&rclk=1,Clothing stores in Jacksonville Florida,4.9,21,+1 904-353-9423,"1017 Park St, Jacksonville, FL 32204, United States",-
Beau Outfitters,https://www.google.com/maps/place/Beau+Outfitters/data=!4m7!3m6!1s0x88e5b83adc4c4907:0x9100a49678fbdd6c!8m2!3d30.3040078!4d-81.6550415!16s%2Fg%2F11g_cbmsg!19sChIJB0lM3Dq45YgRbN37eJakAJE?authuser=0&hl=en&rclk=1,Clothing stores in Jacksonville Florida,4.6,34,+1 904-551-3904,"1972 San Marco Blvd, Jacksonville, FL 32207, United States",beauoutfitters.com
rue21,https://www.google.com/maps/place/rue21/data=!4m7!3m6!1s0x88e5ae4dfac2e3c1:0x5c37c9bea7b3fe69!8m2!3d30.4779222!4d-81.6412091!16s%2Fg%2F124t621y0!19sChIJwePC-k2u5YgRaf6zp77JN1w?authuser=0&hl=en&rclk=1,Clothing stores in Jacksonville Florida,4.2,184,+1 904-696-3073,"13221 City Station Dr Suite 105, Jacksonville, FL 32218, United States",stores.rue21.com
8103 Clothing Inc,https://www.google.com/maps/place/8103+Clothing+Inc/data=!4m7!3m6!1s0x88e44930fe310f41:0xc0bf059dfb312cff!8m2!3d30.2890383!4d-81.3941324!16s%2Fg%2F11v3jgb2yw!19sChIJQQ8x_jBJ5IgR_ywx-50Fv8A?authuser=0&hl=en&rclk=1,Clothing stores in Jacksonville Florida,4.9,25,-,"433 Pablo Ave, Jacksonville Beach, FL 32250, United States",8103clothing.com
Wolf & Cub,https://www.google.com/maps/place/Wolf+%26+Cub/data=!4m7!3m6!1s0x88e5b71784065917:0x45963725dd48ade3!8m2!3d30.3282139!4d-81.6587459!16s%2Fg%2F11bzxzp8_8!19sChIJF1kGhBe35YgR461I3SU3lkU?authuser=0&hl=en&rclk=1,Clothing stores in Jacksonville Florida,4.6,29,-,"205 N Laura St, Jacksonville, FL 32202, United States",wolfandcubjax.com
Jane Doe Boutique Jacksonville FL,https://www.google.com/maps/place/Jane+Doe+Boutique+Jacksonville+FL/data=!4m7!3m6!1s0x88e5b936ecdb530d:0xcc2ca60172b9db07!8m2!3d30.296622!4d-81.703591!16s%2Fg%2F11j99vnfdj!19sChIJDVPb7Da55YgRB9u5cgGmLMw?authuser=0&hl=en&rclk=1,Clothing stores in Jacksonville Florida,4.6,29,+1 904-356-0027,"3576 St Johns Ave, Jacksonville, FL 32205, United States",shopjanedoe.com
The Copper Closet,https://www.google.com/maps/place/The+Copper+Closet/data=!4m7!3m6!1s0x88e5cb73614bab7b:0xb14357cf46eea7c4!8m2!3d30.1847967!4d-81.5537801!16s%2Fg%2F11dx8yvscp!19sChIJe6tLYXPL5YgRxKfuRs9XQ7E?authuser=0&hl=en&rclk=1,Clothing stores in Jacksonville Florida,4.9,240,+1 904-300-3800,"10300 Southside Blvd, Jacksonville, FL 32256, United States",thecoppercloset.com
Nordstrom,https://www.google.com/maps/place/Nordstrom/data=!4m7!3m6!1s0x88e5b5582fac48e5:0x612efdb3ec57dedb!8m2!3d30.253629!4d-81.5270328!16s%2Fg%2F11b6gcxh4l!19sChIJ5UisL1i15YgR295X7LP9LmE?authuser=0&hl=en&rclk=1,Clothing stores in Jacksonville Florida,4.3,1362,+1 904-672-2200,"4835 Town Crossing Dr, Jacksonville, FL 32246, United States",nordstrom.com
Bealls Florida,https://www.google.com/maps/place/Bealls+Florida/data=!4m7!3m6!1s0x88e44a4fe82d55e7:0xccfcfb9411098aa7!8m2!3d30.2848241!4d-81.4610276!16s%2Fg%2F1v1kqp47!19sChIJ51Ut6E9K5IgRp4oJEZT7_Mw?authuser=0&hl=en&rclk=1,Clothing stores in Jacksonville Florida,4.4,795,+1 904-992-6990,"13500 Beach Blvd Suite Y, Jacksonville, FL 32224, United States",stores.beallsflorida.com
Soul Train Fashions,https://www.google.com/maps/place/Soul+Train+Fashions/data=!4m7!3m6!1s0x88e5b0c1559dee01:0xa1e509606312bb2d!8m2!3d30.3733449!4d-81.6635682!16s%2Fg%2F1wj_v2d4!19sChIJAe6dVcGw5YgRLbsSY2AJ5aE?authuser=0&hl=en&rclk=1,Clothing stores in Jacksonville Florida,4.1,41,+1 904-768-9446,"5431 Norwood Ave, Jacksonville, FL 32208, United States",-
Ross Dress for Less,https://www.google.com/maps/place/Ross+Dress+for+Less/data=!4m7!3m6!1s0x88e5b4853f49b497:0x12073796908cfc5f!8m2!3d30.3361102!4d-81.550025!16s%2Fg%2F1v3kjb1v!19sChIJl7RJP4W05YgRX_yMkJY3BxI?authuser=0&hl=en&rclk=1,Clothing stores in Jacksonville Florida,4.1,1455,+1 904-725-3204,"651 Commerce Center Dr, Jacksonville, FL 32225, United States",rossstores.com
Dillard's,https://www.google.com/maps/place/Dillard%27s/data=!4m7!3m6!1s0x88e5cb74a539030d:0x6c63ebd5602551de!8m2!3d30.1856099!4d-81.5547006!16s%2Fm%2F03m1p4m!19sChIJDQM5pXTL5YgR3lElYNXrY2w?authuser=0&hl=en&rclk=1,Clothing stores in Jacksonville Florida,4.3,1421,+1 904-363-6115,"10300 Southside Blvd, Jacksonville, FL 32256, United States",dillards.com
Meow and Barks Boutique,https://www.google.com/maps/place/Meow+and+Barks+Boutique/data=!4m7!3m6!1s0x88e5b70848b62361:0xedaefba2370c6489!8m2!3d30.3096959!4d-81.6603585!16s%2Fg%2F1tgm3p8m!19sChIJYSO2SAi35YgRiWQMN6L7ru0?authuser=0&hl=en&rclk=1,Clothing stores in Jacksonville Florida,4.3,44,+1 904-704-8222,"1537 San Marco Blvd, Jacksonville, FL 32207, United States",meowandbarksboutique.com
Red Velvet Boutique,https://www.google.com/maps/place/Red+Velvet+Boutique/data=!4m7!3m6!1s0x88e5b72dfdb622a9:0xfdd5c3cb5d4b6cc6!8m2!3d30.2770484!4d-81.5584029!16s%2Fg%2F11pdx526sv!19sChIJqSK2_S235YgRxmxLXcvD1f0?authuser=0&hl=en&rclk=1,Clothing stores in Jacksonville Florida,5.0,25,+1 904-800-2958,"3837 Southside Blvd #8, Jacksonville, FL 32216, United States",theredvelvetboutique.com
