Name,URL,Query,Rating,Reviews,Phone,Address,Website
Golden Goose Palisades,https://www.google.com/maps/place/Golden+Goose+Palisades/data=!4m7!3m6!1s0x80c2a31ece51f4ef:0xc1e72e738e19555a!8m2!3d34.0480175!4d-118.5249389!16s%2Fg%2F11vz94hwqz!19sChIJ7_RRzh6jwoARWlUZjnMu58E?authuser=0&hl=en&rclk=1,Clothing stores in Los Angeles California,5.0,1,+1 424-229-5375,"1028 N Swarthmore Ave building 3 unit 102, Pacific Palisades, CA 90272, United States",goldengoose.com
Attic Koncept,https://www.google.com/maps/place/Attic+Koncept/data=!4m7!3m6!1s0x80c2bf3faaa7bd65:0x84b0eb877f157993!8m2!3d34.070429!4d-118.4002134!16s%2Fg%2F11rk22g88n!19sChIJZb2nqj-_woARk3kVf4frsIQ?authuser=0&hl=en&rclk=1,Clothing stores in Los Angeles California,5.0,8,+1 323-448-2084,"350 N Canon Dr # 1, Beverly Hills, CA 90210, United States",attickoncept.com
Urban Outfitters,https://www.google.com/maps/place/Urban+Outfitters/data=!4m7!3m6!1s0x80c2c7caecaad6a7:0x4348a08db47346c5!8m2!3d34.0433536!4d-118.2549246!16s%2Fg%2F1ptz66rqf!19sChIJp9aq7MrHwoARxUZztI2gSEM?authuser=0&hl=en&rclk=1,Clothing stores in Los Angeles California,4.2,367,+1 213-627-7469,"810 S Broadway, Los Angeles, CA 90014, United States",urbanoutfitters.com
H&M,https://www.google.com/maps/place/H%26M/data=!4m7!3m6!1s0x80c2c7b13a609f05:0xdf4d2e33370b4201!8m2!3d34.0493154!4d-118.2611595!16s%2Fg%2F11b5plxhrn!19sChIJBZ9gOrHHwoARAUILNzMuTd8?authuser=0&hl=en&rclk=1,Clothing stores in Los Angeles California,4.4,1608,+1 855-466-7467,"735 S Figueroa St #303, Los Angeles, CA 90017, United States",hm.com
CLOTHING STORE,https://www.google.com/maps/place/CLOTHING+STORE/data=!4m7!3m6!1s0x80c2c7cdbc6ac103:0x10740e54e3a1f8c2!8m2!3d34.0355034!4d-118.2566765!16s%2Fg%2F11ddxb26pm!19sChIJA8FqvM3HwoARwvih41QOdBA?authuser=0&hl=en&rclk=1,Clothing stores in Los Angeles California,4.4,24,-,"1203 Maple Ave, Los Angeles, CA 90015, United States",-
American Rag Cie,https://www.google.com/maps/place/American+Rag+Cie/data=!4m7!3m6!1s0x80c2b8d7bcd98dff:0xb6bfb1cc1d1c5efe!8m2!3d34.0719835!4d-118.3436903!16s%2Fg%2F1thx49k0!19sChIJ_43ZvNe4woAR_l4cHcyxv7Y?authuser=0&hl=en&rclk=1,Clothing stores in Los Angeles California,3.7,153,+1 323-935-3154,"150 S La Brea Ave, Los Angeles, CA 90036, United States",americanrag.com
Rave Wonderland,https://www.google.com/maps/place/Rave+Wonderland/data=!4m7!3m6!1s0x80c2c7cb5e4c19b5:0x9348d7f94126544b!8m2!3d34.0391286!4d-118.2649126!16s%2Fg%2F1w3w3960!19sChIJtRlMXsvHwoARS1QmQfnXSJM?authuser=0&hl=en&rclk=1,Clothing stores in Los Angeles California,4.8,1094,+1 213-623-1147,"414 W Pico Blvd, Los Angeles, CA 90015, United States",ravewonderland.com
Just One Eye,https://www.google.com/maps/place/Just+One+Eye/data=!4m7!3m6!1s0x80c2bf2bdcabda89:0xdc93949909b26c64!8m2!3d34.0877662!4d-118.3429078!16s%2Fg%2F1pp2v0bt0!19sChIJidqr3Cu_woARZGyyCZmUk9w?authuser=0&hl=en&rclk=1,Clothing stores in Los Angeles California,4.5,66,+1 323-969-9129,"915 N Sycamore Ave, Los Angeles, CA 90038, United States",justoneeye.com
Half Off Clothing Store,https://www.google.com/maps/place/Half+Off+Clothing+Store/data=!4m7!3m6!1s0x80c2c0ae9a007ee9:0x99ee5b8339aa75a0!8m2!3d34.1028028!4d-118.2915928!16s%2Fg%2F1vyswt2y!19sChIJ6X4Amq7AwoARoHWqOYNb7pk?authuser=0&hl=en&rclk=1,Clothing stores in Los Angeles California,4.9,30,+1 323-665-1526,"1748 N Vermont Ave, Los Angeles, CA 90027, United States",halfoffclothingstore.com
ME LORETA,https://www.google.com/maps/place/ME+LORETA/data=!4m7!3m6!1s0x80c2c7cc4c4a09bd:0x645ff5f8a0cf583e!8m2!3d34.036658!4d-118.256349!16s%2Fg%2F11c1pk3nzb!19sChIJvQlKTMzHwoARPljPoPj1X2Q?authuser=0&hl=en&rclk=1,Clothing stores in Los Angeles California,4.9,274,-,"1132 Santee Alley D, Los Angeles, CA 90015, United States",-
