Name,URL,Query,Rating,Reviews,Phone,Address,Website
UNIQLO Chestnut St,https://www.google.com/maps/place/UNIQLO+Chestnut+St/data=!4m7!3m6!1s0x89c6c630403e71a3:0x54298f0bd7942829!8m2!3d39.9511181!4d-75.1677607!16s%2Fg%2F11b6b85mn7!19sChIJo3E-QDDGxokRKSiU1wuPKVQ?authuser=0&hl=en&rclk=1,Clothing stores in Philadelphia Pennsylvania,4.5,1208,+1 855-486-4756,"1608 Chestnut St, Philadelphia, PA 19103, United States",uniqlo.com
Boyds Philadelphia,https://www.google.com/maps/place/Boyds+Philadelphia/data=!4m7!3m6!1s0x89c6c630c588895f:0x80d1549fff60ad30!8m2!3d39.9516893!4d-75.1712958!16s%2Fg%2F1hc5ckng7!19sChIJX4mIxTDGxokRMK1g_59U0YA?authuser=0&hl=en&rclk=1,Clothing stores in Philadelphia Pennsylvania,4.3,212,+1 215-564-9000,"1818 Chestnut St, Philadelphia, PA 19103, United States",boydsphila.com
Fashion District Philadelphia,https://www.google.com/maps/place/Fashion+District+Philadelphia/data=!4m7!3m6!1s0x89c6c629daeb94a7:0x726e93383a44fefd!8m2!3d39.9519138!4d-75.1557934!16s%2Fg%2F1vn9q0w6!19sChIJp5Tr2inGxokR_f5EOjiTbnI?authuser=0&hl=en&rclk=1,Clothing stores in Philadelphia Pennsylvania,4.3,5824,+1 267-534-7705,"901 Market St, Philadelphia, PA 19107, United States",fashiondistrictphiladelphia.com
Urban Outfitters,https://www.google.com/maps/place/Urban+Outfitters/data=!4m7!3m6!1s0x89c6c63078b09953:0xc03dfee87b633114!8m2!3d39.9501345!4d-75.1687201!16s%2Fg%2F1tks785h!19sChIJU5mweDDGxokRFDFje-j-PcA?authuser=0&hl=en&rclk=1,Clothing stores in Philadelphia Pennsylvania,4.1,556,+1 215-569-3131,"1627 Walnut St, Philadelphia, PA 19103, United States",urbanoutfitters.com
Joan Shepp | Philadelphia Luxury Clothing Store,https://www.google.com/maps/place/Joan+Shepp+%7C+Philadelphia+Luxury+Clothing+Store/data=!4m7!3m6!1s0x89c6c63a9d5e4425:0x41ce1e4c31fa866e!8m2!3d39.9518554!4d-75.1710895!16s%2Fg%2F1tq6ffw7!19sChIJJURenTrGxokRbob6MUwezkE?authuser=0&hl=en&rclk=1,Clothing stores in Philadelphia Pennsylvania,4.7,41,+1 215-735-2666,"1811 Chestnut St, Philadelphia, PA 19103, United States",joanshepp.com
P's & Q's,https://www.google.com/maps/place/P%27s+%26+Q%27s/data=!4m7!3m6!1s0x89c6c620c655da85:0x7ebbd4d18d46054a!8m2!3d39.942299!4d-75.156211!16s%2Fg%2F12640_1n1!19sChIJhdpVxiDGxokRSgVGjdHUu34?authuser=0&hl=en&rclk=1,Clothing stores in Philadelphia Pennsylvania,4.9,67,+1 215-592-0888,"820 South St, Philadelphia, PA 19147, United States",psandqs.com
Banana Republic Factory Store,https://www.google.com/maps/place/Banana+Republic+Factory+Store/data=!4m7!3m6!1s0x89c6c63732089cc1:0xd4b5ca6f6a2b9f25!8m2!3d39.9520683!4d-75.1723785!16s%2Fg%2F11b6yd28cb!19sChIJwZwIMjfGxokRJZ8ram_KtdQ?authuser=0&hl=en&rclk=1,Clothing stores in Philadelphia Pennsylvania,4.5,258,+1 215-563-4237,"1911 Chestnut St, Philadelphia, PA 19103, United States",bananarepublic.gap.com
rag & bone,https://www.google.com/maps/place/rag+%26+bone/data=!4m7!3m6!1s0x89c6c63074ac3789:0xe29d4a8cb8a262d0!8m2!3d39.950009!4d-75.1676843!16s%2Fg%2F11c5wkph1q!19sChIJiTesdDDGxokR0GKiuIxKneI?authuser=0&hl=en&rclk=1,Clothing stores in Philadelphia Pennsylvania,4.6,23,+1 215-709-4284,"1601 Walnut St, Philadelphia, PA 19102, United States",rag-bone.com
Urban Princess Boutique,https://www.google.com/maps/place/Urban+Princess+Boutique/data=!4m7!3m6!1s0x89c6c89946f217c7:0x194bbe6150402aa1!8m2!3d39.9411304!4d-75.1493966!16s%2Fg%2F1263_s9f7!19sChIJxxfyRpnIxokRoSpAUGG-Sxk?authuser=0&hl=en&rclk=1,Clothing stores in Philadelphia Pennsylvania,4.9,80,+1 267-909-8317,"620 S 4th St, Philadelphia, PA 19147, United States",urbanprincessboutique.com
DFTI Boutique,https://www.google.com/maps/place/DFTI+Boutique/data=!4m7!3m6!1s0x89c6c6370b5cedad:0xad5b3ff312b991c2!8m2!3d39.9520055!4d-75.1748423!16s%2Fg%2F11b7rtqk7v!19sChIJre1cCzfGxokRwpG5EvM_W60?authuser=0&hl=en&rclk=1,Clothing stores in Philadelphia Pennsylvania,4.5,55,+1 267-758-6790,"2032 Chestnut St, Philadelphia, PA 19103, United States",dftiboutique.com
