Name,URL,Query,Rating,Reviews,Phone,Address,Website
Urban Outfitters,https://www.google.com/maps/place/Urban+Outfitters/data=!4m7!3m6!1s0x872b122161022599:0xd74523531671dd7e!8m2!3d33.4480112!4d-112.0741101!16s%2Fg%2F1tdm_zmj!19sChIJmSUCYSESK4cRft1xFlMjRdc?authuser=0&hl=en&rclk=1,Clothing stores in Phoenix Arizona,4.1,176,+1 602-258-0148,"11 W Washington St #100, Phoenix, AZ 85003, United States",urbanoutfitters.com
Biltmore Fashion Park,https://www.google.com/maps/place/Biltmore+Fashion+Park/data=!4m7!3m6!1s0x872b0d6c742c3efd:0xd00654db499f3cca!8m2!3d33.5108735!4d-112.0279366!16zL20vMDY4aF9k!19sChIJ_T4sdGwNK4cRyjyfSdtUBtA?authuser=0&hl=en&rclk=1,Clothing stores in Phoenix Arizona,4.4,4173,+1 602-954-6810,"2502 E Camelback Rd, Phoenix, AZ 85016, United States",shopbiltmore.com
Last Chance Clearance Store,https://www.google.com/maps/place/Last+Chance+Clearance+Store/data=!4m7!3m6!1s0x872b0d63f17f6593:0xc5db3a0aa28ff856!8m2!3d33.5076332!4d-112.0421371!16s%2Fg%2F11cfdczt5!19sChIJk2V_8WMNK4cRVviPogo628U?authuser=0&hl=en&rclk=1,Clothing stores in Phoenix Arizona,3.7,2542,+1 602-248-2843,"1919 E Camelback Rd, Phoenix, AZ 85016, United States",nordstrom.com
Bunky Boutique,https://www.google.com/maps/place/Bunky+Boutique/data=!4m7!3m6!1s0x872b1217c6705019:0x67ffae930b7d1f16!8m2!3d33.458805!4d-112.0734588!16s%2Fg%2F1tcty03q!19sChIJGVBwxhcSK4cRFh99C5Ou_2c?authuser=0&hl=en&rclk=1,Clothing stores in Phoenix Arizona,4.8,58,+1 602-252-1323,"1001 N Central Ave Suite 125, Phoenix, AZ 85004, United States",bunkyboutique.com
Antique Sugar Vintage Clothing,https://www.google.com/maps/place/Antique+Sugar+Vintage+Clothing/data=!4m7!3m6!1s0x872b12e54c88ddf3:0xd579976714c51d65!8m2!3d33.456841!4d-112.0708599!16s%2Fg%2F1tklr01h!19sChIJ892ITOUSK4cRZR3FFGeXedU?authuser=0&hl=en&rclk=1,Clothing stores in Phoenix Arizona,4.7,147,+1 602-277-5765,"801 N 2nd St #104, Phoenix, AZ 85004, United States",antiquesugar.com
BBB Fashion,https://www.google.com/maps/place/BBB+Fashion/data=!4m7!3m6!1s0x872b14c12ca0c0e9:0x2e102c5a11844143!8m2!3d33.4934789!4d-112.172841!16s%2Fg%2F1thmfw29!19sChIJ6cCgLMEUK4cRQ0GEEVosEC4?authuser=0&hl=en&rclk=1,Clothing stores in Phoenix Arizona,4.1,1119,+1 623-846-6000,"5251 W Indian School Rd, Phoenix, AZ 85031, United States",bbbfashionaz.com
Cave & Post Trading Co.,https://www.google.com/maps/place/Cave+%26+Post+Trading+Co./data=!4m7!3m6!1s0x872b13747ef98537:0x6e3cf8d43bf31c89!8m2!3d33.465557!4d-112.0810397!16s%2Fg%2F11q2pkvj4w!19sChIJN4X5fnQTK4cRiRzzO9T4PG4?authuser=0&hl=en&rclk=1,Clothing stores in Phoenix Arizona,4.8,40,+1 602-931-0090,"509 W McDowell Rd Ste.102, Phoenix, AZ 85003, United States",caveandpost.com
Phoenix General,https://www.google.com/maps/place/Phoenix+General/data=!4m7!3m6!1s0x872b1368ea36500b:0xd6f1c2f2af6a3b06!8m2!3d33.4589325!4d-112.0705247!16s%2Fg%2F11fp4xgm6k!19sChIJC1A26mgTK4cRBjtqr_LC8dY?authuser=0&hl=en&rclk=1,Clothing stores in Phoenix Arizona,4.4,17,+1 623-248-8686,"214 E Roosevelt St, Phoenix, AZ 85004, United States",phxgeneral.com
Muse Apparel,https://www.google.com/maps/place/Muse+Apparel/data=!4m7!3m6!1s0x872b6d4ee06096fd:0xc3bfbb9b353fd2b4!8m2!3d33.5097277!4d-112.0721045!16s%2Fg%2F1tf6s80d!19sChIJ_ZZg4E5tK4cRtNI_NZu7v8M?authuser=0&hl=en&rclk=1,Clothing stores in Phoenix Arizona,4.7,32,+1 602-749-8880,"100 E Camelback Rd #188, Phoenix, AZ 85012, United States",shopatmuse.com
Local Nomad,https://www.google.com/maps/place/Local+Nomad/data=!4m7!3m6!1s0x872b12c07bdb12e3:0x33f1409e72a56e35!8m2!3d33.5103659!4d-112.0720542!16s%2Fg%2F11c0qzwv_g!19sChIJ4xLbe8ASK4cRNW6lcp5A8TM?authuser=0&hl=en&rclk=1,Clothing stores in Phoenix Arizona,4.8,54,+1 602-441-4378,"100 E Camelback Rd #168, Phoenix, AZ 85012, United States",localnomadshop.com
