Name,URL,Query,Rating,Reviews,Phone,Address,Website
Epoch Coffee,https://www.google.com/maps/place/Epoch+Coffee/data=!4m7!3m6!1s0x8644ca6bc309e81b:0x1f1a903bbb66839!8m2!3d30.3186037!4d-97.7245402!16s%2Fg%2F1v76_180!19sChIJG-gJw2vKRIYROWi2uwOp8QE?authuser=0&hl=en&rclk=1,Coffee shops in Austin Texas,4.5,2277,+1 512-454-3762,"221 W N Loop Blvd, Austin, TX 78751, United States",epochcoffee.com
Mozart's Coffee Roasters,https://www.google.com/maps/place/Mozart%27s+Coffee+Roasters/data=!4m7!3m6!1s0x8644b5554461664d:0xbc4ff333ec9ad1ad!8m2!3d30.29544!4d-97.784187!16s%2Fm%2F020z4hc!19sChIJTWZhRFW1RIYRrdGa7DPzT7w?authuser=0&hl=en&rclk=1,Coffee shops in Austin Texas,4.5,9231,+1 512-477-2900,"3825 Lake Austin Blvd, Austin, TX 78703, United States",mozartscoffee.com
Bennu Coffee on Congress,https://www.google.com/maps/place/Bennu+Coffee+on+Congress/data=!4m7!3m6!1s0x8644b501711ea8ed:0xe0ff9456d3a1189a!8m2!3d30.2560821!4d-97.7462348!16s%2Fg%2F11g88h94b2!19sChIJ7agecQG1RIYRmhih01aU_-A?authuser=0&hl=en&rclk=1,Coffee shops in Austin Texas,4.5,1409,+1 512-448-3919,"515 S Congress Ave, Austin, TX 78704, United States",bennucoffee.com
Radio Coffee & Beer,https://www.google.com/maps/place/Radio+Coffee+%26+Beer/data=!4m7!3m6!1s0x865b4b345f5f9e47:0x987257b0016e1db8!8m2!3d30.2315079!4d-97.7876869!16s%2Fg%2F11bbt54057!19sChIJR55fXzRLW4YRuB1uAbBXcpg?authuser=0&hl=en&rclk=1,Coffee shops in Austin Texas,4.6,3610,+1 512-394-7844,"4204 Menchaca Rd, Austin, TX 78704, United States",radiocoffeeandbeer.com
Figure 8 Coffee Purveyors Cafe & Roastery,https://www.google.com/maps/place/Figure+8+Coffee+Purveyors+Cafe+%26+Roastery/data=!4m7!3m6!1s0x8644b5b80a0ee693:0xe15d438a8f4ed8a!8m2!3d30.266914!4d-97.719947!16s%2Fg%2F11b5wl5rth!19sChIJk-YOCri1RIYRiu30qDjUFQ4?authuser=0&hl=en&rclk=1,Coffee shops in Austin Texas,4.7,647,-,"1111 Chicon St, Austin, TX 78702, United States",figure8coffeepurveyors.com
Houndstooth Coffee,https://www.google.com/maps/place/Houndstooth+Coffee/data=!4m7!3m6!1s0x8644b50847967b9f:0x9c58a6fceb42fe15!8m2!3d30.266216!4d-97.743066!16s%2Fg%2F12hlpyx7f!19sChIJn3uWRwi1RIYRFf5C6_ymWJw?authuser=0&hl=en&rclk=1,Coffee shops in Austin Texas,4.6,1005,+1 512-394-6051,"401 Congress Ave. #100c, Austin, TX 78701, United States",houndstoothcoffee.com
Summer Moon Coffee,https://www.google.com/maps/place/Summer+Moon+Coffee/data=!4m7!3m6!1s0x8644cc752bbe37bf:0x4a9e56f256689bb2!8m2!3d30.3943718!4d-97.7201575!16s%2Fg%2F11ckkscl5q!19sChIJvze-K3XMRIYRsptoVvJWnko?authuser=0&hl=en&rclk=1,Coffee shops in Austin Texas,4.6,1827,+1 737-300-1265,"11005 Burnet Rd Ste 112, Austin, TX 78758, United States",locations.summermooncoffee.com
Jo's Coffee – South Congress,https://www.google.com/maps/place/Jo%27s+Coffee+%E2%80%93+South+Congress/data=!4m7!3m6!1s0x8644b4fda2c12fd5:0x66b58cb4722b37b!8m2!3d30.2510458!4d-97.7493717!16s%2Fm%2F020z01l!19sChIJ1S_Bov20RIYRe7MiR8tYawY?authuser=0&hl=en&rclk=1,Coffee shops in Austin Texas,4.5,1805,+1 512-852-2300,"1300 S Congress Ave, Austin, TX 78704, United States",joscoffee.com
Bennu Coffee,https://www.google.com/maps/place/Bennu+Coffee/data=!4m7!3m6!1s0x8644b571d3dfb50d:0x4deb2f0c0bfd183a!8m2!3d30.279812!4d-97.7196223!16s%2Fg%2F1tdqhw72!19sChIJDbXf03G1RIYROhj9Cwwv600?authuser=0&hl=en&rclk=1,Coffee shops in Austin Texas,4.5,1351,+1 512-478-4700,"2001 E Martin Luther King Jr Blvd, Austin, TX 78702, United States",bennucoffee.com
Summer Moon Coffee (South 1st),https://www.google.com/maps/place/Summer+Moon+Coffee+%28South+1st%29/data=!4m7!3m6!1s0x8644b4c1948537b1:0xea0bfc1c6a9cfdbb!8m2!3d30.2332411!4d-97.7648094!16s%2Fg%2F1tmqglpw!19sChIJsTeFlMG0RIYRu_2cahz8C-o?authuser=0&hl=en&rclk=1,Coffee shops in Austin Texas,4.5,1805,+1 512-804-1665,"3115 S 1st St #1b, Austin, TX 78704, United States",locations.summermooncoffee.com
Genuine Joe Coffeehouse,https://www.google.com/maps/place/Genuine+Joe+Coffeehouse/data=!4m7!3m6!1s0x8644cbb1030f7d31:0xff1d8120b027b9cc!8m2!3d30.3540284!4d-97.7273578!16s%2Fg%2F1tlvpy0j!19sChIJMX0PA7HLRIYRzLknsCCBHf8?authuser=0&hl=en&rclk=1,Coffee shops in Austin Texas,4.7,1222,+1 512-220-1576,"2001 W Anderson Ln., Austin, TX 78757, United States",genuinejoecoffee.com
Spokesman - South,https://www.google.com/maps/place/Spokesman+-+South/data=!4m7!3m6!1s0x8644b4986946608b:0x8398e3fb458d7c22!8m2!3d30.2155763!4d-97.7624548!16s%2Fg%2F11c0w0sq6t!19sChIJi2BGaZi0RIYRInyNRfvjmIM?authuser=0&hl=en&rclk=1,Coffee shops in Austin Texas,4.7,1007,+1 512-586-9657,"440 E St Elmo Rd A2, Austin, TX 78745, United States",spokesmancoffee.com
Kick Butt Coffee,https://www.google.com/maps/place/Kick+Butt+Coffee/data=!4m7!3m6!1s0x8644ca160d07cb95:0x99c3ffe727bef746!8m2!3d30.3224296!4d-97.7136952!16s%2Fm%2F0k0c4tv!19sChIJlcsHDRbKRIYRRve-J-f_w5k?authuser=0&hl=en&rclk=1,Coffee shops in Austin Texas,4.6,2519,+1 512-454-5425,"5775 Airport Blvd Suite 725, Austin, TX 78752, United States",kickbuttcoffee.com
Houndstooth Coffee,https://www.google.com/maps/place/Houndstooth+Coffee/data=!4m7!3m6!1s0x8644ca62cb940f5d:0x53ffae78575d157a!8m2!3d30.3105861!4d-97.7400003!16s%2Fg%2F1tmxrdrd!19sChIJXQ-Uy2LKRIYRehVdV3iu_1M?authuser=0&hl=en&rclk=1,Coffee shops in Austin Texas,4.5,722,+1 512-531-9417,"4200 N Lamar Blvd STE 120, Austin, TX 78756, United States",houndstoothcoffee.com
Flitch Coffee,https://www.google.com/maps/place/Flitch+Coffee/data=!4m7!3m6!1s0x8644b5d308dbec6d:0x585034302d1a4677!8m2!3d30.2577701!4d-97.7057528!16s%2Fg%2F11b7qvr78w!19sChIJbezbCNO1RIYRd0YaLTA0UFg?authuser=0&hl=en&rclk=1,Coffee shops in Austin Texas,4.7,408,+1 512-698-1326,"641 Tillery St, Austin, TX 78702, United States",flitchcoffee.com
Fleet Coffee,https://www.google.com/maps/place/Fleet+Coffee/data=!4m7!3m6!1s0x8644b5ced49c5d45:0x278cb9e9d5c171ee!8m2!3d30.2627528!4d-97.7143007!16s%2Fg%2F11bc8d7f96!19sChIJRV2c1M61RIYR7nHB1em5jCc?authuser=0&hl=en&rclk=1,Coffee shops in Austin Texas,4.7,558,+1 512-212-7174,"2427 Webberville Rd, Austin, TX 78702, United States",fleetcoffee.com
Cherrywood Coffeehouse,https://www.google.com/maps/place/Cherrywood+Coffeehouse/data=!4m7!3m6!1s0x8644b5f39514ccb1:0xdb66f50a00dea398!8m2!3d30.2935632!4d-97.7160212!16s%2Fm%2F0l58ylf!19sChIJscwUlfO1RIYRmKPeAAr1Zts?authuser=0&hl=en&rclk=1,Coffee shops in Austin Texas,4.5,2160,+1 512-538-1991,"1400 E 38th 1/2 St, Austin, TX 78722, United States",cherrywoodcoffeehouse.com
Desnudo Coffee,https://www.google.com/maps/place/Desnudo+Coffee/data=!4m7!3m6!1s0x8644b525b4375f7b:0x1d73c2989730057a!8m2!3d30.2630986!4d-97.7137874!16s%2Fg%2F11sr2623d5!19sChIJe183tCW1RIYRegUwl5jCcx0?authuser=0&hl=en&rclk=1,Coffee shops in Austin Texas,4.9,602,+1 424-400-1857,"2505 Webberville Rd, Austin, TX 78702, United States",desnudocoffee.com
Merit Coffee,https://www.google.com/maps/place/Merit+Coffee/data=!4m7!3m6!1s0x8644b50e25cd8c2d:0x3fa3976be9ecaa5!8m2!3d30.2675929!4d-97.752088!16s%2Fg%2F11gf1vbmvm!19sChIJLYzNJQ61RIYRpcqevnY5-gM?authuser=0&hl=en&rclk=1,Coffee shops in Austin Texas,4.5,481,+1 512-906-0266,"222 West Ave #120, Austin, TX 78701, United States",meritcoffee.com
Barrett's Coffee,https://www.google.com/maps/place/Barrett%27s+Coffee/data=!4m7!3m6!1s0x8644ca365e2bba7d:0x3701d606bcf6ce99!8m2!3d30.3389883!4d-97.7174325!16s%2Fg%2F1tctm664!19sChIJfborXjbKRIYRmc72vAbWATc?authuser=0&hl=en&rclk=1,Coffee shops in Austin Texas,4.6,744,+1 512-677-7667,"713 W St Johns Ave, Austin, TX 78752, United States",barrettscoffee.com
Terrible Love,https://www.google.com/maps/place/Terrible+Love/data=!4m7!3m6!1s0x8644b5909076ca3f:0x29646d76a1c6aada!8m2!3d30.3045132!4d-97.735632!16s%2Fg%2F11ng70tdrd!19sChIJP8p2kJC1RIYR2qrGoXZtZCk?authuser=0&hl=en&rclk=1,Coffee shops in Austin Texas,5.0,210,-,"3908 Avenue B, Austin, TX 78751, United States",instagram.com
Lucky Lab Coffee Co.,https://www.google.com/maps/place/Lucky+Lab+Coffee+Co./data=!4m7!3m6!1s0x8644b5780be05b2b:0x4486f4e3f6b320b1!8m2!3d30.2885615!4d-97.7420686!16s%2Fg%2F11cp5ysmrp!19sChIJK1vgC3i1RIYRsSCz9uP0hkQ?authuser=0&hl=en&rclk=1,Coffee shops in Austin Texas,4.5,536,+1 512-420-6950,"2421 San Antonio St, Austin, TX 78705, United States",luckylabcoffee.com
Radix House Coffee - William Cannon,https://www.google.com/maps/place/Radix+House+Coffee+-+William+Cannon/data=!4m7!3m6!1s0x865b4d159201ad95:0x424bfa2bf1830608!8m2!3d30.2069395!4d-97.815917!16s%2Fg%2F11jbmbwmss!19sChIJla0BkhVNW4YRCAaD8Sv6S0I?authuser=0&hl=en&rclk=1,Coffee shops in Austin Texas,4.9,1000,+1 737-256-9959,"Coffee Shop, 2701 W William Cannon Dr, Austin, TX 78745, United States",radixhouse.com
Once Over Coffee Bar,https://www.google.com/maps/place/Once+Over+Coffee+Bar/data=!4m7!3m6!1s0x8644b4e43d9c0fe7:0x26a464848daab9f9!8m2!3d30.244854!4d-97.7570249!16s%2Fg%2F1tgz0z_c!19sChIJ5w-cPeS0RIYR-bmqjYRkpCY?authuser=0&hl=en&rclk=1,Coffee shops in Austin Texas,4.5,560,-,"2009 S 1st St, Austin, TX 78704, United States",onceovercoffeebar.com
Medici Roasting,https://www.google.com/maps/place/Medici+Roasting/data=!4m7!3m6!1s0x8644b56bc22ebe83:0x210628f69e4820bf!8m2!3d30.2795248!4d-97.7594327!16s%2Fg%2F1tg9njb_!19sChIJg74uwmu1RIYRvyBInvYoBiE?authuser=0&hl=en&rclk=1,Coffee shops in Austin Texas,4.4,511,-,"1101 W Lynn St, Austin, TX 78703, United States",mediciroasting.com
Proud Mary Coffee,https://www.google.com/maps/place/Proud+Mary+Coffee/data=!4m7!3m6!1s0x8644b5368814cbd7:0x4d085ea3ef8f1cca!8m2!3d30.2483106!4d-97.769407!16s%2Fg%2F11tffll7z9!19sChIJ18sUiDa1RIYRyhyP76NeCE0?authuser=0&hl=en&rclk=1,Coffee shops in Austin Texas,4.5,507,+1 512-551-2901,"2043 S Lamar Blvd, Austin, TX 78704, United States",proudmarycoffee.com
Flat Track Coffee,https://www.google.com/maps/place/Flat+Track+Coffee/data=!4m7!3m6!1s0x8644b5ae95383391:0xb8b851b983429d9b!8m2!3d30.2577437!4d-97.7271709!16s%2Fg%2F1hm20wkzs!19sChIJkTM4la61RIYRm51Cg7lRuLg?authuser=0&hl=en&rclk=1,Coffee shops in Austin Texas,4.7,779,+1 512-540-6040,"1619 E Cesar Chavez St, Austin, TX 78702, United States",flattrackcoffee.com
The Hideout Coffee House,https://www.google.com/maps/place/The+Hideout+Coffee+House/data=!4m7!3m6!1s0x8644b509dc5317d5:0xd715cff7f25a6836!8m2!3d30.2685727!4d-97.7421642!16s%2Fg%2F12qhb_bv0!19sChIJ1RdT3Am1RIYRNmha8vfPFdc?authuser=0&hl=en&rclk=1,Coffee shops in Austin Texas,4.4,587,+1 512-476-1313,"617 Congress Ave., Austin, TX 78701, United States",hideouttheatre.com
Brew and Brew,https://www.google.com/maps/place/Brew+and+Brew/data=!4m7!3m6!1s0x8644b5af858cb3fd:0x1aca02d5fc79c6c9!8m2!3d30.2644111!4d-97.7330917!16s%2Fg%2F1tdz57h8!19sChIJ_bOMha-1RIYRycZ5_NUCyho?authuser=0&hl=en&rclk=1,Coffee shops in Austin Texas,4.5,1063,+1 512-655-3442,"500 San Marcos St #105, Austin, TX 78702, United States",thebrewandbrew.com
Bennu Coffee Highland,https://www.google.com/maps/place/Bennu+Coffee+Highland/data=!4m7!3m6!1s0x8644cbfbfb5ad149:0x163d36d3c34f7057!8m2!3d30.3250538!4d-97.7148418!16s%2Fg%2F11k5wzbpkb!19sChIJSdFa-_vLRIYRV3BPw9M2PRY?authuser=0&hl=en&rclk=1,Coffee shops in Austin Texas,4.3,478,+1 512-520-2525,"109 Jacob Fontaine Ln suite 600, Austin, TX 78752, United States",bennucoffee.com
Trianon Coffee,https://www.google.com/maps/place/Trianon+Coffee/data=!4m7!3m6!1s0x865b4ab8bb646e11:0xf7aa60201978d249!8m2!3d30.2798788!4d-97.8061014!16s%2Fm%2F020zgkr!19sChIJEW5ku7hKW4YRSdJ4GSBgqvc?authuser=0&hl=en&rclk=1,Coffee shops in Austin Texas,4.7,432,+1 512-328-4033,"3654 Bee Caves Rd Ste A, Austin, TX 78746, United States",trianoncoffee.com
Mañana,https://www.google.com/maps/place/Ma%C3%B1ana/data=!4m7!3m6!1s0x8644b4fc866add87:0x7327c6cabb7a51aa!8m2!3d30.247699!4d-97.749824!16s%2Fg%2F11cm0j54n2!19sChIJh91qhvy0RIYRqlF6u8rGJ3M?authuser=0&hl=en&rclk=1,Coffee shops in Austin Texas,4.5,609,+1 512-872-3144,"1603 S Congress Ave, Austin, TX 78704, United States",mananaaustin.com
