Name,URL,Query,Rating,Reviews,Phone,Address,Website
The Giddy Goat Coffee Roasters,https://www.google.com/maps/place/The+Giddy+Goat+Coffee+Roasters/data=!4m7!3m6!1s0x8856a1f2b90c778f:0x36774be41527cf6a!8m2!3d35.2189342!4d-80.8110255!16s%2Fg%2F11jcnymjsw!19sChIJj3cMufKhVogRas8nFeRLdzY?authuser=0&hl=en&rclk=1,Coffee shops in Charlotte North Carolina,4.8,879,-,"1217 The Plaza, Charlotte, NC 28205, United States",giddygoat.com
Smelly Cat Coffee House & Roastery,https://www.google.com/maps/place/Smelly+Cat+Coffee+House+%26+Roastery/data=!4m7!3m6!1s0x88541fda21dbea15:0x7b322c07165692ef!8m2!3d35.247177!4d-80.804324!16s%2Fg%2F1vlk282z!19sChIJFerbIdofVIgR75JWFgcsMns?authuser=0&hl=en&rclk=1,Coffee shops in Charlotte North Carolina,4.5,924,+1 704-374-9656,"514 E 36th St, Charlotte, NC 28205, United States",smellycatcoffee.com
Coco and the Director,https://www.google.com/maps/place/Coco+and+the+Director/data=!4m7!3m6!1s0x8856a025623f7e03:0xfd47172b8945ded7!8m2!3d35.2278119!4d-80.8433958!16s%2Fg%2F11c0xytryj!19sChIJA34_YiWgVogR195FiSsXR_0?authuser=0&hl=en&rclk=1,Coffee shops in Charlotte North Carolina,4.5,1051,+1 704-353-6003,"100 W Trade St, Charlotte, NC 28202, United States",cocoandthedirector.com
Summit Coffee On the Plaza,https://www.google.com/maps/place/Summit+Coffee+On+the+Plaza/data=!4m7!3m6!1s0x88541fa9449bdbdd:0x95bfc5d82608e60d!8m2!3d35.2356298!4d-80.8048321!16s%2Fg%2F11sgy1pr0_!19sChIJ3dubRKkfVIgRDeYIJtjFv5U?authuser=0&hl=en&rclk=1,Coffee shops in Charlotte North Carolina,4.8,212,+1 980-498-5414,"2501 The Plaza Suite 6, Charlotte, NC 28205, United States",linktr.ee
Queen City Grounds,https://www.google.com/maps/place/Queen+City+Grounds/data=!4m7!3m6!1s0x8856a03c7bfce283:0x323d3d3fbbf6b751!8m2!3d35.2326302!4d-80.837543!16s%2Fg%2F11f53nvzpc!19sChIJg-L8ezygVogRUbf2uz89PTI?authuser=0&hl=en&rclk=1,Coffee shops in Charlotte North Carolina,4.6,663,+1 704-324-3231,"644 N Church St, Charlotte, NC 28202, United States",queencitygrounds.com
Backyard Brew,https://www.google.com/maps/place/Backyard+Brew/data=!4m7!3m6!1s0x88569de67844e825:0xd96293de0727d390!8m2!3d35.2029384!4d-80.8463147!16s%2Fg%2F11jzkyq5ck!19sChIJJehEeOadVogRkNMnB96TYtk?authuser=0&hl=en&rclk=1,Coffee shops in Charlotte North Carolina,5.0,337,+1 704-650-1584,"1218 East Blvd, Charlotte, NC 28203, United States",backyardbrew.com
Sumaq Coffee,https://www.google.com/maps/place/Sumaq+Coffee/data=!4m7!3m6!1s0x88569f5055fda7d9:0x7be836aa109e9d1b!8m2!3d35.1498192!4d-80.8759586!16s%2Fg%2F11rqhvj5c3!19sChIJ2af9VVCfVogRG52eEKo26Hs?authuser=0&hl=en&rclk=1,Coffee shops in Charlotte North Carolina,4.7,490,+1 980-585-9437,"6259 South Blvd, Charlotte, NC 28217, United States",sumaqcoffeeclt.com
Mugs,https://www.google.com/maps/place/Mugs/data=!4m7!3m6!1s0x88569e5940e5813d:0x455cb6d5cce25cfb!8m2!3d35.160473!4d-80.850047!16s%2Fg%2F1td05s3b!19sChIJPYHlQFmeVogR-1zizNW2XEU?authuser=0&hl=en&rclk=1,Coffee shops in Charlotte North Carolina,4.7,531,+1 704-733-9014,"5126 Park Rd #1d, Charlotte, NC 28209, United States",mugsofcharlotte.com
Haraz Coffee House,https://www.google.com/maps/place/Haraz+Coffee+House/data=!4m7!3m6!1s0x8856a10012c28587:0x48fb00615f9fae75!8m2!3d35.2209048!4d-80.8180333!16s%2Fg%2F11vrc6gmhb!19sChIJh4XCEgChVogRda6fX2EA-0g?authuser=0&hl=en&rclk=1,Coffee shops in Charlotte North Carolina,4.5,524,+1 980-207-1781,"1204 Central Ave #100, Charlotte, NC 28204, United States",harazcoffeehouse.com
Amélie's French Bakery & Café,https://www.google.com/maps/place/Am%C3%A9lie%27s+French+Bakery+%26+Caf%C3%A9/data=!4m7!3m6!1s0x8856a075ae53fe63:0x6fc6afa1b6d5b91d!8m2!3d35.251701!4d-80.8078971!16s%2Fg%2F1tm69nb3!19sChIJY_5TrnWgVogRHbnVtqGvxm8?authuser=0&hl=en&rclk=1,Coffee shops in Charlotte North Carolina,4.6,6779,+1 704-376-1781,"136 E 36th St, Charlotte, NC 28205, United States",ameliesfrenchbakery.com
CupLux Coffee Drive-Thru,https://www.google.com/maps/place/CupLux+Coffee+Drive-Thru/data=!4m7!3m6!1s0x8856a1f2f1db2479:0x239137608d2ba840!8m2!3d35.2420546!4d-80.8894216!16s%2Fg%2F11g81dhtd9!19sChIJeSTb8fKhVogRQKgrjWA3kSM?authuser=0&hl=en&rclk=1,Coffee shops in Charlotte North Carolina,4.7,381,+1 980-237-6494,"3115 Freedom Dr, Charlotte, NC 28208, United States",cuplux.com
Not Just Coffee,https://www.google.com/maps/place/Not+Just+Coffee/data=!4m7!3m6!1s0x8856a01140ec724f:0xff7ebe5ac7a74af0!8m2!3d35.2275954!4d-80.8381112!16s%2Fg%2F1260pw935!19sChIJT3LsQBGgVogR8Eqnx1q-fv8?authuser=0&hl=en&rclk=1,Coffee shops in Charlotte North Carolina,4.6,384,+1 704-817-3868,"224 E 7th St, Charlotte, NC 28202, United States",notjust.coffee
Central Coffee Co,https://www.google.com/maps/place/Central+Coffee+Co/data=!4m7!3m6!1s0x8856a01cc7854467:0xe574b9fab3ff114!8m2!3d35.2215056!4d-80.8219556!16s%2Fg%2F1tgcb6mc!19sChIJZ0SFxxygVogRFPE_q59LVw4?authuser=0&hl=en&rclk=1,Coffee shops in Charlotte North Carolina,4.5,923,+1 704-335-7288,"719 Louise Ave, Charlotte, NC 28204, United States",centralcoffeeco.com
Summit Coffee Noda,https://www.google.com/maps/place/Summit+Coffee+Noda/data=!4m7!3m6!1s0x88541fe82cc72ba9:0x76ccee4eeb037910!8m2!3d35.2486177!4d-80.8060364!16s%2Fg%2F11n044ldjb!19sChIJqSvHLOgfVIgREHkD607uzHY?authuser=0&hl=en&rclk=1,Coffee shops in Charlotte North Carolina,4.5,133,+1 704-919-0338,"416 E 36th St, Charlotte, NC 28205, United States",linktr.ee
Bitty & Beau's Coffee,https://www.google.com/maps/place/Bitty+%26+Beau%27s+Coffee/data=!4m7!3m6!1s0x88569f28dc0c681d:0x7e27b21849feee9a!8m2!3d35.2108147!4d-80.8606429!16s%2Fg%2F11rsr95pkv!19sChIJHWgM3CifVogRmu7-SRiyJ34?authuser=0&hl=en&rclk=1,Coffee shops in Charlotte North Carolina,4.8,250,+1 980-299-2015,"1930 Camden Rd Ste 236, Charlotte, NC 28203, United States",bittyandbeauscoffee.com
Burr & Berry Coffee,https://www.google.com/maps/place/Burr+%26+Berry+Coffee/data=!4m7!3m6!1s0x88569fb47010029f:0xb4caa466318d634e!8m2!3d35.1858221!4d-80.8754951!16s%2Fg%2F11qgkyl64k!19sChIJnwIQcLSfVogRTmONMWakyrQ?authuser=0&hl=en&rclk=1,Coffee shops in Charlotte North Carolina,4.7,158,+1 704-313-0760,"4209 South Blvd, Charlotte, NC 28209, United States",burrandberry.com
The Hobbyist,https://www.google.com/maps/place/The+Hobbyist/data=!4m7!3m6!1s0x8856a1f06b1f9883:0xe7f16500fa094235!8m2!3d35.2385921!4d-80.8160866!16s%2Fg%2F11hyt5vc7h!19sChIJg5gfa_ChVogRNUIJ-gBl8ec?authuser=0&hl=en&rclk=1,Coffee shops in Charlotte North Carolina,4.7,559,+1 704-993-7144,"2100 N Davidson St, Charlotte, NC 28205, United States",thehobbyistclt.com
