Name,URL,Query,Rating,Reviews,Phone,Address,Website
Bold Bean Coffee Roasters - Riverside,https://www.google.com/maps/place/Bold+Bean+Coffee+Roasters+-+Riverside/data=!4m7!3m6!1s0x88e5b455c798f8ab:0x26ef33f3d0560b78!8m2!3d30.3154511!4d-81.6893112!16s%2Fg%2F1tdf256_!19sChIJq_iYx1W05YgReAtW0PMz7yY?authuser=0&hl=en&rclk=1,Coffee shops in Jacksonville Florida,4.7,1299,+1 904-738-7670,"869 Stockton St, Jacksonville, FL 32204, United States",boldbeancoffee.com
flamingo coffee,https://www.google.com/maps/place/flamingo+coffee/data=!4m7!3m6!1s0x88e5b965f236b5cb:0xf83c764a967ce4d!8m2!3d30.3084158!4d-81.7141412!16s%2Fg%2F11f7hbkntm!19sChIJy7U28mW55YgRTc5nqWTHgw8?authuser=0&hl=en&rclk=1,Coffee shops in Jacksonville Florida,4.7,209,+1 904-683-4380,"1176 Edgewood Ave S STE 1, Jacksonville, FL 32205, United States",flamingocoffeeroasters.com
Southern Grounds & Co.,https://www.google.com/maps/place/Southern+Grounds+%26+Co./data=!4m7!3m6!1s0x88e5b7b5faafcb79:0x5e3e6ab736f5f307!8m2!3d30.3067423!4d-81.6501726!16s%2Fg%2F11ghlk0l7y!19sChIJecuv-rW35YgRB_P1NrdqPl4?authuser=0&hl=en&rclk=1,Coffee shops in Jacksonville Florida,4.6,1258,+1 904-619-1503,"1671 Atlantic Blvd, Jacksonville, FL 32207, United States",southerngrounds.com
Social Grounds Coffee Roasters,https://www.google.com/maps/place/Social+Grounds+Coffee+Roasters/data=!4m7!3m6!1s0x88e5b72f1fb6ae23:0x4c12acf5aca0fc51!8m2!3d30.3446176!4d-81.6543385!16s%2Fg%2F11dylrm883!19sChIJI662Hy-35YgRUfygrPWsEkw?authuser=0&hl=en&rclk=1,Coffee shops in Jacksonville Florida,4.7,558,+1 904-683-2437,"1712 N Main St, Jacksonville, FL 32206, United States",socialgroundscoffeeroasters.com
Setlan Coffee Co.,https://www.google.com/maps/place/Setlan+Coffee+Co./data=!4m7!3m6!1s0x88e5b787f92eb419:0x837211a455038baa!8m2!3d30.329277!4d-81.658374!16s%2Fg%2F11k95b41vq!19sChIJGbQu-Ye35YgRqosDVaQRcoM?authuser=0&hl=en&rclk=1,Coffee shops in Jacksonville Florida,4.9,229,+1 904-479-9975,"333 N Laura St, Jacksonville, FL 32202, United States",setlancoffee.com
The Coffee Grinder,https://www.google.com/maps/place/The+Coffee+Grinder/data=!4m7!3m6!1s0x88e5caf9d6fd187b:0x9b1744d71dbc2ddb!8m2!3d30.2199535!4d-81.5543976!16s%2Fg%2F1tdvk_g9!19sChIJexj91vnK5YgR2y28HddEF5s?authuser=0&hl=en&rclk=1,Coffee shops in Jacksonville Florida,4.6,1053,+1 904-642-7600,"9834 Old Baymeadows Rd, Jacksonville, FL 32256, United States",thecoffeegrinderjax.com
Vagabond Coffee & Co-op,https://www.google.com/maps/place/Vagabond+Coffee+%26+Co-op/data=!4m7!3m6!1s0x88e5b9b35f2205ef:0x8bbadc14ae4be253!8m2!3d30.3130814!4d-81.718728!16s%2Fg%2F11bvtg8703!19sChIJ7wUiX7O55YgRU-JLrhTcuos?authuser=0&hl=en&rclk=1,Coffee shops in Jacksonville Florida,4.6,577,-,"927 Edgewood Ave S, Jacksonville, FL 32205, United States",vagabondcoffee.com
Bitty & Beau's Coffee,https://www.google.com/maps/place/Bitty+%26+Beau%27s+Coffee/data=!4m7!3m6!1s0x88e5b7fade05b155:0x96f18ff8e675b051!8m2!3d30.3046301!4d-81.654983!16s%2Fg%2F11t8bfgkg2!19sChIJVbEF3vq35YgRUbB15viP8ZY?authuser=0&hl=en&rclk=1,Coffee shops in Jacksonville Florida,4.9,444,+1 904-683-6083,"1965 San Marco Blvd, Jacksonville, FL 32207, United States",bittyandbeauscoffee.com
SOCIAL HOUSE COFFEE,https://www.google.com/maps/place/SOCIAL+HOUSE+COFFEE/data=!4m7!3m6!1s0x88e5b917e57f1975:0x4aacf876642c74e4!8m2!3d30.2855522!4d-81.7137191!16s%2Fg%2F11fs6j70s0!19sChIJdRl_5Re55YgR5HQsZHb4rEo?authuser=0&hl=en&rclk=1,Coffee shops in Jacksonville Florida,4.8,296,+1 904-805-7179,"4204 Herschel St, Jacksonville, FL 32210, United States",socialhouse.co
Urban Grind Coffee Company,https://www.google.com/maps/place/Urban+Grind+Coffee+Company/data=!4m7!3m6!1s0x88e5b71769071eb9:0x6928a61cae2b43ad!8m2!3d30.3266031!4d-81.6591038!16s%2Fg%2F11bx8s5hrt!19sChIJuR4HaRe35YgRrUMrrhymKGk?authuser=0&hl=en&rclk=1,Coffee shops in Jacksonville Florida,4.6,393,+1 904-516-7799,"45 W Bay St, Jacksonville, FL 32202, United States",urbangrind.coffee
Smilies Coffee,https://www.google.com/maps/place/Smilies+Coffee/data=!4m7!3m6!1s0x88e5c7178fe915f1:0xf610b54036bb24cb!8m2!3d30.2485182!4d-81.7693741!16s%2Fg%2F11s42xflp1!19sChIJ8RXpjxfH5YgRyyS7NkC1EPY?authuser=0&hl=en&rclk=1,Coffee shops in Jacksonville Florida,4.9,167,-,"7411 103rd St, Jacksonville, FL 32210, United States",smiliescoffee.com
